SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
002270.SZ,002270,华明装备,10120706,通用,2026-03-31 00:00:00,一季报,2026一季报,058001001,2026-04-27 00:00:00,2026-04-27 00:00:00,CNY,531550890.01,,,,,,,,,,,,6339054.11,27386355.55,,0.0,565276299.67,244141673.34,,,,,,106651972.31,66859334.08,55255555.39,,0.0,472908535.12,,0.0,92367764.55,2599070.67,,494480.0,,,,,0.0,3093550.67,19533302.81,,,,,,,0.0,19533302.81,,0.0,-16439752.14,30000.0,30000.0,158227122.22,,,,0.0,158257122.22,,2926062.49,,,474868849.96,,,0.0,477794912.45,,0.0,-319537790.23,-11713519.93,,0.0,-255323297.75,1165598887.03,,0.0,910275589.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5275307847,,,,,,,,,,,,53.9885624423,15.3195736256,,,17.7309276384,31.0229913312,,,,,,5.4950180576,-10.3554127102,-2.499766982,,,12.9504866701,,,50.2990583087,,,-99.2404330245,,,,,,-95.2495746111,-11.1757333974,,,,,,,,-11.1757333974,,,-138.11621707,,,,,,,,2790.2243082037,,-94.4278875072,,,3844.2678180863,,,,283.610508175,,,-168.3466612867,-414.7733861475,,,-2270.9857362887,5.5890921281,,,-16.7277669547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002270.SZ,002270,华明装备,10120706,通用,2025-12-31 00:00:00,年报,2025年报,058001001,2026-02-27 00:00:00,2026-02-27 00:00:00,CNY,2264780209.03,,,,,,,,,,,,23396333.95,53948272.58,,0.0,2342124815.56,881577929.24,,,,,,330510150.73,297746320.94,228258971.75,,0.0,1738093372.66,,0.0,604031442.9,204370378.84,4577624.62,11861689.0,925296.31,,11758146.39,,0.0,233493135.16,112136511.96,70827624.09,,,,,,0.0,182964136.05,,0.0,50528999.11,390000.0,390000.0,510142941.67,,101176530.0,,0.0,611709471.67,317500000.0,614433942.26,1801480.97,,266773649.26,,,0.0,1198707591.52,,0.0,-586998119.85,-5864286.57,,0.0,61698035.59,1103900851.44,,0.0,1165598887.03,719626911.41,6000798.38,66770428.05,66770428.05,,9061819.23,10051172.71,,,,-39134781.27,305369.08,-6518.56,19301410.07,10903817.68,32111135.33,16356432.63,15754702.7,,-23202884.4,-289821339.3,19434190.19,38771447.39,,0.0,604031442.9,,,,,1165598887.03,1103900851.44,,,,,61698035.59,-7.9908494151,,,,,,,,,,,,-9.0747191875,-22.0275185284,,,-8.3816620235,-0.9049363606,,,,,,6.996491763,19.4076218735,4.1529516946,,,4.2624384443,,,-32.0821604752,69.9720053125,-48.4345525841,2632.900263344,,,,,,80.2353640162,-1.4415464627,-2.7351324198,,,,,,,-1.9463700894,,,188.574376166,-80.3655037003,-80.3655037003,21.6467890451,,1747.7706552707,,,43.3158935233,17.5925925926,-17.4248328873,,,95.3244299292,,,,4.1747290104,,,18.9054655978,-256.3166611066,,,-45.0187088862,11.3157386043,,,5.5890921281,16.1098599959,-44.4129660723,5.6106622344,5.6106622344,,-0.5209094531,11.2319221698,,,,-3169.2968733701,-31.6423679628,,-0.8720373444,157.6184786117,454.775017384,427.0973585415,488.9427683332,,-3.5805868603,-267.5876241568,129.2664716155,21331.9190176775,,,-32.0821604752,,,,,5.5890921281,11.3157386043,,,,,-45.0187088862,标准无保留意见,,,,23858466.91,-4.5637464918
002270.SZ,002270,华明装备,10120706,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-27 00:00:00,2025-10-27 00:00:00,CNY,1568347234.24,,,,,,,,,,,,18752398.11,40860760.44,,0.0,1627960392.79,627535569.42,,,,,,252266329.85,225281683.61,162725405.42,,0.0,1267808988.3,,0.0,360151404.49,76630136.8,1907004.44,114460029.0,925296.31,,,,0.0,193922466.55,86117728.55,66000000.0,,,,,,0.0,152117728.55,,0.0,41804738.0,390000.0,390000.0,249783622.22,,101176530.0,,0.0,351350152.22,237500000.0,430844071.05,,,249279731.51,,,0.0,917623802.56,,0.0,-566273650.34,1737688.11,,0.0,-162579819.74,1103900851.44,,0.0,941321031.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.4480239367,,,,,,,,,,,,99.7299792577,-28.2683301303,,,-6.5892140368,-0.81188336,,,,,,9.081211271,26.2481946708,8.9157642735,,,6.3789897808,,,-34.6381782234,-35.8883114971,-78.4448066136,50998.2272321429,,,,,,50.7985032695,38.2339694716,-9.3564394632,,,,,,,12.5870588722,,,741.7551777153,-79.3450775316,-79.3450775316,13.7593669129,,,,,58.6516821278,163.8888888889,-42.3033406776,,,826.499688524,,,,6.250040436,,,11.8208624259,118.6971414116,,,-51.9698465377,11.3157386043,,,6.3996891226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002270.SZ,002270,华明装备,10120706,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-08 00:00:00,2025-08-08 00:00:00,CNY,1099698245.5,,,,,,,,,,,,9053649.31,34412379.22,,0.0,1143164274.03,384303915.25,,,,,,175585608.64,161829396.82,103690053.18,,0.0,825408973.89,,0.0,317755300.14,26630136.8,1809177.91,103758490.0,925296.31,,,,0.0,133123101.02,56566967.21,16000000.0,,,,,,0.0,72566967.21,,0.0,60556133.81,,,49783622.22,,5475600.0,,0.0,55259222.22,122500000.0,54871629.7,,,205049383.14,,,0.0,382421012.84,,0.0,-327161790.62,5470485.72,,0.0,56620129.05,1103900851.44,,0.0,1160520980.49,373860110.58,8598652.63,32690343.06,32690343.06,,4495900.21,5138427.73,,,,-423484.97,99874.3,,-10619367.89,12560454.02,26286154.0,-1601868.71,27888022.71,,-62773904.75,-112893171.81,26132190.4,2098258.64,,0.0,317755300.14,,,,,1160520980.49,1103900851.44,,,,,56620129.05,-12.2851200094,,,,,,,,,,,,89.1085847805,-21.7908685831,,,-12.2335509283,-10.0762916072,,,,,,7.9753357196,32.4601225187,4.3085870061,,,1.706186975,,,-35.2767955236,-77.7202141793,-74.3536439011,46220.7544642857,,,,,,4.9830899407,33.8451842779,-78.0267001415,,,,,,,-36.9414037567,,,416.4394084859,,,-50.21637778,,,,,-44.74077778,75.0,-89.0221611722,,,1333.2613161333,,,,-34.5333715187,,,32.4250414042,40.1645308108,,,152.4634907234,11.3157386043,,,14.4372184493,17.433361898,286.8540970028,6.2779120308,6.2779120308,,-0.3489111191,9.0606592691,,,,-398.2600433919,,,-275.4738321275,486.8568384498,2473.1110953001,-178.2720075315,984.1531148283,,-1142.6012051017,-171.0770430112,168.9361086226,52.4684376737,,,-35.2767955236,,,,,14.4372184493,11.3157386043,,,,,152.4634907234,,,,,12504863.99,10.7371119763
002270.SZ,002270,华明装备,10120706,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-19 00:00:00,2026-04-27 00:00:00,CNY,452277765.44,,,,,,,,,,,,4116574.64,23748228.24,,0.0,480142568.32,186334986.6,,,,,,101096690.89,74582678.22,56672229.06,,0.0,418686584.77,,0.0,61455983.55,,21300.53,65100250.0,,,,,0.0,65121550.53,21990953.1,,,,,,,0.0,21990953.1,,0.0,43130597.43,,,,,5475600.0,,0.0,5475600.0,60000000.0,52512624.14,,,12039467.7,,,0.0,124552091.84,,0.0,-119076491.84,3721254.86,,0.0,-10768656.0,1103900851.44,,0.0,1093132195.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.2048293267,,,,,,,,,,,,64.8001269921,123.933011323,,,-14.1627728934,-9.4836549249,,,,,,3.865636181,46.1481329987,9.5832999267,,,3.1399386319,,,-59.9436222014,,-99.6894719091,,,,,,,15.4935297807,72.3871441159,,,,,,,,-64.958411605,,,776.9543663566,,,,,,,,,500.0,1005.3059273932,,,-0.7975543716,,,,363.2390220708,,,-342.8739559223,1008.1077782023,,,-108.9922057369,11.3157386043,,,-1.647204061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002270.SZ,002270,华明装备,10120706,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-11 00:00:00,2026-02-27 00:00:00,CNY,2461472793.34,,,,,,,,,,,,25731384.87,69188861.97,,0.0,2556393040.18,889628501.02,,,,,,308898119.26,249352860.62,219157467.97,,0.0,1667036948.87,,0.0,889356091.31,120237670.0,8877310.0,434033.0,,,,,0.0,129549013.0,113776655.31,72819329.17,,,,,,0.0,186595984.48,,0.0,-57046971.48,1986300.0,1986300.0,419364083.24,,5475600.0,,0.0,426825983.24,270000000.0,744090461.75,,,136579765.96,,,0.0,1150670227.71,,0.0,-723844244.47,3751542.88,,0.0,112216418.24,991684433.2,,0.0,1103900851.44,619781051.7,10795320.34,63223188.49,63223188.49,,9109270.28,9036230.35,,,,1275040.6,446722.73,,19471206.26,-18924167.98,-9051126.42,-5000478.36,-4050648.06,,-22400804.15,172937196.74,8476682.2,180905.16,,0.0,889356091.31,,,,,1103900851.44,991684433.2,,,,,112216418.24,23.6409718673,,,,,,,,,,,,60.5390397815,-19.2529713697,,,22.1671618746,25.3318514433,,,,,,12.8068121797,-7.5624708726,0.7821346508,,,13.3377846602,,,43.056939871,-33.5306902323,391.6865013545,-75.6953934793,,,,,,-30.5305003662,80.5522187034,-37.7612571197,,,,,,,3.655263748,,,-982.0738629295,123.9828544807,123.9828544807,598.9401387333,,-94.5244,,,165.2958225883,13.4453781513,42.4049388031,,,387.6310902061,,,,45.9267058016,,,-15.3280559315,-11.8052399661,,,2256.7296489201,0.4824623302,,,11.3157386043,12.5528021529,144.1809815723,8.6354067775,8.6354067775,,-22.0773168215,67.3740453924,,,,-21.7761473706,-22.2025729036,,44.7624711369,-58.6141450633,-203.4294083356,-143.5137025225,-47.7953372142,,63.2291127,270.9440760292,-94.4676605522,168.5383956647,,,43.056939871,,,,,11.3157386043,0.4824623302,,,,,2256.7296489201,标准无保留意见,,,,24999375.01,7.6596162843
002270.SZ,002270,华明装备,10120706,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-23 00:00:00,2025-10-27 00:00:00,CNY,1676444795.97,,,,,,,,,,,,9388875.01,56963347.59,,0.0,1742797018.57,632672129.16,,,,,,231264694.36,178443489.19,149404823.54,,0.0,1191785136.25,,0.0,551011882.32,119526000.0,8847076.46,224000.0,,,,,0.0,128597076.46,62298528.27,72812673.74,,,,,,0.0,135111202.01,,0.0,-6514125.55,1888169.76,1888169.76,219571916.58,,,,0.0,221460086.34,90000000.0,746740064.52,,,26905538.62,,,0.0,863645603.14,,0.0,-642185516.8,-9293870.5,,0.0,-106981630.53,991684433.2,,0.0,884702802.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6658925659,,,,,,,,,,,,-29.4685549609,-17.7067465161,,,9.1019737204,27.8132277305,,,,,,10.5764256585,-9.9873265143,-5.0756824587,,,12.456080669,,,2.4902669024,-34.3263736264,228.3827945977,-65.4324337721,,,,,,-30.6163857647,43.7361636543,21.3544562333,,,,,,,30.7414584327,,,-107.9440688173,310.4716869565,310.4716869565,37.2324478625,,,,,38.0157586564,-60.5263157895,43.5311481716,,,11.8291201293,,,,11.8244151482,,,-4.9557804409,-172.5407439168,,,-620.0229964586,0.4824623302,,,-12.1879049873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002270.SZ,002270,华明装备,10120706,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-09 00:00:00,2025-08-08 00:00:00,CNY,1253719147.33,,,,,,,,,,,,4787540.09,44000462.09,,0.0,1302507149.51,427366622.35,,,,,,162616404.45,122172163.02,99407015.43,,0.0,811562205.25,,0.0,490944944.26,119526000.0,7054327.34,224000.0,,,,,0.0,126804327.34,42262982.8,72815644.91,,,,,,0.0,115078627.71,,0.0,11725699.63,,,100000000.0,,,,0.0,100000000.0,70000000.0,499840000.94,,,14306489.74,,,0.0,584146490.68,,0.0,-484146490.68,3902903.03,,0.0,22427056.24,991684433.2,,0.0,1014111489.44,318359369.55,2222712.05,30759301.19,30759301.19,,4511641.83,4711531.88,,,,141985.15,,,6051824.23,-3246796.43,-1107666.39,2046540.98,-3154207.37,,-5051814.25,158832116.57,-37907840.93,1376192.13,,0.0,490944944.26,,,,,1014111489.44,991684433.2,,,,,22427056.24,15.9170754927,,,,,,,,,,,,-56.504635579,-21.3680517713,,,13.406450108,42.6112219673,,,,,,9.9730894235,-8.4435985127,-2.3915245849,,,18.8538567334,,,5.4194056693,-21.3644736842,199.6149922135,-64.2033157062,,,,,,-18.1803154921,42.1155738058,21.3594081833,,,,,,,28.2378012211,,,-82.0273096052,,,100.0,,,,,100.0,-60.0,80.8074571688,,,9.0937552642,,,,25.741147821,,,-16.7848609407,-85.0580273273,,,-84.2623630968,0.4824623302,,,-10.2102305658,9.3662822339,114.6749540197,9.309193723,9.309193723,,-31.8533950589,108.554870424,,,,-41.1804268254,,,1243.0537779944,39.9835294276,-124.9795775553,-68.927037015,-46.574005364,,76.262148334,1.7586629442,-717.3598123892,,,,5.4194056693,,,,,-10.2102305658,0.4824623302,,,,,-84.2623630968,,,,,11292387.68,-2.2141249199
002270.SZ,002270,华明装备,10120706,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-19 00:00:00,2025-04-19 00:00:00,CNY,546261046.1,,,,,,,,,,,,2497919.58,10605059.12,,0.0,559364024.8,205857833.13,,,,,,97334108.38,51032248.37,51716118.33,,0.0,405940308.21,,0.0,153423716.59,49526000.0,6859453.5,,,,,,0.0,56385453.5,12756724.53,50000000.0,,,,,,0.0,62756724.53,,0.0,-6371271.03,,,,,,,,,10000000.0,4750958.34,,,12136260.98,,,0.0,26887219.32,,0.0,-26887219.32,-409781.19,,0.0,119755445.05,991684433.2,,0.0,1111439878.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.9560877463,,,,,,,,,,,,-46.8141337775,-75.6406731064,,,67.3245534939,33.5666677025,,,,,,11.0435617233,-8.2097504038,-13.9095335988,,,13.5668707629,,,762.8166677455,-50.474,374.0764110613,,,,,,,-44.4340929747,-33.3505804425,66.6666666667,,,,,,,27.7099622009,,,-112.1740456841,,,,,,,,,-91.4893617021,41.4645244655,,,10.8782900018,,,,-79.6006013228,,,79.6006013228,92.2440552331,,,210.9876548967,0.4824623302,,,26.4403474033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002270.SZ,002270,华明装备,10120706,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-11 00:00:00,2025-04-11 00:00:00,CNY,1990822909.4,,,,,,,,,,,,16028116.84,85685954.2,,0.0,2092536980.44,709818366.82,,,,,,273829313.4,269752840.62,217456664.05,,0.0,1470857184.89,,0.0,621679795.55,180892009.29,1805481.74,1785805.5,2000000.0,,,,0.0,186483296.53,63015927.54,117000000.0,,,,,,0.0,180015927.54,,0.0,6467368.99,886808.95,886808.95,60000000.0,,100000000.0,,0.0,160886808.95,238000000.0,522517314.36,511061.75,,28008830.59,,,0.0,788526144.95,,0.0,-627639336.0,4253702.69,,0.0,4761531.23,986922901.97,,0.0,991684433.2,550658037.69,-24434315.3,58197589.87,58197589.87,,11690139.39,5398824.13,,,,1629989.52,574212.73,-6728006.82,13450451.7,-11930945.99,8751018.27,11491732.65,-2740714.38,,-60919944.54,-101165948.98,153220572.96,67366.59,,0.0,621679795.55,,,,,991684433.2,986922901.97,,,,,4761531.23,23.1469800353,,,,,,,,,,,,-44.6841133289,66.1807481406,,,23.2963208914,30.171605186,,,,,,13.1723555858,14.9817420682,21.4820931273,,,22.4836432039,,,25.2626931491,168.9933972504,112.5922306957,-98.1382701291,-33.3333333333,,,,,11.6336827852,-8.5654741462,-57.8629075098,,,,,,,-48.0599851915,,,103.6022892356,-99.8211357498,,-86.6666666667,,,,,-82.9893413851,-56.8918674153,38.9225432809,,,-39.1240012685,,,,-19.0616837885,,,-2107.5900207652,-90.1513405886,,,-98.5637514334,50.5839056762,,,0.4824623302,51.3412106111,-437.312177822,9.0355971891,9.0355971891,,-18.195711602,169.6454485862,,,,478.5641656335,191.219180684,-3694.1921398833,-20.4853252662,-240.3109969984,142.7089595797,189.692744051,64.3022552915,,-583.6086558604,-834.5817091377,300.3920598676,182.0930885502,,,25.2626931491,,,,,0.4824623302,50.5839056762,,,,,-98.5637514334,标准无保留意见,,,,23220754.33,0.6508409876
