实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2009-05-05,年度分红,,,1.0,2009-05-11,2009-05-12,2009-05-12,,10派1元（含税）,2008年报
2010-05-07,年度分红,,,2.0,2010-05-13,2010-05-14,2010-05-14,,10派2元（含税）,2009年报
2011-05-20,年度分红,,,1.0,2011-05-26,2011-05-27,2011-05-27,,10派1元(含税),2010年报
2012-03-07,年度分红,,3.0,0.5,2012-03-12,2012-03-13,2012-03-13,2012-03-13,10转增3股派0.5元(含税),2011年报
2013-06-14,年度分红,,,0.5,2013-06-19,2013-06-20,2013-06-20,,10派0.5元(含税),2012年报
2014-04-25,年度分红,,,0.5,2014-04-30,2014-05-05,2014-05-05,,10派0.5元(含税),2013年报
2015-03-13,年度分红,,,0.5,2015-03-19,2015-03-20,2015-03-20,,10派0.5元(含税),2014年报
2016-06-18,年度分红,,,0.8,2016-06-23,2016-06-24,2016-06-24,,10派0.8元(含税),2015年报
2018-06-22,年度分红,,5.0,1.2,2018-06-28,2018-06-29,2018-06-29,2018-06-29,10转增5股派1.2元(含税),2017年报
2019-07-04,年度分红,,,0.43,2019-07-09,2019-07-10,2019-07-10,,10派0.43元(含税),2018年报
2020-06-04,年度分红,,,0.42,2020-06-09,2020-06-10,2020-06-10,,10派0.42元(含税),2019年报
2020-09-09,中期分红,,,0.5,2020-09-15,2020-09-16,2020-09-16,,10派0.5元(含税),2020半年报
2021-06-02,年度分红,,,0.27,2021-06-08,2021-06-09,2021-06-09,,10派0.27元(含税),2020年报
2021-10-15,中期分红,,,1.6,2021-10-21,2021-10-22,2021-10-22,,10派1.6元(含税),2021半年报
2022-05-17,年度分红,,,1.4,2022-05-20,2022-05-23,2022-05-23,,10派1.4元(含税),2021年报
2022-09-16,中期分红,,,2.6,2022-09-21,2022-09-22,2022-09-22,,10派2.6元(含税),2022半年报
2023-05-09,年度分红,,,3.0,2023-05-12,2023-05-15,2023-05-15,,10派3元(含税),2022年报
2023-08-31,中期分红,,,2.7,2023-09-05,2023-09-06,2023-09-06,,10派2.7元(含税),2023半年报
2024-05-21,年度分红,,,5.5,2024-05-24,2024-05-27,2024-05-27,,10派5.5元(含税),2023年报
2024-09-24,中期分红,,,2.7,2024-09-27,2024-09-30,2024-09-30,,10派2.7元(含税),2024半年报
2024-12-31,季度分红,,,0.56,2025-01-06,2025-01-07,2025-01-07,,10派0.56元(含税),2024三季报
2025-07-03,年度分红,,,2.2,2025-07-08,2025-07-09,2025-07-09,,10派2.2元(含税),2024年报
2025-09-04,中期分红,,,2.0,2025-09-09,2025-09-10,2025-09-10,,10派2元(含税),2025半年报
2025-11-19,季度分红,,,2.0,2025-11-24,2025-11-25,2025-11-25,,10派2元(含税),2025三季报
2026-04-24,年度分红,,,2.1,2026-04-29,2026-04-30,2026-04-30,,10派2.1元(含税),2025年报
