报告期,业绩披露日期,送转股份-送转总比例,送转股份-送股比例,送转股份-转股比例,现金分红-现金分红比例,现金分红-现金分红比例描述,现金分红-股息率,每股收益,每股净资产,每股公积金,每股未分配利润,净利润同比增长,总股本,预案公告日,股权登记日,除权除息日,方案进度,最新公告日期
2008-12-31,2009-03-21,0.0,0.0,0.0,1.0,"10派1.00元(含税,扣税后0.90元)",0.007429420505,0.47,3.47,1.796064001031,0.608049964605,6.727610113814,145500000,2009-03-21,2009-05-11,2009-05-12,实施分配,2009-05-05
2009-12-31,2010-02-25,0.0,0.0,0.0,2.0,"10派2.00元(含税,扣税后1.80元)",0.013315579228,0.43,3.79,1.796064001031,0.888545511615,10.040358022367,145500000,2010-02-25,2010-05-13,2010-05-14,实施分配,2010-05-07
2010-12-31,2011-03-11,0.0,0.0,0.0,1.0,"10派1.00元(含税,扣税后0.90元)",0.006402048656,0.18,3.77,1.796064001031,0.846954193952,-58.740404987575,145500000,2011-03-11,2011-05-26,2011-05-27,实施分配,2011-05-20
2011-12-31,2012-02-09,3.0,0.0,3.0,0.5,"10转3.00派0.50元(含税,扣税后0.45元)",0.004708097928,0.18,3.85,1.796064001031,0.912799254227,4.694423970195,145500000,2012-02-11,2012-03-12,2012-03-13,实施分配,2012-03-07
2012-12-31,2013-03-30,,,,0.5,"10派0.50元(含税,扣税后0.45元)",0.008116883117,0.1,3.027681662596,1.150818462331,0.754369909067,-28.92062687153,189150000,2013-03-30,2013-06-19,2013-06-20,实施分配,2013-06-14
2013-12-31,2014-02-28,,,,0.5,"10派0.50元(含税,扣税后0.45元)",0.006640106242,0.1,3.075552026434,1.150818462331,0.79264482305,-2.65032247096,189150000,2014-02-28,2014-04-30,2014-05-05,实施分配,2014-04-25
2014-12-31,2015-02-07,,,,0.5,"10派0.50元(含税,扣税后0.45元)",0.002551020408,0.1,3.122697321279,1.150818462331,0.830075588422,-0.956267540816,189150000,2015-02-07,2015-03-19,2015-03-20,实施分配,2015-03-13
2015-12-31,2016-04-15,,,,0.8,"10派0.80元(含税,扣税后0.72元)",0.005194805195,0.72,3.310927451651,1.887123585609,1.212260226156,24.66319830966,506159420,2016-04-15,2016-06-23,2016-06-24,实施分配,2016-06-18
2017-12-31,2018-04-24,5.0,,5.0,1.2,"10转5.00派1.20元(含税,扣税后1.08元)",0.013590033975,0.61,4.300028541126,1.887123585609,2.202984162124,29.281271424254,506159420,2018-04-24,2018-06-28,2018-06-29,实施分配,2018-06-22
2018-12-31,2019-04-27,,,,0.43,"10派0.43元(含税,扣税后0.387元)",0.007651245552,0.22,3.003773154105,1.256968926786,1.604687451212,-46.479277966031,759239130,2019-04-27,2019-07-09,2019-07-10,实施分配,2019-07-04
