报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,分红总额,方案进度,股利支付率,税前分红率
2008年报,2009-03-21,2009-04-25,2009-05-05,10派1元(含税),2009-05-11,2009-05-12,1455.00万,实施方案,21.28%,0.74%
2009中报,2009-07-29,,,不分配不转增,,,--,董事会预案,--,--
2009年报,2010-02-25,2010-03-19,2010-05-07,10派2元(含税),2010-05-13,2010-05-14,2910.00万,实施方案,46.51%,1.33%
2010中报,2010-07-29,,,不分配不转增,,,--,董事会预案,--,--
2010年报,2011-03-11,2011-04-08,2011-05-20,10派1元(含税),2011-05-26,2011-05-27,1455.00万,实施方案,55.56%,0.64%
2011中报,2011-08-10,,,不分配不转增,,,--,董事会预案,--,--
2011年报,2012-02-11,2012-03-06,2012-03-07,10转3股派0.5元(含税),2012-03-12,2012-03-13,727.50万,实施方案,27.78%,0.47%
2012中报,2012-08-18,,,不分配不转增,,,--,董事会预案,--,--
2012年报,2013-03-30,2013-04-24,2013-06-14,10派0.50元(含税),2013-06-19,2013-06-20,945.75万,实施方案,50%,0.81%
2013中报,2013-07-31,,,不分配不转增,,,--,董事会预案,--,--
2013年报,2014-02-28,2014-03-22,2014-04-25,10派0.50元(含税),2014-04-30,2014-05-05,945.75万,实施方案,50%,0.66%
2014中报,2014-08-16,,,不分配不转增,,,--,董事会预案,--,--
2014年报,2015-02-07,2015-03-04,2015-03-13,10派0.50元(含税),2015-03-19,2015-03-20,945.75万,实施方案,50%,0.26%
2015中报,2015-08-15,,,不分配不转增,,,--,董事会预案,--,--
2015年报,2016-04-15,2016-05-06,2016-06-18,10派0.8元(含税),2016-06-23,2016-06-24,4049.28万,实施方案,11.11%,0.52%
2016中报,2016-08-26,,,不分配不转增,,,--,董事会预案,--,--
2016年报,2017-04-26,2017-05-19,,不分配不转增,,,--,股东大会预案,--,--
2017中报,2017-08-24,,,不分配不转增,,,--,董事会预案,--,--
2017年报,2018-04-24,2018-05-16,2018-06-22,10转5股派1.20元(含税),2018-06-28,2018-06-29,6073.91万,实施方案,19.67%,1.36%
2018中报,2018-08-28,,,不分配不转增,,,--,董事会预案,--,--
2018年报,2019-04-27,2019-05-21,2019-07-04,10派0.43元(含税),2019-07-09,2019-07-10,3264.73万,实施方案,19.55%,0.77%
2019中报,2019-08-27,,,不分配不转增,,,--,董事会预案,--,--
2019年报,2020-04-29,2020-05-20,2020-06-04,10派0.42元(含税),2020-06-09,2020-06-10,3188.80万,实施方案,21%,0.76%
2020中报,2020-08-20,2020-09-08,2020-09-09,10派0.50元(含税),2020-09-15,2020-09-16,3796.20万,实施方案,17.86%,0.77%
2020年报,2021-04-01,2021-04-22,2021-06-02,10派0.27元(含税),2021-06-08,2021-06-09,2049.95万,实施方案,7.11%,0.58%
2021中报,2021-08-24,2021-09-10,2021-10-15,10派1.60元(含税),2021-10-21,2021-10-22,1.21亿,实施方案,40%,1.74%
2021年报,2022-04-22,2022-05-13,2022-05-17,10派1.4元(含税),2022-05-20,2022-05-23,1.25亿,实施方案,25.45%,2.04%
2022中报,2022-08-22,2022-09-10,2022-09-16,10派2.6元(含税),2022-09-21,2022-09-22,2.33亿,实施方案,115.86%,3.24%
2022年报,2023-04-12,2023-05-05,2023-05-09,10派3元(含税),2023-05-12,2023-05-15,2.69亿,实施方案,71.43%,3.01%
2023中报,2023-08-11,2023-08-29,2023-08-31,10派2.7元(含税),2023-09-05,2023-09-06,2.42亿,实施方案,84.35%,2.22%
2023年报,2024-04-11,2024-05-16,2024-05-21,10派5.5元(含税),2024-05-24,2024-05-27,4.93亿,实施方案,90.16%,2.58%
2024中报,2024-08-09,2024-08-30,2024-09-24,10派2.70元(含税),2024-09-27,2024-09-30,2.42亿,实施方案,76.94%,1.62%
2024三季报,2024-10-23,2024-11-09,2024-12-31,10派0.56元(含税),2025-01-06,2025-01-07,5018.86万,实施方案,10.16%,0.35%
2024年报,2025-04-11,2025-05-16,2025-07-03,10派2.2元(含税),2025-07-08,2025-07-09,1.95亿,实施方案,31.88%,1.32%
2025中报,2025-08-08,2025-08-27,2025-09-04,10派2元(含税),2025-09-09,2025-09-10,1.79亿,实施方案,48.57%,1.05%
2025三季报,2025-10-27,2025-11-15,2025-11-19,10派2元(含税),2025-11-24,2025-11-25,1.79亿,实施方案,31.14%,0.82%
2025年报,2026-02-27,2026-03-21,2026-04-24,10派2.1元(含税),2026-04-29,2026-04-30,1.88亿,实施方案,26.58%,--
