SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,EPSJB,EPSKCJB,EPSXS,BPS,MGZBGJ,MGWFPLR,MGJYXJJE,TOTALOPERATEREVE,MLR,PARENTNETPROFIT,KCFJCXSYJLR,TOTALOPERATEREVETZ,PARENTNETPROFITTZ,KCFJCXSYJLRTZ,YYZSRGDHBZC,NETPROFITRPHBZC,KFJLRGDHBZC,ROEJQ,ROEKCJQ,ZZCJLL,XSJLL,XSMLL,YSZKYYSR,XSJXLYYSR,JYXJLYYSR,TAXRATE,LD,SD,XJLLB,ZCFZL,QYCS,CQBL,ZZCZZTS,CHZZTS,YSZKZZTS,TOAZZL,CHZZL,YSZKZZL,TOTALDEPOSITS,GROSSLOANS,LTDRR,NEWCAPITALADER,HXYJBCZL,NONPERLOAN,BLDKBBL,NZBJE,TOTAL_ROI,NET_ROI,EARNED_PREMIUM,COMPENSATE_EXPENSE,SURRENDER_RATE_LIFE,SOLVENCY_AR,JZB,JZC,JZBJZC,ZYGPGMJZC,ZYGDSYLZQJZB,YYFXZB,JJYWFXZB,ZQZYYWFXZB,ZQCXYWFXZB,RZRQYWFXZB,EPSJBTZ,BPSTZ,MGZBGJTZ,MGWFPLRTZ,MGJYXJJETZ,ROEJQTZ,ZZCJLLTZ,ZCFZLTZ,REPORT_YEAR,ROIC,ROICTZ,NBV_LIFE,NBV_RATE,NHJZ_CURRENT_AMT,DJD_TOI_YOY,DJD_DPNP_YOY,DJD_DEDUCTDPNP_YOY,DJD_TOI_QOQ,DJD_DPNP_QOQ,DJD_DEDUCTDPNP_QOQ,XSMLL_TB,PER_TOI,PER_OI,PER_EBIT,STAFF_NUM,AVG_TOI,AVG_NET_PROFIT,PREPAID_ACCOUNTS_RATIO,ACCOUNTS_PAYABLE_TR,FIXED_ASSET_TR,CURRENT_ASSET_TR,PREPAID_ACCOUNTS_TDAYS,PAYABLE_TDAYS,OPERATE_CYCLE,GUARD_SPEED_RATIO,CASH_RATIO,INTEREST_COVERAGE_RATIO,CA_TA,NCA_TA,LIQUIDATION_RATIO,INTEREST_DEBT_RATIO,FC_LIABILITIES,FCFF_FORWARD,FCFF_BACK,SS_OI,SS_TA,NCO_OP,NCO_NETPROFIT,NCO_FIXED,FIRST_ADEQUACY_RATIO,NET_INTEREST_SPREAD,NET_INTEREST_MARGIN,LOAN_ADVANCES,NON_PERFORMING_LOAN,OVERDUE_LOANS,LOAN_PROVISION_RATIO,REVENUE_RATIO,LIABILITY,CAPITAL_PROVISIONS_SUM,RISK_COVERAGE,CAPITAL_LEVERAGE_RATIO,LIQUIDITY_COVERAGE_RATIO,NET_FUNDING_RATIO,NET_CAPITAL_LIABILITIES,NET_ASSETS_LIABILITIES,PROPRIETARY_CAPITAL,IS_BZ
002270.SZ,002270,华明装备,10120706,通用,2026-03-31 00:00:00,一季报,2026一季报,058001001,2026-04-27 00:00:00,2026-04-27 00:00:00,CNY,0.1825,,0.1825,3.482850669097,1.337693481787,2.024105816207,0.10306309256,530271786.47,282351136.33,163026548.07,143098725.96,4.070896752411,-4.852560095809,-9.505393934877,0.854724773534,-1.171478928041,-2.241247954422,5.07,,3.2081088308,30.9212520888,53.2464942571,,0.542003598915,0.174189475863,13.605309597,2.30557577985,1.975410730239,0.070202452633,37.1784197443,1.591809686942,0.591809686941,867.462057802912,165.691141290309,115.407377190052,0.103750935491,0.543179311212,0.779846160543,,,,,,,,,,,,,,,,,,,,,,,,,-4.550209205021,-6.7325731786,-5.199638178842,-2.139220718357,50.299058308252,-3.6121673004,-17.756010976222,48.119088714108,2026,3.990209605324,-12.479783070631,,,,4.070896752411,-4.852560095809,-9.505393934877,-13.276566696539,26.623459636095,37.223005971649,-3.54874130436,0.591672327216,0.591672327216,0.213982622537,,,,5.476449043441,1.086693398564,0.460438941976,0.168141674463,16.43400665031,82.820048524202,281.099039404764,1.609072879183,0.768412208736,,60.5062592581,39.4937407419,256.97175233741,18.7690718439,76.841220873599,137449194.480659,621257656.188824,1.002412165936,0.106022393504,0.554491363507,0.563332543465,0.071773319422,,,,,,,,,1863966795.23,,,,,,,,,0
002270.SZ,002270,华明装备,10120706,通用,2025-12-31 00:00:00,年报,2025年报,058001001,2026-02-27 00:00:00,2026-02-27 00:00:00,CNY,0.79,0.74,0.79,3.506026148426,1.318179853781,2.052144619471,0.673972665812,2426794600.12,1322345727.75,709737360.27,670645920.74,4.503984166499,15.536192044577,15.266149017479,-0.496854843488,1.176791972136,-0.754141694002,22.04,20.84,14.8896486305,29.6533918188,54.489396329,,0.569970890706,0.248900934125,15.1595687933,3.028546432444,2.670469711159,0.558761297094,39.0917281465,1.641813122535,0.641813122535,716.95587449153,142.160227705305,77.406616888918,0.502122951786,2.532353850377,4.650765199009,,,,,,,,,,,,,,,,,,,,,,,,,14.492753623188,-0.7429668834,-6.582540181879,9.321088457223,-32.082160475275,17.6093916756,7.818026444561,36.52905027968,2025,17.730396980249,9.533089956067,,,,-1.943304844743,6.850948164672,-4.659122749994,-11.90141681714,-39.412650891178,-49.141283312674,11.653844149949,2.70779484288,2.70779484288,0.927029822556,1796.0,1351221.93770601,395176.703936526,27.35010452213,4.509417151657,2.585093536999,0.771780042263,13.162655364213,79.832933590479,219.563674695105,1.962787365505,1.197841913644,44.952436650597,62.8578578806,37.1421421194,244.894318019653,20.2585086673,119.555040618083,599009038.093878,532237411.660586,0.933239347458,0.434828670747,0.724029269071,0.839367501858,0.594288510299,,,,,,,,,2036070254.77,,,,,,,,,0
002270.SZ,002270,华明装备,10120706,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-27 00:00:00,2025-10-27 00:00:00,CNY,0.6422,,0.6422,3.542108410322,1.292705481396,2.108432642289,0.401853587315,1815343039.37,1006417461.09,580988273.38,566364043.99,6.870787932459,17.655493012409,19.879132128628,5.006808078427,4.967588526898,4.151089143045,17.9,,13.0981919531,32.5146511171,55.4395196535,,0.518255582783,0.19839302913,13.459723777,3.431956697843,2.992312963947,0.388611143262,29.6547630385,1.421560354608,0.421560354609,670.24180383493,151.108914702979,117.291947000284,0.402839689281,1.786790676981,2.301948317043,,,,,,,,,,,,,,,,,,,,,,,,,16.551724137931,2.6680540471,-8.387871337443,17.218138339582,-34.638178223311,22.3513328776,17.192383864096,0.673886740589,2025,15.650505969808,17.406236579496,,,,20.12745369808,18.514724896644,15.121390334833,13.451997777073,7.789112499106,0.910516067876,11.134467992317,2.025542878586,2.025542878586,0.748179516042,,,,18.117580289431,3.246769587327,2.128370805087,0.58601721258,14.902652323694,83.159581466416,268.40253522574,2.589162530497,1.10438134833,,69.8264075924,30.1735924076,322.481367127776,10.9256402513,110.43813483302,209859381.935898,262964668.686466,0.863939872645,0.344310493551,0.538767354926,0.610165025038,0.42635743339,,,,,,,,,1350785598.02,,,,,,,,,0
002270.SZ,002270,华明装备,10120706,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-08 00:00:00,2025-08-08 00:00:00,CNY,0.4118,0.4038,0.4118,3.530503098221,1.411063688038,2.0712703888,0.354548408413,1121289243.43,622230080.14,368486672.33,361321755.19,0.037490838128,17.16562542078,22.758150996538,-2.431599959887,1.451691144326,5.740715718963,10.87,10.66,8.2965134595,33.3419867149,55.4923793112,,0.638010517306,0.283383883331,12.690511253,2.906464255831,2.488794650087,0.297344053195,29.9181112721,1.426902182792,0.426902182791,723.383097965408,170.713661888593,111.526528618029,0.248830806949,1.054397158427,1.61396577326,,,,,,,,,,,,,,,,,,,,,,,,,17.355371900826,0.0081085885,0.0,10.842556413124,-35.276795523497,23.945267959,15.141654713887,13.586339805078,2025,9.981448684809,18.518366219882,,,,-8.644055095012,5.097800002184,20.970765850334,20.063710836696,15.06045442341,28.497281714568,16.198061132232,1.251124108561,1.251124108561,0.467775163557,,,,13.583145003546,1.906266698619,1.30191249912,0.366381227612,13.251717474341,94.425402348161,282.237365389714,2.205254152217,1.187617309496,65.051640701429,68.1918041477,31.8081958523,316.261906666804,9.3419484462,118.76173094961,498990129.183662,349608948.502202,0.980744488493,0.241438864775,0.769607433264,0.849931006673,0.368886202348,,,,,,,,,1362700843.76,,,,,,,,,0
002270.SZ,002270,华明装备,10120706,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-19 00:00:00,2026-04-27 00:00:00,CNY,0.1912,,0.1912,3.734262633583,1.411063688038,2.068352440135,0.068572014835,509529371.82,281288737.31,171340971.69,158129563.94,12.921420603482,35.001767966713,25.133933900232,2.51074717279,7.231562326264,5.45892264891,5.26,,3.9007213401,34.2966208004,55.2055981199,,0.521938073737,0.120613230461,14.3930486106,3.619750097994,3.113028679053,0.072648001815,25.100356792,1.335119844594,0.335119844595,791.314119333779,183.019851490419,115.083067077317,0.113734859269,0.491749934595,0.782043807883,,,,,,,,,,,,,,,,,,,,,,,,,35.028248587571,-3.7676687493,0.0,-6.382129117381,-59.943622201318,41.3978494624,38.824877531266,0.461029535092,2025,4.55918614615,38.224334093021,,,,12.921420603482,35.001767966713,25.133933900232,-18.288267636574,42.198641767258,44.571730151572,5.372526804611,0.568528133878,0.568528133878,0.223728168845,,,,7.289158671854,0.854619387313,0.593378966082,0.167690895979,12.347103973401,105.310037820424,298.127952138491,2.696626342706,1.361209714806,,68.0125170682,31.9874829318,376.529059122389,9.7963176967,136.120971480564,-30092259.2541779,-43844921.7235204,0.887638260822,0.10045579549,0.325213129978,0.351676718132,0.07177362078,,,,,,,,,1130082463.26,,,,,,,,,0
002270.SZ,002270,华明装备,10120706,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-11 00:00:00,2026-02-27 00:00:00,CNY,0.69,0.65,0.69,3.532269742846,1.411063688038,1.877171777588,0.992335254667,2322202947.07,1133283298.06,614298729.87,581823828.12,18.411114745006,13.254570274607,15.791950646215,5.307731737366,6.476566500915,6.080086517321,18.74,17.75,13.8099806883,26.6893577274,48.8020781943,,0.676876366169,0.382979486109,14.7054648086,3.038432569155,2.651873094747,0.896295230776,28.6325350293,1.401198712061,0.40119871206,695.740928151433,128.783004590008,72.298358388978,0.51743398359,2.795399914345,4.979366171264,,,,,,,,,,,,,,,,,,,,,,,,,13.114754098361,-5.501340417,0.0,-9.216386842725,43.056939870989,16.7601246106,12.618437526154,11.962805621048,2024,16.187251713031,14.883194455191,,,,23.107213266866,44.948973043478,43.86132664766,7.927953878203,-32.798977124818,-38.589549996091,-5.997295426805,2.591092449228,2.591092449228,0.790831977262,1654.0,1403992.10826481,371401.892303507,17.845227486698,5.218830125134,2.690410348578,0.774269844761,20.173460958587,68.980976841195,201.080867856832,1.968993113965,1.170391912852,51.54270724738,67.6338213004,32.3661786996,329.785958408388,11.4963009843,117.039191285152,740979098.721791,817445653.417257,1.059973158869,0.552185202879,1.277185192519,1.434952051003,1.032771789485,,,,,,,,,1276350862.2,,,,,,,,,0
002270.SZ,002270,华明装备,10120706,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-23 00:00:00,2025-10-27 00:00:00,CNY,0.551,,0.551,3.450058972283,1.411063688038,1.79872558305,0.614813933259,1698633531.66,847364717.39,493804631.22,472445899.41,16.77583598031,7.517913380112,10.787492724456,1.502702496317,1.207206783645,1.457782959878,14.63,,11.1766580056,29.3653240562,49.8850812489,,0.614477841957,0.324385379218,15.9096370266,2.783494647368,2.418384177241,0.532010341871,29.4562612,1.417560249869,0.417560249868,709.392511719226,138.561553033114,109.162245663115,0.380607344368,1.948592478142,2.47338260916,,,,,,,,,,,,,,,,,,,,,,,,,7.512195121951,-5.8943264534,0.0,-8.924771096993,2.490266902335,8.2901554404,7.169083896973,11.94071800549,2024,13.330216882654,9.955061226555,,,,5.988867509393,3.991190562492,4.629475307762,-13.720684662704,-4.413577319414,6.037829942624,-8.415775378732,1.895319495414,1.895319495414,0.651569056993,,,,8.792851164848,3.794819042698,2.005316817458,0.579102433175,30.706763362424,71.149637693406,247.722496294163,2.050712428189,0.906652046332,,65.4053266925,34.5946733075,320.682053750679,11.1848715095,90.66520463318,396156090.965163,824523146.007421,0.986937302675,0.380339206585,0.968784928388,1.10465451904,0.664683864395,,,,,,,,,1298361960.65,,,,,,,,,0
002270.SZ,002270,华明装备,10120706,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-09 00:00:00,2025-08-08 00:00:00,CNY,0.3509,0.3284,0.3509,3.530216847462,1.411063688038,1.868659886443,0.547791802462,1120869020.24,535290246.87,314500666.05,294336263.83,23.241169997558,9.63775410942,14.87888107771,8.630568153182,3.391033552097,2.578346409799,8.77,8.21,7.2054839581,28.402905585,47.7567170833,,0.737242719763,0.43800384826,16.7940348521,4.269331684215,3.705228959094,0.748567572819,26.3395328377,1.357580312105,0.357580312105,709.53221671753,129.295798080584,100.019901135875,0.253688269199,1.39215661044,1.79964185083,,,,,,,,,,,,,,,,,,,,,,,,,9.621993127148,-5.8370766225,0.0,-8.961396306991,5.419405669135,5.0299401198,9.432896035575,14.049149936008,2024,8.421858150062,12.951245481114,,,,34.726229053842,11.070532719433,8.801708332929,48.405939041032,47.799142987683,32.919472265917,-12.108541991848,1.250655227435,1.250655227435,0.4158962494,,,,7.413459626528,2.707876378489,1.312905908415,0.387606043266,24.280161903882,66.472753863469,229.313995585668,3.138311124753,1.653478171948,68.695380341246,64.838815747,35.161184253,358.304870363298,9.3022846686,165.34781719477,476314956.428288,417941965.148961,1.118524220664,0.29031779335,1.368517614033,1.542109299167,0.582851000831,,,,,,,,,1137456174.12,,,,,,,,,0
002270.SZ,002270,华明装备,10120706,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-19 00:00:00,2025-04-19 00:00:00,CNY,0.1416,,0.1416,3.880465728148,1.411063688038,2.20935641949,0.171188755957,451224726.98,236400622.58,126917576.17,126368251.21,9.400654103033,7.586544190498,24.091807111414,1.977075904042,1.649999918924,4.882599590814,3.72,,2.8098143571,28.5613911925,52.3908838423,,0.754398401985,0.340016199061,15.2174170332,4.064000773289,3.529680143559,0.198878614862,24.9851677891,1.333069701721,0.33306970172,914.838092694307,182.684015505288,109.338163275932,0.098378063527,0.492653939925,0.823134368673,,,,,,,,,,,,,,,,,,,,,,,,,7.598784194529,0.8844392952,0.0,2.08841815527,762.816667733357,6.8965517241,3.806673238495,12.402249797373,2024,3.298396173196,4.576219686123,,,,9.400654103033,7.586544190498,24.091807111414,-10.917666385086,52.676127155783,66.208159905969,1.835510989385,0.503472353464,0.503472353464,0.165568377037,,,,2.161595521963,1.101442418974,0.525275029756,0.147491035589,41.635911568823,81.711034957084,292.009665992893,2.800100376591,1.61021726826,,67.34824388,32.65175612,379.122393601574,7.7302479745,154.540375074027,101078857.682249,-7687300.20229684,1.210618597425,0.117346006285,1.009462104227,1.190474920389,0.179883740922,,,,,,,,,1163092322.06,,,,,,,,,0
002270.SZ,002270,华明装备,10120706,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-11 00:00:00,2025-04-11 00:00:00,CNY,0.61,0.56,0.61,3.737904599317,1.411063688038,2.067742968476,0.69366453355,1961135955.92,1018135709.02,542405245.44,502473466.31,14.574626841011,50.90084564148,46.481375190624,-0.270199808101,2.024130856027,2.584946893317,16.05,14.87,12.2626285639,28.0785243893,51.9156107432,,0.653195174314,0.316999845765,14.7295104984,4.028764076011,3.535251908778,0.839477433404,25.5732561099,1.34360304876,0.343603048759,824.315009417926,144.231437521992,87.377394395494,0.436726246504,2.495988434873,4.120058769097,,,,,,,,,,,,,,,,,,,,,,,,,45.238095238095,0.4817862868,0.0,1.732357655919,25.26269314926,45.7765667575,44.246121374147,1.516600463937,2023,14.090182458623,41.395305880907,,,,-1.038088924456,14.870180153582,19.980489067838,-7.07968038104,-51.787762071889,-55.336550051014,5.29604349233,2.188217258834,2.188217258834,0.708793346381,1631.0,1202413.21638259,332559.929760883,12.733507286991,5.03722832004,2.392607755044,0.668069482066,28.271865078978,71.467874221183,232.572938475723,2.468028682933,1.500021847209,38.143186210162,66.0342261722,33.9657738278,369.499815067798,8.4171061284,142.405996200372,611611402.10229,459884743.241065,1.01513763153,0.440628069436,0.999443240482,1.128976157613,0.718583302407,,,,,,,,,1155437605.16,,,,,,,,,0
