报告数据抽检清单
报告：reports/华明装备/华明装备-investment-team-20260710.md
总提取数据点：148
抽样比例：15%
抽检数量：23
随机种子：42

ID 7    行27   市场份额口径提示中的全球收入份额      17.90 %
ID 9    行63   电力设备占比                          86.63 %
ID 8    行63   电力设备收入                          21.02 亿元
ID 23   行80   总市值核验表达式中的股价              18.66
ID 24   行81   TTM EPS                                0.78
ID 27   行83   PB                                     5.36 x
ID 29   行84   P/FCF                                 34.00 x
ID 36   行93   2025营收                              24.27 亿元
ID 51   行148  品牌与定价权评分                        4.00
ID 143  行154  研发强度所属年份                     2025.00
ID 56   行172  2025货币资金                          12.92 亿元
ID 57   行172  2026Q1货币资金                        10.11 亿元
ID 58   行173  2025应收账款                           5.37 亿元
ID 60   行173  2026Q1应收账款环比                    53.29 %
ID 63   行174  2026Q1存货环比                        12.20 %
ID 71   行203  核心收入增速重审阈值                  10.00 %
ID 76   行208  重大质量事故概率下限                   5.00 %
ID 147  行299  腾讯快照时间分钟字段                   5.00
ID 109  行318  中性情景三年后PE                      18.00 x
ID 108  行318  中性情景EPS年增速                      8.00 %
ID 115  行319  悲观情景三年后EPS                      0.78
ID 130  行421  大仓持有者复核价格下限                20.00
ID 140  行456  实际投资确定性评分                     3.20

