报告数据抽检清单
文件：reports/华明装备/华明装备-investment-team-20260713.md
总提取数据点：141 | 抽样比例：15% | 抽检数量：22 | 随机种子：42

ID 4   行8    参考价                                      17.81
ID 7   行27   全球收入市占率                              17.90%
ID 8   行29   回购股份转员工持股截止年份                   2026
ID 9   行63   电力设备收入                                21.02亿元
ID 23  行80   总市值                                     159.62亿元
ID 24  行80   市值核验股价                                17.81元
ID 26  行81   TTM EPS 计算基准年度                        2025
ID 27  行82   PE(TTM)                                    22.76x
ID 29  行83   BVPS 口径年度                               2026
ID 36  行87   PS 收入口径年度                             2025
ID 56  行172  货币资金                                   12.92亿元
ID 58  行173  应收账款                                    5.37亿元
ID 60  行173  应收账款环比                                53.29%
ID 63  行174  存货环比                                    12.23%
ID 65  行175  资产负债率                                 37.18%
ID 71  行191  核心增速预警阈值                            10.00%
ID 72  行192  H股融资/并购稀释主观概率下限                20.00%
ID 78  行239  全球分接开关市场规模                       101.00亿元
ID 84  行241  全球CR3                                    82.50%
ID 90  行285  华明装备PE(TTM)                             22.76x
ID 92  行286  国电南瑞PE(TTM)                             20.95x
ID 109 行300  中性情景目标价                              17.70元
