日期,摊薄每股收益(元),加权每股收益(元),每股收益_调整后(元),扣除非经常性损益后的每股收益(元),每股净资产_调整前(元),每股净资产_调整后(元),每股经营性现金流(元),每股资本公积金(元),每股未分配利润(元),调整后的每股净资产(元),总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重,非主营比重,主营利润比重,股息发放率(%),投资收益率(%),主营业务利润(元),净资产收益率(%),加权净资产收益率(%),扣除非经常性损益后的净利润(元),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),应收账款周转率(次),应收账款周转天数(天),存货周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),股东权益周转率(次),流动比率,速动比率,现金比率(%),利息支付倍数,长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),资产负债率(%),总资产(元),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%),短期股票投资(元),短期债券投资(元),短期其它经营性投资(元),长期股票投资(元),长期债券投资(元),长期其它经营性投资(元),1年以内应收帐款(元),1-2年以内应收帐款(元),2-3年以内应收帐款(元),3年以内应收帐款(元),1年以内预付货款(元),1-2年以内预付货款(元),2-3年以内预付货款(元),3年以内预付货款(元),1年以内其它应收款(元),1-2年以内其它应收款(元),2-3年以内其它应收款(元),3年以内其它应收款(元)
2021-03-31,0.0566,0.06,0.06,,3.5022,29.3346,0.0525,1.2405,2.091,,1.0106,50.2183,1.0331,20.2612,15.9821,48.3055,13.7613,5.6561,1.615,1.0106,,29.7134,2.6499,311.7866,,,156709920.15,1.61,1.68,40328262.85,40.3556,-75.5156,2.6026,1.0356,0.4379,205.5264,230.7692,0.39,,0.0751,1198.4021,0.1194,753.7688,0.1183,4.6437,3.9694,96.4267,370.1006,0.1151,62.5751,5.7543,,59.8079,53.0672,8.4215,,57.9472,31.1312,488.6353,,37.4249,4249363602.99,0.1277,0.0094,0.9282,0.0251,6.8338,,,,20418738.52,,,,,,,,,,,,,,
2021-06-30,0.3982,0.4,0.4,0.1045,3.8131,31.9309,0.2392,1.2405,2.403,,7.2409,51.0101,7.3393,75.7018,55.5972,47.5603,44.2054,82.2836,21.5794,14.9612,,25.303,2.6071,90.6991,,,348900219.49,10.41,10.9,79351491.67,21.0382,42.636,11.5146,0.7501,0.9913,181.5797,222.1948,0.8101,1.0171,0.166,1084.3373,0.2555,704.501,0.2482,3.1195,2.6535,111.1073,1113.3978,0.1283,69.3311,5.9194,427.6353,44.2354,42.6618,7.8663,67.7421,46.3042,39.9315,343.8115,16.2127,30.6689,4175663139.57,0.2656,0.0435,0.6008,0.1418,19.9858,,,,20337300.16,,,,99655781.85,302379530.29,150029472.54,,9944509.09,1669966.01,,,1372738.58,8365401.21,17081600.21
2021-09-30,0.5108,0.5062,0.5062,,3.8937,32.6017,0.3593,1.2084,2.5159,,8.8013,48.6968,9.1574,59.051,43.4696,49.7663,35.5126,51.08,13.1186,8.8013,,23.0512,2.9556,110.909,,,531799699.25,13.06,13.77,160465929.34,21.9277,47.0106,13.8363,8.4598,1.5224,177.3516,203.5125,1.3267,,0.2579,1046.9174,0.4011,673.1488,0.392,2.7199,2.3111,88.9029,1166.6521,0.1553,67.0908,6.5198,,49.0517,45.666,8.8571,,50.1038,46.097,306.4181,,32.9092,4406364514.24,0.2498,0.0619,0.7035,0.1881,25.3672,,,,20562717.87,,,,,,,,,,,,,,
2021-12-31,0.5545,0.55,0.55,0.24,3.7535,31.5525,0.371,1.2106,2.398,,10.2759,46.9365,10.3179,43.1429,33.4252,51.5728,27.4744,100.4173,26.7527,18.6084,,25.2136,4.9183,138.9846,,,719246099.12,14.64,15.07,180008172.3,11.9963,43.4756,8.9406,0.8211,2.6688,134.8921,174.537,2.0626,2.0646,0.3755,958.7217,0.6007,599.3008,0.5607,3.064,2.6053,91.6333,875.6564,0.1553,69.5574,6.5949,349.0512,43.7663,48.541,8.6602,70.5147,53.1433,39.0577,347.6662,19.9276,30.4426,4097102646.55,0.1838,0.0688,0.6691,0.2259,33.4213,,,,20728187.59,,,,77369916.94,37954907.9,389606904.56,,11120287.65,77616.21,,,98996652.79,860949.35,49300625.04
2022-03-31,0.0739,0.09,0.09,,3.7988,14.9723,0.0936,1.4224,2.1052,,1.5137,46.1864,1.5639,31.7895,23.9699,52.2202,20.6739,7.3948,1.9466,1.5137,,22.2455,-0.1469,191.0207,,-2.5334,148059722.68,1.94,2.3,65049983.51,2.7279,54.3307,28.0389,3.032,0.5828,154.4269,210.084,0.4284,,0.0756,1190.4762,0.1171,768.5739,0.1025,4.6537,4.0181,190.577,1384.9915,0.1014,77.7627,5.2577,,28.5963,40.9214,6.3331,,43.6882,25.0065,487.9733,,22.2373,4378206165.27,0.2617,0.0192,1.266,0.0862,13.507,,,,19944843.44,,,,,,,,,,,,,,
2022-06-30,0.2087,0.2244,0.2244,0.2244,3.8232,15.0622,0.2751,1.4224,2.0987,,4.4547,45.6279,4.5088,41.4482,28.4523,52.7205,24.9326,61.8102,16.167,13.1964,,15.9628,3.3149,156.5141,,,342216715.58,5.43,5.85,178693083.9,9.6543,-38.1532,18.3571,0.5303,1.2075,149.0683,177.4798,1.0142,0.9319,0.1808,995.5752,0.282,638.2979,0.239,5.014,4.2939,178.6797,6199.0921,0.0503,81.6254,2.6238,431.9569,22.5109,41.2974,3.1143,68.3711,42.6249,19.1471,606.2879,18.8967,18.3746,4197807054.95,0.3287,0.0587,1.3185,0.3197,45.1641,,,,19981158.5,,,,79426133.71,35274057.49,367312531.03,,768944.67,5107481.69,,,4571226.38,3422118.38,32370492.38
2022-09-30,0.3226,0.3375,0.3375,,3.702,14.5893,0.3779,1.4224,1.9518,,6.5513,47.372,6.7944,40.9418,27.5418,51.0577,24.0952,32.2576,8.7135,6.5513,,15.7461,1.7499,169.2244,,,568382468.18,8.66,8.73,279660180.72,9.8681,-25.4548,12.2312,0.1485,1.7601,153.4004,167.7852,1.6092,,0.282,957.4468,0.4355,619.977,0.3891,4.6778,4.0791,168.3349,19594.3696,0.1652,75.1852,8.6195,,33.0049,40.1557,10.2852,,44.7593,30.3291,417.0214,,24.8148,4412908416.96,0.2823,0.0768,1.1716,0.3093,54.1134,,,,58374891.8,,,,,,,,,,,,,,
2022-12-31,0.406,0.42,0.42,0.4,3.7252,14.671,0.5538,1.4111,2.0325,,8.1762,47.7253,8.5139,33.9222,23.7721,50.6956,21.2572,83.766,22.486,16.8699,,19.878,3.7117,194.9901,,,816898905.9,10.78,11.01,343028911.12,11.6999,-13.5769,17.1528,8.6168,3.373,106.7299,143.6839,2.5055,2.1513,0.4005,898.8764,0.6258,575.2637,0.5532,3.7902,3.3885,132.8491,4603.899,0.1225,75.0237,5.8534,430.8684,33.2912,43.4162,7.2374,66.6984,46.8036,30.6207,414.414,17.4122,24.9763,4450143073.58,0.29,0.1115,1.364,0.4465,65.1451,,,,71147528.5,,,,36517992.69,20641389.88,,,10611225.16,39732.91,,,4275166.31,3094809.36,
2023-03-31,0.1345,0.13,0.13,,3.8545,15.1698,-0.0258,1.4111,2.1642,,2.7132,49.8462,2.7107,49.8665,29.3999,48.5534,29.2194,13.447,3.4887,2.7132,,18.0023,13.8572,146.6622,,,205591310.57,3.42,3.48,101834483.8,28.662,81.8439,1.4645,1.4528,0.6521,138.0156,142.6534,0.6309,,0.0928,969.8276,0.1437,626.3048,0.1214,4.4714,3.9564,143.7685,3651.9014,0.113,77.7716,5.6363,,28.5816,42.8454,6.7576,,45.9505,25.727,476.1312,,22.2284,4441813069.33,-0.0561,-0.0052,-0.1921,-0.0234,-3.626,,,,101147528.5,,,,,,,,,,,,,,
2023-06-30,0.3248,0.3201,0.3201,0.2859,3.7577,14.7856,0.5196,1.4111,2.0526,,6.6475,52.7789,6.5939,60.98,36.0275,45.664,32.0063,78.2222,20.8168,16.0091,,15.1029,6.7688,138.8728,,,480019658.18,8.54,8.35,256214424.33,21.263,55.6669,-1.7153,4.3173,1.443,124.7401,137.2893,1.3111,1.0922,0.206,873.7864,0.3198,562.8518,0.2712,4.221,3.7275,179.9288,-4007.9678,0.1124,76.9051,5.4866,378.148,30.0304,43.7477,6.6591,68.4781,46.8687,26.8359,461.6486,20.3373,23.0949,4379039096.83,0.5121,0.1063,1.5998,0.4605,70.19,,,,105259925.25,,,,38483149.95,21849537.85,210524751.64,,6642816.46,49675.26,,,3461031.0,3168937.01,19260591.62
