date,value
2016-07-08,5.24
2016-07-13,5.75
2016-07-18,5.69
2016-07-23,5.29
2016-07-28,5.15
2016-08-02,4.99
2016-08-07,4.94
2016-08-12,5.0
2016-08-17,5.11
2016-08-22,5.05
2016-08-27,5.02
2016-09-01,5.21
2016-09-06,5.15
2016-09-11,4.89
2016-09-16,4.69
2016-09-21,4.72
2016-09-26,4.53
2016-10-01,4.62
2016-10-06,4.62
2016-10-11,4.74
2016-10-16,4.6
2016-10-21,4.72
2016-10-26,4.66
2016-10-31,4.61
2016-11-05,4.74
2016-11-10,4.59
2016-11-15,4.68
2016-11-20,4.67
2016-11-25,4.8
2016-11-30,4.62
2016-12-05,4.55
2016-12-10,4.44
2016-12-15,4.23
2016-12-20,4.1
2016-12-25,4.06
2016-12-30,4.08
2017-01-04,4.2
2017-01-09,4.19
2017-01-14,3.93
2017-01-19,3.8
2017-01-24,3.92
2017-01-29,3.98
2017-02-03,4.06
2017-02-08,4.01
2017-02-13,4.08
2017-02-18,3.96
2017-02-23,4.06
2017-02-28,4.07
2017-03-05,4.11
2017-03-10,4.14
2017-03-15,4.12
2017-03-20,4.17
2017-03-25,4.17
2017-03-30,4.17
2017-04-04,4.17
2017-04-09,4.17
2017-04-14,4.17
2017-04-19,4.17
2017-04-24,3.21
2017-04-29,3.09
2017-05-04,3.08
2017-05-09,2.99
2017-05-14,2.92
2017-05-19,3.03
2017-05-24,2.82
2017-05-29,2.82
2017-06-03,2.72
2017-06-08,2.87
2017-06-13,2.81
2017-06-18,2.86
2017-06-23,2.82
2017-06-28,2.81
2017-07-03,2.87
2017-07-08,2.89
2017-07-13,2.82
2017-07-18,2.61
2017-07-23,2.62
2017-07-28,2.68
2017-08-02,2.65
2017-08-07,2.68
2017-08-12,2.67
2017-08-17,2.8
2017-08-22,2.79
2017-08-27,2.66
2017-09-01,2.79
2017-09-06,2.76
2017-09-11,2.8
2017-09-16,2.76
2017-09-21,2.81
2017-09-26,2.92
2017-10-01,2.93
2017-10-06,2.93
2017-10-11,2.98
2017-10-16,2.94
2017-10-21,2.86
2017-10-26,2.76
2017-10-31,2.61
2017-11-05,2.56
2017-11-10,2.6
2017-11-15,2.61
2017-11-20,2.49
2017-11-25,2.46
2017-11-30,2.47
2017-12-05,2.45
2017-12-10,2.48
2017-12-15,2.55
2017-12-20,2.44
2017-12-25,2.34
2017-12-30,2.35
2018-01-04,2.4
2018-01-09,2.4
2018-01-14,2.39
2018-01-19,2.33
2018-01-24,2.37
2018-01-29,2.31
2018-02-03,2.11
2018-02-08,2.04
2018-02-13,2.01
2018-02-18,2.04
2018-02-23,2.09
2018-02-28,2.26
2018-03-05,2.37
2018-03-10,2.38
2018-03-15,2.37
2018-03-20,2.35
2018-03-25,2.17
2018-03-30,2.37
2018-04-04,2.37
2018-04-09,2.38
2018-04-14,2.32
2018-04-19,2.29
2018-04-24,2.18
2018-04-29,2.18
2018-05-04,2.03
2018-05-09,2.03
2018-05-14,2.03
2018-05-19,2.03
2018-05-24,2.03
2018-05-29,2.03
2018-06-03,2.03
2018-06-08,2.03
2018-06-13,2.03
2018-06-18,2.03
2018-06-23,2.03
2018-06-28,2.03
2018-07-03,1.8
2018-07-08,1.63
2018-07-13,1.53
2018-07-18,1.54
2018-07-23,1.59
2018-07-28,1.61
2018-08-02,1.46
2018-08-07,1.48
2018-08-12,1.65
2018-08-17,1.59
2018-08-22,1.66
2018-08-27,1.59
2018-09-01,1.51
2018-09-06,1.5
2018-09-11,1.45
2018-09-16,1.45
2018-09-21,1.56
2018-09-26,1.52
2018-10-01,1.5
2018-10-06,1.5
2018-10-11,1.32
2018-10-16,1.25
2018-10-21,1.25
2018-10-26,1.28
2018-10-31,1.29
2018-11-05,1.39
2018-11-10,1.37
2018-11-15,1.51
2018-11-20,1.51
2018-11-25,1.49
2018-11-30,1.49
2018-12-05,1.54
2018-12-10,1.5
2018-12-15,1.52
2018-12-20,1.47
2018-12-25,1.41
2018-12-30,1.61
2019-01-04,1.66
