date,value
2016-07-08,89.34
2016-07-13,98.09
2016-07-18,97.13
2016-07-23,90.2
2016-07-28,87.87
2016-08-02,85.14
2016-08-07,84.28
2016-08-12,85.24
2016-08-17,87.26
2016-08-22,86.2
2016-08-27,86.71
2016-09-01,90.1
2016-09-06,88.98
2016-09-11,84.53
2016-09-16,80.99
2016-09-21,81.54
2016-09-26,78.3
2016-10-01,79.87
2016-10-06,79.87
2016-10-11,82.0
2016-10-16,81.8
2016-10-21,84.07
2016-10-26,82.96
2016-10-31,82.0
2016-11-05,84.33
2016-11-10,81.74
2016-11-15,83.31
2016-11-20,83.01
2016-11-25,85.34
2016-11-30,82.25
2016-12-05,80.88
2016-12-10,79.01
2016-12-15,75.22
2016-12-20,73.04
2016-12-25,72.28
2016-12-30,72.58
2017-01-04,74.66
2017-01-09,74.56
2017-01-14,69.9
2017-01-19,67.57
2017-01-24,69.8
2017-01-29,70.86
2017-02-03,72.18
2017-02-08,71.27
2017-02-13,72.58
2017-02-18,70.41
2017-02-23,72.23
2017-02-28,72.43
2017-03-05,73.14
2017-03-10,73.75
2017-03-15,73.39
2017-03-20,74.2
2017-03-25,74.2
2017-03-30,74.2
2017-04-04,74.2
2017-04-09,74.2
2017-04-14,74.2
2017-04-19,74.2
2017-04-24,57.09
2017-04-29,58.87
2017-05-04,58.61
2017-05-09,56.94
2017-05-14,55.63
2017-05-19,57.65
2017-05-24,53.6
2017-05-29,53.6
2017-06-03,51.88
2017-06-08,54.56
2017-06-13,53.5
2017-06-18,54.51
2017-06-23,53.65
2017-06-28,53.55
2017-07-03,54.56
2017-07-08,55.07
2017-07-13,53.6
2017-07-18,49.6
2017-07-23,49.86
2017-07-28,51.12
2017-08-02,50.41
2017-08-07,51.07
2017-08-12,50.82
2017-08-17,53.4
2017-08-22,53.1
2017-08-27,52.34
2017-09-01,54.87
2017-09-06,54.41
2017-09-11,55.17
2017-09-16,54.36
2017-09-21,55.32
2017-09-26,57.45
2017-10-01,57.65
2017-10-06,57.65
2017-10-11,58.61
2017-10-16,57.96
2017-10-21,56.44
2017-10-26,55.68
