特变电工投资研究报告数据抽检清单
报告：reports/特变电工/特变电工-investment-team-20260713.md
总提取数据点：113
抽样比例：15%
抽检数量：17
随机种子：42

ID 4   TTM归母EPS代理                         1.20 元
ID 5   TTM扣非EPS代理                         0.89 元
ID 12  每股股息                               0.36 元
ID 14  电气设备毛利率                        19.81 %
ID 15  电线电缆收入                         155.69 亿元
ID 18  输变电成套工程毛利率                  15.90 %
ID 29  黄金毛利率                            57.23 %
ID 28  黄金收入                              24.69 亿元
ID 30  2025营业收入                         972.27 亿元
ID 32  2025归母净利润                        59.54 亿元
ID 36  2026Q1归母净利润                      18.15 亿元
ID 55  OCF长期覆盖不了Capex主观概率          45.00 %
ID 70  中国西电2025收入                     237.56 亿元
ID 76  乐观EPS增速假设                        8.00 %
ID 82  中性第3年目标价                       14.50 元
ID 87  悲观较现价下跌幅度                    57.20 %
ID 95  扣非中性年化回报绝对幅度               2.16 %

说明：report_audit.py对负百分比提取绝对值，因此ID 87和ID 95按幅度核验；正文保留负号方向。
