报告日,流动资产,货币资金,结算备付金,拆出资金,交易性金融资产,买入返售金融资产,衍生金融资产,应收票据及应收账款,应收票据,应收账款,应收款项融资,预付款项,应收股利,应收利息,应收保费,应收分保账款,应收分保合同准备金,应收出口退税,应收补贴款,应收保证金,内部应收款,其他应收款,其他应收款(合计),存货,划分为持有待售的资产,待摊费用,待处理流动资产损益,一年内到期的非流动资产,其他流动资产,流动资产合计,非流动资产,发放贷款及垫款,债权投资,其他债权投资,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,可供出售金融资产,长期股权投资,投资性房地产,长期应收款,其他权益工具投资,其他非流动金融资产,其他长期投资,固定资产原值,累计折旧,固定资产净值,固定资产减值准备,在建工程合计,在建工程,工程物资,固定资产净额,固定资产清理,固定资产及清理合计,生产性生物资产,公益性生物资产,油气资产,合同资产,使用权资产,无形资产,开发支出,商誉,长期待摊费用,股权分置流通权,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,流动负债,短期借款,向中央银行借款,吸收存款及同业存放,拆入资金,交易性金融负债,衍生金融负债,应付票据及应付账款,应付票据,应付账款,预收款项,合同负债,卖出回购金融资产款,应付手续费及佣金,应付职工薪酬,应交税费,应付利息,应付股利,应付保证金,内部应付款,其他应付款,其他应付款合计,其他应交款,担保责任赔偿准备金,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,国际票证结算,国内票证结算,预提费用,预计流动负债,应付短期债券,划分为持有待售的负债,一年内的递延收益,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,应付债券,应付债券：优先股,应付债券：永续债,租赁负债,长期应付职工薪酬,长期应付款,长期应付款合计,专项应付款,预计非流动负债,长期递延收益,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,所有者权益,实收资本(或股本),其他权益工具,优先股,永续债,资本公积,减:库存股,其他综合收益,专项储备,盈余公积,一般风险准备,未确定的投资损失,未分配利润,拟分配现金股利,外币报表折算差额,归属于母公司股东权益合计,少数股东权益,所有者权益(或股东权益)合计,负债和所有者权益(或股东权益)总计,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,10186968559.45,,,788658.49,,,28700721678.41,3964919577.76,24735802100.65,725636700.85,503914309.13,,,,,,,,,,,309574105.6,19537290534.11,,,,,324485180.56,61708477721.64,,,,,,,,899348556.37,332678958.3,,1534751910.87,,,,,,,2248716461.99,,,,,11156703940.7,,,,1419097995.04,73045340.84,1703497115.01,,24071114.45,24866221.23,,546377870.23,330271475.66,18874328965.65,80582806687.29,,8791152496.57,,,,,,23315896072.76,2966192236.68,20349703836.08,60859884.13,998327437.85,,,625540102.42,316199207.78,,835000.0,,,,601341974.85,,,,,,,,,,,,,,1823300432.27,830559590.4,37363177199.03,,2841600000.0,,,,51400119.77,627065664.48,,-2152255853.12,,41702622.86,802827888.67,295430594.96,859166071.89,3366937109.51,40730114308.54,,4838896630.0,,,,20405297972.54,294440105.27,217040243.31,339736671.27,779632418.03,,,11639219438.62,,,37925383268.5,1927309110.25,39852692378.75,80582806687.29,定期报告,未审计,20260428,CNY,合并期末,2026-04-27T15:48:04
20251231,,12911260222.31,,,781940.32,,,28465598105.22,3567616860.12,24897981245.1,1149340983.6,462716485.87,,,,,,,,,,299926139.86,299926139.86,18970363135.74,,,,,377719203.45,64056609989.23,,,,,,,,886388974.53,330477743.09,,1720271618.63,,,24022309200.08,12619755163.32,11402554036.76,74515871.0,2211999711.63,2211999711.63,,11328038165.76,3465727.3,11331503893.06,,,,1418903772.86,75294583.8,1734967891.28,,24071114.45,25878338.96,,537368111.91,324402767.29,19202624748.63,83259234737.86,,9818488776.78,,,,,,23729162479.37,3736770794.72,19992391684.65,57491063.48,957331921.39,,,1161991523.72,411255205.42,,835000.0,,,673453234.36,674288234.36,,,,,,,,,,,,,,2365842346.69,765491461.32,39941343012.53,,2584900000.0,,,,48139979.21,615556317.57,,-1806126245.4,-1806126245.4,34293386.13,798806664.35,340266559.92,859484655.96,3475321317.74,43416664330.27,,4838896630.0,,,,20404780270.7,199965620.44,350756284.36,328409213.71,779632418.03,,,11459162009.99,,,37961671206.35,1880899201.24,39842570407.59,83259234737.86,定期报告,是,20260428,CNY,合并期末,2026-04-27T15:48:04
20250930,,10701912884.77,,,859392.09,,,30777791966.55,3009147864.39,27768644102.16,368657234.68,574580018.4,,,,,,,,,,,281947838.36,17736967892.31,,,,,386831808.81,62314655947.66,,,,,,,,859431025.82,305001611.53,,2133824134.81,,,,,,,1988931004.92,,,,,10986445548.79,,,,1485106911.69,81900802.68,1733628607.72,,24071114.45,27926598.43,,457228037.58,386900476.09,18985288962.82,81299944910.48,,9300540036.86,,,,,,24692964232.64,3652161303.11,21040802929.53,62582118.26,932881511.48,,,669921725.14,229780334.79,,12151712.56,,,,564787597.79,,,,,,,,,,,,,,2329727151.25,384852233.08,39168036941.29,,1976937239.0,,,,69239963.3,590232551.58,,-2668242167.79,,,812267861.34,435443785.25,776447665.48,1992326898.16,41160363839.45,,4838896630.0,,,,20331995170.31,159885393.78,685233686.19,360944876.99,716655931.51,,,11550406540.38,,,38324247441.6,1815333629.43,40139581071.03,81299944910.48,定期报告,未审计,20251030,CNY,合并期末,2025-10-29T15:46:22
20250630,,11569986688.53,,,944891.38,,,28803735390.68,2122025079.63,26681710311.05,414608091.2,615061742.02,,,,,,,,,,255949439.39,255949439.39,16975077493.64,,,,,389618313.63,60448716879.96,,,,,,,,854550604.99,308808565.65,,1915488872.69,,,23328367900.69,12098798292.54,11229569608.15,74538271.9,1744791823.0,1744791823.0,,11155031336.25,3247766.77,11158279103.02,,,,1423734829.49,83397299.68,1768580587.34,,24071114.45,31501651.99,,430372607.42,428353906.02,18748196136.25,79196913016.21,,8341360775.29,,,,,,23610522935.29,3284707389.5,20325815545.79,61261614.64,1130688999.37,,,658206486.51,282788709.82,,12151712.56,,,512101449.38,524253161.94,,,,,,,,,,,,,,2489266314.12,480391112.08,37578740109.06,,1721637239.0,,,,63398506.8,635946549.12,2789689.98,-2567723359.64,-2570513049.62,,822853679.33,355435627.74,878999943.46,1910548185.81,39489288294.87,,4838896630.0,,,,20331854774.59,,519653928.93,353575231.02,716655931.51,,,11202817004.93,,,37963453500.98,1744171220.36,39707624721.34,79196913016.21,定期报告,未审计,20250830,CNY,合并期末,2025-08-29T18:20:02
20250331,,12181130410.61,,,862323.32,,,27856672024.83,3583868547.16,24272803477.67,523978781.48,592556321.38,,,,,,,,,,,234071436.85,16563601805.49,,,,,397639989.6,59653210628.09,,,,,,,,882288261.19,314642466.43,,1455306602.24,,,,,,,1580445334.38,,,,,11202222760.3,,,,1302697534.53,92111820.79,1767369787.07,,24071114.45,36359342.64,,409152245.54,420158393.1,18184128128.13,77837338756.22,,6567194880.94,,,,,,22809016457.12,4109746470.44,18699269986.68,53105115.36,1764598679.9,,,649810527.5,212927910.53,,10405000.0,,,,513403396.7,,,,,,,,,,,,,,2356708446.07,426975237.7,35353740651.82,,2999525240.14,,,,71987334.82,652166748.41,,-2582785368.91,,,821452110.56,242223987.77,1073531474.33,3278101527.12,38631842178.94,,4838896630.0,,,,20330727991.02,,188353951.04,338290981.81,716655931.51,,,11000591245.3,,,37413516730.68,1791979846.6,39205496577.28,77837338756.22,定期报告,未审计,20250429,CNY,合并期末,2025-04-28T15:58:03
20241231,,13044054512.75,,,776245.5,,,27823278261.89,4352530107.39,23470748154.5,703656289.73,439855915.75,0.0,,,,,,,,,217180032.86,217180032.86,15647914279.06,,,,,406979727.81,59493346401.19,,,,,,,,875186759.32,322017232.53,,1675131740.76,,,22927065420.95,11514447967.24,11412617453.71,74769148.7,1640620777.51,1640620777.51,,11337848305.01,3029852.13,11340878157.14,,,,1209651135.84,99221173.79,1815399115.11,,24071114.45,30445496.41,,405412474.52,398725666.23,18627109707.77,78120456108.96,,6773620480.03,,,,,,21419138432.13,3993513401.85,17425625030.28,52495486.83,1375984226.23,,,1051605627.1,402762051.75,,10405000.0,,,597398427.23,607803427.23,,,,,,,,,,,,,,2818604074.12,599157887.01,35101171692.43,,3308374934.14,,,,70347338.27,644026407.7,2789689.98,-2104598362.94,-2107388052.92,,821957179.23,301471419.41,765077497.7,3806656413.51,38907828105.94,,4838896630.0,,,,20329325115.45,,350793584.18,319102155.03,716655931.51,,,10899707400.28,,,37454480816.45,1758147186.57,39212628003.02,78120456108.96,定期报告,是,20260328,CNY,合并期末,2025-04-28T15:58:03
20240930,,10905631992.01,,,898427.29,,,28136784840.89,2034858765.93,26101926074.96,323527243.18,689214011.43,,,,,,,,,,,227806363.37,15535381829.23,,,,,328469324.25,56648398192.77,,,,,,,,837556166.6,347503785.87,,1577421893.41,,,,,,,1773746489.3,,,,,10771233079.45,,,,500684161.12,98035407.14,1835523139.89,,24071114.45,28872179.11,,324254683.3,329790687.55,17948008626.07,74596406818.84,,5899624725.98,,,,,,21485247268.31,2957029516.32,18528217751.99,38948387.35,1401419831.57,,,722381566.03,161990943.55,,26449647.1,,,,492408852.54,,,,,,,,,,,,,,2231111577.65,243214283.42,32676347436.4,,3635452074.2,,,,84191578.73,557281259.9,,-3165604242.83,,,862782104.95,262048313.04,886158486.26,3122309574.25,35798657010.65,,4838896630.0,,,,19795720584.34,,310480244.46,317679331.96,621275197.05,,,11156020799.36,,,37040072787.17,1757677021.02,38797749808.19,74596406818.84,定期报告,未审计,20241030,CNY,合并期末,2024-10-29T17:45:02
20240630,,12953914489.18,,,815213.58,,,26595175530.1,2183335417.36,24411840112.74,340258702.43,616344407.68,,,,,,,,,,243113749.03,243113749.03,14331694505.56,,,,,325308148.52,55861812957.44,,,,,,,,810219623.61,350920333.07,,1303684854.31,,,21882190655.19,10958691990.69,10923498664.5,55794044.04,1750799606.96,1750799606.96,,10867704620.46,3586484.39,10871291104.85,,,,455188211.36,105007331.87,1854404127.06,,24071114.45,24171654.75,,341637064.1,366920800.66,17803127615.69,73664940573.13,,5183018836.01,,,,,,21022319571.67,3642136175.87,17380183395.8,37990740.04,1484681761.45,,,776405171.08,281352173.3,,26439295.98,,,501477065.8,527916361.78,,,,,,,,,,,,,,2253781040.69,355619160.1,31923084816.12,,3182003513.2,,,,77046725.18,551185328.48,117772449.7,-2546812980.78,-2664585430.48,,862440755.07,222585984.01,1319153953.59,3667603278.75,35590688094.87,,4838896630.0,,,,19679415537.38,,112588922.17,305074450.84,621275197.05,,,10864804372.3,,,36422055109.74,1652197368.52,38074252478.26,73664940573.13,定期报告,未审计,20240828,CNY,合并期末,2024-08-27T16:50:06
20240331,,13286828611.36,,,747450.66,,,27323306682.34,5501260256.67,21822046425.67,376030960.19,590119146.53,,,,,,,,,,,166559288.52,14128171375.37,,,,,317519003.3,56244602859.55,,,,,,,,842587571.15,344514601.27,,1280409054.21,,,,,,,1737895088.82,,,,,10845690150.07,,,,55320341.28,106853378.3,1861801842.89,,24071114.45,27026641.22,,332147655.21,386598826.25,17789595923.84,74034198783.39,,4506974986.58,,,,,,20592350636.76,4496889472.71,16095461164.05,44215985.39,2379158592.67,,,756964112.69,246624649.28,,19127031.38,,,,642421450.13,,,,,,,,,,,,,,1668909198.51,728184384.29,31565803996.3,,3890494470.98,,,,82800613.05,558604321.27,,-1866242518.67,,,873113971.25,195058640.86,624253476.72,4358082975.46,35923886971.76,,4838896630.0,,,,19620094002.36,,69582741.46,293762940.85,621275197.05,,,11020874310.64,,,36464485822.36,1645825989.27,38110311811.63,74034198783.39,定期报告,未审计,20240427,CNY,合并期末,2024-04-26T17:20:20
20231231,,13708305184.7,,,834349.4,,,26514269113.81,6371240451.89,20143028661.92,349434427.88,545162656.84,1679461.89,,,,,,,,,137604501.19,139283963.08,13893542721.55,,,,,319247663.68,55475423996.31,,,,,,,,843303289.23,353115536.89,,1431104185.93,,,21355135192.94,10491456610.34,10863678582.6,45080485.47,1921394948.73,1921394948.73,,10818598097.13,1830655.48,10820428752.61,,,,5343915.37,102782644.09,1884911628.15,,24071114.45,26866657.22,,319574855.19,320439773.13,18047993385.62,73523417381.93,,3471595627.35,,,,,,20002338808.84,4689186821.87,15313151986.97,41381587.01,2405623655.93,,,936056127.82,387819250.4,,19962031.38,,,592425873.97,612387905.35,,,,,,,,,,,,,,1202568965.5,772902128.05,29832674056.25,,4317761673.55,,,,72648521.43,555022577.17,125773411.46,-1343020942.53,-1468794353.99,,884259084.36,225122294.46,1283992414.94,5995785623.38,35828459679.63,,4838896630.0,,,,19598169759.08,,181537566.79,276861115.37,621275197.05,,,10566738422.82,,,36083478691.11,1611479011.19,37694957702.3,73523417381.93,定期报告,是,20250329,CNY,合并期末,2024-03-15T17:50:15
