国电南瑞研究报告-20260710 数据抽检清单
工具：tools/report_audit.py extract
抽样比例：15%
随机种子：42
总提取数据点：154
抽检数量：24

ID | 行号 | 数据标签 | 报告值 | 单位
2 | 42 | 财务质量与估值 · 评分 | 3.80 |
7 | 75 | 营业收入 · 同比 / 较年末 | 7.52 | %
8 | 75 | 营业收入 · 解释 | 13.24 | %
9 | 76 | 归母净利润 · 2026Q1 | 7.21 | 亿元
23 | 90 | 货币资金 · 2025年末 | 73.23 | 亿元
24 | 90 | 货币资金 · 2026Q1末 | 56.04 | 亿元
27 | 92 | 应收账款 · 2025年末 | 312.50 | 亿元
29 | 93 | 存货 · 2025年末 | 130.58 | 亿元
36 | 96 | 归母权益 · 2025年末 | 526.46 | 亿元
41 | 105 | 电网智能 · 收入 | 334.22 | 亿元
51 | 107 | 能源低碳 · 毛利率 | 20.21 | %
56 | 108 | 工业互联 · 主营毛利贡献 | 3.80 | %
58 | 109 | 集成及其他 · 占主营收入 | 1.00 | %
60 | 109 | 集成及其他 · 主营毛利贡献 | 1.10 | %
57 | 109 | 集成及其他 · 收入 | 6.87 | 亿元
63 | 123 | 2025归母净利 · 一手来源 | 82.79 | 亿元
71 | 127 | 2026-07-10收盘价 · 一手来源 | 22.04 | 元
72 | 127 | 2026-07-10收盘价 · 第二来源 | 22.04 | 元
108 | 319 | 归母净利率 · 2025 / 当前 | 12.50 | %
109 | 320 | OCF/归母净利 · 2025 / 当前 | 1.54 | x
115 | 332 | 市值 · 输入 | 22.04 | 元
130 | 353 | 乐观 · 2030目标价 | 44.00 | 元
140 | 355 | 悲观 · 2030目标价 | 18.10 | 元
153 | 457 | 基准 · 主观概率 | 55.00 | %

填写后的双源结果：report_audit_results_investment_team_20260710.json
