field,period,source_1,value_1,source_1_first_public_date,source_2,value_2,source_2_first_public_date,deviation_pct,tolerance_pct,status,notes
营业收入,2016重述,2017年报重述比较列,28248377857.25,2018-04-19,中诚信2019年度主体信用评级报告,28248377900,2019-07-11,0.0000,1,通过,独立评级机构第22页明确采用2016追溯调整数
归母净利润,2016重述,2017年报重述比较列,3161150209.22,2018-04-19,东吴证券2017年报点评反推,3161642766.56,2018-04-23,0.0156,1,通过,独立券商披露2017归母净利32.41亿元及同比2.51%；精确工具反推
经营现金流,2016重述,2017年报重述比较列,4263094254.22,2018-04-19,中诚信2019年度主体信用评级报告,4263094300,2019-07-11,0.0000,1,通过,独立评级机构第22页财务表
现金资本开支,2016重述,2017年报合并现金流量表,746357353.55,2018-04-19,中诚信2019年度主体信用评级报告,746357400,2019-07-11,0.0000,1,通过,独立评级机构第22页资本支出
营业收入,2017,2017年报,24197908118.35,2018-04-19,中诚信2019年度主体信用评级报告,24197908100,2019-07-11,0.0000,1,通过,独立评级机构第22页财务表
归母净利润,2017,2017年报,3240522727.39,2018-04-19,东吴证券年报点评,3241000000,2018-04-23,0.0147,1,通过,二源为独立券商四舍五入值
经营现金流,2017,2017年报,3300822668.23,2018-04-19,中诚信2019年度主体信用评级报告,3300822700,2019-07-11,0.0000,1,通过,独立评级机构第22页财务表
现金资本开支,2017,2017年报合并现金流量表,1195496629.87,2018-04-19,中诚信2019年度主体信用评级报告,1195496600,2019-07-11,0.0000,1,通过,独立评级机构第22页资本支出
营业收入,2018,2018年报,28540370796.48,2019-04-29,央广网经营数据,28540000000,2019-06-25,0.0013,1,通过,二源为独立媒体四舍五入值
归母净利润,2018,2018年报,4162074561.84,2019-04-29,央广网经营数据,4162000000,2019-06-25,0.0018,1,通过,二源为独立媒体四舍五入值
经营现金流,2018,2018年报,3208251553.77,2019-04-29,中诚信评级报告,3208000000,2020-05-21,0.0078,1,通过,评级机构四舍五入值
现金资本开支,2018,2018年报合并现金流量表,1713957108.62,2019-04-29,中诚信2019年度主体信用评级报告,1713957100,2019-07-11,0.0000,1,通过,独立评级机构第22页资本支出
营业收入,2019,2019年报,32423594529.38,2020-04-30,中诚信评级报告,32424000000,2020-05-21,0.0013,1,通过,评级机构四舍五入值
归母净利润,2019,2019年报,4343067280.95,2020-04-30,腾讯新闻历史序列,4343000000,2021-04-26,0.0015,1,通过,独立媒体四舍五入值
经营现金流,2019,2019年报,4684302588.32,2020-04-30,中诚信评级报告,4684000000,2020-05-21,0.0065,1,通过,评级机构四舍五入值
现金资本开支,2019,2019年报合并现金流量表,2929091988.15,2020-04-30,中诚信2020年公司债券评级报告,2929092000,2020-05-21,0.0000,1,通过,独立评级机构第18页资本支出
营业收入,2020,2020年报,38502411143.75,2021-04-23,东吴证券年报点评,38502000000,2021-04-23,0.0011,1,通过,独立券商四舍五入值
归母净利润,2020,2020年报,4851540712.46,2021-04-23,东吴证券年报点评,4852000000,2021-04-23,0.0095,1,通过,独立券商四舍五入值
经营现金流,2020,2020年报,5635016246.11,2021-04-23,腾讯新闻经营数据,5635000000,2021-04-26,0.0003,1,通过,独立媒体四舍五入值
现金资本开支,2020,2020年报合并现金流量表,3464015210.28,2021-04-23,中诚信2021年跟踪评级报告,3464015200,2021-06-21,0.0000,1,通过,独立评级机构第14页资本支出
营业收入,2021Q1-Q3,2021年三季报,23231593867.38,2021-10-30,西部证券三季报点评,23232000000,2021-10-31,0.0017,1,通过,独立券商四舍五入值
归母净利润,2021Q1-Q3,2021年三季报,3192845375.04,2021-10-30,西部证券三季报点评,3193000000,2021-10-31,0.0048,1,通过,独立券商四舍五入值
经营现金流,2021Q1-Q3,2021年三季报,-1343812279.56,2021-10-30,证券之星历史现金流表,-1343812279.56,2021-10-30,0.0000,1,通过,仅取历史报告期字段；不使用页面后续事实
现金资本开支,2021Q1-Q3,2021年三季报,1751862668.72,2021-10-30,证券之星历史现金流表,1751862668.72,2021-10-30,0.0000,1,通过,仅取历史报告期字段；不使用页面后续事实
未复权收盘价,2021-12-31,腾讯历史K线,40.03,2021-12-31,搜狐历史行情,40.03,2021-12-31,0.0000,1,通过,两独立行情源一致
总股本,2021-12-31,回购注销实施公告,5545436888,2021-11-03,新浪财经2021-11-05历史股本行,5545436890,2021-11-03,0.0000,1,通过,激励草案同一发行人股本另作第三一致性复核
前五大客户销售占比,2020,2020年报,72.33,2021-04-23,腾讯新闻转载长江商报报道复算,72.3339047322,2021-04-26,0.0054,1,通过,独立媒体披露前五大客户销售278.50亿元及收入385.02亿元
关联方销售占比,2020,2020年报精确值,71.17,2021-04-23,腾讯新闻转载长江商报区间表述,70.00,2021-04-26,1.6439,1,仅区间-精确值不准入,独立媒体仅支持约70%；报告只保留超过70%的区间判断
研发投入,2020,2020年报,2523499334.53,2021-04-23,腾讯新闻历史经营数据,2523000000,2021-04-26,0.0198,1,通过,独立媒体四舍五入值
货币资金,2021-09-30,2021年三季报,10541059772.87,2021-10-30,证券之星历史资产负债表,10541059772.87,2021-10-30,0.0000,1,通过,仅采用截止日历史报告期字段
负债合计,2021-09-30,2021年三季报,31169794717.78,2021-10-30,证券之星历史资产负债表,31169794717.78,2021-10-30,0.0000,1,通过,仅采用截止日历史报告期字段
继电保护及柔性输电毛利率,2020,2020年报,38.06,2021-04-23,智研咨询转载首创证券年报点评,38.06,2021-04-25,0.0000,1,通过,独立券商内容转载；仅准入历史文章主体
