evidence_id,subject,period,first_public_date,title,local_path,original_url,source_class,role,admission,notes
NARI-2016-AR,国电南瑞,2016年度,2017-03-30,2016年年度报告,research/source_docs/国电南瑞/asof-20211231/600406_2016_annual_20170330.pdf,http://static.cninfo.com.cn/finalpage/2017-03-30/1203226113.PDF,发行人定期报告,背景,限制准入,重组前旧口径不得接入五年主序列
NARI-2017-AR,国电南瑞,2017年度及2016重述,2018-04-19,2017年年度报告,research/source_docs/国电南瑞/asof-20211231/600406_2017_annual_20180419.pdf,https://pdf.dfcfw.com/pdf/H2_AN201804181125378480_1.pdf,发行人定期报告,主来源,准入,2016采用同一控制下重述比较数
NARI-2018-AR,国电南瑞,2018年度,2019-04-29,2018年年度报告,research/source_docs/国电南瑞/asof-20211231/600406_2018_annual_20190429.pdf,https://file.finance.qq.com/finance/hs/pdf/2019/04/29/1206134342.PDF,发行人定期报告,主来源及重分类二源,准入,2017收入和CFO极小重分类
NARI-2019-AR,国电南瑞,2019年度,2020-04-30,2019年年度报告,research/source_docs/国电南瑞/asof-20211231/600406_2019_annual_20200430.pdf,http://static.cninfo.com.cn/finalpage/2020-04-30/1207690139.PDF,发行人定期报告,主来源,准入,已按SHA-256回溯确认原始PDF
NARI-2020-AR,国电南瑞,2020年度,2021-04-23,2020年年度报告,research/source_docs/国电南瑞/asof-20211231/600406_2020_annual_20210423.pdf,https://file.finance.qq.com/finance/hs/pdf/2021/04/23/1209769456.PDF,发行人定期报告,主来源,准入,截止日可得的最后完整审计年度
NARI-2020-Q3,国电南瑞,2020年1-9月,2020-10-31,2020年第三季度报告,research/source_docs/国电南瑞/asof-20211231/600406_2020_q3_20201031.pdf,http://static.cninfo.com.cn/finalpage/2020-10-31/1208663030.PDF,发行人定期报告,TTM比较组件,准入,已按SHA-256回溯确认原始PDF
NARI-2021-Q1,国电南瑞,2021年1-3月,2021-04-30,2021年第一季度报告,research/source_docs/国电南瑞/asof-20211231/600406_2021_q1_20210430.pdf,http://static.cninfo.com.cn/finalpage/2021-04-30/1209873959.PDF,发行人定期报告,补充,准入,未审计
NARI-2021-H1-PREVIEW,国电南瑞,2021年半年度预告,2021-07-01,2021年半年度业绩预告,research/source_docs/国电南瑞/asof-20211231/600406_2021_h1_profit_preview_20210701.pdf,http://static.cninfo.com.cn/finalpage/2021-07-01/1210375677.PDF,发行人公告,补充,准入,不得替代正式半年报
NARI-2021-H1,国电南瑞,2021年1-6月,2021-08-31,2021年半年度报告,research/source_docs/国电南瑞/asof-20211231/600406_2021_h1_20210831.pdf,http://static.cninfo.com.cn/finalpage/2021-08-31/1210926569.PDF,发行人定期报告,主来源,准入,未审计；含管理层变动与分部数据
NARI-2021-Q3,国电南瑞,2021年1-9月,2021-10-30,2021年第三季度报告,research/source_docs/国电南瑞/asof-20211231/600406_2021_q3_20211030.pdf,http://static.cninfo.com.cn/finalpage/2021-10-30/1211430305.PDF,发行人定期报告,主来源及TTM组件,准入,截至时点最新正式财务
NARI-2020-CSR,国电南瑞,2020年度,2021-04-23,2020社会责任报告,research/source_docs/国电南瑞/asof-20211231/600406_2020_csr_20210423.pdf,http://static.cninfo.com.cn/finalpage/2021-04-23/1209769464.PDF,发行人报告,非财务补充,准入,已按SHA-256回溯确认原始PDF
NARI-2020-IC,国电南瑞,2020年度,2021-04-23,2020年度内部控制评价报告,research/source_docs/国电南瑞/asof-20211231/600406_2020_internal_control_20210423.pdf,http://static.cninfo.com.cn/finalpage/2021-04-23/1209769462.PDF,发行人报告,治理主来源,准入,内控有效不等于无治理风险
NARI-2020-DIST,国电南瑞,2020年度权益分派,2021-06-17,2020年年度权益分派实施公告,research/source_docs/国电南瑞/asof-20211231/600406_2020_distribution_20210617.pdf,http://static.cninfo.com.cn/finalpage/2021-06-17/1210252841.PDF,发行人公告,股本与分红主来源,准入,每股0.42元及每股转增0.2股
NARI-2021-SHARE-CANCEL,国电南瑞,限制性股票回购注销,2021-11-03,部分股权激励限制性股票回购注销实施公告,research/source_docs/国电南瑞/asof-20211231/600406_2021_share_cancel_20211103.pdf,http://static.cninfo.com.cn/finalpage/2021-11-03/1211468961.PDF,发行人公告,基准日股本主来源,准入,2021-11-05注销后5545436888股
NARI-2021-INCENTIVE,国电南瑞,2021年限制性股票激励计划,2021-12-09,2021年限制性股票激励计划草案,research/source_docs/国电南瑞/asof-20211231/600406_2021_incentive_draft_20211209.pdf,http://static.cninfo.com.cn/finalpage/2021-12-09/1211849504.PDF,发行人公告,股本二源及激励证据,准入-仅草案,严禁写成已授予
NARI-2021-RELATED,国电南瑞,2021年度预计日常关联交易,2021-04-23,关于2021年度日常关联交易的公告,research/source_docs/国电南瑞/asof-20211231/600406_2021_related_transactions_20210423.pdf,http://static.cninfo.com.cn/finalpage/2021-04-23/1209769463.PDF,发行人公告,治理主来源,准入,7/12董事回避；预计值不是实际全年结果
NARI-2021-LEASE,国电南瑞,2021年度关联租赁及服务,2021-04-23,关于2021年度关联房产租赁及综合服务的公告,research/source_docs/国电南瑞/asof-20211231/600406_2021_related_lease_services_20210423.pdf,http://static.cninfo.com.cn/finalpage/2021-04-23/1209769475.PDF,发行人公告,治理补充,准入,
NARI-2021-LOAN,国电南瑞,关联委托贷款,2021-04-23,关于向控股股东申请委托贷款暨关联交易的公告,research/source_docs/国电南瑞/asof-20211231/600406_2021_entrusted_loan_20210423.pdf,http://static.cninfo.com.cn/finalpage/2021-04-23/1209769474.PDF,发行人公告,治理及流动性补充,准入,
NARI-2021-SUPERVISOR,国电南瑞,职工监事变动,2021-08-13,关于职工监事变动的公告,research/source_docs/国电南瑞/asof-20211231/600406_2021_supervisor_change_20210813.pdf,http://static.cninfo.com.cn/finalpage/2021-08-13/1210733534.PDF,发行人公告,治理补充,准入,
NARI-2021-SCP,国电南瑞,超短期融资券兑付,2021-12-29,关于2021年度第三四期超短期融资券兑付完成的公告,research/source_docs/国电南瑞/asof-20211231/600406_2021_scp_redemption_20211229.pdf,http://static.cninfo.com.cn/finalpage/2021-12-29/1212044043.PDF,发行人公告,流动性补充,准入,
PEER-000400-2020,许继电气,2020年度,2021-04-09,2020年年度报告,research/source_docs/国电南瑞/asof-20211231/peers/000400_2020_annual_20210409.pdf,https://disc.static.szse.cn/disc/disk02/finalpage/2021-04-09/0c71f1c6-9fb5-4931-8b32-c0e88c6e9a74.PDF,同行发行人定期报告,可比公司,准入,
PEER-000400-H1,许继电气,2021年1-6月,2021-08-06,2021年半年度报告,research/source_docs/国电南瑞/asof-20211231/peers/000400_2021_h1_20210806.pdf,http://static.cninfo.com.cn/finalpage/2021-08-06/1210663883.PDF,同行发行人定期报告,可比公司,准入-镜像,同日新浪PDF镜像不作独立二源
PEER-000400-Q3,许继电气,2021年1-9月,2021-10-30,2021年第三季度报告,research/source_docs/国电南瑞/asof-20211231/peers/000400_2021_q3_20211030.pdf,http://static.cninfo.com.cn/finalpage/2021-10-30/1211430157.PDF,同行发行人定期报告,可比公司及TTM组件,准入,
PEER-601126-2020,四方股份,2020年度,2021-03-19,2020年年度报告,research/source_docs/国电南瑞/asof-20211231/peers/601126_2020_annual_20210319.pdf,http://static.cninfo.com.cn/finalpage/2021-03-19/1209409626.PDF,同行发行人定期报告,可比公司,准入,
PEER-601126-H1,四方股份,2021年1-6月,2021-08-31,2021年半年度报告,research/source_docs/国电南瑞/asof-20211231/peers/601126_2021_h1_20210831.pdf,http://static.cninfo.com.cn/finalpage/2021-08-31/1210927187.PDF,同行发行人定期报告,可比公司,准入,
PEER-601126-Q3,四方股份,2021年1-9月,2021-10-30,2021年第三季度报告,research/source_docs/国电南瑞/asof-20211231/peers/601126_2021_q3_20211030.pdf,http://static.cninfo.com.cn/finalpage/2021-10-30/1211430409.PDF,同行发行人定期报告,可比公司及TTM组件,准入-镜像,同日新浪PDF镜像不作独立二源
PEER-000682-2020,东方电子,2020年度,2021-04-23,2020年年度报告,research/source_docs/国电南瑞/asof-20211231/peers/000682_2020_annual_20210423.pdf,http://static.cninfo.com.cn/finalpage/2021-04-23/1209773898.PDF,同行发行人定期报告,可比公司,准入,
PEER-000682-H1,东方电子,2021年1-6月,2021-08-27,2021年半年度报告,research/source_docs/国电南瑞/asof-20211231/peers/000682_2021_h1_20210827.pdf,http://static.cninfo.com.cn/finalpage/2021-08-27/1210876093.PDF,同行发行人定期报告,可比公司,准入,
PEER-000682-Q3,东方电子,2021年1-9月,2021-10-29,2021年第三季度报告,research/source_docs/国电南瑞/asof-20211231/peers/000682_2021_q3_20211029.pdf,http://static.cninfo.com.cn/finalpage/2021-10-29/1211420847.PDF,同行发行人定期报告,可比公司及TTM组件,准入,
PEER-600268-2020,国电南自,2020年度,2021-03-26,2020年年度报告,research/source_docs/国电南瑞/asof-20211231/peers/600268_2020_annual_20210326.pdf,http://static.cninfo.com.cn/finalpage/2021-03-26/1209451109.PDF,同行发行人定期报告,可比公司,准入,
PEER-600268-H1,国电南自,2021年1-6月,2021-08-20,2021年半年度报告,research/source_docs/国电南瑞/asof-20211231/peers/600268_2021_h1_20210820.pdf,http://static.cninfo.com.cn/finalpage/2021-08-20/1210791752.PDF,同行发行人定期报告,可比公司,准入,
PEER-600268-Q3,国电南自,2021年1-9月,2021-10-28,2021年第三季度报告,research/source_docs/国电南瑞/asof-20211231/peers/600268_2021_q3_20211028.pdf,http://static.cninfo.com.cn/finalpage/2021-10-28/1211399950.PDF,同行发行人定期报告,可比公司及TTM组件,准入,
SECONDARY-2017-REVIEW,国电南瑞,2017年度,2018-04-23,东吴证券2017年年报点评,research/source_docs/国电南瑞/asof-20211231/secondary/600406_2017_annual_review_20180423.pdf,https://pdf.dfcfw.com/pdf/H3_AP201804231127931802_1.pdf,独立券商研报,财务二源,准入,
