SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,EPSJB,EPSKCJB,EPSXS,BPS,MGZBGJ,MGWFPLR,MGJYXJJE,TOTALOPERATEREVE,MLR,PARENTNETPROFIT,KCFJCXSYJLR,TOTALOPERATEREVETZ,PARENTNETPROFITTZ,KCFJCXSYJLRTZ,YYZSRGDHBZC,NETPROFITRPHBZC,KFJLRGDHBZC,ROEJQ,ROEKCJQ,ZZCJLL,XSJLL,XSMLL,YSZKYYSR,XSJXLYYSR,JYXJLYYSR,TAXRATE,LD,SD,XJLLB,ZCFZL,QYCS,CQBL,ZZCZZTS,CHZZTS,YSZKZZTS,TOAZZL,CHZZL,YSZKZZL,TOTALDEPOSITS,GROSSLOANS,LTDRR,NEWCAPITALADER,HXYJBCZL,NONPERLOAN,BLDKBBL,NZBJE,TOTAL_ROI,NET_ROI,EARNED_PREMIUM,COMPENSATE_EXPENSE,SURRENDER_RATE_LIFE,SOLVENCY_AR,JZB,JZC,JZBJZC,ZYGPGMJZC,ZYGDSYLZQJZB,YYFXZB,JJYWFXZB,ZQZYYWFXZB,ZQCXYWFXZB,RZRQYWFXZB,EPSJBTZ,BPSTZ,MGZBGJTZ,MGWFPLRTZ,MGJYXJJETZ,ROEJQTZ,ZZCJLLTZ,ZCFZLTZ,REPORT_YEAR,ROIC,ROICTZ,NBV_LIFE,NBV_RATE,NHJZ_CURRENT_AMT,DJD_TOI_YOY,DJD_DPNP_YOY,DJD_DEDUCTDPNP_YOY,DJD_TOI_QOQ,DJD_DPNP_QOQ,DJD_DEDUCTDPNP_QOQ,XSMLL_TB,PER_TOI,PER_OI,PER_EBIT,STAFF_NUM,AVG_TOI,AVG_NET_PROFIT,PREPAID_ACCOUNTS_RATIO,ACCOUNTS_PAYABLE_TR,FIXED_ASSET_TR,CURRENT_ASSET_TR,PREPAID_ACCOUNTS_TDAYS,PAYABLE_TDAYS,OPERATE_CYCLE,GUARD_SPEED_RATIO,CASH_RATIO,INTEREST_COVERAGE_RATIO,CA_TA,NCA_TA,LIQUIDATION_RATIO,INTEREST_DEBT_RATIO,FC_LIABILITIES,FCFF_FORWARD,FCFF_BACK,SS_OI,SS_TA,NCO_OP,NCO_NETPROFIT,NCO_FIXED,FIRST_ADEQUACY_RATIO,NET_INTEREST_SPREAD,NET_INTEREST_MARGIN,LOAN_ADVANCES,NON_PERFORMING_LOAN,OVERDUE_LOANS,LOAN_PROVISION_RATIO,REVENUE_RATIO,LIABILITY,CAPITAL_PROVISIONS_SUM,RISK_COVERAGE,CAPITAL_LEVERAGE_RATIO,LIQUIDITY_COVERAGE_RATIO,NET_FUNDING_RATIO,NET_CAPITAL_LIABILITIES,NET_ASSETS_LIABILITIES,PROPRIETARY_CAPITAL,IS_BZ
600420.SH,600420,国药现代,10007230,通用,2026-03-31 00:00:00,一季报,2026一季报,058001001,2026-04-30 00:00:00,2026-04-30 00:00:00,CNY,0.1032,,0.1032,10.376919177534,3.886982520428,5.134192025608,-0.270892735691,2064308731.95,623391977.48,138398706.21,145925074.51,-20.809954838662,-61.706298476245,-57.85773405397,-5.793709707056,-23.684648856787,-23.592418381126,1.0,,0.9933127369,9.3076849803,30.1985825972,0.004291290689,0.168418092865,-0.175997869866,22.6240431541,3.592757307395,3.010772611621,-0.114366148377,17.58949289,1.213437503382,0.213437503382,843.331226035351,112.374329362155,48.186655918567,0.106719634257,0.800894657266,1.867736996568,,,,,,,,,,,,,,,,,,,,,,,,,-61.706864564007,2.5941314405,0.179502809802,4.647092866434,-219.19462021818,-62.962962963,-53.933855964061,-5.119672142112,2026,1.173306422137,-53.836803641865,,,,-20.809954838662,-61.706298476245,-57.85773405397,-15.490041541479,-1.446565692481,32.913091947127,-18.591880885423,1.539181899739,1.539181899739,0.181696372237,,,,25.850271453703,2.225855458017,0.406944459846,0.182147324658,3.481588197679,40.433892360729,160.561190152753,1.608911968054,1.172273797839,,58.6510256281,41.3489743719,543.708053780802,0.1945396002,117.22737978389,-263821900.621789,14333837.7026851,0.694270066259,0.073648898213,-1.400839171605,-1.890887693768,-0.071849112609,,,,,,,,,3422868030.37,,,,,,,,,0
600420.SH,600420,国药现代,10007230,通用,2025-12-31 00:00:00,年报,2025年报,058001001,2026-03-28 00:00:00,2026-03-28 00:00:00,CNY,0.7021,0.6332,0.7021,10.273726869015,3.886982520428,5.030999717089,1.266122598125,9363074210.11,3036001162.72,941601686.09,849182430.15,-14.394946643302,-13.10614588939,-18.604916917698,1.062952735221,1.21831823853,-0.758019379844,6.97,6.28,5.8299865724,12.1986176509,32.4252600651,0.000252969724,0.559332132024,0.181360204482,13.9666695269,3.590600813991,3.032391589952,0.541823766596,17.590628075,1.213454218423,0.213454218423,753.261143871179,112.60867828129,38.784572596838,0.477921903883,3.196911690063,9.282041180192,,,,,,,,,,,,,,,,,,,,,,,,,-13.106435643564,4.3541430696,0.179502809802,8.503405003888,-24.729451076185,-17.5147928994,-13.982470259123,-24.242708535174,2025,6.81953604688,-15.041165121162,,,,4.200928239189,8.779189145559,-5.578223251724,19.579847463821,8.772285220762,7.339767009614,-17.375019111172,6.981259211405,6.981259211405,0.960639312711,9697.0,965564.010530061,97102.3704331237,73.551591817155,9.070345209097,1.794693372562,0.816411808806,4.894523573262,39.689779352493,151.39383472309,1.634940798435,1.278195998859,387.200580207198,58.5277013625,41.4722986375,542.589283004691,0.2215779094,127.819599885905,-441961374.55312,789627029.500456,1.00046842674,0.487207297442,1.29278250077,1.486727510222,0.333692511187,,,,,,,,,3382123131.59,,,,,,,,,0
600420.SH,600420,国药现代,10007230,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-30 00:00:00,2025-10-30 00:00:00,CNY,0.5974,,0.5974,10.168949880781,3.886982520428,4.953863756167,0.851217551565,6920393170.38,2304005852.06,801171565.94,739392587.5,-19.467781050889,-16.06606410254,-20.238873017755,-5.99190771125,-10.31075459843,-14.174435577762,5.93,,4.7509007608,13.4852006098,33.292990663,0.000445582016,0.53432923372,0.16496602245,16.3390358444,3.213158674214,2.623158569834,0.339663333643,18.7898033023,1.231372463882,0.231372463882,766.38186060597,122.584295085308,41.319628843416,0.352304789399,2.202565996012,6.534424619911,,,,,,,,,,,,,,,,,,,,,,,,,-16.060137698468,4.3120191711,0.179502809802,9.048909147861,-43.663839093633,-20.4026845638,-21.933531157046,-22.628688007585,2025,5.593586678022,-22.852892057369,,,,-22.425277391869,-45.306008092759,-58.012029101288,-10.047833865743,-58.440884349943,-64.832301650467,-16.113889947541,5.15995681366,5.15995681366,0.807501836318,,,,48.592327509613,6.583156239284,1.307553672706,0.615591155363,5.556432750553,41.013761512877,163.902187140067,1.614071764202,1.232122538944,,55.8674600169,44.1325399831,508.857791304949,0.2467952194,123.212253894384,-422408349.827375,601171093.7924,0.947361563998,0.339153793789,1.034362236198,1.223311593384,0.217874104017,,,,,,,,,3632219485.35,,,,,,,,,0
600420.SH,600420,国药现代,10007230,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-30 00:00:00,2025-08-30 00:00:00,CNY,0.5011,0.475,0.5011,10.172687341736,3.886982520428,4.957601217122,0.498056864626,4877673521.93,1757637718.45,672066877.31,637110045.15,-18.161129924117,-6.459548339379,-6.774716185427,-5.429386290235,-6.874520116079,-6.265378919485,4.96,4.7,3.8877595931,15.7899060262,36.0343452785,0.000757372551,0.50537539954,0.13694648953,16.7307145707,2.934413895236,2.362497928161,0.179779234687,20.317743869,1.254984545563,0.254984545562,731.059371517676,125.011637525629,41.01054437119,0.246218032369,1.439865948185,4.389115110758,,,,,,,,,,,,,,,,,,,,,,,,,-6.458838902371,5.1702871845,0.179502809802,10.988039407776,-63.23733925429,-12.0567375887,-13.814951346988,-16.873564575914,2025,4.635030247048,-13.72597924118,,,,-19.945480111123,-19.7735067281,-18.641525526862,-12.884971852527,-14.045021745648,-16.00652903721,-9.075958137095,3.636872082935,3.636872082935,0.672036153723,,,,34.799148457723,4.19467349831,0.919200223201,0.431899229237,5.172540363126,42.911563932812,166.019366720374,1.649707572269,1.264168543978,234.943885336512,55.443138036,44.556861964,471.502134085119,0.4308439592,126.416854397756,597573777.720572,1119243002.11742,0.882536345466,0.218900954723,0.725936316695,0.867304018795,0.126812332526,,,,,,,,,3995518571.85,,,,,,,,,0
600420.SH,600420,国药现代,10007230,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-29 00:00:00,2026-04-30 00:00:00,CNY,0.2695,,0.2695,10.114534848954,3.880017779493,4.906196517242,0.227269263659,2606778071.34,966992036.62,361413759.19,346267746.25,-16.540579002444,9.103685458144,6.241026520502,-4.72346102546,2.782943172784,1.949723296619,2.7,,2.1562749774,16.2476334897,37.0952958079,0.001202817898,0.454392413828,0.116928761025,17.1230931471,3.316867816305,2.682102902394,0.092514831877,18.5386088846,1.227575402663,0.227575402664,678.154237915347,118.007327572724,36.817143458352,0.132713171972,0.76266450441,2.444513385505,,,,,,,,,,,,,,,,,,,,,,,,,9.109311740891,6.648940102,0.0,14.682443253384,-57.154171005046,2.2727272727,-0.747281683724,-27.666186646696,2025,2.541649007652,-3.372150051693,,,,-16.540579002444,9.103685458144,6.241026520502,11.201049309825,179.956291632758,197.798184626017,-9.022328464385,1.943655792344,1.943655792344,0.371444634529,,,,12.027624086246,2.272336837396,0.488615880223,0.230564448567,7.482774599093,39.606804114101,154.819180644449,1.959786244766,1.55070507054,,56.5376118212,43.4623881788,518.827593297761,0.566209476,155.070507053984,-23966694.5066684,67140763.8338699,0.820439542566,0.110648592824,0.598769179774,0.719666412342,0.057244497079,,,,,,,,,3583289440.24,,,,,,,,,0
600420.SH,600420,国药现代,10007230,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-03-28 00:00:00,2026-03-28 00:00:00,CNY,0.808,0.7779,0.808,9.845058918416,3.880017779493,4.636720586703,1.682095608744,10937525114.43,4292310781.67,1083622881.88,1043284677.64,-9.382035181071,56.619949347609,52.716472533174,-4.902425044868,0.105252254114,-3.402984369535,8.45,8.13,6.7776726325,12.1789865286,39.2438941786,0.000565284245,0.554405426896,0.206260618575,20.3803439746,2.689951804458,2.181434977714,0.51937908794,23.2197161948,1.302417691679,0.302417691679,646.893910058523,121.599410170986,38.788731513832,0.556505470839,2.960540676092,9.281045962321,,,,,,,,,,,,,,,,,,,,,,,,,48.720780415976,6.5833017216,0.0,15.024262567089,31.133170678658,40.365448505,36.952391960326,-10.38126390332,2024,8.026870962397,36.372916882061,,,,-19.389155027134,0.890406103357,-24.017283992617,-10.976095383383,-45.309479374444,-52.267589440838,2.395061753554,8.155195210633,8.155195210633,1.210113754956,11472.0,953410.487659519,94458.0615306834,53.618157981092,7.904251842804,1.979493541536,0.979139506511,6.714143371485,45.545107514223,160.390004505867,1.695691544944,1.430133023531,61.158280905238,58.5505101583,41.4494898417,415.681607126033,5.7021060824,143.013302353109,628406581.642742,1387557666.85323,0.95370932658,0.522721493388,1.287716431967,1.693577853053,0.422042045525,,,,,,,,,4633633097.68,,,,,,,,,0
600420.SH,600420,国药现代,10007230,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-29 00:00:00,2025-10-30 00:00:00,CNY,0.7117,,0.7117,9.748588860218,3.880017779493,4.542790748553,1.510961233194,8593322350.59,3410545567.12,954526387.18,927008701.45,-6.205701366118,69.26527430979,74.867094428257,-0.726137508843,1.602063721553,3.412923394523,7.45,,6.0857123823,13.9578918918,39.6883234211,0.000633468917,0.543547701556,0.235817983075,17.6594586349,2.511422676353,2.030816778819,0.438796202427,24.2852328834,1.320746319486,0.320746319487,619.2587776204,117.213516643932,41.778308601296,0.436005123799,2.303488605501,6.462683843348,,,,,,,,,,,,,,,,,,,,,,,,,57.874889086069,6.6427713049,0.0,14.615702310363,40.089856945441,48.7025948104,47.588867511777,-4.689303444863,2024,7.250546167176,45.071603125955,,,,-3.095901834714,7.794587211,17.140398523745,-7.172372253025,-39.040066453003,-31.856905032358,2.078958784485,6.407319804413,6.407319804413,1.051582745744,,,,40.714381243865,5.80296469439,1.547031712035,0.772249191577,6.631563387462,46.527941185136,158.991140991409,1.546751081795,1.221331357967,,57.8003693798,42.1996306202,397.606721832158,5.6398810602,122.1331357967,-411709121.074791,902490183.810776,0.938365132419,0.401854285598,1.380072581103,1.689495698225,0.374992996,,,,,,,,,4873114698.37,,,,,,,,,0
600420.SH,600420,国药现代,10007230,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-28 00:00:00,2025-08-30 00:00:00,CNY,0.5357,0.5096,0.5357,9.672586824732,3.880017779493,4.466788713068,1.354790035659,5960093922.86,2362060439.77,718477263.45,683409070.03,-7.516958264672,108.28878790729,112.129091131476,-1.619125873925,26.246858927733,24.558604678485,5.64,5.36,4.510944362,14.8804320386,39.6312620295,0.000918207475,0.540788869851,0.304862209008,18.3646748223,2.457749849619,1.967084789848,0.391982764159,24.441976569,1.32348618266,0.323486182659,593.773177409934,113.933045969292,40.935015095691,0.303146061237,1.579875254529,4.397213475535,,,,,,,,,,,,,,,,,,,,,,,,,87.307692307692,7.7358859349,0.0,17.54081262166,99.298247036914,76.25,69.133677172785,-6.909381496858,2024,5.372451876337,63.741494006784,,,,-6.298265777068,133.66038600604,135.861601253405,-9.179771242571,16.894114756343,9.681906327447,1.173373638766,4.443942199548,4.443942199548,0.783433214654,,,,23.845707997311,3.933335733622,1.068992681775,0.540605152748,7.548528230753,45.762683938055,154.866402016228,1.728279083623,1.392232616897,97.176892030956,57.051123676,42.948876324,394.620707833014,5.5913665876,139.223261689689,716402304.224753,1259857892.05236,0.929810580715,0.277513674152,1.656789215675,2.048745683034,0.333676170836,,,,,,,,,4880895659.31,,,,,,,,,0
600420.SH,600420,国药现代,10007230,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-30 00:00:00,2025-04-29 00:00:00,CNY,0.247,,0.247,9.48395252619,3.880017779493,4.278071148521,0.53043497813,3123407807.27,1273540359.78,331257150.18,325926581.84,-8.59662895025,84.828932307527,91.04490322184,-2.433828101295,21.973954426996,22.736469029787,2.64,,2.1725097448,13.6344114639,40.7740659678,0.003441413367,0.561912067376,0.227765617379,16.1701751297,2.29836872969,1.817954800114,0.1455013521,25.6292431232,1.344614525917,0.344614525918,564.829241718521,112.612547629875,39.27358341692,0.159340192314,0.799200461176,2.291616709496,,,,,,,,,,,,,,,,,,,,,,,,,61.543492478744,8.7234295287,26.768511178356,-1.004059749688,130.640631474602,53.488372093,52.835027309711,-25.604499611563,2024,2.630348299183,46.262344689416,,,,-8.59662895025,84.828932307527,91.04490322184,7.405616281436,158.881300255016,112.982833760425,0.654189983657,2.328863259669,2.328863259669,0.368810672041,,,,10.9094763069,1.884078290161,0.553671041397,0.285314533682,8.249708553203,47.768715594249,151.886482397916,1.643470579459,1.312014653473,,56.6064057637,43.3935942363,376.398952086989,5.6283168632,131.201465347296,334433496.031169,887740698.379789,0.937424135422,0.147489420969,1.356089228056,1.670520344656,0.127558182701,,,,,,,,,5087913657.8,,,,,,,,,0
600420.SH,600420,国药现代,10007230,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-03-30 00:00:00,2025-03-28 00:00:00,CNY,0.5433,0.5364,0.5433,9.236961849929,3.880017779493,4.03108047226,1.282738455906,12069930213.38,4625917069.88,691880495.68,683151372.17,-6.862939440975,10.208059072688,23.611447602058,-2.677878771657,-9.598998000036,-6.00092281409,6.02,5.94,4.9489260724,7.9918501361,38.3259636808,0.001161490693,0.574804305381,0.142533863711,12.0329833957,2.819552286781,2.216222585749,0.455164427694,25.9094439468,1.349699682753,0.349699682753,581.351591617353,114.135526989281,48.221894727211,0.619246605997,3.154144984443,7.465488488922,,,,,,,,,,,,,,,,,,,,,,,,,-11.12383445117,7.7809442359,26.768585186639,-3.297833466515,-47.350385263345,-15.0916784203,10.390937766311,-31.982228309899,2023,5.885971456736,-5.154942360765,,,,-10.249851662139,-36.473321434862,-22.17864474712,7.017625171024,-41.566871193411,-26.412296253586,0.648997853282,8.99953472463,8.99953472463,0.779480897006,11608.0,1039794.12589421,59603.7642729152,34.943123583388,7.776401327157,2.152002583289,1.080496629362,10.302456194018,46.293907021336,162.358975188088,1.984752489604,1.580191579037,29.721218100689,55.0684004586,44.9315995414,372.710579165978,5.9144253278,158.019157903749,2116184894.43165,1999308597.13173,0.937196845948,0.58452539383,1.590542433063,1.783490196698,0.301532259269,,,,,,,,,5014068776.55,,,,,,,,,0
