报告日,流动资产,货币资金,结算备付金,拆出资金,交易性金融资产,买入返售金融资产,衍生金融资产,应收票据及应收账款,应收票据,应收账款,应收款项融资,预付款项,应收股利,应收利息,应收保费,应收分保账款,应收分保合同准备金,应收出口退税,应收补贴款,应收保证金,内部应收款,其他应收款,其他应收款(合计),存货,划分为持有待售的资产,待摊费用,待处理流动资产损益,一年内到期的非流动资产,其他流动资产,流动资产合计,非流动资产,发放贷款及垫款,债权投资,其他债权投资,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,可供出售金融资产,长期股权投资,投资性房地产,长期应收款,其他权益工具投资,其他非流动金融资产,其他长期投资,固定资产原值,累计折旧,固定资产净值,固定资产减值准备,在建工程合计,在建工程,工程物资,固定资产净额,固定资产清理,固定资产及清理合计,生产性生物资产,公益性生物资产,油气资产,合同资产,使用权资产,无形资产,开发支出,商誉,长期待摊费用,股权分置流通权,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,流动负债,短期借款,向中央银行借款,吸收存款及同业存放,拆入资金,交易性金融负债,衍生金融负债,应付票据及应付账款,应付票据,应付账款,预收款项,合同负债,卖出回购金融资产款,应付手续费及佣金,应付职工薪酬,应交税费,应付利息,应付股利,应付保证金,内部应付款,其他应付款,其他应付款合计,其他应交款,担保责任赔偿准备金,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,国际票证结算,国内票证结算,预提费用,预计流动负债,应付短期债券,划分为持有待售的负债,一年内的递延收益,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,应付债券,应付债券：优先股,应付债券：永续债,租赁负债,长期应付职工薪酬,长期应付款,长期应付款合计,专项应付款,预计非流动负债,长期递延收益,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,所有者权益,实收资本(或股本),其他权益工具,优先股,永续债,资本公积,减:库存股,其他综合收益,专项储备,盈余公积,一般风险准备,未确定的投资损失,未分配利润,拟分配现金股利,外币报表折算差额,归属于母公司股东权益合计,少数股东权益,所有者权益(或股东权益)合计,负债和所有者权益(或股东权益)总计,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,3724033884.08,,,,,,1301184724.51,92757418.01,1208427306.5,486120279.61,37194159.73,,,,,,,,,,,85910460.9,1848826384.31,,,,813015937.65,3117046084.23,11413331915.02,,,,,,,,204161090.5,68442903.93,,,218121958.72,,,,,,145260022.99,,,,,5056623893.82,,,,,41303647.38,744392045.12,223929269.05,160151939.27,25406001.69,,104929972.36,1053676509.04,8046399253.87,19459731168.89,,,,,,,,1894003576.65,1266109776.01,627893800.64,8858548.84,123302129.24,,,144534603.13,78342819.72,,2665071.33,,,,901947399.62,,,,,,,,,,,,,,9004805.2,16767289.73,3176761172.13,,,,,,28852078.01,11409824.0,,,,56956262.7,86316413.58,62572279.95,,246106858.24,3422868030.37,,1341172692.0,,,,5213114810.68,,-1108278.3,,478223263.39,,,6885838140.23,,,13917240628.0,2119622510.52,16036863138.52,19459731168.89,定期报告,未审计,20260430,CNY,合并期末,2026-04-29T16:42:05
20251231,,4005897798.3,,,,,,1036497512.71,34432939.74,1002064572.97,130255798.56,74287590.63,,,,,,,,,,81549491.39,81549491.39,1749441481.25,,,,948828412.2,3226273459.56,11253031544.6,,,,,,,,193645527.46,47691229.95,,,218121958.72,,12952246110.94,7820855236.37,5131390874.57,42607049.94,208911229.41,206832468.34,2078761.07,5088783824.63,,5088783824.63,,,,,43786966.0,759985072.99,199538868.38,160151939.27,27817715.0,,115824193.3,909556846.61,7973815371.72,19226846916.32,,,,,,,,1809904743.69,1143090256.53,666814487.16,2368574.3,91443837.07,,,134781034.74,112456631.0,,2665071.33,,,962271958.44,964937029.77,,,,,,,,,,,,,,8851490.73,9281332.44,3134024673.74,,,,,,33750954.71,11409824.0,,,,56956262.7,83486300.17,62495116.27,,248098457.85,3382123131.59,,1341172692.0,,,,5213114810.68,,-1108278.3,,478223263.39,,,6747439434.02,,,13778841921.79,2065881862.94,15844723784.73,19226846916.32,定期报告,是,20260430,CNY,合并期末,2026-03-27T18:18:04
20250930,,4141241012.6,,,,,,1195545898.53,92807594.62,1102738303.91,318554484.91,92247883.59,,,,,,,,,,,88209366.37,1983027298.4,,,,558273749.43,2422527827.84,10799627521.67,,,,,,,,191241140.73,48206075.07,,,220868244.95,,,,,,134395630.9,,,,,5239859689.89,,,,,50104175.32,750521830.65,223043320.21,160151939.27,30838897.57,,97447324.53,1384495212.92,8531173482.01,19330801003.68,,,,,,,,1801035781.46,1126848637.81,674187143.65,3083602.74,117868027.96,,,235251161.97,88301566.33,,2800881.32,,,,1089426523.55,,,,,,,,,,,,,,11262767.02,14833191.97,3361062623.0,,,,,,36444725.73,363937.0,,,,56956262.7,104696596.29,72695340.63,,271156862.35,3632219485.35,,1341172692.0,,,,5213114810.68,,-1202193.52,,441245787.6,,,6643986789.66,,,13638317886.42,2060263631.91,15698581518.33,19330801003.68,定期报告,未审计,20251030,CNY,合并期末,2025-10-29T16:26:08
20250630,,4697092195.43,,,,,,1341161194.06,133934057.94,1207227136.12,377171808.28,81559891.05,,,,,,,,,,91331624.6,91331624.6,2124987240.18,,,,294752708.31,1894929867.17,10902986529.08,,,,,,,,184178355.63,50096378.05,,,220868244.95,,13158266732.24,7850546936.38,5307719795.86,41929477.87,148849862.61,148849862.61,,5265790317.99,1680539.09,5267470857.08,,,,,57290003.04,725181650.31,233902488.78,160151939.27,24734254.76,,101031538.4,1588426420.79,8762181993.67,19665168522.75,,30028194.45,,,,,,1789502577.69,1030181987.7,759320589.99,3694216.04,92527872.68,,,222966403.31,107795111.91,,271038095.03,,,1174629429.83,1445667524.86,,,,,,,,,,,,,,11635830.02,11740782.03,3715558512.99,,,,,,43062166.17,363937.0,,,,56956262.7,108617400.76,70960292.23,,279960058.86,3995518571.85,,1341172692.0,,,,5213114810.68,,-1202193.52,,441245787.6,,,6648999370.23,,,13643330466.99,2026319483.91,15669649950.9,19665168522.75,定期报告,未审计,20250830,CNY,合并期末,2025-08-29T16:54:02
20250331,,5109086433.09,,,,,,1251369605.62,134006935.79,1117362669.83,357432333.53,174913084.93,,,,,,,,,,,96424450.76,2091351135.35,,,,156434305.56,1691026923.93,10928038272.77,,,,,,,,178338193.08,51986680.95,,,220868244.95,,,,,,139113064.04,,,,,5324657315.64,,,,,62779319.35,632936880.51,281021062.98,160151939.27,25116098.51,,104762315.97,1219024172.15,8400755287.4,19328793560.17,,50051180.56,,,,,,1423138376.42,708176090.0,714962286.42,3135479.32,110806222.8,,,208709122.42,130138584.25,,,,,,1342287095.69,,,,,,,,,,,,,,10793420.16,15626613.21,3294686094.83,,,,,,48596860.01,363937.0,,,,56956262.7,110482316.36,72203969.34,,288603345.41,3583289440.24,,1341172692.0,,,,5203773890.33,,-911228.74,,441245787.6,,,6580056790.51,,,13565337931.7,2180166188.23,15745504119.93,19328793560.17,定期报告,未审计,20250429,CNY,合并期末,2025-04-28T16:24:03
20241231,,6211941467.03,,,,,,1067928476.1,52532874.45,1015395601.65,293062646.91,97756899.26,,,,,,,,,,85554426.5,85554426.5,2208799259.06,,,,155547777.78,1563513171.58,11684104124.22,,,,,,,,169440903.81,53649843.04,,,221152521.68,,12986520367.76,7598582745.91,5387937621.85,42843684.84,142677261.85,142677261.85,,5345093937.01,299299.75,5345393236.76,,,,,62376217.24,591291755.4,305760435.15,160151939.27,27898166.1,,103145186.53,1088555879.64,8271493346.47,19955597470.69,,50051180.56,,,,,,1281726982.19,553429618.25,728297363.94,6182810.63,187143039.2,,,247960828.86,110988688.53,,2803556.63,,,1394828319.24,1397631875.87,,,,,,,,,,,,,,1039900945.23,22024603.17,4343610954.24,,,,,,47937211.36,363937.0,,,,56956262.7,113990359.76,70774372.62,,290022143.44,4633633097.68,,1341172692.0,,,,5203773890.33,,-911228.74,,441245787.6,,,6218643031.32,,,13203924172.51,2118040200.5,15321964373.01,19955597470.69,定期报告,是,20260328,CNY,合并期末,2025-03-27T19:40:05
20240930,,5640383992.28,,,,,,1411460427.48,93657942.45,1317802485.03,292158094.42,104477058.07,,,,,,,,,,,91401338.15,2219546557.42,,,,50000000.0,1788889540.21,11598317008.03,,,,,,,,161383109.43,52457330.61,,,221868961.63,,,,,,148729141.58,,,,,5403994117.88,,,,,65844802.24,556364659.09,331345928.7,160151939.27,40650666.15,,133967903.13,1191088597.79,8467847157.5,20066164165.53,,50086250.03,,,,,,1412780539.27,579659601.8,833120937.47,5443602.6,176884921.78,,,278053767.29,109368787.78,,2800881.32,,,,1531123607.03,,,,,,,,,,,,,,1031718203.82,22766124.14,4618225803.74,,,,,,49903338.44,518386.0,,,,,124239364.76,80227805.43,,254888894.63,4873114698.37,,1341172692.0,,,,5203773890.33,,-1197741.69,,438125426.79,,,6092666897.43,,,13074541164.86,2118508302.3,15193049467.16,20066164165.53,定期报告,未审计,20241029,CNY,合并期末,2024-10-28T20:30:04
20240630,,6453592345.48,,,,,,1465310794.58,96024391.16,1369286403.42,335359881.34,151661304.15,,,,,,,,,,92407993.98,92407993.98,2274441954.24,,,,,619945178.5,11392719452.27,,,,,,,,160664123.1,54524088.99,,,224155598.82,,12942206182.22,7469149525.67,5473056656.55,27635143.03,155318589.44,154279224.86,1039364.58,5445421513.52,,5445421513.52,,,,,70668106.39,562231289.42,321722234.07,160151939.27,38225664.99,,146060208.76,1237453688.5,8576597045.27,19969316497.54,,40038055.55,,,,,,1465938298.75,589561285.2,876377013.55,5472602.79,138319359.89,,,250735743.71,76359645.0,,2800881.32,,,1615831472.81,1618632354.13,,,,,,,,,,,,,,1023731298.94,16199413.43,4635426772.19,,,,,,52788335.92,518386.0,,,,,115160509.8,77001655.4,,245468887.12,4880895659.31,,1341172692.0,,,,5203773890.33,,-1197741.69,,438125426.79,,,5990735042.9,,,12972609310.33,2115811527.9,15088420838.23,19969316497.54,定期报告,未审计,20240828,CNY,合并期末,2024-08-27T18:35:26
20240331,,6414879654.28,,,,,,1528044759.05,143666139.81,1384378619.24,412929027.8,189015496.21,,,,,,,,,,,92554424.25,2348904819.25,,,,,251167347.96,11237495528.8,,,,,,,,154374395.48,55734023.42,,,224155598.82,,,,,,111539645.33,,,,,5577101307.71,,,,,74268640.45,542766126.8,316370176.39,160151939.27,39302524.03,,158365796.14,1200359911.35,8614490085.19,19851985613.99,,45048430.55,,,,,,1637757928.53,627204082.9,1010553845.63,10748937.38,182944440.83,,,195100507.04,116134570.33,,2800881.32,,,,1659947604.12,,,,,,,,,,,,,,1016119876.39,25533077.19,4889335372.36,,,,,,56164347.06,518386.0,,,,,119755557.16,22139995.22,,198578285.44,5087913657.8,,1341172692.0,,,,5203773890.33,,-1086067.6,,438125426.79,,,5737632198.83,,,12719618140.35,2044453815.84,14764071956.19,19851985613.99,定期报告,未审计,20240430,CNY,合并期末,2024-04-29T17:30:14
20231231,,5972611230.69,,,,,,1445038272.42,103474290.24,1341563982.18,605761502.42,150114888.32,,,,,,,,,,84070647.03,84070647.03,2280390426.07,,,,,119005436.34,10656992403.29,,,,,,,,155515071.06,57800781.74,,,224155598.82,,12870378520.42,7136925338.99,5733453181.43,28014591.84,101350070.11,100067948.49,1282121.62,5705438589.59,,5705438589.59,,,,,77869174.54,511184078.77,302936904.21,160151939.27,28806693.3,,153133604.97,1216947550.93,8695290057.31,19352282460.6,,45048430.33,,,,,,1558620624.95,605490204.22,953130420.73,14019111.61,230585426.62,,,272811979.22,87290646.76,,2800881.32,,,1530290601.2,1533091482.52,,,,,,,,,,,,,,10604941.62,27602751.38,3779675395.01,,,1030956986.3,,,57965937.11,518386.0,,,,,122802480.3,22149591.83,,1234393381.54,5014068776.55,,1341172692.0,,,,5203773890.33,,-1086067.6,,438125426.79,,,5406375048.65,,,12388360990.17,1949852693.88,14338213684.05,19352282460.6,定期报告,是,20250328,CNY,合并期末,2024-03-29T19:05:07
