报告日,经营活动产生的现金流量,销售商品、提供劳务收到的现金,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资所收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,减少质押和定期存款所收到的现金,处置可供出售金融资产净增加额,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,增加质押和定期存款所支付的现金,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,期初现金及现金等价物余额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,1433187760.11,,,,,,,,,,,7719458.68,23289452.96,1464196671.75,1085520820.39,,,,,,399454809.78,153833077.22,188701903.93,1827510611.32,-363313939.57,,,23570739.84,600.0,,1965610416.67,,,1989181756.51,56656829.03,,,,,1883640000.0,1940296829.03,48884927.48,,,,,,,0.0,,,,5273823.32,5273823.32,-5273823.32,-6150170.86,-325853006.27,3824394182.04,,,,,3498541175.77,定期报告,未审计,20260430,CNY,合并期末,2026-04-29T16:42:06
20251231,,9367460124.44,,,,,,,,,,,42838500.18,189428213.28,9599726837.9,4130391864.2,,,,,,1817672846.11,650850023.38,1302723050.88,7901637784.57,1698089053.33,,3030562.96,38545130.72,6153234.9,102598445.98,4484682991.48,,,4635010366.04,263826239.02,,,,,6762794625.0,7026620864.02,-2391610497.98,,,,,,40000000.0,40000000.0,1050000000.0,512929759.63,85034359.77,119513377.43,1682443137.06,-1642443137.06,15344679.24,-2320619902.47,6145014084.51,3824394182.04,6145014084.51,,,3824394182.04,定期报告,是,20260328,CNY,合并期末,2026-03-27T18:18:03
20250930,,6556114497.37,,,,,,,,,,,42833163.39,122304154.75,6721251815.51,2858346117.6,,,,,,1244115288.26,509896460.46,967264214.08,5579622080.4,1141629735.11,,284276.73,24526859.41,3268112.46,,3381348250.0,,,3409427498.6,206804927.07,,,,,4877422125.0,5084227052.07,-1674799553.47,,,,,,,0.0,1050000000.0,475452502.03,44755390.22,115519644.07,1640972146.1,-1640972146.1,18636588.38,-2155505376.08,6145014084.51,,,,,3989508708.43,定期报告,未审计,20251030,CNY,合并期末,2025-10-29T16:26:21
20250630,,4304724164.42,,,,,,,,,,,39127684.33,84157633.56,4428009482.31,1839667959.45,,,,,,854671562.41,380324938.54,685364756.01,3760029216.41,667980265.9,,284276.73,12140416.68,1792958.86,,2416000000.0,,,2430217652.27,139697905.48,,,,,3386000000.0,3525697905.48,-1095480253.21,,,,,,,0.0,1020000000.0,60332219.65,44755390.22,116340294.07,1196672513.72,-1196672513.72,20317200.65,-1603855300.38,6145014084.51,4541158784.13,6145014084.51,,,4541158784.13,定期报告,未审计,20250830,CNY,合并期末,2025-08-29T16:54:05
20250331,,2138703808.42,,,,,,,,,,,31727638.6,38051653.66,2208483100.68,954203628.27,,,,,,465692255.85,176618848.79,307161037.62,1903675770.53,304807330.15,,284276.73,9894832.27,1425015.46,,1060000000.0,,,1071604124.46,52869275.7,,,,,1356600000.0,1409469275.7,-337865151.24,,,,,,,0.0,1000000000.0,31391279.07,,82800663.61,1114191942.68,-1114191942.68,12181169.6,-1135068594.17,6145014084.51,,,,,5009945490.34,定期报告,未审计,20260430,CNY,合并期末,2025-04-28T16:24:05
20241231,,10431219711.33,,,,,,,,,,,79644554.17,312641925.81,10823506191.31,4367396431.08,,,,,,1783370277.25,772688716.73,1644070070.47,8567525495.53,2255980695.78,,3003077.14,17098554.23,21945397.94,,1611499500.0,,,1653546529.31,219772901.59,,,,,2290000000.0,2509772901.59,-856226372.28,,,,50000000.0,,,50000000.0,45000000.0,380948691.46,80266646.44,39467791.07,465416482.53,-415416482.53,29631385.74,1013969226.71,5131044857.8,6145014084.51,5131044857.8,,,6145014084.51,定期报告,是,20260328,CNY,合并期末,2025-03-27T19:40:04
20240930,,8063674065.43,,,,,,,,,,,31042213.92,414634771.67,8509351051.02,3392793453.04,,,,,,1299639115.27,591153950.53,1199304587.55,6482891106.39,2026459944.63,,2286637.19,6881470.82,14728000.48,,677573861.16,,,701469969.65,156028789.97,,,,,1900000000.0,2056028789.97,-1354558820.32,,,,50000000.0,,,50000000.0,45000000.0,379369643.21,81037635.29,32695096.07,457064739.28,-407064739.28,24552595.34,289388980.37,5131044857.8,,,,,5420433838.17,定期报告,未审计,20251030,CNY,合并期末,2024-10-28T20:30:04
20240630,,5541758391.53,,,,,,,,,,,19953600.95,890163266.77,6451875259.25,2318605934.78,,,,,,887424939.91,455512208.09,973324777.25,4634867860.03,1817007399.22,,,,1196950.28,,,,,1196950.28,110215678.28,,,,,497000000.0,607215678.28,-606018728.0,,,,20000000.0,,,20000000.0,25000000.0,172797716.69,6951628.16,11920872.9,209718589.59,-189718589.59,18510922.58,1039781004.21,5131044857.8,6170825862.01,5131044857.8,,,6170825862.01,定期报告,未审计,20250830,CNY,合并期末,2024-08-27T18:35:56
20240331,,2927957863.3,,,,,,,,,,,10883051.91,201072402.94,3139913318.15,1172877325.06,,,,,,510641763.5,239882899.73,505106422.31,2428508410.6,711404907.55,,,,811982.28,,,,,811982.28,56070994.8,,,,,130000000.0,186070994.8,-185259012.52,,,,,,,0.0,,36101474.56,4500000.0,8911256.82,45012731.38,-45012731.38,2498251.03,483631414.68,5134331493.77,,,,,5617962908.45,定期报告,未审计,20250429,CNY,合并期末,2024-04-29T17:20:16
20231231,,11311900526.79,,,,,,,,,,,75847533.17,605954113.04,11993702173.0,4374052674.49,,,,,,1633129543.31,827480346.36,3438665820.8,10273328384.96,1720373788.04,,2007363.27,26191023.72,10958823.72,,,,,39157210.71,357193792.2,,,,,1044850916.67,1402044708.87,-1362887498.16,,,,45000000.0,,,45000000.0,752800000.0,364159004.86,174804142.71,21431162.45,1138390167.31,-1093390167.31,32072779.71,-703831097.72,5834875955.52,5131044857.8,5834875955.52,,,5131044857.8,定期报告,是,20250328,CNY,合并期末,2024-03-29T19:05:08
