报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,2064308731.95,2064308731.95,,,,,,1831280671.98,1440916754.47,,,,,,,,,25342173.83,78818875.25,120808052.67,157659589.15,7735226.61,538226.71,,29345461.6,10515563.04,,,,,,,,16728204.52,-10861119.9,-8814861.23,,-71247.36,259354497.6,1088023.45,,12123325.24,,248319195.81,56179842.02,,192139353.79,192139353.79,,138398706.21,,53740647.58,,,,,,,,,,,,,,,,,,,,192139353.79,138398706.21,53740647.58,0.1032,0.1032,定期报告,未审计,20260430,CNY,合并期末,2026-04-29T16:42:03
20251231,9363074210.11,9363074210.11,,,,,,8138476387.82,6327073047.39,,,,,,,,,114581885.34,441787180.31,530429479.49,763780746.49,-39175951.2,4385554.0,,133898891.94,24401673.21,-562406.23,,,,,,,97421082.25,-124085889.98,-15665563.81,,-2651461.17,1313514881.52,35968925.55,,21898768.83,,1327585038.24,185419414.98,,1142165623.26,1142165623.26,,941601686.09,,200563937.17,-197049.56,-197049.56,,,,,,-197049.56,-197049.56,,,,,,,,,,,1141968573.7,941404636.53,200563937.17,0.7021,0.7021,定期报告,是,20260328,CNY,合并期末,2026-03-27T18:18:03
20250930,6920393170.38,6920393170.38,,,,,,5860075336.79,4616387318.32,,,,,,,,,70315957.43,331629773.76,354815378.47,526067125.61,-39140216.8,4161997.52,,68287525.45,22091201.7,,,,,,,,51659244.0,-58835473.22,-16983348.29,,-741783.88,1103703997.65,29951908.93,,18166847.34,,1115489059.24,182260157.23,,933228902.01,933228902.01,,801171565.94,,132057336.07,-290964.78,-290964.78,,,,,,-290964.78,-290964.78,,,,,,,,,,,932937937.23,800880601.16,132057336.07,0.5974,0.5974,定期报告,未审计,20251030,CNY,合并期末,2025-10-29T16:26:07
20250630,4877673521.93,4877673521.93,,,,,,3975475386.48,3120035803.48,,,,,,,,,50814542.59,229501770.24,267345485.35,341351783.38,-33573998.56,2843148.12,,41030017.72,15028416.6,-154530.15,,,,,,,36491371.98,-38676688.82,-20813687.55,,-65422.93,920163725.85,12356357.26,,7593129.06,,924926954.05,154746888.67,,770180065.38,770180065.38,,672066877.31,,98113188.07,-290964.78,-290964.78,,,,,,-290964.78,-290964.78,,,,,,,,,,,769889100.6,671775912.53,98113188.07,0.5011,0.5011,定期报告,未审计,20250830,CNY,合并期末,2025-08-29T16:54:04
20250331,2606778071.34,2606778071.34,,,,,,2109040170.15,1639786034.72,,,,,,,,,25434133.06,110732450.33,182917156.79,170297645.51,-20127250.26,1406133.14,,20681510.13,8897289.27,,,,,,,,21799967.01,-19213632.51,-11497455.74,,-451811.48,509056478.6,6258395.12,,4268114.13,,511046759.59,87507012.67,,423539746.92,423539746.92,,361413759.19,,62125987.73,,,,,,,,,,,,,,,,,,,,423539746.92,361413759.19,62125987.73,0.2695,0.2695,定期报告,未审计,20260430,CNY,合并期末,2025-04-28T16:24:03
20241231,10937525114.43,10937525114.43,,,,,,9209243716.28,6645214332.76,,,,,,,,,131545473.11,575929683.34,1151961230.5,793272889.94,-88679893.37,36887575.36,,64105907.49,13750993.89,-382731.39,,,,,,,156989031.04,-168498777.81,2355979.98,,-31310025.43,1751923513.42,15259934.4,,94129610.68,,1673053837.14,340974126.89,,1332079710.25,1332079710.25,,1083622881.88,,248456828.37,174838.86,174838.86,78964.0,,78964.0,,,95874.86,95874.86,,,,,,,,,,,1332254549.11,1083797720.74,248456828.37,0.808,0.808,定期报告,是,20260328,CNY,合并期末,2025-03-27T19:42:02
20240930,8593322350.59,8593322350.59,,,,,,7149548193.4,5182776783.47,,,,,,,,,91849830.17,416208957.38,969120997.86,556786615.94,-67194991.42,27837847.97,,36495743.56,5979712.46,-22815.27,,,,,,,91439320.66,-93834179.46,-4009663.05,,-5493372.69,1468372006.21,10042756.13,,21724505.36,,1456690256.98,257243613.37,,1199446643.61,1199446643.61,,954526387.18,,244920256.43,-111674.09,-111674.09,,,,,,-111674.09,-111674.09,,,,,,,,,,,1199334969.52,954414713.09,244920256.43,0.7117,0.7117,定期报告,未审计,20251030,CNY,合并期末,2024-10-28T20:32:03
20240630,5960093922.86,5960093922.86,,,,,,4938858986.31,3598033483.09,,,,,,,,,67551190.03,244601026.49,716477575.38,373755281.67,-61559570.35,18697936.94,,16838682.09,5260726.13,-22815.27,,,,,,,75586044.01,-11308517.94,-3597539.2,,-2049581.83,1096704023.68,7749451.45,,18051572.89,,1086401902.24,199514176.61,,886887725.63,886887725.63,,718477263.45,,168410462.18,-111674.09,-111674.09,,,,,,-111674.09,-111674.09,,,,,,,,,,,886776051.54,718365589.36,168410462.18,0.5357,0.5357,定期报告,未审计,20250830,CNY,合并期末,2024-08-27T18:37:05
20240331,3123407807.27,3123407807.27,,,,,,2626556816.56,1849867447.49,,,,,,,,,38402592.27,121609766.63,453603798.38,184147588.34,-21074376.55,9474971.45,,2479299.44,-1140675.58,,,,,,,,33474373.62,-3251252.97,-2755504.8,,-2197538.39,524600367.61,802847.15,,17399920.23,,508003294.53,82145022.39,,425858272.14,425858272.14,,331257150.18,,94601121.96,,,,,,,,,,,,,,,,,,,,425858272.14,331257150.18,94601121.96,0.247,0.247,定期报告,未审计,20250429,CNY,合并期末,2024-04-29T17:22:43
20231231,12069930213.38,12069930213.38,,,,,,10999674408.49,7444013143.5,,,,,,,,,138119869.62,569431845.96,2153535875.44,770065790.3,-75492116.33,57883690.44,,27453725.69,5604038.96,-192462.75,,,,,,,76813337.26,-79105481.47,18054730.86,,-31845024.31,1081627092.92,25490717.38,,10558245.8,,1096559564.5,131948830.32,,964610734.18,964610734.18,,691880495.68,,272730238.5,90798.02,90798.02,157280.63,,157280.63,,,-66482.61,-66482.61,,,,,,,,,,,964701532.2,691971293.7,272730238.5,0.5433,0.5433,定期报告,是,20250328,CNY,合并期末,2024-03-29T19:07:05
