报告期,报表核心指标,*净利润,*营业总收入,*营业总成本,*归属于母公司所有者的净利润,*扣除非经常性损益后的净利润,报表全部指标,一、营业总收入,其中：营业收入,二、营业总成本,其中：营业成本,营业税金及附加,销售费用,管理费用,研发费用,财务费用,其中：利息费用,利息收入,资产减值损失,信用减值损失,加：公允价值变动收益,投资收益,其中：联营企业和合营企业的投资收益,资产处置收益,其他收益,三、营业利润,加：营业外收入,其中：非流动资产处置利得,减：营业外支出,其中：非流动资产处置损失,四、利润总额,减：所得税费用,五、净利润,（一）持续经营净利润,归属于母公司所有者的净利润,少数股东损益,扣除非经常性损益后的净利润,六、每股收益,（一）基本每股收益,（二）稀释每股收益,七、其他综合收益,归属母公司所有者的其他综合收益,八、综合收益总额,归属于母公司股东的综合收益总额,归属于少数股东的综合收益总额
2025,,11.42亿,93.63亿,82.78亿,9.42亿,8.49亿,,93.63亿,93.63亿,82.78亿,63.27亿,1.15亿,5.30亿,7.64亿,4.42亿,-3917.60万,438.56万,4358.74万,1.24亿,1566.56万,False,1.34亿,2440.17万,-265.15万,9742.11万,13.14亿,3596.89万,False,2189.88万,False,13.28亿,1.85亿,11.42亿,11.42亿,9.42亿,2.01亿,8.49亿,,0.70,0.70,-19.70万,-19.70万,11.42亿,9.41亿,2.01亿
2024,,13.32亿,109.38亿,93.75亿,10.84亿,10.43亿,,109.38亿,109.38亿,93.75亿,66.45亿,1.32亿,11.52亿,7.93亿,5.76亿,-8867.99万,3688.76万,8696.99万,1.68亿,-235.60万,False,6410.59万,1375.10万,-3131.00万,1.57亿,17.52亿,1525.99万,False,9412.96万,False,16.73亿,3.41亿,13.32亿,13.32亿,10.84亿,2.48亿,10.43亿,,0.81,0.81,17.48万,17.48万,13.32亿,10.84亿,2.48亿
2023,,9.65亿,120.70亿,110.61亿,6.92亿,6.83亿,,120.70亿,120.70亿,110.61亿,74.44亿,1.38亿,21.54亿,7.70亿,5.69亿,-7549.21万,5788.37万,1.09亿,7910.55万,-1805.47万,False,2745.37万,560.40万,-3184.50万,7681.33万,10.82亿,2549.07万,False,1055.82万,False,10.97亿,1.32亿,9.65亿,9.65亿,6.92亿,2.73亿,6.83亿,,0.54,0.54,9.08万,9.08万,9.65亿,6.92亿,2.73亿
2022,,8.67亿,129.59亿,120.73亿,6.28亿,5.53亿,,129.59亿,129.59亿,120.73亿,80.25亿,1.14亿,27.46亿,6.84亿,5.21亿,-4612.90万,1.07亿,5934.60万,4670.43万,-1759.03万,False,234.25万,494.88万,-110.34万,7867.70万,9.66亿,4359.25万,False,2560.77万,False,9.84亿,1.17亿,8.67亿,8.67亿,6.28亿,2.40亿,5.53亿,,0.61,0.54,49.75万,49.75万,8.68亿,6.28亿,2.40亿
2021,,8.21亿,139.45亿,131.02亿,5.68亿,4.97亿,,139.45亿,139.45亿,131.02亿,78.48亿,1.29亿,34.85亿,7.49亿,5.89亿,1.00亿,1.10亿,4884.24万,1.76亿,2486.92万,False,-2403.93万,-1063.96万,20.28万,7796.60万,8.98亿,4725.97万,False,2661.29万,False,9.18亿,9706.29万,8.21亿,8.21亿,5.68亿,2.53亿,4.97亿,,0.55,0.48,25.30万,25.30万,8.21亿,5.69亿,2.53亿
2020,,9.00亿,125.56亿,116.66亿,6.49亿,5.16亿,,125.56亿,125.56亿,116.66亿,66.45亿,1.27亿,33.97亿,7.37亿,4.99亿,1.60亿,1.24亿,3678.30万,7498.39万,2623.99万,False,-2180.73万,-1797.52万,2391.65万,1.32亿,10.24亿,3132.88万,False,1439.58万,False,10.41亿,1.41亿,9.00亿,9.00亿,6.49亿,2.51亿,5.16亿,,0.63,0.55,3.28万,3.28万,9.00亿,6.49亿,2.51亿
2019,,9.28亿,121.99亿,111.90亿,6.56亿,5.90亿,,121.99亿,121.99亿,111.90亿,61.39亿,1.37亿,36.10亿,7.25亿,4.17亿,1.26亿,1.89亿,5165.39万,2938.35万,676.02万,False,-4281.09万,-1796.73万,-1408.33万,7911.24万,10.31亿,5030.56万,False,853.59万,False,10.73亿,1.44亿,9.28亿,9.28亿,6.56亿,2.72亿,5.90亿,,0.62,0.57,-81.92万,-81.92万,9.28亿,6.56亿,2.72亿
2018,,10.70亿,113.21亿,105.33亿,7.06亿,4.19亿,,113.21亿,113.21亿,105.33亿,57.99亿,1.55亿,32.43亿,7.19亿,3.74亿,1.49亿,2.04亿,3430.64万,9437.37万,False,False,4.25亿,1833.78万,-292.55万,7185.97万,12.82亿,2415.67万,False,1216.12万,False,12.94亿,2.24亿,10.70亿,10.70亿,7.06亿,3.64亿,4.19亿,,0.65,0.65,False,False,10.70亿,7.06亿,3.64亿
2017,,8.19亿,85.18亿,77.21亿,5.16亿,4.26亿,,85.18亿,85.18亿,77.21亿,48.27亿,1.38亿,14.90亿,6.54亿,3.19亿,2.71亿,2.54亿,2090.82万,2251.44万,False,False,1917.79万,1676.38万,4920.56万,5722.66万,9.23亿,5260.72万,False,2167.22万,False,9.54亿,1.35亿,8.19亿,8.19亿,5.16亿,3.03亿,4.26亿,,0.46,0.46,False,False,8.19亿,5.16亿,3.03亿
2016,,8.54亿,91.26亿,82.31亿,4.77亿,1.62亿,,91.26亿,91.26亿,82.31亿,58.27亿,1.22亿,10.10亿,9.55亿,False,2.59亿,False,False,5939.40万,False,-240.53万,1569.22万,1568.98万,-943.30万,False,8.98亿,1.61亿,False,2333.94万,False,10.37亿,1.82亿,8.54亿,8.54亿,4.77亿,3.77亿,1.62亿,,0.43,0.43,False,False,8.54亿,4.77亿,3.77亿
