报告期,报表核心指标,*现金及现金等价物净增加额,*经营活动产生的现金流量净额,*投资活动产生的现金流量净额,*筹资活动产生的现金流量净额,*期末现金及现金等价物余额,报表全部指标,一、经营活动产生的现金流量,销售商品、提供劳务收到的现金,收到的税费与返还,收到其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,二、投资活动产生的现金流量,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,三、筹资活动产生的现金流量,吸收投资收到的现金,其中：子公司吸收少数股东投资收到的现金,取得借款收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,其中：子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金及现金等价物的影响,五、现金及现金等价物净增加额,加：期初现金及现金等价物余额,六、期末现金及现金等价物余额,补充资料：,1、将净利润调节为经营活动现金流量：,净利润,加：资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,间接法-经营活动产生的现金流量净额,2、不涉及现金收支的重大投资和筹资活动：,融资租入固定资产,3、现金及现金等价物净变动情况：,现金的期末余额,减：现金的期初余额,加：现金等价物的期末余额,减：现金等价物的期初余额,间接法-现金及现金等价物净增加额
2025,,-23.21亿,16.98亿,-23.92亿,-16.42亿,38.24亿,,,93.67亿,4283.85万,1.89亿,96.00亿,41.30亿,18.18亿,6.51亿,13.03亿,79.02亿,16.98亿,,303.06万,3854.51万,615.32万,1.03亿,44.85亿,46.35亿,2.64亿,False,False,67.63亿,70.27亿,-23.92亿,,False,False,False,4000.00万,4000.00万,10.50亿,5.13亿,8503.44万,1.20亿,16.82亿,-16.42亿,1534.47万,-23.21亿,61.45亿,38.24亿,,,11.42亿,1.24亿,6.50亿,6689.83万,662.27万,265.15万,116.08万,False,438.56万,-1.34亿,-1267.90万,-827.93万,4.86亿,1.87亿,-8.33亿,False,16.98亿,,False,,38.24亿,61.45亿,False,False,-23.21亿
2024,,10.14亿,22.56亿,-8.56亿,-4.15亿,61.45亿,,,104.31亿,7964.46万,3.13亿,108.24亿,43.67亿,17.83亿,7.73亿,16.44亿,85.68亿,22.56亿,,300.31万,1709.86万,2194.54万,False,16.11亿,16.54亿,2.20亿,False,False,22.90亿,25.10亿,-8.56亿,,False,False,5000.00万,False,5000.00万,4500.00万,3.81亿,8026.66万,3946.78万,4.65亿,-4.15亿,2963.14万,10.14亿,51.31亿,61.45亿,,,13.32亿,1.68亿,7.28亿,4432.95万,598.43万,3131.00万,187.98万,False,3688.76万,-6410.59万,4998.84万,4862.48万,6054.14万,7.33亿,-9.19亿,False,22.56亿,,False,,61.45亿,51.31亿,False,False,10.14亿
2023,,-7.04亿,17.20亿,-13.63亿,-10.93亿,51.31亿,,,113.12亿,7584.75万,6.06亿,119.94亿,43.74亿,16.33亿,8.27亿,34.39亿,102.73亿,17.20亿,,200.74万,2619.10万,1095.88万,False,False,3915.72万,3.57亿,False,False,10.45亿,14.02亿,-13.63亿,,False,False,4500.00万,False,4500.00万,7.53亿,3.64亿,1.75亿,2143.12万,11.38亿,-10.93亿,3207.28万,-7.04亿,58.35亿,51.31亿,,,9.65亿,7910.55万,7.82亿,3729.03万,635.93万,3184.50万,256.04万,False,5788.37万,-2745.37万,-1029.78万,-114.83万,1.63亿,4.85亿,-8.33亿,False,17.20亿,,False,,51.31亿,58.35亿,False,False,-7.04亿
2022,,22.12亿,28.56亿,-3.02亿,-4.35亿,58.35亿,,,123.86亿,2.68亿,8.39亿,134.92亿,48.63亿,15.16亿,8.86亿,33.71亿,106.37亿,28.56亿,,False,False,500.31万,False,False,500.31万,3.07亿,False,False,False,3.07亿,-3.02亿,,11.88亿,False,23.46亿,False,35.34亿,31.86亿,3.48亿,1.63亿,4.35亿,39.69亿,-4.35亿,9424.21万,22.12亿,36.23亿,58.35亿,,,8.67亿,2911.40万,8.04亿,3832.04万,605.56万,110.34万,342.84万,False,1.07亿,-234.25万,-5033.93万,-664.19万,6.25亿,4.63亿,-3038.66万,False,28.56亿,,False,,58.35亿,36.23亿,False,False,22.12亿
2021,,4.69亿,16.80亿,-5.08亿,-6.62亿,36.23亿,,,132.50亿,2.17亿,6.37亿,141.04亿,57.44亿,14.95亿,9.14亿,42.72亿,124.25亿,16.80亿,,113.74万,830.75万,372.14万,False,False,1316.63万,5.21亿,False,False,False,5.21亿,-5.08亿,,False,False,36.85亿,False,36.85亿,33.45亿,3.65亿,1.53亿,6.38亿,43.48亿,-6.62亿,-4007.85万,4.69亿,31.54亿,36.23亿,,,8.21亿,2.01亿,7.86亿,3465.46万,1048.19万,-20.28万,221.32万,False,1.10亿,2403.93万,-7342.68万,4588.40万,1.95亿,-9.21亿,4.44亿,False,16.80亿,,False,,36.23亿,31.54亿,False,False,4.69亿
2020,,-10.07亿,15.60亿,-5.57亿,-19.65亿,31.54亿,,,111.77亿,1.79亿,11.00亿,124.56亿,48.60亿,13.92亿,8.81亿,37.63亿,108.96亿,15.60亿,,218.53万,257.22万,2602.35万,False,10.60万,3088.69万,3.78亿,2.10亿,False,False,5.88亿,-5.57亿,,False,False,30.58亿,2.95亿,33.53亿,36.07亿,3.86亿,1.76亿,13.25亿,53.19亿,-19.65亿,-4435.07万,-10.07亿,41.60亿,31.54亿,,,9.00亿,1.01亿,6.96亿,3077.92万,1027.64万,-2391.65万,277.12万,False,1.24亿,2180.73万,711.87万,-113.16万,-9.67亿,-9.93亿,16.52亿,False,15.60亿,,False,,31.54亿,41.60亿,False,False,-10.07亿
2019,,8.06亿,12.70亿,-3.33亿,-1.41亿,41.60亿,,,117.80亿,1.86亿,4.07亿,123.74亿,41.24亿,13.63亿,10.72亿,45.45亿,111.04亿,12.70亿,,42.05万,2309.98万,203.43万,False,5000.00万,7555.46万,4.04亿,False,False,501.41万,4.09亿,-3.33亿,,16.11亿,False,25.77亿,3.24亿,45.12亿,34.06亿,6.19亿,2.94亿,6.28亿,46.53亿,-1.41亿,968.16万,8.06亿,33.55亿,41.60亿,,,9.28亿,3614.37万,6.83亿,3956.60万,845.91万,1408.33万,48.34万,False,1.89亿,4281.09万,1742.20万,5227.01万,-3075.08万,-3.77亿,-3.34亿,False,12.70亿,,False,,41.60亿,33.55亿,False,False,8.06亿
2018,,10.75亿,16.69亿,5119.48万,-6.53亿,33.55亿,,,97.42亿,1.11亿,2.95亿,101.48亿,29.37亿,13.24亿,11.44亿,30.74亿,84.79亿,16.69亿,,4.26亿,1701.56万,225.27万,False,6800.00万,5.13亿,3.99亿,1200.00万,False,5029.66万,4.62亿,5119.48万,,False,False,22.61亿,3500.00万,22.96亿,23.91亿,4.57亿,1.95亿,1.02亿,29.49亿,-6.53亿,694.84万,10.75亿,22.80亿,33.55亿,,,10.70亿,9437.37万,6.98亿,3399.25万,657.91万,292.55万,234.74万,False,2.16亿,-4.25亿,-4421.62万,-727.05万,-3.97亿,2.38亿,1.81亿,False,16.69亿,,False,,33.55亿,22.80亿,False,False,10.75亿
2017,,7.97亿,23.15亿,-1.39亿,-13.76亿,22.80亿,,,83.07亿,2256.27万,3.50亿,86.80亿,26.99亿,12.74亿,8.94亿,14.99亿,63.65亿,23.15亿,,False,False,1938.76万,False,2571.95万,4510.71万,1.68亿,350.00万,False,1191.77万,1.84亿,-1.39亿,,False,False,25.42亿,9625.39万,26.39亿,32.43亿,4.54亿,False,3.18亿,40.14亿,-13.76亿,-368.42万,7.97亿,14.84亿,22.80亿,,,8.19亿,2251.44万,7.60亿,5405.28万,415.53万,-4920.56万,214.65万,False,2.57亿,-1917.79万,-3793.50万,-390.34万,-1.04亿,2875.25万,5.81亿,False,23.15亿,,False,,22.80亿,14.84亿,False,False,7.97亿
2016,,5.16亿,8.39亿,-6454.96万,-2.60亿,14.84亿,,,73.22亿,3367.36万,2.58亿,76.13亿,36.45亿,12.08亿,8.15亿,11.07亿,67.75亿,8.39亿,,4.78亿,669.97万,648.03万,False,3.12亿,8.03亿,2.41亿,5.52亿,False,7460.61万,8.68亿,-6454.96万,,1.06亿,837.90万,32.68亿,4.13亿,37.87亿,31.58亿,5.05亿,3706.97万,3.84亿,40.47亿,-2.60亿,207.46万,5.16亿,9.68亿,14.84亿,,,8.54亿,25.07万,6.63亿,6157.45万,239.94万,1047.03万,False,240.53万,2.85亿,-1569.22万,-1512.92万,-879.69万,1.33亿,-6.33亿,-5.00亿,False,8.39亿,,False,,14.84亿,9.68亿,False,False,5.16亿
