报告期,报表核心指标,*所有者权益（或股东权益）合计,*资产合计,*负债合计,*归属于母公司所有者权益合计,报表全部指标,流动资产,货币资金,交易性金融资产,应收票据及应收账款,其中：应收票据,应收账款,预付款项,其他应收款合计,其中：应收利息,其他应收款,存货,划分为持有待售的资产,一年内到期的非流动资产,其他流动资产,总现金,流动资产合计,非流动资产,可供出售金融资产,长期股权投资,其他非流动金融资产,投资性房地产,固定资产合计,其中：固定资产,固定资产清理,在建工程合计,其中：在建工程,工程物资,无形资产,商誉,长期待摊费用,递延所得税资产,其他非流动资产,非流动资产合计,资产合计,流动负债,短期借款,以公允价值计量且其变动计入当期损益的金融负债,衍生金融负债,应付票据及应付账款,其中：应付票据,应付账款,预收款项,合同负债,应付职工薪酬,应交税费,其他应付款合计,其中：应付利息,应付股利,其他应付款,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,应付债券,长期应付款合计,其中：长期应付款,专项应付款,预计负债,递延所得税负债,递延收益-非流动负债,其他非流动负债,非流动负债合计,负债合计,所有者权益（或股东权益）,实收资本（或股本）,资本公积,其他综合收益,盈余公积,未分配利润,归属于母公司所有者权益合计,少数股东权益,所有者权益（或股东权益）合计,负债和所有者权益（或股东权益）合计
2025,,158.45亿,192.27亿,33.82亿,137.79亿,,,40.06亿,False,10.36亿,3443.29万,10.02亿,7428.76万,8154.95万,False,False,17.49亿,False,9.49亿,32.26亿,40.06亿,112.53亿,,False,1.94亿,2.18亿,4769.12万,50.89亿,False,False,2.09亿,False,False,7.60亿,1.60亿,2781.77万,1.16亿,9.10亿,79.74亿,192.27亿,,False,False,False,18.10亿,11.43亿,6.67亿,236.86万,9144.38万,1.35亿,1.12亿,9.65亿,False,266.51万,False,885.15万,928.13万,31.34亿,,False,False,False,False,False,5695.63万,6249.51万,8348.63万,False,2.48亿,33.82亿,,13.41亿,52.13亿,-110.83万,4.78亿,67.47亿,137.79亿,20.66亿,158.45亿,192.27亿
2024,,153.22亿,199.56亿,46.34亿,132.04亿,,,62.12亿,False,10.68亿,5253.29万,10.15亿,9775.69万,8555.44万,False,8555.44万,22.09亿,False,1.56亿,15.64亿,62.12亿,116.84亿,,False,1.69亿,2.21亿,5364.98万,53.45亿,53.45亿,29.93万,1.43亿,1.43亿,False,5.91亿,1.60亿,2789.82万,1.03亿,10.89亿,82.71亿,199.56亿,,5005.12万,False,False,12.82亿,5.53亿,7.28亿,618.28万,1.87亿,2.48亿,1.11亿,13.98亿,False,280.36万,13.95亿,10.40亿,2202.46万,43.44亿,,False,False,False,False,False,5695.63万,7077.44万,1.14亿,False,2.90亿,46.34亿,,13.41亿,52.04亿,-91.12万,4.41亿,62.19亿,132.04亿,21.18亿,153.22亿,199.56亿
2023,,143.38亿,193.52亿,50.14亿,123.88亿,,,59.73亿,False,14.45亿,1.03亿,13.42亿,1.50亿,8407.06万,False,8407.06万,22.80亿,False,False,1.19亿,59.73亿,106.57亿,,False,1.56亿,2.24亿,5780.08万,57.05亿,57.05亿,False,1.01亿,1.00亿,128.21万,5.11亿,1.60亿,2880.67万,1.53亿,12.17亿,86.95亿,193.52亿,,4504.84万,False,False,15.59亿,6.05亿,9.53亿,1401.91万,2.31亿,2.73亿,8729.06万,15.33亿,False,280.09万,15.30亿,1060.49万,2760.28万,37.80亿,,False,10.31亿,False,False,False,False,2214.96万,1.23亿,False,12.34亿,50.14亿,,13.41亿,52.04亿,-108.61万,4.38亿,54.06亿,123.88亿,19.50亿,143.38亿,193.52亿
2022,,121.53亿,196.30亿,74.78亿,103.05亿,,,61.48亿,False,21.76亿,2.84亿,18.92亿,2.76亿,9285.08万,False,9285.08万,24.40亿,False,False,7214.29万,61.48亿,116.84亿,,False,1.50亿,2.26亿,6427.62万,55.12亿,55.12亿,24.24万,6.42亿,6.41亿,96.61万,5.17亿,1.60亿,1170.94万,2.39亿,1.15亿,79.46亿,196.30亿,,3.21亿,False,False,14.22亿,4.60亿,9.61亿,1328.99万,3.31亿,2.25亿,1.50亿,16.30亿,False,789.24万,16.22亿,5823.38万,4464.78万,41.96亿,,3.84亿,25.71亿,False,False,False,False,1.20亿,1.38亿,False,32.82亿,74.78亿,,11.72亿,35.87亿,-117.69万,4.01亿,48.86亿,103.05亿,18.47亿,121.53亿,196.30亿
2021,,103.70亿,190.70亿,87.00亿,85.93亿,,,42.84亿,False,25.03亿,2.08亿,22.95亿,1.56亿,9690.76万,False,9690.76万,30.72亿,False,False,2.29亿,42.84亿,108.86亿,,False,1.45亿,2.26亿,7082.96万,58.25亿,58.25亿,False,5.86亿,5.84亿,146.55万,5.49亿,1.60亿,1798.06万,1.89亿,1.88亿,81.84亿,190.70亿,,14.07亿,False,False,17.12亿,6.22亿,10.89亿,216.69万,1.99亿,2.36亿,1.39亿,19.35亿,False,276.88万,19.32亿,5.80亿,6.34亿,68.43亿,,4900.00万,14.98亿,False,False,False,False,1.26亿,1.40亿,False,18.58亿,87.00亿,,10.27亿,25.45亿,-167.43万,3.37亿,44.25亿,85.93亿,17.77亿,103.70亿,190.70亿
2020,,98.19亿,182.50亿,84.31亿,81.31亿,,,37.20亿,False,20.05亿,3.33亿,16.71亿,1.81亿,1.08亿,False,1.08亿,32.81亿,False,False,2.70亿,37.20亿,101.62亿,,False,1.55亿,2.27亿,7741.37万,58.33亿,58.33亿,False,5.76亿,5.74亿,150.94万,5.25亿,2.92亿,4697.55万,1.15亿,1.18亿,80.88亿,182.50亿,,10.14亿,False,False,22.28亿,12.58亿,9.71亿,148.32万,2.79亿,2.41亿,1.65亿,14.32亿,False,260.58万,14.29亿,1.45亿,6.90亿,61.94亿,,5.41亿,14.48亿,58.99万,58.99万,False,False,8030.89万,1.67亿,False,22.37亿,84.31亿,,10.27亿,25.45亿,-192.74万,2.82亿,40.19亿,81.31亿,16.88亿,98.19亿,182.50亿
2019,,92.03亿,176.38亿,84.35亿,75.87亿,,,51.64亿,False,13.47亿,2.72亿,10.76亿,1.33亿,1.13亿,False,1.13亿,23.18亿,False,False,1.84亿,51.64亿,96.76亿,,False,1.73亿,1957.95万,8388.07万,56.68亿,56.68亿,False,5.80亿,5.74亿,613.46万,5.34亿,3.37亿,4797.26万,1.22亿,2.58亿,79.62亿,176.38亿,,18.26亿,False,False,14.75亿,6.20亿,8.55亿,2.99亿,False,2.46亿,1.46亿,15.85亿,False,150.35万,15.83亿,8.25亿,9040.69万,64.92亿,,2.55亿,13.92亿,4450.88万,4450.88万,False,False,8144.05万,1.69亿,False,19.43亿,84.35亿,,10.27亿,25.45亿,-196.01万,2.42亿,35.15亿,75.87亿,16.16亿,92.03亿,176.38亿
2018,,84.43亿,164.64亿,80.21亿,68.06亿,,,38.27亿,False,17.31亿,6.12亿,11.18亿,1.53亿,1.71亿,570.56万,1.43亿,23.15亿,False,False,2.73亿,38.27亿,84.70亿,,2000.00万,1.92亿,False,6512.45万,58.46亿,58.46亿,False,2.52亿,2.43亿,867.44万,5.68亿,3.37亿,4965.25万,1.40亿,3.74亿,79.94亿,164.64亿,,16.01亿,False,False,20.33亿,11.58亿,8.76亿,1.99亿,False,2.32亿,2.51亿,12.55亿,934.66万,374.98万,12.42亿,9.98亿,False,65.68亿,,11.31亿,False,1.19亿,1.19亿,48.70万,False,2917.04万,1.71亿,False,14.52亿,80.21亿,,10.56亿,25.45亿,-114.09万,1.93亿,30.13亿,68.06亿,16.37亿,84.43亿,164.64亿
2017,,76.48亿,151.71亿,75.23亿,61.73亿,,,24.36亿,False,19.97亿,8.82亿,11.15亿,1.51亿,2.08亿,599.56万,1.79亿,19.19亿,False,False,2.10亿,24.36亿,69.20亿,,1481.30万,8719.37万,False,6340.13万,65.53亿,65.53亿,False,1.91亿,1.84亿,701.95万,6.51亿,3.97亿,4401.59万,9564.73万,3058.33万,82.51亿,151.71亿,,14.49亿,False,False,13.16亿,3.84亿,9.33亿,1.70亿,False,1.73亿,2.10亿,11.44亿,719.69万,276.13万,11.34亿,9.24亿,386.46万,53.90亿,,17.27亿,False,1.90亿,1.88亿,204.33万,False,3644.08万,1.65亿,False,21.32亿,75.23亿,,11.10亿,25.60亿,-114.09万,1.70亿,23.34亿,61.73亿,14.74亿,76.48亿,151.71亿
2016,,69.38亿,150.15亿,80.77亿,57.04亿,,,16.39亿,False,23.88亿,11.97亿,11.91亿,2.26亿,1.50亿,309.82万,1.30亿,18.10亿,False,False,1.25亿,16.39亿,63.37亿,,1481.30万,8105.07万,False,275.62万,67.43亿,67.43亿,False,5.04亿,4.93亿,1115.11万,7.08亿,3.97亿,1284.92万,5771.23万,5258.90万,86.78亿,150.15亿,,13.02亿,False,424.24万,13.45亿,6.06亿,7.39亿,1.36亿,False,1.77亿,1.41亿,8.21亿,221.13万,551.63万,8.13亿,7.84亿,188.94万,47.11亿,,28.50亿,False,2.64亿,2.61亿,309.33万,False,4034.42万,1.93亿,False,33.65亿,80.77亿,,2.88亿,30.17亿,-114.09万,1.54亿,19.79亿,57.04亿,12.35亿,69.38亿,150.15亿
