date,open,close,high,low,amount
2021-01-04,3.18,3.22,3.22,3.16,3539511.77
2021-01-05,3.2,3.18,3.2,3.15,3710103.7
2021-01-06,3.17,3.18,3.19,3.16,3463183.59
2021-01-07,3.18,3.21,3.21,3.16,3190474.0
2021-01-08,3.21,3.21,3.24,3.19,3422029.83
2021-01-11,3.21,3.2,3.25,3.19,4956515.0
2021-01-12,3.2,3.23,3.23,3.17,3504956.97
2021-01-13,3.24,3.27,3.27,3.21,4046442.02
2021-01-14,3.26,3.29,3.36,3.25,3884095.48
2021-01-15,3.31,3.36,3.47,3.31,7006634.1
2021-01-18,3.34,3.35,3.39,3.29,3981897.84
2021-01-19,3.35,3.41,3.43,3.31,4330690.19
2021-01-20,3.39,3.36,3.46,3.34,3145664.69
2021-01-21,3.37,3.34,3.38,3.31,2456775.13
2021-01-22,3.33,3.25,3.33,3.24,2774286.48
2021-01-25,3.24,3.26,3.26,3.2,2190551.8
2021-01-26,3.24,3.24,3.28,3.22,2103793.85
2021-01-27,3.25,3.28,3.36,3.24,3709866.33
2021-01-28,3.26,3.24,3.28,3.22,2850794.92
2021-01-29,3.24,3.3,3.33,3.23,4111437.04
2021-02-01,3.29,3.35,3.36,3.26,3813222.01
2021-02-02,3.35,3.3,3.39,3.29,2599985.88
2021-02-03,3.3,3.25,3.33,3.24,3375579.15
2021-02-04,3.25,3.28,3.33,3.24,2524440.08
2021-02-05,3.28,3.39,3.42,3.27,5937442.34
2021-02-08,3.39,3.37,3.41,3.33,3671269.32
2021-02-09,3.35,3.36,3.36,3.32,2782988.45
2021-02-10,3.45,3.46,3.58,3.42,6647042.24
2021-02-18,3.54,3.45,3.54,3.43,3284009.33
2021-02-19,3.43,3.45,3.51,3.42,2424131.24
2021-02-22,3.46,3.58,3.62,3.45,6020820.16
2021-02-23,3.56,3.59,3.66,3.53,4671505.23
2021-02-24,3.58,3.51,3.63,3.45,3850657.47
2021-02-25,3.5,3.65,3.69,3.49,5097002.17
2021-02-26,3.6,3.58,3.7,3.56,4351701.21
2021-03-01,3.57,3.55,3.63,3.53,2406633.15
2021-03-02,3.56,3.5,3.56,3.45,2500312.65
2021-03-03,3.49,3.66,3.69,3.47,4469111.21
2021-03-04,3.64,3.66,3.72,3.62,3734192.53
2021-03-05,3.64,3.78,3.8,3.58,4787743.56
2021-03-08,3.79,3.74,3.82,3.72,4291683.05
2021-03-09,3.78,3.67,3.84,3.64,4663950.21
2021-03-10,3.65,3.61,3.67,3.56,3067843.16
2021-03-11,3.66,3.69,3.75,3.64,2824228.15
2021-03-12,3.68,3.65,3.71,3.64,1848416.36
2021-03-15,3.66,3.76,3.79,3.63,3037976.06
2021-03-16,3.77,3.81,3.84,3.75,2730799.94
2021-03-17,3.79,3.74,3.81,3.69,2037134.43
2021-03-18,3.73,3.69,3.75,3.67,2245441.99
2021-03-19,3.7,3.57,3.71,3.53,3325305.19
2021-03-22,3.53,3.63,3.66,3.53,2325313.4
2021-03-23,3.61,3.61,3.71,3.56,3259731.3
2021-03-24,3.58,3.62,3.64,3.54,1899836.67
2021-03-25,3.62,3.57,3.67,3.56,2073948.17
2021-03-26,3.58,3.56,3.59,3.51,2471983.68
2021-03-29,3.58,3.67,3.68,3.54,3479499.8
2021-03-30,3.67,3.69,3.69,3.64,1932973.81
2021-03-31,3.68,3.75,3.76,3.65,2424348.67
2021-04-01,3.72,3.71,3.75,3.68,1324761.54
2021-04-02,3.71,3.63,3.72,3.61,1847807.4
2021-04-06,3.63,3.63,3.64,3.58,1228942.35
2021-04-07,3.63,3.66,3.67,3.61,1756961.99
2021-04-08,3.67,3.65,3.68,3.62,1239713.65
2021-04-09,3.65,3.63,3.65,3.61,1311275.92
2021-04-12,3.63,3.69,3.71,3.6,2196348.06
2021-04-13,3.69,3.72,3.74,3.66,1739371.09
2021-04-14,3.72,3.66,3.73,3.64,1533739.1
2021-04-15,3.64,3.66,3.66,3.6,1572157.97
2021-04-16,3.64,3.64,3.67,3.62,1108743.02
2021-04-19,3.65,3.65,3.67,3.62,1757543.3
2021-04-20,3.64,3.6,3.65,3.59,1770716.74
