date,open,close,high,low,amount
2021-01-04,4.97,5.01,5.01,4.95,3539511.77
2021-01-05,4.99,4.97,4.99,4.94,3710103.7
2021-01-06,4.96,4.97,4.98,4.95,3463183.59
2021-01-07,4.97,5.0,5.0,4.95,3190474.0
2021-01-08,5.0,5.0,5.03,4.98,3422029.83
2021-01-11,5.0,4.99,5.04,4.98,4956515.0
2021-01-12,4.99,5.02,5.02,4.96,3504956.97
2021-01-13,5.03,5.06,5.06,5.0,4046442.02
2021-01-14,5.05,5.08,5.15,5.04,3884095.48
2021-01-15,5.1,5.15,5.26,5.1,7006634.1
2021-01-18,5.13,5.14,5.18,5.08,3981897.84
2021-01-19,5.14,5.2,5.22,5.1,4330690.19
2021-01-20,5.18,5.15,5.25,5.13,3145664.69
2021-01-21,5.16,5.13,5.17,5.1,2456775.13
2021-01-22,5.12,5.04,5.12,5.03,2774286.48
2021-01-25,5.03,5.05,5.05,4.99,2190551.8
2021-01-26,5.03,5.03,5.07,5.01,2103793.85
2021-01-27,5.04,5.07,5.15,5.03,3709866.33
2021-01-28,5.05,5.03,5.07,5.01,2850794.92
2021-01-29,5.03,5.09,5.12,5.02,4111437.04
2021-02-01,5.08,5.14,5.15,5.05,3813222.01
2021-02-02,5.14,5.09,5.18,5.08,2599985.88
2021-02-03,5.09,5.04,5.12,5.03,3375579.15
2021-02-04,5.04,5.07,5.12,5.03,2524440.08
2021-02-05,5.07,5.18,5.21,5.06,5937442.34
2021-02-08,5.18,5.16,5.2,5.12,3671269.32
2021-02-09,5.14,5.15,5.15,5.11,2782988.45
2021-02-10,5.24,5.25,5.37,5.21,6647042.24
2021-02-18,5.33,5.24,5.33,5.22,3284009.33
2021-02-19,5.22,5.24,5.3,5.21,2424131.24
2021-02-22,5.25,5.37,5.41,5.24,6020820.16
2021-02-23,5.35,5.38,5.45,5.32,4671505.23
2021-02-24,5.37,5.3,5.42,5.24,3850657.47
2021-02-25,5.29,5.44,5.48,5.28,5097002.17
2021-02-26,5.39,5.37,5.49,5.35,4351701.21
2021-03-01,5.36,5.34,5.42,5.32,2406633.15
2021-03-02,5.35,5.29,5.35,5.24,2500312.65
2021-03-03,5.28,5.45,5.48,5.26,4469111.21
2021-03-04,5.43,5.45,5.51,5.41,3734192.53
2021-03-05,5.43,5.57,5.59,5.37,4787743.56
2021-03-08,5.58,5.53,5.61,5.51,4291683.05
2021-03-09,5.57,5.46,5.63,5.43,4663950.21
2021-03-10,5.44,5.4,5.46,5.35,3067843.16
2021-03-11,5.45,5.48,5.54,5.43,2824228.15
2021-03-12,5.47,5.44,5.5,5.43,1848416.36
2021-03-15,5.45,5.55,5.58,5.42,3037976.06
2021-03-16,5.56,5.6,5.63,5.54,2730799.94
2021-03-17,5.58,5.53,5.6,5.48,2037134.43
2021-03-18,5.52,5.48,5.54,5.46,2245441.99
2021-03-19,5.49,5.36,5.5,5.32,3325305.19
2021-03-22,5.32,5.42,5.45,5.32,2325313.4
2021-03-23,5.4,5.4,5.5,5.35,3259731.3
2021-03-24,5.37,5.41,5.43,5.33,1899836.67
2021-03-25,5.41,5.36,5.46,5.35,2073948.17
2021-03-26,5.37,5.35,5.38,5.3,2471983.68
2021-03-29,5.37,5.46,5.47,5.33,3479499.8
2021-03-30,5.46,5.48,5.48,5.43,1932973.81
2021-03-31,5.47,5.54,5.55,5.44,2424348.67
2021-04-01,5.51,5.5,5.54,5.47,1324761.54
2021-04-02,5.5,5.42,5.51,5.4,1847807.4
2021-04-06,5.42,5.42,5.43,5.37,1228942.35
2021-04-07,5.42,5.45,5.46,5.4,1756961.99
2021-04-08,5.46,5.44,5.47,5.41,1239713.65
2021-04-09,5.44,5.42,5.44,5.4,1311275.92
2021-04-12,5.42,5.48,5.5,5.39,2196348.06
2021-04-13,5.48,5.51,5.53,5.45,1739371.09
2021-04-14,5.51,5.45,5.52,5.43,1533739.1
2021-04-15,5.43,5.45,5.45,5.39,1572157.97
2021-04-16,5.43,5.43,5.46,5.41,1108743.02
2021-04-19,5.44,5.44,5.46,5.41,1757543.3
2021-04-20,5.43,5.39,5.44,5.38,1770716.74
2021-04-21,5.38,5.37,5.41,5.37,1353647.63
2021-04-22,5.38,5.33,5.39,5.31,2114983.49
2021-04-23,5.31,5.29,5.34,5.27,1648980.57
2021-04-26,5.31,5.27,5.32,5.26,1706931.35
2021-04-27,5.26,5.24,5.27,5.22,1491237.7
2021-04-28,5.24,5.2,5.25,5.18,1829764.37
2021-04-29,5.2,5.22,5.24,5.18,1889873.15
2021-04-30,5.21,5.13,5.22,5.08,3957487.28
2021-05-06,5.11,5.12,5.18,5.1,2160396.82
2021-05-07,5.12,5.22,5.23,5.11,2819970.42
2021-05-10,5.21,5.25,5.25,5.18,2074711.44
2021-05-11,5.24,5.23,5.25,5.21,1392521.41
2021-05-12,5.22,5.26,5.28,5.21,1500463.33
2021-05-13,5.25,5.24,5.28,5.21,1460695.72
2021-05-14,5.24,5.28,5.28,5.21,1550005.39
2021-05-17,5.26,5.27,5.29,5.24,1708819.7
2021-05-18,5.27,5.26,5.27,5.23,1016399.97
2021-05-19,5.25,5.21,5.26,5.2,1481871.87
2021-05-20,5.2,5.23,5.23,5.18,1282338.76
2021-05-21,5.21,5.17,5.22,5.16,1519668.14
2021-05-24,5.17,5.19,5.2,5.16,1065409.01
2021-05-25,5.19,5.26,5.26,5.16,2666746.19
2021-05-26,5.25,5.26,5.29,5.23,2056034.06
2021-05-27,5.26,5.26,5.28,5.23,1831175.91
2021-05-28,5.26,5.27,5.27,5.23,1700005.19
2021-05-31,5.25,5.21,5.26,5.19,2919607.61
2021-06-01,5.21,5.18,5.21,5.17,2245141.02
2021-06-02,5.18,5.19,5.21,5.14,2577451.54
2021-06-03,5.19,5.15,5.2,5.15,1937089.44
2021-06-04,5.16,5.17,5.2,5.15,2397084.28
2021-06-07,5.18,5.17,5.18,5.16,1476962.07
2021-06-08,5.17,5.2,5.2,5.16,1963000.35
2021-06-09,5.19,5.19,5.22,5.18,2061471.47
2021-06-10,5.19,5.2,5.22,5.18,2052732.27
2021-06-11,5.2,5.19,5.2,5.17,1735732.58
2021-06-15,5.18,5.16,5.19,5.15,1812073.62
2021-06-16,5.16,5.17,5.19,5.15,1486551.27
2021-06-17,5.17,5.18,5.2,5.15,1958783.37
2021-06-18,5.17,5.18,5.18,5.16,1532488.58
2021-06-21,5.17,5.15,5.18,5.15,1996642.7
2021-06-22,5.16,5.16,5.18,5.15,1789340.78
2021-06-23,5.16,5.14,5.17,5.14,2522193.54
2021-06-24,5.14,5.2,5.2,5.14,2465297.21
2021-06-25,5.19,5.23,5.25,5.18,2460594.6
2021-06-28,5.23,5.18,5.23,5.16,2576344.69
2021-06-29,5.18,5.17,5.2,5.16,2226935.06
2021-06-30,5.18,5.17,5.18,5.16,1549342.53
2021-07-01,5.17,5.26,5.26,5.16,2770137.4
2021-07-02,5.21,5.25,5.27,5.19,3551892.84
2021-07-05,5.23,5.2,5.24,5.18,2761719.05
2021-07-06,4.96,4.95,4.96,4.93,2657630.47
2021-07-07,4.95,4.94,4.96,4.92,1776707.65
2021-07-08,4.94,4.89,4.95,4.88,2883648.12
2021-07-09,4.89,4.85,4.91,4.83,2737420.38
2021-07-12,4.87,4.77,4.88,4.75,5056773.67
2021-07-13,4.77,4.75,4.78,4.74,2932780.41
2021-07-14,4.75,4.71,4.75,4.68,3020828.55
2021-07-15,4.71,4.75,4.77,4.69,2775908.51
2021-07-16,4.75,4.74,4.75,4.71,1704073.98
2021-07-19,4.73,4.73,4.74,4.7,1683757.95
2021-07-20,4.71,4.71,4.72,4.7,1025529.24
2021-07-21,4.72,4.69,4.73,4.69,1646258.57
2021-07-22,4.7,4.71,4.72,4.69,1476369.65
2021-07-23,4.71,4.7,4.72,4.69,1390745.61
2021-07-26,4.69,4.67,4.7,4.65,2245916.33
2021-07-27,4.66,4.62,4.67,4.61,2088992.0
2021-07-28,4.61,4.67,4.68,4.6,2479934.18
2021-07-29,4.67,4.62,4.67,4.61,1716806.34
2021-07-30,4.62,4.59,4.62,4.57,1847471.54
2021-08-02,4.58,4.6,4.61,4.53,2143222.62
2021-08-03,4.59,4.58,4.59,4.55,1352457.87
2021-08-04,4.58,4.55,4.58,4.54,1483019.02
2021-08-05,4.55,4.54,4.57,4.53,1097471.57
2021-08-06,4.55,4.53,4.55,4.51,1587328.42
2021-08-09,4.52,4.55,4.57,4.51,1925600.63
2021-08-10,4.55,4.56,4.57,4.52,1773891.03
2021-08-11,4.57,4.65,4.66,4.57,3307272.49
2021-08-12,4.63,4.63,4.67,4.62,1182781.36
2021-08-13,4.63,4.61,4.64,4.6,935428.19
2021-08-16,4.61,4.62,4.64,4.6,1161093.33
2021-08-17,4.61,4.62,4.64,4.6,1951383.06
2021-08-18,4.61,4.67,4.68,4.6,2598466.18
2021-08-19,4.66,4.64,4.67,4.62,1482787.26
2021-08-20,4.64,4.66,4.67,4.62,1903425.77
2021-08-23,4.64,4.63,4.67,4.63,1177076.75
2021-08-24,4.63,4.63,4.65,4.63,954530.98
2021-08-25,4.64,4.63,4.64,4.62,1003847.89
2021-08-26,4.62,4.62,4.63,4.6,1176893.09
2021-08-27,4.61,4.64,4.64,4.6,1161297.16
2021-08-30,4.63,4.58,4.64,4.56,2034266.05
2021-08-31,4.59,4.62,4.62,4.57,1917114.5
2021-09-01,4.61,4.68,4.69,4.6,2681033.61
2021-09-02,4.68,4.69,4.69,4.66,1467903.56
2021-09-03,4.69,4.73,4.75,4.66,2025437.2
2021-09-06,4.7,4.73,4.75,4.7,1605364.98
2021-09-07,4.73,4.75,4.77,4.7,1948513.19
2021-09-08,4.74,4.77,4.78,4.73,1747800.48
2021-09-09,4.76,4.75,4.77,4.72,1553117.48
2021-09-10,4.75,4.79,4.83,4.74,2503592.69
2021-09-13,4.78,4.77,4.78,4.75,1688548.99
2021-09-14,4.76,4.71,4.78,4.7,1854203.45
2021-09-15,4.7,4.68,4.72,4.66,1751216.28
2021-09-16,4.68,4.68,4.71,4.67,1678220.42
2021-09-17,4.68,4.7,4.71,4.68,1102571.7
2021-09-22,4.65,4.63,4.66,4.62,2176460.13
2021-09-23,4.65,4.66,4.68,4.63,1325156.69
2021-09-24,4.64,4.64,4.67,4.63,1098914.31
2021-09-27,4.63,4.63,4.65,4.6,1644683.54
2021-09-28,4.62,4.66,4.68,4.61,1633795.42
2021-09-29,4.65,4.68,4.7,4.62,2438136.54
2021-09-30,4.68,4.66,4.68,4.63,1504131.52
2021-10-08,4.66,4.71,4.73,4.65,1859946.25
2021-10-11,4.72,4.74,4.77,4.71,1818624.63
2021-10-12,4.74,4.75,4.76,4.71,1449305.9
2021-10-13,4.74,4.72,4.75,4.71,1123056.96
2021-10-14,4.72,4.71,4.73,4.71,719637.08
2021-10-15,4.72,4.75,4.75,4.71,1255588.56
2021-10-18,4.75,4.73,4.77,4.71,1173696.21
2021-10-19,4.72,4.72,4.74,4.71,1058826.12
2021-10-20,4.73,4.7,4.73,4.68,1074596.35
