sym,name,code,price,prev,pct,turnover_rate,pe_ttm,mkt_cap_yi,total_mkt_cap_yi,time
sh600089,特变电工,600089,20.05,20.6,-2.67,1.7,16.42,1013.08,1013.08,20260708161443
sh601179,中国西电,601179,13.27,13.58,-2.28,1.65,51.48,680.2,680.2,20260708161457
sh600550,保变电气,600550,10.7,10.93,-2.1,1.33,86.32,197.04,197.04,20260708161445
sh688676,金盘科技,688676,77.35,82.22,-5.92,3.0,53.5,355.64,355.64,20260708161443
sz002028,思源电气,002028,156.84,165.25,-5.09,1.47,37.72,1227.39,957.99,20260708161424
sz002922,伊戈尔,002922,28.61,31.16,-8.18,6.98,53.28,120.9,107.86,20260708161436
sz301291,明阳电气,301291,39.4,35.36,11.43,12.58,24.75,123.93,64.48,20260708161430
sh603191,望变电气,603191,14.29,14.85,-3.77,1.9,70.34,47.15,47.15,20260708161454
sz002112,三变科技,002112,15.12,15.5,-2.45,3.39,273.85,44.47,39.63,20260708161412
sh603097,江苏华辰,603097,16.85,17.59,-4.21,0.81,77.72,38.74,37.86,20260708161438
sz301012,扬电科技,301012,22.32,23.04,-3.13,2.32,98.25,43.96,43.96,20260708161409
sz301120,新特电气,301120,14.9,15.6,-4.49,3.3,173.71,55.6,32.81,20260708161454
sz000533,顺钠股份,000533,8.61,8.87,-2.93,2.51,59.86,59.48,58.97,20260708161442
sh603861,白云电器,603861,13.68,15.2,-10.0,8.87,36.68,73.94,72.31,20260708161437
sz002350,北京科锐,002350,15.07,13.7,10.0,4.23,407.2,81.73,79.95,20260708161427
sz002270,华明装备,002270,18.2,18.89,-3.65,2.05,23.25,163.11,163.11,20260708161500
sz000400,许继电气,000400,20.2,20.55,-1.7,1.17,19.22,205.76,204.36,20260708161421
sh600312,平高电气,600312,16.55,16.97,-2.47,1.24,19.09,224.57,224.57,20260708161440
sh600406,国电南瑞,600406,22.51,22.79,-1.23,0.45,21.73,1807.95,1802.64,20260708161450
sz300001,特锐德,300001,32.93,34.36,-4.16,1.93,27.8,347.52,338.13,20260708161454
sz300444,双杰电气,300444,10.98,11.42,-3.85,3.7,18.96,88.35,68.89,20260708161400
sh603050,科林电气,603050,19.19,19.47,-1.44,1.05,34.0,77.4,77.4,20260708161451
sz300062,中能电气,300062,5.32,5.44,-2.21,2.32,-43.35,33.51,24.38,20260708161442
sz300477,ST合纵,300477,2.31,2.29,0.87,1.4,-2.75,24.76,22.89,20260708161442
sz002452,长高电气,002452,12.12,13.03,-6.98,8.44,20.55,75.18,62.77,20260708161442
sh603530,神马电力,603530,49.14,50.42,-2.54,0.58,45.94,212.13,210.06,20260708161448
sz300617,安靠智电,300617,47.22,50.82,-7.08,4.42,99.3,78.25,65.6,20260708161445
sz002879,长缆科技,002879,12.98,13.3,-2.41,3.09,18.89,25.07,17.8,20260708161415
sz002498,汉缆股份,002498,5.98,6.18,-3.24,1.62,34.85,198.94,198.94,20260708161418
sh600973,宝胜股份,600973,6.3,6.27,0.48,1.41,-511.82,86.4,86.4,20260708161443
