rank,code,name,exchange,industry,decision_10,decision_reason_10,price,market_cap_yi,pe_ttm,pb,old_composite_score,moat_rating,research_score,penalty_points,penalties,roe_avg_10,ocf_ni_avg_5,fcf_to_market_cap_5y,main_risk,quote_cross_check,quote_timestamp
8,000513,丽珠集团,SZ,化学制药,入选10家,第三层研究分靠前，护城河初评达到3/5，且未触发行业集中上限,30.85,273.91936225,11.87,2.07,81,4/5,89,0,,17.541,1.437233,0.35900452,药品集采与监管、研发管线、单品依赖,一致,20260804135709
9,000568,泸州老窖,SZ,白酒Ⅱ,入选10家,第三层研究分靠前，护城河初评达到3/5，且未触发行业集中上限,88.62,1304.39907651,8.79,2.53,82,4/5,88,2,OCF/净利<1,26.664,0.930025,0.34711251,白酒需求与渠道库存、批价变化、消费结构,一致,20260804135709
4,000651,格力电器,SZ,白色家电,入选10家,第三层研究分靠前，护城河初评达到3/5，且未触发行业集中上限,40.55,2271.37002798,9.34,1.49,83,4/5,91,0,,26.362,1.141468,0.61860263,家电需求、价格竞争、地产链和多元化执行,一致,20260804135709
,000848,承德露露,SZ,饮料乳品,淘汰,第三层研究分未进入前10,9.06,92.4120067,9.3,2.89,81,3/5,85,2,市值<100亿,22.368,1.154963,0.31839242,需在公司年报研究中补充失败路径,一致,20260804135709
1,000858,五 粮 液,SZ,白酒Ⅱ,入选10家,第三层研究分靠前，护城河初评达到3/5，且未触发行业集中上限,76.95,2986.89735985,9.26,2.53,86,5/5,96,0,,21.328,1.565099,0.48774342,白酒需求与渠道库存、批价变化、消费结构,一致,20260804135709
6,002027,分众传媒,SZ,广告营销,入选10家,第三层研究分靠前，护城河初评达到3/5，且未触发行业集中上限,5.31,766.88080545,10.71,6.04,82,4/5,90,0,,34.978,1.861697,0.47887783,广告需求、媒体点位成本、应收账款,一致,20260804135709
,002034,旺能环境,SZ,环境治理,淘汰,第三层研究分未进入前10,14.5,74.92167444,9.31,0.89,80,3/5,84,2,市值<100亿,10.196,2.280277,0.25979347,需在公司年报研究中补充失败路径,一致,20260804135700
,002035,华帝股份,SZ,厨卫电器,淘汰,第三层研究分未进入前10,4.88,41.36549656,10.23,1.1,82,3/5,86,2,市值<100亿,15.942,2.132438,0.46977998,需在公司年报研究中补充失败路径,一致,20260804135709
,002508,老板电器,SZ,厨卫电器,淘汰,第三层研究分未进入前10,15.81,149.39484262,12.18,1.32,80,4/5,88,0,,21.378,1.193458,0.48122425,厨电需求、地产链、渠道和高端竞争,一致,20260804135709
,002555,三七互娱,SZ,游戏Ⅱ,淘汰,第三层研究分未进入前10,20.14,445.54466895,12.75,3.39,79,3/5,85,0,,25.756,1.200342,0.31420431,需在公司年报研究中补充失败路径,一致,20260804135709
,002818,富森美,SZ,一般零售,淘汰,第三层研究分未进入前10,10.88,81.43233267,5.26,1.42,81,3/5,85,2,市值<100亿,14.95,1.302941,0.46515423,需在公司年报研究中补充失败路径,一致,20260804135703
,300770,新媒股份,SZ,电视广播Ⅱ,淘汰,第三层研究分未进入前10,35.73,81.40672856,14.21,2.29,79,3/5,83,2,市值<100亿,22.346,1.119809,0.39768544,需在公司年报研究中补充失败路径,一致,20260804135712
,300861,美畅股份,SZ,通用设备,淘汰,第三层研究分未进入前10,16.47,110.65212047,14.24,1.71,82,4/5,86,4,5年FCF/市值<25%,39.068,2.524068,0.21407315,需在公司年报研究中补充失败路径,一致,20260804135709
,300888,稳健医疗,SZ,个护用品,淘汰,第三层研究分未进入前10,29.87,174.13341619,17.31,1.5,79,4/5,81,6,5年FCF/市值<25%;PE>15,19.799,1.666393,0.20704853,需在公司年报研究中补充失败路径,一致,20260804135712
,600163,中闽能源,SH,电力,淘汰,第三层研究分未进入前10；同业需优先研究得分更高者,5.37,102.19089288,13.01,1.4,80,3/5,86,0,,10.53359,1.903024,0.46995918,需在公司年报研究中补充失败路径,一致,20260804135713
3,600167,联美控股,SH,电力,入选10家,第三层研究分靠前，护城河初评达到3/5，且未触发行业集中上限,6.0,135.77042778,6.37,1.17,85,4/5,93,0,,15.541,1.733482,0.43682796,区域供热政策、区域集中度、项目资本开支,一致,20260804135710
,600380,健康元,SH,化学制药,淘汰,第三层研究分未进入前10；同业需优先研究得分更高者,10.25,187.51897207,11.3,1.23,80,3/5,86,0,,12.487,2.567188,0.6640468,需在公司年报研究中补充失败路径,一致,20260804135712
5,600398,海澜之家,SH,服装家纺,入选10家,第三层研究分靠前，护城河初评达到3/5，且未触发行业集中上限,6.16,295.85065023,7.79,1.71,84,3/5,90,0,,20.916,1.624214,0.57729975,服饰消费、品牌折扣、加盟/库存管理,一致,20260804135712
,600566,济川药业,SH,中药Ⅱ,淘汰,第三层研究分未进入前10,26.48,244.07443765,15.25,1.82,79,3/5,83,2,PE>15,24.061,1.01402,0.42159427,需在公司年报研究中补充失败路径,一致,20260804135705
,600809,山西汾酒,SH,白酒Ⅱ,淘汰,第三层研究分未进入前10；同业需优先研究得分更高者,121.98,1488.112358,6.91,4.02,79,4/5,87,0,,32.223,1.026946,0.28940954,需在公司年报研究中补充失败路径,一致,20260804135712
,600887,伊利股份,SH,饮料乳品,淘汰,第三层研究分未进入前10,26.43,1671.79282429,7.75,3.1,79,4/5,87,0,,22.939,1.754556,0.33510406,需在公司年报研究中补充失败路径,一致,20260804135713
,601019,山东出版,SH,出版,淘汰,第三层研究分未进入前10,7.48,156.10012,11.88,1.02,79,3/5,85,0,,14.871,1.201523,0.45828815,需在公司年报研究中补充失败路径,一致,20260804135711
