selection_rank,global_rank,code,name,exchange,industry,result,secondary_scope,decision,decision_reason,price,pe_ttm,pb,market_cap_yi,change_pct,turnover_pct,roe_avg_10,gross_margin_avg_5,ocf_ni_avg_5,net_margin_avg_10,fcf_5_total_yi,fcf_to_market_cap_5y,share_inflation_5,quality_score,valuation_score,composite_score,price_cross_check,quote_timestamp,moat_rating,moat_basis
,554,000025,特 力Ａ,SZ,综合Ⅱ,通过,保留,淘汰,综合得分未进入前30,15.42,49.94,3.67,66.46919294,-1.6,2.12,8.142,16.775653,0.997214,15.781768,2.9906890017000003,0.04499361,0.0,34,11,45,一致,20260804135709,待评,未进入30家初评队列
,111,000333,美的集团,SZ,白色家电,通过,保留,淘汰,综合得分未进入前30,85.0,12.79,3.14,6483.6174149,-1.05,0.42,23.932,25.047411,1.380423,8.715082,2020.36597,0.31161092,0.0,51,22,73,一致,20260804135709,待评,未进入30家初评队列
,422,000400,许继电气,SZ,电网设备,通过,保留,淘汰,综合得分未进入前30,23.8,54.58,2.01,242.43209526,0.68,2.49,8.365,20.412519,2.044147,5.963025,86.5025127761,0.35681131,0.0,46,10,56,一致,20260804135709,待评,未进入30家初评队列
,,000408,藏格矿业,SZ,农化制品,通过,周期边界复核排除,淘汰,周期边界复核：行业名称命中油气、燃气、建材、农化等周期关键词,80.9,20.16,8.3,1269.25203599,1.21,0.71,19.748,62.043675,0.832043,49.324127,127.19850816719999,0.10021533,0.0,46,12,58,一致,20260804135709,待评,未进入30家初评队列
,141,000423,东阿阿胶,SZ,中药Ⅱ,通过,保留,淘汰,综合得分未进入前30,54.83,19.28,3.55,350.8170476,-1.03,0.81,11.686,68.80156,2.790772,17.78111,117.3435090943,0.33448634,0.0,52,19,71,一致,20260804135709,待评,未进入30家初评队列
12,12,000513,丽珠集团,SZ,化学制药,通过,保留,入选30家,综合得分靠前，且满足估值可比门槛与行业分散上限,30.85,11.87,2.07,273.91936225,-0.55,0.7,17.541,64.968751,1.437233,18.439595,98.33828810440001,0.35900452,0.0,53,28,81,一致,20260804135709,4/5,药品注册、产品组合和医药商业化能力
,135,000538,云南白药,SZ,中药Ⅱ,通过,保留,淘汰,综合得分未进入前30,51.83,11.35,2.35,924.78330713,-0.88,0.4,11.275,27.477298,1.1169,12.062469,181.2094985798,0.19594806,0.0,44,28,72,一致,20260804135709,待评,未进入30家初评队列
,494,000541,佛山照明,SZ,照明设备Ⅱ,通过,保留,淘汰,综合得分未进入前30,4.99,73.29,1.13,76.63533368,-1.58,0.67,8.003,17.882514,2.567701,9.524229,11.016252511700001,0.143749,0.0,40,12,52,一致,20260804135709,待评,未进入30家初评队列
8,8,000568,泸州老窖,SZ,白酒Ⅱ,通过,保留,入选30家,综合得分靠前，且满足估值可比门槛与行业分散上限,88.62,8.79,2.53,1304.39907651,-1.96,0.62,26.664,86.949303,0.930025,34.829815,452.7732408554,0.34711251,0.0,54,28,82,一致,20260804135709,4/5,白酒品牌、产品结构和经销商网络
,29,000596,古井贡酒,SZ,白酒Ⅱ,通过,保留,淘汰,行业分散上限：同一细分行业最多入选3家,91.26,7.51,1.98,482.40036,-2.39,0.96,20.435,78.098709,1.132129,18.897248,109.033523984,0.22602289,0.0,51,28,79,一致,20260804135706,待评,未进入30家初评队列
,40,000650,仁和药业,SZ,中药Ⅱ,通过,保留,淘汰,综合得分未进入前30,5.48,13.66,1.23,76.71661522,-0.18,0.69,11.966,37.323483,1.516439,11.5974,26.8800959091,0.35038167,0.0,51,27,78,一致,20260804135709,待评,未进入30家初评队列
5,5,000651,格力电器,SZ,白色家电,通过,保留,入选30家,综合得分靠前，且满足估值可比门槛与行业分散上限,40.55,9.34,1.49,2271.37002798,-1.0,0.99,26.362,27.795968,1.141468,14.048562,1405.0754703041,0.61860263,0.0,53,30,83,一致,20260804135709,4/5,家电品牌、制造规模、渠道和服务网络
,86,000661,长春高新,SZ,生物制品,通过,保留,淘汰,综合得分未进入前30,77.24,28.57,1.42,315.0909474,-1.78,2.21,20.168,85.882616,1.814567,23.052615,43.6535910569,0.13854283,0.0,54,20,74,一致,20260804135709,待评,未进入30家初评队列
,218,000682,东方电子,SZ,电网设备,通过,保留,淘汰,综合得分未进入前30,12.58,17.88,2.77,168.66345748,1.94,1.31,9.38,32.91999,1.250974,6.932261,28.5585831542,0.16932288,0.0,43,25,68,一致,20260804135709,待评,未进入30家初评队列
,145,000719,中原传媒,SZ,出版,通过,保留,淘汰,综合得分未进入前30,12.75,29.34,1.11,130.458478,-1.39,0.56,10.668,38.423975,1.519459,10.416524,62.523807802200004,0.47926213,0.0,51,20,71,一致,20260804135709,待评,未进入30家初评队列
,,000733,振华科技,SZ,军工电子Ⅱ,通过,保留,淘汰,当前 PE/PB 缺失、为负或超出本轮可比估值上限,41.64,362.65,1.48,230.75615107,1.46,1.76,12.057,55.705793,0.941868,16.445685,41.808350497,0.18117979,0.0,44,12,56,一致,20260804135709,待评,未进入30家初评队列
,403,000739,普洛药业,SZ,化学制药,通过,保留,淘汰,综合得分未进入前30,22.12,25.73,4.07,256.24771901,10.0,1.4,15.422,25.300025,1.100069,8.092663,27.097150394699998,0.10574592,0.0,43,15,58,一致,20260804135709,待评,未进入30家初评队列
,,000786,北新建材,SZ,装修建材,通过,周期边界复核排除,淘汰,周期边界复核：行业名称命中油气、燃气、建材、农化等周期关键词,18.83,9.97,1.2,320.53104671,-3.24,1.02,15.272,29.901635,1.291542,14.886508,149.5082016893,0.46643906,0.0,51,30,81,一致,20260804135709,待评,未进入30家初评队列
,,000792,盐湖股份,SZ,农化制品,豁免B通过,周期边界复核排除,淘汰,周期边界复核：行业名称命中油气、燃气、建材、农化等周期关键词,27.68,12.1,3.28,1464.70727935,1.02,0.6,10.933333,60.892146,1.318697,-9.079138,470.2496982742,0.3210537,0.0,44,22,66,一致,20260804135709,待评,未进入30家初评队列
,556,000811,冰轮环境,SZ,通用设备,通过,保留,淘汰,综合得分未进入前30,35.88,75.95,5.54,356.10110102,9.99,3.62,10.56,24.895036,1.22981,8.316496,20.5100494086,0.05759614,0.0,40,4,44,一致,20260804135709,待评,未进入30家初评队列
13,13,000848,承德露露,SZ,饮料乳品,通过,保留,入选30家,综合得分靠前，且满足估值可比门槛与行业分散上限,9.06,9.3,2.89,92.4120067,-2.58,1.73,22.368,43.756567,1.154963,20.730144,29.423282821300003,0.31839242,0.0,53,28,81,一致,20260804135709,3/5,植物蛋白饮料品牌和渠道
2,2,000858,五 粮 液,SZ,白酒Ⅱ,通过,保留,入选30家,综合得分靠前，且满足估值可比门槛与行业分散上限,76.95,9.26,2.53,2986.89735985,-1.42,0.73,21.328,76.233413,1.565099,32.814251,1456.8395430136,0.48774342,0.0,58,28,86,一致,20260804135709,5/5,高端白酒品牌、渠道和消费心智
,147,000895,双汇发展,SZ,食品加工,通过,保留,淘汰,综合得分未进入前30,25.55,17.13,4.45,885.22093992,-2.44,0.32,29.206,16.907703,1.276737,8.614681,205.7364432382,0.23241254,0.0,49,22,71,一致,20260804135709,待评,未进入30家初评队列
,,000910,大亚圣象,SZ,家居用品,通过,保留,淘汰,当前 PE/PB 缺失、为负或超出本轮可比估值上限,5.25,-7.43,0.45,28.73836875,-0.38,0.59,11.224,25.583472,1.445407,6.658438,17.6566799573,0.61439395,0.0,46,12,58,一致,20260804135700,待评,未进入30家初评队列
,,000913,钱江摩托,SZ,摩托车及其他,通过,保留,淘汰,当前 PE/PB 缺失、为负或超出本轮可比估值上限,11.94,-40.37,1.25,62.8534734,-1.73,1.04,10.515,26.405885,1.182665,8.352959,4.525141769599999,0.07199509,0.0,38,12,50,一致,20260804135709,待评,未进入30家初评队列
,50,000915,华特达因,SZ,化学制药,通过,保留,淘汰,综合得分未进入前30,25.77,13.65,2.41,60.38722368,-1.07,0.85,14.685,80.563872,2.088984,17.539875,49.754820206000005,0.82392959,0.0,52,25,77,一致,20260804135709,待评,未进入30家初评队列
,,000920,沃顿科技,SZ,塑料,通过,周期边界复核排除,淘汰,周期边界复核：行业名称命中油气、燃气、建材、农化等周期关键词,11.13,29.82,2.72,52.60273043,2.77,1.55,10.436,36.331355,1.575082,9.550435,8.8460320935,0.16816679,0.0,47,18,65,一致,20260804135709,待评,未进入30家初评队列
,,000923,河钢资源,SZ,冶钢原料,通过,保留,淘汰,当前 PE/PB 缺失、为负或超出本轮可比估值上限,14.55,104.95,0.98,94.97206383,0.21,1.34,8.366,64.509351,1.791506,10.755366,22.473718752699998,0.23663505,0.0,48,12,60,一致,20260804135709,待评,未进入30家初评队列
,113,000963,华东医药,SZ,化学制药,通过,保留,淘汰,综合得分未进入前30,28.47,12.45,2.02,499.28888063,-0.35,0.93,18.945,32.111667,1.205039,7.227955,105.54089310479999,0.21138242,0.0,48,25,73,一致,20260804135709,待评,未进入30家初评队列
,,000968,蓝焰控股,SZ,油气开采Ⅱ,通过,周期边界复核排除,淘汰,周期边界复核：行业名称命中油气、燃气、建材、农化等周期关键词,7.04,11.53,1.07,68.11218726,0.57,1.7,11.097,35.201008,2.371231,21.939979,11.225152870399999,0.16480388,0.0,50,30,80,一致,20260804135709,待评,未进入30家初评队列
,574,000988,华工科技,SZ,自动化设备,通过,保留,淘汰,综合得分未进入前30,101.24,39.86,8.9,1017.97094057,8.66,4.65,9.888,20.294763,0.73195,8.32385,13.298717101600001,0.01306395,0.0,29,4,33,一致,20260804135709,待评,未进入30家初评队列
,181,000989,九芝堂,SZ,中药Ⅱ,通过,保留,淘汰,综合得分未进入前30,9.23,11.97,2.19,79.00344771,0.54,3.46,8.743,59.463594,1.189296,11.556374,11.097428036199998,0.14046764,0.0,42,28,70,一致,20260804135709,待评,未进入30家初评队列
