selection_rank,global_rank,code,name,exchange,industry,original_scope,result,secondary_scope,decision,decision_reason,price,pe_ttm,pb,market_cap_yi,change_pct,turnover_pct,roe_avg_10,gross_margin_avg_5,ocf_ni_avg_5,net_margin_avg_10,fcf_5_total_yi,fcf_to_market_cap_5y,share_inflation_5,debt_ratio,debt_limit,debt_gate,quality_score,quality_score_basis,valuation_score,composite_score,price_cross_check,quote_timestamp,moat_rating,moat_basis,moat_status
,204,000001,平安银行,SZ,银行Ⅱ,金融,金融特殊口径通过,金融行业（特殊口径）,淘汰,综合得分未进入前50,11.44,3.82,0.49,2220.03704185,-1.55,0.63,11.099,,1.694905,24.117718,3949.6,1.77906941,0.0,90.6985362426,,金融特殊口径,41.33,金融特殊口径：ROE 40分、股本稳定性20分,30,71.33,一致,20260804150000,待评,未完成护城河初评,待核验
,787,000025,特 力Ａ,SZ,综合Ⅱ,保留,通过,普通行业,淘汰,综合得分未进入前50,15.54,50.33,3.7,66.98646293,-0.83,2.91,8.142,16.775653,0.997214,15.781768,2.9906890017000003,0.04464617,0.0,24.6792261736,60,通过,34,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,7,41,一致,20260804150000,待评,未完成护城河初评,待核验
,,000333,美的集团,SZ,白色家电,保留,通过,普通行业,淘汰,2025年报资产负债率超过普通行业门槛（公用事业放宽至70%）,85.14,12.81,3.15,6494.29631417,-0.88,0.55,23.932,25.047411,1.380423,8.715082,2020.36597,0.31109852,0.0,61.1650097449,60,不通过,51,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,22,73,一致,20260804150000,待评,未完成护城河初评,待核验
,615,000400,许继电气,SZ,电网设备,保留,通过,普通行业,淘汰,综合得分未进入前50,23.83,54.65,2.01,242.73768194,0.8,3.08,8.365,20.412519,2.044147,5.963025,86.5025127761,0.35636211,0.0,49.0306647393,60,通过,46,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,10,56,一致,20260804150000,待评,未完成护城河初评,待核验
,583,000408,藏格矿业,SZ,农化制品,保留,通过,普通行业,淘汰,综合得分未进入前50,80.93,20.17,8.3,1269.72271041,1.25,0.89,19.748,62.043675,0.832043,49.324127,127.19850816719999,0.10017818,0.0,8.3472723292,60,通过,46,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,12,58,一致,20260804150000,待评,未完成护城河初评,待核验
,230,000423,东阿阿胶,SZ,中药Ⅱ,保留,通过,普通行业,淘汰,综合得分未进入前50,54.6,19.2,3.54,349.3454459,-1.44,1.05,11.686,68.80156,2.790772,17.78111,117.3435090943,0.33589535,0.0,22.5537573588,60,通过,52,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,19,71,一致,20260804150000,待评,未完成护城河初评,待核验
,,000425,徐工机械,SZ,工程机械,周期,通过,周期行业（本次保留）,淘汰,2025年报资产负债率超过普通行业门槛（公用事业放宽至70%）,8.44,12.02,1.64,988.4261619,-3.43,1.98,9.17,21.530705,1.104959,5.086712,84.24825596310001,0.08523475,0.0,64.0099309235,60,不通过,38,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,25,63,一致,20260804150000,待评,未完成护城河初评,待核验
13,13,000429,粤高速Ａ,SZ,铁路公路,周期,通过,周期行业（本次保留）,入选50家,综合得分靠前，且满足 PE/PB 可比、普通行业负债率门槛与行业分散上限,14.34,16.59,2.92,299.82159847,-1.92,0.66,15.749,63.720037,2.14405,35.945148,96.74404464870001,0.32267203,0.0,46.9829693687,70,通过,56,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,25,81,一致,20260804150000,待评,未完成护城河初评,待核验
16,16,000513,丽珠集团,SZ,化学制药,保留,通过,普通行业,入选50家,综合得分靠前，且满足 PE/PB 可比、普通行业负债率门槛与行业分散上限,30.82,11.86,2.07,273.6529901,-0.64,0.93,17.541,64.968751,1.437233,18.439595,98.33828810440001,0.35935397,0.0,35.1811775084,60,通过,53,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,28,81,一致,20260804150000,4/5,药品注册、产品组合和医药商业化能力,初评达到★★★
,,000532,华金资本,SZ,多元金融,金融,金融特殊口径通过,金融行业（特殊口径）,淘汰,当前 PE/PB 缺失、为负或超出本轮可比估值上限,10.68,-170.76,2.32,36.81485071,-0.74,1.05,10.241,44.055042,1.119226,21.786391,3.1451056094,0.08543035,0.0,28.088581264,,金融特殊口径,41.33,金融特殊口径：ROE 40分、股本稳定性20分,10,51.33,一致,20260804150000,待评,未完成护城河初评,待核验
