code,name,exchange,industry,scope,scope_reason,result,roe_avg_10,fcf_5_total,interest_coverage_latest,gross_margin_avg_5,ocf_ni_avg_5,net_margin_avg_10,share_inflation_5,missing_fields,failed_fields,financial_window_years,cashflow_window_years
000001,平安银行,SZ,银行Ⅱ,金融,金融行业,行业排除,,,,,,,,,,,
000002,万 科Ａ,SZ,房地产开发,周期,周期性行业,行业排除,,,,,,,,,,,
000006,深振业Ａ,SZ,房地产开发,周期,周期性行业,行业排除,,,,,,,,,,,
000007,全新好,SZ,一般零售,保留,,排除,-0.279,837523179.42,2.813809,18.351174,33.054755,-38.376441,0.0,,"roe,net_margin","2016,2017,2018,2019,2020,2021,2022,2023,2024,2025","2021,2022,2023,2024,2025"
000008,神州高铁,SZ,轨交设备Ⅱ,保留,,排除,-9.515,787854835.04,-6.198111,28.29974,-0.385022,-16.442606,0.0,,"roe,interest_coverage,ocf_ni,net_margin","2016,2017,2018,2019,2020,2021,2022,2023,2024,2025","2021,2022,2023,2024,2025"
000009,中国宝安,SZ,综合Ⅱ,保留,,排除,6.76,-6202597575.86,2.530563,24.512304,4.642671,2.972599,0.0,,"roe,fcf,net_margin","2016,2017,2018,2019,2020,2021,2022,2023,2024,2025","2021,2022,2023,2024,2025"
000010,*ST美丽,SZ,基础建设,周期,周期性行业,行业排除,,,,,,,,,,,
000011,深物业A,SZ,房地产开发,周期,周期性行业,行业排除,,,,,,,,,,,
000012,南 玻Ａ,SZ,玻璃玻纤,周期,周期性行业,行业排除,,,,,,,,,,,
000014,沙河股份,SZ,房地产开发,周期,周期性行业,行业排除,,,,,,,,,,,
000016,*ST康佳A,SZ,白色家电,保留,,排除,-7.927778,-13245536237.99,-13.066019,3.108756,0.207265,-15.918586,0.0,,"roe,fcf,interest_coverage,gross_margin,ocf_ni,net_margin","2016,2017,2018,2019,2020,2021,2022,2023,2024,2025","2021,2022,2023,2024,2025"
000017,深中华A,SZ,饰品,保留,,排除,-0.369,-253821135.25,75.450706,7.385498,5.32307,0.410584,0.0,,"roe,fcf,gross_margin,net_margin","2016,2017,2018,2019,2020,2021,2022,2023,2024,2025","2021,2022,2023,2024,2025"
000019,深粮控股,SZ,农产品加工,保留,,排除,8.237,1883064202.61,12.876244,14.911241,1.69064,7.360885,0.0,,gross_margin,"2016,2017,2018,2019,2020,2021,2022,2023,2024,2025","2021,2022,2023,2024,2025"
000020,深华发Ａ,SZ,光学光电子,保留,,排除,3.341,270288227.01,,10.688687,3.647779,1.618735,0.0,,"roe,gross_margin,net_margin","2016,2017,2018,2019,2020,2021,2022,2023,2024,2025","2021,2022,2023,2024,2025"
000021,深科技,SZ,消费电子,保留,,排除,7.807,-494991599.74,,14.721499,1.949632,4.399726,0.0,,"roe,fcf,gross_margin,net_margin","2016,2017,2018,2019,2020,2021,2022,2023,2024,2025","2021,2022,2023,2024,2025"
000025,特 力Ａ,SZ,综合Ⅱ,保留,,通过,8.142,299068900.17,38.404525,16.775653,0.997214,15.781768,0.0,,,"2016,2017,2018,2019,2020,2021,2022,2023,2024,2025","2021,2022,2023,2024,2025"
000026,飞亚达,SZ,饰品,保留,,排除,7.832,2168221060.6,10.521453,36.707858,2.747284,5.494591,0.0,,roe,"2016,2017,2018,2019,2020,2021,2022,2023,2024,2025","2021,2022,2023,2024,2025"
000027,深圳能源,SZ,电力,保留,,排除,6.026,-14859993116.85,1.633677,20.029123,4.509319,7.611888,0.0,,"roe,fcf,interest_coverage","2016,2017,2018,2019,2020,2021,2022,2023,2024,2025","2021,2022,2023,2024,2025"
000028,国药一致,SZ,医药商业,保留,,排除,9.754,10547932386.18,8.268617,11.529531,2.266327,2.150924,0.0,,"gross_margin,net_margin","2016,2017,2018,2019,2020,2021,2022,2023,2024,2025","2021,2022,2023,2024,2025"
000029,深深房Ａ,SZ,房地产开发,周期,周期性行业,行业排除,,,,,,,,,,,
000030,富奥股份,SZ,汽车零部件,周期,周期性行业,行业排除,,,,,,,,,,,
000031,大悦城,SZ,房地产开发,周期,周期性行业,行业排除,,,,,,,,,,,
000032,深桑达Ａ,SZ,专业工程,周期,周期性行业,行业排除,,,,,,,,,,,
000034,神州数码,SZ,IT服务Ⅱ,保留,,排除,13.661,-1475574061.15,1.715534,3.768266,-0.246818,0.727112,0.4,,"fcf,interest_coverage,gross_margin,ocf_ni,net_margin,share_inflation","2016,2017,2018,2019,2020,2021,2022,2023,2024,2025","2021,2022,2023,2024,2025"
