code,market,name,subsector,business,quote_time,price,day_change_pct,turnover_pct,pe_ttm,market_cap_yi,pb,revenue_2023_yi,net_profit_2023_yi,operating_cash_flow_2023_yi,roe_2023_pct,gross_margin_2023_pct,debt_asset_2023_pct,revenue_2024_yi,net_profit_2024_yi,operating_cash_flow_2024_yi,roe_2024_pct,gross_margin_2024_pct,debt_asset_2024_pct,revenue_2025_yi,net_profit_2025_yi,operating_cash_flow_2025_yi,roe_2025_pct,gross_margin_2025_pct,debt_asset_2025_pct,revenue_2025Q1_yi,net_profit_2025Q1_yi,operating_cash_flow_2025Q1_yi,roe_2025Q1_pct,gross_margin_2025Q1_pct,debt_asset_2025Q1_pct,revenue_2026Q1_yi,net_profit_2026Q1_yi,operating_cash_flow_2026Q1_yi,roe_2026Q1_pct,gross_margin_2026Q1_pct,debt_asset_2026Q1_pct,ocf_to_net_profit_2025,revenue_growth_2025_pct,net_profit_growth_2025_pct,revenue_growth_2026Q1_pct,net_profit_growth_2026Q1_pct,cninfo_2025_annual_title,cninfo_2025_annual_published_date,cninfo_2025_annual_detail_url,cninfo_2025_annual_pdf_url,cninfo_2026_q1_title,cninfo_2026_q1_published_date,cninfo_2026_q1_detail_url,cninfo_2026_q1_pdf_url,sources_eastmoney_financial,sources_eastmoney_quote,sources_tencent_quote_api,sources_financial_provider_note
601985,SH,中国核电,核电运营,核电/新能源运营商,20260724161454,8.9,-2.09,0.45,22.24,1830.55,1.57,749.5718026496,106.238267066,431.26075120589996,12.19,44.622152,69.811257,772.7205852664,87.7734205034,407.2053297106,9.44,42.908605,68.26504,820.7549524495,93.0421153674,374.08396868529996,8.21,41.320967,69.006069,202.7270153769,31.369948724,57.3770445513,2.82,47.864338,68.48473,189.2486129978,20.6441612786,81.3095516716,1.73,39.501801,69.440745,4.020587528649108,6.2162660215063115,6.002608573054191,-6.6485477300800895,-34.191281406826434,中国核电2025年年度报告,2026-04-30,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601985&announcementId=1225257680&orgId=9900022188&announcementTime=2026-04-30,https://static.cninfo.com.cn/finalpage/2026-04-30/1225257680.PDF,中国核电2026年第一季度报告,2026-04-30,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601985&announcementId=1225257689&orgId=9900022188&announcementTime=2026-04-30,https://static.cninfo.com.cn/finalpage/2026-04-30/1225257689.PDF,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=0&code=SH601985,https://quote.eastmoney.com/sh601985.html,https://qt.gtimg.cn/q=sh601985,AkShare stock_financial_abstract / Eastmoney F10
003816,SZ,中国广核,核电运营,核电运营商,20260724161448,4.06,-2.4,0.26,21.62,2050.25,1.69,825.4864315032,107.2457011668,331.19894272610003,9.76,35.967907,60.191738,789.4466962305,108.3812042243,375.05728041699996,9.76,34.029158,59.493188,756.9655897353,97.6535895988,299.70529392009996,9.11,31.992993,65.15135,188.1205206893,30.2268497361,24.119011945300002,2.34,36.581408,59.683674,163.1942506199,27.4073356401,34.775219808,2.2,39.372794,65.988612,3.0690658187928284,-4.114414139712386,-9.898039703728234,-13.250160045308535,-9.327846337333156,2025年年度报告,2026-03-26,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=003816&announcementId=1225030278&orgId=9900027002&announcementTime=2026-03-26,https://static.cninfo.com.cn/finalpage/2026-03-26/1225030278.PDF,2026年一季度报告,2026-04-29,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=003816&announcementId=1225227082&orgId=9900027002&announcementTime=2026-04-29,https://static.cninfo.com.cn/finalpage/2026-04-29/1225227082.PDF,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=0&code=SZ003816,https://quote.eastmoney.com/sz003816.html,https://qt.gtimg.cn/q=sz003816,AkShare stock_financial_abstract / Eastmoney F10
600905,SH,三峡能源,风光运营,陆风/海风/光伏运营商,20260724161439,3.86,-2.03,0.4,47.82,1103.48,1.25,265.0157411398,71.7412413149,144.2820715097,8.99,55.125421,69.36714,297.1704435767,61.095071659700004,188.949138781,7.22,52.625784,70.956899,283.9942025156,37.143966192,209.3795745071,4.23,41.811839,71.911985,76.2832060876,24.4678011692,41.4642667389,2.78,49.324534,70.273446,69.48044201270001,10.4008905728,38.811817061,1.17,39.65831,71.971931,5.636974076080109,-4.433900256873691,-39.20300740640397,-8.91777420457135,-57.49151915664326,2025年年度报告,2026-04-30,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600905&announcementId=1225258316&orgId=9900016549&announcementTime=2026-04-30,https://static.cninfo.com.cn/finalpage/2026-04-30/1225258316.PDF,2026年第一季度报告,2026-04-30,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600905&announcementId=1225258395&orgId=9900016549&announcementTime=2026-04-30,https://static.cninfo.com.cn/finalpage/2026-04-30/1225258395.PDF,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=0&code=SH600905,https://quote.eastmoney.com/sh600905.html,https://qt.gtimg.cn/q=sh600905,AkShare stock_financial_abstract / Eastmoney F10
300274,SZ,阳光电源,光伏设备,逆变器/储能/电站系统,20260724161427,113.42,-3.71,3.47,19.72,2351.44,4.98,722.5067493946001,94.3956180025,69.8183897728,40.96,30.35695,64.459775,778.5696696463001,110.36278921360001,120.6832664466,33.99,29.942543,65.066976,891.8435732577001,134.6127995537,169.1777857911,31.26,31.831701,58.061912,190.3644790121,38.2616091733,17.9026075702,9.39,35.13398,64.156089,155.6064528403,22.912695627399998,12.0840418603,4.81,33.262931,57.51483,1.2567734000926953,14.548974616858601,21.97299516702651,-18.258672180953827,-40.115703122624794,2025年年度报告,2026-04-01,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=300274&announcementId=1225066678&orgId=9900021300&announcementTime=2026-04-01 00:00:00,https://static.cninfo.com.cn/finalpage/2026-04-01/1225066678.PDF,2026年一季度报告,2026-04-28,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=300274&announcementId=1225208062&orgId=9900021300&announcementTime=2026-04-28,https://static.cninfo.com.cn/finalpage/2026-04-28/1225208062.PDF,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=0&code=SZ300274,https://quote.eastmoney.com/sz300274.html,https://qt.gtimg.cn/q=sz300274,AkShare stock_financial_abstract / Eastmoney F10
002202,SZ,金风科技,风电整机,风机整机/风电场服务与运营,20260724161436,17.62,-4.08,2.65,23.9,744.23,1.87,504.57189147739996,13.3099796311,18.5404118475,3.45,17.142788,71.964858,566.9916279054,18.6044616308,23.158458004699998,4.91,13.797187,73.955698,730.2347773727,27.7435666348,35.4347854046,7.08,14.183972,71.6624,94.72103951620001,5.6824613026,-16.3646059149,1.48,21.775327,73.05021,154.8491056773,9.0719165385,-15.4662693377,2.23,16.762874,71.100396,1.2772253067185875,28.79110403629035,49.12318983135775,63.47910291970178,59.64766067741034,2025年年度报告,2026-03-28,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002202&announcementId=1225043613&orgId=9900003947&announcementTime=2026-03-28,https://static.cninfo.com.cn/finalpage/2026-03-28/1225043613.PDF,2026年一季度报告,2026-04-25,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002202&announcementId=1225193969&orgId=9900003947&announcementTime=2026-04-25,https://static.cninfo.com.cn/finalpage/2026-04-25/1225193969.PDF,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=0&code=SZ002202,https://quote.eastmoney.com/sz002202.html,https://qt.gtimg.cn/q=sz002202,AkShare stock_financial_abstract / Eastmoney F10
601615,SH,明阳智能,海上风电整机,大型海风机组/新能源运营,20260724161438,10.96,-2.66,2.2,64.8,247.86,0.95,281.2384343814,3.767221283,-25.9026797193,1.34,11.197896,66.069174,271.5831671794,3.4611449348,-24.0316682184,1.31,8.098112,68.588764,380.9496926443,6.5987373273,-55.3807206959,2.49,10.322332,71.711397,77.0361757677,3.0206061588,-21.7832259443,1.14,13.188546,68.695391,86.6263601179,0.2465852164,-39.1019377992,0.09,10.200427,71.8831,-8.392623914090558,40.26999412399357,90.65186380821997,12.44893617138898,-91.83656513174954,明阳智慧能源集团股份公司2025年年度报告,2026-04-29,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601615&announcementId=1225246044&orgId=9900036760&announcementTime=2026-04-29,https://static.cninfo.com.cn/finalpage/2026-04-29/1225246044.PDF,明阳智慧能源集团股份公司2026年第一季度报告,2026-04-29,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601615&announcementId=1225246071&orgId=9900036760&announcementTime=2026-04-29,https://static.cninfo.com.cn/finalpage/2026-04-29/1225246071.PDF,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=0&code=SH601615,https://quote.eastmoney.com/sh601615.html,https://qt.gtimg.cn/q=sh601615,AkShare stock_financial_abstract / Eastmoney F10
603606,SH,东方电缆,海上风电海缆,海缆/陆缆系统,20260724161453,39.25,-2.02,2.79,23.77,323.74,3.99,73.1004401846,10.0003950751,11.9047213758,17.01,25.209967,40.877372,90.9252178568,10.081572590599999,11.126667618199999,15.3,18.833524,43.637906,108.4348283321,12.7140889919,19.647475692,16.83,22.10551,46.68671,21.4700364002,2.8090802701,-4.3172192071,4.01,20.386705,40.818717,28.8296030055,3.7154203226,-9.7265962312,4.39,23.564346,47.454534,1.5453309871055,19.25715537231514,26.112160356356952,34.27831452224013,32.26465481058452,东方电缆2025年年度报告,2026-03-28,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603606&announcementId=1225047125&orgId=9900023122&announcementTime=2026-03-28,https://static.cninfo.com.cn/finalpage/2026-03-28/1225047125.PDF,东方电缆2026年第一季度报告,2026-04-22,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603606&announcementId=1225139721&orgId=9900023122&announcementTime=2026-04-22,https://static.cninfo.com.cn/finalpage/2026-04-22/1225139721.PDF,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=0&code=SH603606,https://quote.eastmoney.com/sh603606.html,https://qt.gtimg.cn/q=sh603606,AkShare stock_financial_abstract / Eastmoney F10
002487,SZ,大金重工,海上风电基础,海工基础/塔筒出口,20260724161442,38.19,-3.44,6.99,21.63,282.64,3.27,43.250819696099995,4.2515719653,8.086988238,6.32,23.437498,32.378553,37.7965057021,4.7387486706,10.834509898499999,6.68,29.827963,37.103951,61.7355024646,11.0329742475,12.270722963299999,14.18,31.183924,42.857316,11.407115830699999,2.3095396497,-2.7788531705,3.13,30.953622,41.136251,19.0695184938,4.3463800075,4.375352315,5.12,39.190415,37.114521,1.1121863142280481,63.336534205515015,132.8246339788063,67.17212989525501,88.19248277744778,2025年年度报告,2026-03-06,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002487&announcementId=1224997956&orgId=9900014996&announcementTime=2026-03-06,https://static.cninfo.com.cn/finalpage/2026-03-06/1224997956.PDF,2026年一季度报告,2026-04-28,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002487&announcementId=1225199920&orgId=9900014996&announcementTime=2026-04-28,https://static.cninfo.com.cn/finalpage/2026-04-28/1225199920.PDF,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=0&code=SZ002487,https://quote.eastmoney.com/sz002487.html,https://qt.gtimg.cn/q=sz002487,AkShare stock_financial_abstract / Eastmoney F10
603806,SH,福斯特,光伏材料,光伏胶膜/背板,20260724161450,13.75,-4.38,0.92,52.72,358.7,2.27,225.8852667013,18.501619376300003,-0.2608365382,12.52,14.641224,27.654006,191.47424268310002,13.075595249600001,43.8875185115,8.19,14.741769,21.658415,154.90803120610002,7.6967626823,14.6245108459,4.72,10.956847,19.519748,36.2438147409,4.0112350351,-4.3562323838,2.41,13.100199,21.041269,33.7251956587,3.117886116,-1.1776738097,1.88,13.826023,19.978234,1.9000859776450587,-19.097196032533216,-41.13642602591684,-6.949100419492593,-22.271168637160866,福斯特2025年年度报告,2026-04-09,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603806&announcementId=1225084000&orgId=9900023130&announcementTime=2026-04-09,https://static.cninfo.com.cn/finalpage/2026-04-09/1225084000.PDF,2026年第一季度报告,2026-04-28,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603806&announcementId=1225198832&orgId=9900023130&announcementTime=2026-04-28,https://static.cninfo.com.cn/finalpage/2026-04-28/1225198832.PDF,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=0&code=SH603806,https://quote.eastmoney.com/sh603806.html,https://qt.gtimg.cn/q=sh603806,AkShare stock_financial_abstract / Eastmoney F10
601012,SH,隆基绿能,光伏制造,硅片/电池/组件,20260724161446,12.42,-2.97,1.38,-13.62,941.2,1.86,1294.976741922,107.51425556379999,81.17363683479999,16.2,18.259342,56.874819,825.8227311872,-85.9210240042,-47.249789318400005,-13.07,7.437949,59.828035,703.4704995042,-64.1955684385,43.5938275577,-11.15,0.809771,64.428043,136.52473612629998,-14.306536765899999,-17.4733678235,-2.38,-4.182282,59.800923,111.91552278540001,-19.199024184000002,-24.4862287929,-3.61,-1.187933,66.077751,-0.679078456941515,-14.815798483423537,-25.285377842608124,-18.02546120150257,34.19756645620464,2025年年度报告,2026-04-29,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601012&announcementId=1225251647&orgId=9900022338&announcementTime=2026-04-29,https://static.cninfo.com.cn/finalpage/2026-04-29/1225251647.PDF,2026年第一季度报告,2026-04-29,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601012&announcementId=1225251668&orgId=9900022338&announcementTime=2026-04-29,https://static.cninfo.com.cn/finalpage/2026-04-29/1225251668.PDF,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=0&code=SH601012,https://quote.eastmoney.com/sh601012.html,https://qt.gtimg.cn/q=sh601012,AkShare stock_financial_abstract / Eastmoney F10
