code,name,subsector,purity,business_one_liner,price,quote_time,market_cap_yi,pe_dynamic_tencent,pb_tencent,revenue_2023_yi,net_profit_2023_yi,operating_cash_flow_2023_yi,roe_2023_pct,debt_asset_2023_pct,revenue_2024_yi,net_profit_2024_yi,operating_cash_flow_2024_yi,roe_2024_pct,debt_asset_2024_pct,revenue_2025_yi,net_profit_2025_yi,operating_cash_flow_2025_yi,roe_2025_pct,debt_asset_2025_pct,revenue_2025Q1_yi,net_profit_2025Q1_yi,operating_cash_flow_2025Q1_yi,roe_2025Q1_pct,debt_asset_2025Q1_pct,revenue_2026Q1_yi,net_profit_2026Q1_yi,operating_cash_flow_2026Q1_yi,roe_2026Q1_pct,debt_asset_2026Q1_pct,ocf_to_net_profit_2025,moat_stars,moat_rationale,valuation_status,roe_status,cash_status,debt_status,moat_status,cninfo_annual_title,cninfo_annual_date,cninfo_annual_detail_url,cninfo_annual_pdf_url,cninfo_annual_error,eastmoney_financial_url,tencent_quote_url,market_cap_crosscheck,source_note,pass_count,near_count,rule_eligible,coarse_score,input_layer1_rows,input_layer1_sha256,decision,decision_reason
300274,阳光电源,风光-逆变器,高,光伏逆变器、储能及新能源电站系统,113.42,20260724161427,2351.44,19.72,4.98,722.5067493946,94.3956180025,69.8183897728,40.96,64.459775,778.5696696463,110.3627892136,120.6832664466,33.99,65.066976,891.8435732577,134.6127995537,169.1777857911,31.26,58.061912,190.3644790121,38.2616091733,17.9026075702,9.39,64.156089,155.6064528403,22.9126956274,12.0840418603,4.81,57.51483,1.2567734000926953,5,全球逆变器头部份额，光储研发、认证和全球服务网络形成规模与转换成本,pass,pass,pass,pass,pass,2025年年度报告,2026-04-01,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=300274&announcementId=1225066678&orgId=9900021300&announcementTime=2026-04-01 00:00:00,https://static.cninfo.com.cn/finalpage/2026-04-01/1225066678.PDF,,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=0&code=SZ300274,https://qt.gtimg.cn/q=sz300274,一致,财务=东方财富F10(AkShare)并附巨潮2025年报；动态PE/PB=腾讯2026-07-24；市值已由腾讯/东方财富双源核对,5,0,True,13.5,63,0F708D0FC842B223DBB28D5C54AAD96D1D649728EF47CBB877D90CEDCAF8EBAF,保留,五项达标，进入第三层精细分析
003816,中国广核,核电-运营,高,核电站建设、运营和售电,4.06,20260724161448,2050.25,21.62,1.69,825.4864315032,107.2457011668,331.1989427261,9.76,60.191738,789.4466962305,108.3812042243,375.057280417,9.76,59.493188,756.9655897353,97.6535895988,299.7052939201,9.11,65.15135,188.1205206893,30.2268497361,24.1190119453,2.34,59.683674,163.1942506199,27.4073356401,34.775219808,2.2,65.988612,3.069065818792829,5,核电牌照、选址与运营资质稀缺，在运/在建机组规模和长周期运维记录难复制,pass,pass_relaxed_heavy_asset,pass,pass_relaxed_utility,pass,2025年年度报告,2026-03-26,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=003816&announcementId=1225030278&orgId=9900027002&announcementTime=2026-03-26,https://static.cninfo.com.cn/finalpage/2026-03-26/1225030278.PDF,,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=0&code=SZ003816,https://qt.gtimg.cn/q=sz003816,一致,财务=东方财富F10(AkShare)并附巨潮2025年报；动态PE/PB=腾讯2026-07-24；市值已由腾讯/东方财富双源核对,5,0,True,13.5,63,0F708D0FC842B223DBB28D5C54AAD96D1D649728EF47CBB877D90CEDCAF8EBAF,保留,五项达标，进入第三层精细分析
601985,中国核电,核电-运营,高,核电运营并拓展风光新能源,8.9,20260724161454,1830.55,22.24,1.57,749.5718026496,106.238267066,431.2607512059,12.19,69.811257,772.7205852664,87.7734205034,407.2053297106,9.44,68.26504,820.7549524495,93.0421153674,374.0839686853,8.21,69.006069,202.7270153769,31.369948724,57.3770445513,2.82,68.48473,189.2486129978,20.6441612786,81.3095516716,1.73,69.440745,4.020587528649108,5,核电牌照、堆址资源和大规模核电运营记录，资产寿命长且准入壁垒极高,pass,pass_relaxed_heavy_asset,pass,pass_relaxed_utility,pass,中国核电2025年年度报告,2026-04-30,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601985&announcementId=1225257680&orgId=9900022188&announcementTime=2026-04-30,https://static.cninfo.com.cn/finalpage/2026-04-30/1225257680.PDF,,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=0&code=SH601985,https://qt.gtimg.cn/q=sh601985,一致,财务=东方财富F10(AkShare)并附巨潮2025年报；动态PE/PB=腾讯2026-07-24；市值已由腾讯/东方财富双源核对,5,0,True,13.5,63,0F708D0FC842B223DBB28D5C54AAD96D1D649728EF47CBB877D90CEDCAF8EBAF,保留,五项达标，进入第三层精细分析
600930,华电新能,风电-运营,中,风力发电、太阳能发电为主的新能源项目的开发、投资和运营,4.16,20260724161444,1735.31,27.1,1.59,295.80128992,96.19770057,184.75989422,12.98,73.178028,339.67750888,88.31054314,241.64290265,10.49,73.063859,389.80388748,72.6287012,318.30794795,7.18,70.351933,96.28119935,29.21573855,56.4447325,3.24,73.129572,105.8750312,20.61318117,59.4060322,1.74,70.97419,4.382674379285197,4,央企新能源运营规模、资源获取和低成本融资能力突出，发电端无定价权,near,near,pass,near,pass,华电新能源集团股份有限公司2025年年度报告,2026-04-21,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600930&announcementId=1225131379&orgId=fzqy1062763&announcementTime=2026-04-21,https://static.cninfo.com.cn/finalpage/2026-04-21/1225131379.PDF,,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=0&code=SH600930,https://qt.gtimg.cn/q=sh600930,一致,财务=东方财富F10(AkShare)并附巨潮2025年报；动态PE/PB=腾讯2026-07-24；市值已由腾讯/东方财富双源核对,2,3,False,9.0,63,0F708D0FC842B223DBB28D5C54AAD96D1D649728EF47CBB877D90CEDCAF8EBAF,淘汰/观察,仅2项达标、3项接近（PE、ROE、负债率），不满足5项全过或4过1近
001248,华润新能源,风电-运营,中,投资、开发、运营和管理风力、太阳能发电站,12.7,20260724161409,1651.7,30.74,1.45,205.1170936561,82.802027892,137.2208922248,11.34,54.795269,228.7361077096,79.5329106311,157.195991579,9.85,57.497175,229.090520502,61.018083985,200.0591097275,6.94,59.980251,63.903234811,23.4558249869,33.0065208622,,,62.1076569224,16.1679510315,39.1268197119,,60.190894,3.278685541431951,4,大型风光运营规模、央企项目获取和融资能力，运营资产同质化,near,near,pass,pass,pass,,,,,"KeyError: ""None of [Index(['代码', '简称', '公告标题', '公告时间', 'announcementId', 'orgId'], dtype='str')] are in the [columns]""; KeyError: ""None of [Index(['代码', '简称', '公告标题', '公告时间', 'announcementId', 'orgId'], dtype='str')] are in the [columns]""",https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=0&code=SZ001248,https://qt.gtimg.cn/q=sz001248,一致,财务=东方财富F10(AkShare)并附巨潮2025年报；动态PE/PB=腾讯2026-07-24；市值已由腾讯/东方财富双源核对,3,2,False,10.0,63,0F708D0FC842B223DBB28D5C54AAD96D1D649728EF47CBB877D90CEDCAF8EBAF,淘汰/观察,仅3项达标、2项接近（PE、ROE），不满足5项全过或4过1近
001289,龙源电力,风电-运营,高,大型风电运营商,16.02,20260724161436,1339.24,31.55,1.76,380.524953196,63.0339218047,143.4579102675,9.08,64.089512,371.6403568023,63.5491190086,171.0939934045,8.67,66.508255,302.527128736,45.2621681409,218.3256609933,6.08,66.549429,81.6357571934,19.0544449721,27.0381338194,2.56,66.656749,78.6753043879,16.238322041,28.5057768781,2.14,65.941089,4.823579381209881,5,大型风电运营规模、优质风资源和项目开发能力，融资与运维规模效应突出,near,near,pass,pass_relaxed_utility,pass,2025年年度报告,2026-04-01,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=001289&announcementId=1225067210&orgId=9900009768&announcementTime=2026-04-01,https://static.cninfo.com.cn/finalpage/2026-04-01/1225067210.PDF,,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=0&code=SZ001289,https://qt.gtimg.cn/q=sz001289,一致,财务=东方财富F10(AkShare)并附巨潮2025年报；动态PE/PB=腾讯2026-07-24；市值已由腾讯/东方财富双源核对,3,2,False,11.5,63,0F708D0FC842B223DBB28D5C54AAD96D1D649728EF47CBB877D90CEDCAF8EBAF,淘汰/观察,仅3项达标、2项接近（PE、ROE），不满足5项全过或4过1近
600487,亨通光电,海上风电-海缆,中,通信网络与海洋能源系统,52.43,20260724161440,1293.13,40.05,4.07,476.217432631,21.5360533012,18.5742323198,8.71,55.003169,599.8421242178,27.6882152355,32.6208906689,10.28,53.490166,668.5485438079,26.8026933843,28.0779607931,8.96,51.733093,132.6795177719,5.5678336225,0.7664850075,1.92,53.026912,177.9056006979,11.0536423268,-1.9366304638,3.44,51.875626,1.0475798230616258,4,通信与海洋能源系统认证、制造和工程交付能力较强，但海缆并非唯一主业,fail,fail,pass,pass,pass,亨通光电2025年年度报告,2026-04-25,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600487&announcementId=1225195764&orgId=gssh0600487&announcementTime=2026-04-25,https://static.cninfo.com.cn/finalpage/2026-04-25/1225195764.PDF,,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=0&code=SH600487,https://qt.gtimg.cn/q=sh600487,一致,财务=东方财富F10(AkShare)并附巨潮2025年报；动态PE/PB=腾讯2026-07-24；市值已由腾讯/东方财富双源核对,3,0,False,8.0,63,0F708D0FC842B223DBB28D5C54AAD96D1D649728EF47CBB877D90CEDCAF8EBAF,淘汰/观察,动态PE偏高；ROE不足且无明确改善
605117,德业股份,光伏-逆变器,中,"研发、设计、生产、销售、服务为一体的制造企业,拥有以逆变器为主的电路控制系列、环境电器系列和热交换器系列三大核心业务,致力于为全球客户提供“智能、健康、节能、环保”的产品和解决方案",88.45,20260724161441,1126.17,30.83,11.34,74.7970568743,17.9098683003,20.8097019992,38.6,51.638644,112.0646757484,29.6034714246,33.6665908855,39.24,37.445725,122.2374346254,31.7076970542,39.8626898468,32.66,48.111502,25.6632333858,7.0554373236,4.7660266967,7.16,39.727188,44.5943723986,11.8789427236,18.3065255584,10.87,47.134851,1.2571928443324076,4,储能/微型逆变器海外渠道与认证积累较强，热交换器和环境电器使主题纯度下降,near,pass,pass,pass,pass,2025年年度报告,2026-04-10,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=605117&announcementId=1225089135&orgId=9900039788&announcementTime=2026-04-10,https://static.cninfo.com.cn/finalpage/2026-04-10/1225089135.PDF,,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=0&code=SH605117,https://qt.gtimg.cn/q=sh605117,一致,财务=东方财富F10(AkShare)并附巨潮2025年报；动态PE/PB=腾讯2026-07-24；市值已由腾讯/东方财富双源核对,4,1,True,11.0,63,0F708D0FC842B223DBB28D5C54AAD96D1D649728EF47CBB877D90CEDCAF8EBAF,淘汰/观察,合格但在护城河/纯度/估值二次收紧中落后
600011,华能国际,海上风电/综合电力,低,大型综合发电商，风光为转型业务,7.09,20260724161457,1112.99,8.0,1.75,2543.96694532,84.45560446,454.97117051,11.25,68.334173,2455.50923498,101.35493813,505.30261245,13.14,65.39996,2292.88057955,144.09553809,672.12899994,19.04,65.262893,603.34914635,49.72738942,173.95885484,7.15,64.330258,567.82594376,44.8391867,124.36770516,5.78,66.323747,4.664467816624536,4,大型电源资产、燃料采购和调度规模优势，但风光海风主题纯度低,pass,pass,pass,pass_relaxed_utility,pass,华能国际2025年年度报告,2026-03-25,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600011&announcementId=1225029354&orgId=gssh0600011&announcementTime=2026-03-25,https://static.cninfo.com.cn/finalpage/2026-03-25/1225029354.PDF,,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=0&code=SH600011,https://qt.gtimg.cn/q=sh600011,一致,财务=东方财富F10(AkShare)并附巨潮2025年报；动态PE/PB=腾讯2026-07-24；市值已由腾讯/东方财富双源核对,5,0,True,12.0,63,0F708D0FC842B223DBB28D5C54AAD96D1D649728EF47CBB877D90CEDCAF8EBAF,淘汰/观察,主题收入纯度低
600905,三峡能源,海上风电/风光-运营,高,风电和太阳能发电，海风装机重要,3.86,20260724161439,1103.48,47.82,1.25,265.0157411398,71.7412413149,144.2820715097,8.99,69.36714,297.1704435767,61.0950716597,188.949138781,7.22,70.956899,283.9942025156,37.143966192,209.3795745071,4.23,71.911985,76.2832060876,24.4678011692,41.4642667389,2.78,70.273446,69.4804420127,10.4008905728,38.811817061,1.17,71.971931,5.636974076080109,4,央企融资、资源获取和大基地开发能力突出，发电端缺少定价权,fail,fail,pass,near,pass,2025年年度报告,2026-04-30,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600905&announcementId=1225258316&orgId=9900016549&announcementTime=2026-04-30,https://static.cninfo.com.cn/finalpage/2026-04-30/1225258316.PDF,,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/ZYZBAjaxNew?type=0&code=SH600905,https://qt.gtimg.cn/q=sh600905,一致,财务=东方财富F10(AkShare)并附巨潮2025年报；动态PE/PB=腾讯2026-07-24；市值已由腾讯/东方财富双源核对,2,1,False,8.0,63,0F708D0FC842B223DBB28D5C54AAD96D1D649728EF47CBB877D90CEDCAF8EBAF,淘汰/观察,动态PE偏高；ROE不足且无明确改善
