board_code,board_name,board_pe,board_market_cap_yi,board_change_pct,quality_hit_count,quality_hit_names,quality_hit_median_pe,quality_hit_median_pb
BK1610,股份制银行Ⅲ,5.45,27241.48,2.23,2,招商银行、兴业银行,6.29,0.86
BK1609,城商行Ⅲ,5.83,12295.2,2.6,1,宁波银行,6.2,0.87
BK1283,银行,6.55,143580.76,2.33,5,工商银行、建设银行、招商银行、兴业银行、宁波银行,6.29,0.71
BK0475,银行Ⅱ,6.55,143580.76,2.33,5,工商银行、建设银行、招商银行、兴业银行、宁波银行,6.29,0.71
BK1358,保险Ⅲ,6.85,28156.1,1.16,3,中国人寿、中国平安、中国太保,9.06,0.92
BK0474,保险Ⅱ,6.85,28156.1,1.16,3,中国人寿、中国平安、中国太保,9.06,0.92
BK1611,国有大型银行Ⅲ,7.07,101572.31,1.38,2,工商银行、建设银行,7.33,0.71
BK1203,非银金融,10.57,71078.03,-0.01,4,中国人寿、中国平安、东方财富、中国太保,14.05,1.89
BK1450,空调,11.28,8629.83,1.45,2,美的集团、格力电器,11.99,2.95
BK1239,白色家电,13.0,10933.83,0.04,3,美的集团、格力电器、海尔智家,10.37,1.54
BK1587,电信运营商,14.46,25463.57,1.38,1,中国移动,16.26,1.34
BK1489,快递,14.57,2794.89,2.49,1,顺丰控股,17.16,1.76
BK1287,工业金属,14.8,27831.48,-1.24,1,紫金矿业,9.36,3.97
BK1615,铜,15.68,17325.57,-1.88,1,紫金矿业,9.36,3.97
BK1366,证券Ⅲ,16.02,37878.86,0.07,1,东方财富,22.4,3.55
BK0473,证券Ⅱ,16.02,37878.86,0.07,1,东方财富,22.4,3.55
BK0736,通信服务,16.35,29145.87,-2.79,1,中国移动,16.26,1.34
BK1493,动力煤,16.75,18585.87,3.89,3,中国神华、陕西煤业、兖矿能源,13.29,2.4
BK1577,啤酒,17.17,1491.6,-0.13,1,重庆啤酒,11.91,16.72
BK1210,交通运输,17.4,31213.77,0.85,1,顺丰控股,17.16,1.76
BK1250,煤炭开采,17.92,20579.04,3.51,3,中国神华、陕西煤业、兖矿能源,13.29,2.4
BK1575,白酒Ⅲ,18.26,22959.48,0.57,4,贵州茅台、山西汾酒、泸州老窖、洋河股份,7.76,3.03
BK1277,白酒Ⅱ,18.26,22959.48,0.57,4,贵州茅台、山西汾酒、泸州老窖、洋河股份,7.76,3.03
BK1380,水力发电,18.36,11221.19,0.4,3,长江电力、华能水电、国投电力,24.59,2.56
BK0456,家用电器,18.44,20148.07,-1.06,6,美的集团、格力电器、三花智控、海尔智家、石头科技、老板电器,11.99,1.77
BK1393,工程机械整机,18.51,5553.8,-0.33,1,三一重工,17.5,1.92
BK1426,聚氨酯,18.68,2566.14,-1.34,1,万华化学,14.95,2.07
BK1585,乳品,18.86,2354.06,1.5,1,伊利股份,7.36,2.95
BK1429,食品及饲料添加剂,18.92,2445.86,0.63,1,金禾实业,29.92,1.47
BK0437,煤炭,18.94,21078.55,3.1,3,中国神华、陕西煤业、兖矿能源,13.29,2.4
BK0428,电力,19.64,39918.37,-1.06,3,长江电力、华能水电、国投电力,24.59,2.56
BK0427,公用事业,19.78,42621.97,-0.94,3,长江电力、华能水电、国投电力,24.59,2.56
BK0438,食品饮料,20.04,36414.69,0.72,8,贵州茅台、海天味业、伊利股份、山西汾酒、泸州老窖、东鹏饮料、洋河股份、重庆啤酒,11.91,4.92
BK1282,饮料乳品,20.81,4175.91,1.03,2,伊利股份、东鹏饮料,18.65,4.92
BK1279,非白酒,21.22,2056.29,0.44,1,重庆啤酒,11.91,16.72
BK0478,有色金属,21.64,56084.79,-2.63,1,紫金矿业,9.36,3.97
BK0731,农化制品,22.7,9194.25,0.72,1,华鲁恒升,12.29,1.63
BK0739,工程机械,23.08,7840.87,-1.48,1,三一重工,17.5,1.92
BK1586,软饮料,24.02,1821.84,-0.07,1,东鹏饮料,18.67,4.93
BK1244,小家电,24.21,1917.64,-0.37,1,石头科技,19.55,1.77
BK1292,广告媒体,24.59,799.5,0.26,1,分众传媒,10.21,5.75
BK1445,安防设备,24.82,5040.52,-2.45,2,海康威视、大华股份,27.87,3.92
BK1432,氮肥,25.57,881.08,0.82,1,华鲁恒升,12.31,1.63
BK1608,中药Ⅲ,26.01,7495.35,0.39,2,云南白药、片仔癀,23.32,4.56
BK1040,中药Ⅱ,26.01,7495.35,0.39,2,云南白药、片仔癀,23.32,4.56
BK0422,物流,26.97,6363.13,0.63,1,顺丰控股,17.16,1.76
