board_code,board_name,pe,pb,market_cap_yi,turnover_yi,change_pct
BK1201,电子,115.47,,245270.69,9594.17,-2.04
BK1283,银行,6.55,,143580.76,284.76,2.33
BK0475,银行Ⅱ,6.55,,143580.76,284.76,2.33
BK1036,半导体,225.51,,138245.32,5134.71,-0.51
BK1611,国有大型银行Ⅲ,7.07,,101572.31,91.34,1.38
BK1200,电力设备,58.12,,85265.21,2351.5,-2.6
BK1215,通信,34.06,,77555.52,2036.06,-2.48
BK1205,机械设备,59.05,,73042.28,2810.29,-2.28
BK1203,非银金融,10.57,,71078.03,661.13,-0.01
BK1216,医药生物,46.56,,67138.41,1823.6,0.63
BK0478,有色金属,21.64,,56084.79,1938.34,-2.63
BK1331,数字芯片设计,153.57,,54445.21,2220.04,-0.64
BK1206,基础化工,40.06,,50255.71,1717.82,-1.19
BK0448,通信设备,98.0,,48409.65,1879.59,-2.34
BK1211,汽车,29.65,,46107.21,1054.24,-1.58
BK1207,计算机,156.46,,44760.87,1312.61,-1.95
BK0464,石油石化,12.9,,44560.75,174.11,0.59
BK0427,公用事业,19.78,,42621.97,493.17,-0.94
BK0428,电力,19.64,,39918.37,448.14,-1.06
BK1033,电池,33.73,,37924.51,923.94,-2.67
BK1366,证券Ⅲ,16.02,,37878.86,501.92,0.07
BK0473,证券Ⅱ,16.02,,37878.86,501.92,0.07
BK1037,消费电子,42.0,,37537.59,922.81,-2.52
BK0438,食品饮料,20.04,,36414.69,279.91,0.72
BK0459,元件,91.32,,35769.79,1454.92,-4.07
BK1338,消费电子零部件及组装,42.83,,34854.52,892.18,-2.57
BK1591,通信网络设备及器件,96.04,,33923.36,1193.26,-2.72
BK1204,国防军工,89.7,,33452.08,976.45,-2.63
BK1210,交通运输,17.4,,31213.77,259.7,0.85
BK0736,通信服务,16.35,,29145.87,156.48,-2.79
BK1340,印制电路板,92.64,,29077.52,1089.89,-3.92
BK1274,炼化及贸易,13.64,,28421.13,124.34,1.06
BK1358,保险Ⅲ,6.85,,28156.1,113.66,1.16
BK0474,保险Ⅱ,6.85,,28156.1,113.66,1.16
BK1287,工业金属,14.8,,27831.48,616.57,-1.24
BK0481,汽车零部件,29.08,,27644.82,881.71,-1.89
BK1610,股份制银行Ⅲ,5.45,,27241.48,105.08,2.23
BK1569,炼油化工,13.02,,26946.26,88.02,3.45
BK0545,通用设备,109.4,,26264.05,1191.08,-2.3
BK1587,电信运营商,14.46,,25463.57,19.58,1.38
BK1303,锂电池,27.24,,25129.37,443.76,-2.14
BK1326,半导体设备,157.82,,24814.82,668.69,-0.41
BK0465,化学制药,57.13,,24807.85,814.88,0.96
BK1329,集成电路制造,279.38,,24750.37,390.14,2.0
BK1575,白酒Ⅲ,18.26,,22959.48,126.43,0.57
BK1277,白酒Ⅱ,18.26,,22959.48,126.43,0.57
BK1594,化学制剂,55.91,,21387.6,680.99,1.12
BK0437,煤炭,18.94,,21078.55,150.23,3.1
BK1250,煤炭开采,17.92,,20579.04,144.11,3.51
BK0456,家用电器,18.44,,20148.07,378.55,-1.06
BK0538,化学制品,40.69,,18945.03,759.88,-1.2
BK0910,专用设备,62.84,,18787.81,607.23,-2.19
BK1038,光学光电子,209.86,,18739.13,1095.99,-3.52
BK1493,动力煤,16.75,,18585.87,114.91,3.89
BK1209,建筑装饰,14.01,,18127.1,366.61,-1.25
BK0457,电网设备,38.13,,17499.14,497.79,-2.46
BK1615,铜,15.68,,17325.57,312.13,-1.88
BK1237,自动化设备,111.97,,15903.26,838.37,-2.96
BK0735,计算机设备,52.61,,15660.69,416.07,-1.64
BK0737,软件开发,322.75,,15485.05,439.52,-1.89
BK1031,光伏设备,-46.15,,15223.91,415.84,-3.4
BK1574,油气开采Ⅲ,11.11,,14048.75,28.96,1.68
BK1276,油气开采Ⅱ,11.11,,14048.75,28.96,1.68
BK1325,半导体材料,804.04,,13869.53,697.03,-3.73
BK0486,传媒,51.33,,13863.02,441.83,-1.07
BK1208,建筑材料,116.1,,13743.24,468.35,-1.98
BK1444,IT服务Ⅲ,-228.48,,13615.13,457.02,-2.21
BK1238,IT服务Ⅱ,-228.48,,13615.13,457.02,-2.21
BK1262,乘用车,31.06,,13171.84,83.89,-0.85
BK1027,小金属,57.48,,12468.12,559.1,-4.4
BK1609,城商行Ⅲ,5.83,,12295.2,70.39,2.6
BK1041,医疗器械,45.11,,12266.58,250.79,-0.25
BK1386,军工电子Ⅲ,211.57,,11933.42,461.6,-2.68
BK1233,军工电子Ⅱ,211.57,,11933.42,461.6,-2.68
BK1526,底盘与发动机系统,33.4,,11783.81,465.09,-1.8
BK0433,农林牧渔,79.11,,11716.35,216.39,0.62
BK0450,航运港口,12.66,,11327.12,107.48,1.22
BK1380,水力发电,18.36,,11221.19,51.38,0.4
BK1335,面板,124.91,,11152.12,671.66,-3.77
BK1239,白色家电,13.0,,10933.83,84.92,0.04
BK1377,火力发电,13.51,,10622.97,181.85,-1.2
BK1446,其他计算机设备,112.32,,10620.17,343.3,-1.29
BK1447,垂直应用软件,391.93,,10523.16,348.11,-2.08
BK0727,医疗服务,34.7,,10178.85,383.8,1.17
BK1384,航空装备Ⅲ,76.21,,10075.67,213.9,-2.84
BK1231,航空装备Ⅱ,76.21,,10075.67,213.9,-2.84
BK1405,其他专用设备,93.43,,10068.78,384.51,-2.26
BK1212,轻工制造,68.08,,9972.85,197.73,-0.95
BK1302,电池化学品,51.85,,9969.44,382.81,-3.03
BK1332,电子化学品Ⅲ,150.89,,9476.03,656.12,-1.99
BK1039,电子化学品Ⅱ,150.89,,9476.03,656.12,-1.99
BK1044,生物制品,-335.07,,9436.65,222.2,1.34
BK1592,通信线缆及配套,125.51,,9403.97,524.54,-4.58
BK1519,电动乘用车,32.13,,9327.84,61.48,-2.24
BK0731,农化制品,22.7,,9194.25,200.08,0.72
BK0728,环保,37.23,,9193.47,227.38,-0.92
BK1202,房地产,-4.46,,9062.88,156.82,0.22
BK1396,金属制品,97.59,,8914.71,403.69,-3.59
BK1450,空调,11.28,,8629.83,66.38,1.45
BK0451,房地产开发,-4.33,,8521.51,147.85,0.37
