local_sector,quality_result,name,code,market,price,pe,pb,market_cap_yi,float_market_cap_yi,change_pct,turnover_rate,high_52w,low_52w
食品饮料,通过,贵州茅台,600519,SH,1206.88,18.24,6.48,15086.98,15086.98,1.04,0.33,1313.90,1075.01
食品饮料,通过,五粮液,000858,SZ,73.78,22.73,2.24,2863.85,2863.78,0.78,0.88,80.53,65.89
食品饮料,通过,泸州老窖,000568,SZ,78.21,11.57,2.23,1151.17,1150.52,1.31,0.91,84.92,69.48
食品饮料,通过,山西汾酒,600809,SH,111.74,12.41,3.03,1363.19,1363.19,2.28,0.96,120.18,98.33
食品饮料,通过,洋河股份,002304,SZ,39.19,58.14,1.26,590.38,590.36,1.32,0.44,42.55,34.81
食品饮料,通过,海天味业,603288,SH,34.35,27.61,5.38,2010.10,1910.07,1.00,0.36,37.41,30.61
食品饮料,豁免C通过,伊利股份,600887,SH,25.11,13.14,2.95,1588.30,1580.41,2.07,1.02,27.06,22.14
食品饮料,豁免A通过,东鹏饮料,605499,SH,127.75,19.99,4.92,937.94,863.61,1.11,1.01,138.99,113.72
食品饮料,豁免B通过,重庆啤酒,600132,SH,43.10,17.44,16.72,208.59,208.59,1.56,0.69,46.68,38.20
科技硬件,通过,中际旭创,300308,SZ,1095.09,81.70,35.25,12212.82,12154.84,-1.87,2.83,1339.20,892.80
科技硬件,通过,中微公司,,,,,,,,,,,
科技硬件,通过,澜起科技,,,,,,,,,,,
科技硬件,通过,新易盛,300502,SZ,506.88,65.80,36.40,7067.21,6357.51,-3.63,3.41,631.20,420.80
科技硬件,通过,天孚通信,300394,SZ,236.06,118.56,47.10,2575.00,2569.25,-5.61,4.21,300.12,200.08
科技硬件,豁免C通过,工业富联,601138,SH,63.55,31.02,7.16,12610.92,12610.92,-1.81,0.62,71.19,58.25
新能源,通过,宁德时代,300750,SZ,374.75,21.95,5.31,17338.29,15953.15,-1.38,0.50,456.00,304.00
新能源,豁免B通过,比亚迪,002594,SZ,87.54,28.97,3.44,7981.19,3052.18,-1.05,1.38,97.32,79.62
新能源,通过,阳光电源,300274,SZ,128.16,22.28,5.62,2657.03,2034.58,1.59,3.27,151.39,100.93
新能源,通过,汇川技术,300124,SZ,68.36,39.04,5.28,1850.92,1647.69,-5.25,2.88,86.58,57.72
新能源,通过,三花智控,002050,SZ,46.15,47.52,5.95,1942.00,1700.26,-5.80,5.92,53.89,44.09
医药健康,通过,恒瑞医药,600276,SH,56.77,46.41,6.04,3767.94,3621.36,4.26,2.80,59.90,49.01
医药健康,通过,迈瑞医疗,300760,SZ,140.55,21.74,4.42,1704.09,1702.62,0.38,1.01,168.02,112.02
医药健康,通过,药明康德,603259,SH,122.71,18.19,4.60,3661.37,3034.96,-1.14,3.71,136.53,111.71
医药健康,通过,片仔癀,600436,SH,114.87,36.43,4.56,693.03,693.03,0.59,0.82,125.62,102.78
医药健康,豁免通过,爱尔眼科,300015,SZ,8.49,23.49,3.44,791.73,675.41,-0.70,1.33,10.26,6.84
医药健康,豁免B通过,长春高新,000661,SZ,69.44,-674.61,1.28,283.27,277.49,0.70,2.83,75.86,62.06
医药健康,通过,华兰生物,002007,SZ,13.09,27.87,2.21,238.98,205.98,1.63,0.80,14.17,11.59
医药健康,豁免C通过,云南白药,000538,SZ,49.25,16.72,2.24,878.75,873.17,0.80,0.59,53.75,43.97
家电与消费电子,通过,美的集团,000333,SZ,79.86,13.76,2.98,6080.09,5480.19,2.44,0.73,85.76,70.16
家电与消费电子,通过,格力电器,000651,SZ,39.00,7.49,1.44,2184.55,2153.58,1.75,1.12,42.16,34.50
家电与消费电子,通过,海尔智家,600690,SH,20.57,10.31,1.54,1928.98,1286.25,-0.05,0.70,22.64,18.52
家电与消费电子,通过,海康威视,002415,SZ,33.78,20.73,3.91,3095.89,3055.87,-0.65,1.01,37.40,30.60
家电与消费电子,豁免C通过,立讯精密,002475,SZ,62.82,26.71,5.20,4597.85,4587.34,-2.51,1.77,70.88,58.00
家电与消费电子,通过,公牛集团,603195,SH,38.36,16.66,4.84,691.99,690.73,0.92,0.20,41.81,34.21
家电与消费电子,通过,石头科技,,,,,,,,,,,
家电与消费电子,通过,苏泊尔,002032,SZ,43.20,16.41,7.50,345.53,345.38,2.76,0.24,46.24,37.84
家电与消费电子,通过,老板电器,002508,SZ,15.32,11.84,1.28,144.76,143.02,0.66,0.68,16.74,13.70
家电与消费电子,条件通过,大华股份,002236,SZ,16.64,13.94,1.47,544.01,397.88,-0.95,1.35,18.48,15.12
金融,通过,招商银行,600036,SH,37.74,6.31,0.84,9517.97,7785.36,2.47,0.47,40.51,33.15
金融,通过,中国平安,601318,SH,50.07,6.83,0.92,9066.50,5337.49,2.00,0.88,54.00,44.18
金融,豁免通过,宁波银行,002142,SZ,30.73,6.74,0.87,2029.28,2028.01,1.45,0.47,33.32,27.26
金融,通过,兴业银行,601166,SH,17.13,4.68,0.44,3625.20,3625.20,0.71,0.54,18.71,15.31
金融,通过,工商银行,601398,SH,7.11,6.82,0.65,25340.48,19169.43,0.99,0.14,7.74,6.34
金融,通过,建设银行,601939,SH,9.67,7.40,0.71,25296.76,927.71,1.90,1.01,10.44,8.54
金融,通过,东方财富,300059,SZ,21.17,25.55,3.49,3349.56,2826.89,0.52,2.92,25.27,16.85
金融,通过,中国人寿,601628,SH,38.77,7.57,1.83,10958.23,8073.28,0.28,0.19,42.53,34.79
金融,通过,中国太保,601601,SH,30.03,5.36,0.90,2888.99,2055.57,1.28,0.91,32.62,26.69
高端制造与军工,通过,三一重工,600031,SH,18.89,20.63,1.92,1736.94,1600.81,1.78,1.24,20.42,16.70
高端制造与军工,通过,中航光电,002179,SZ,43.79,47.90,3.98,919.70,918.03,3.40,2.71,46.59,38.12
高端制造与军工,通过,紫光国微,002049,SZ,83.16,42.77,5.17,706.55,706.46,1.71,6.05,89.94,73.58
高端制造与军工,豁免A通过,绿的谐波,,,,,,,,,,,
化工与新材料,通过（标注风险）,万华化学,600309,SH,71.00,16.89,2.07,2222.63,2222.63,2.63,1.50,76.10,62.26
化工与新材料,通过,华鲁恒升,600426,SH,25.94,14.73,1.62,548.72,548.65,4.26,2.73,27.37,22.39
化工与新材料,通过,北新建材,000786,SZ,18.63,11.06,1.18,317.13,314.76,2.93,1.25,19.91,16.29
化工与新材料,通过,中国巨石,600176,SH,63.81,66.83,8.10,2554.40,2534.27,-10.00,5.98,77.99,63.81
化工与新材料,通过,新和成,002001,SZ,31.05,14.22,2.92,954.30,942.94,3.50,1.62,33.00,27.00
