code,market,ticker,name,bottleneck_theme,price,pct_chg,pe_ttm_or_dynamic,turnover_rate,high,low,circulating_mcap_yi,total_mcap_yi,pb,timestamp,report_date,notice_date,revenue,revenue_yoy_pct,parent_np,np_yoy_pct,gross_profit,eps,roe_pct,revenue_yi,parent_np_yi,ps_static
002270,SZ,002270.SZ,华明装备,电力接入/变压器分接开关,18.2,-3.65,23.25,2.05,19.29,18.2,163.11,163.11,5.23,20260708161500,2025年报,2026-02-27 00:00:00,2426794600.12,4.503984166499,709737360.27,15.536192044577,1322345727.75,0.79,22.04,24.2679460012,7.097373602699999,6.721211592935577
600312,SH,600312.SH,平高电气,UHV/GIS/高压开关,16.55,-2.47,19.09,1.24,17.0,16.45,224.57,224.57,1.96,20260708161440,2025年报,2026-04-11 00:00:00,12516931784.56,0.929882884996,1119833030.96,9.4472840188,2993545612.27,0.8253,10.28,125.16931784559999,11.198330309600001,1.794129774494846
002028,SZ,002028.SZ,思源电气,高压开关/无功补偿/电网设备,156.84,-5.09,37.72,1.47,169.88,156.58,957.99,1227.39,7.88,20260708161424,2025年报,2026-04-18 00:00:00,21539031405.33,39.338439172515,3150142665.04,53.735272885299,6628593829.37,4.04,22.63,215.39031405330002,31.5014266504,5.6984456585000975
601179,SH,601179.SH,中国西电,输变电一次设备,13.27,-2.28,51.48,1.65,13.63,13.22,680.2,680.2,2.95,20260708161457,2025年报,2026-04-11 00:00:00,23812998981.75,6.878046268084,1269679596.14,20.445536546794,5404244558.16,0.25,5.64,238.1299898175,12.696795961400001,2.8564230843888976
600089,SH,600089.SH,特变电工,变压器/电缆/新能源电力,20.05,-2.67,16.42,1.7,20.72,20.03,1013.08,1013.08,1.44,20260708161443,2025年报,2026-04-16 00:00:00,97318077030.24,-0.600816118375,5954294958.25,43.687328928891,18280894342.84,1.161,8.7546,973.1807703024001,59.5429495825,1.040998785544439
000400,SZ,000400.SZ,许继电气,换流阀/保护自动化,20.2,-1.7,19.22,1.17,20.58,20.19,204.36,205.76,1.71,20260708161421,2025年报,2026-04-11 00:00:00,14991906066.24,-12.272285773602,1167210009.73,4.502079915038,3501690688.07,1.1531,9.94,149.9190606624,11.6721000973,1.372473914196589
600406,SH,600406.SH,国电南瑞,电网自动化/柔直,22.51,-1.23,21.73,0.45,22.78,22.48,1802.64,1807.95,3.64,20260708161450,2025年报,2026-04-30 00:00:00,66228963223.21,14.525179185846,8278971723.32,8.787323481758,17111639370.62,1.04,16.26,662.2896322321,82.7897172332,2.7298479577684263
688676,SH,688676.SH,金盘科技,干式变压器/数据中心电力,77.35,-5.92,53.5,3.0,83.3,77.33,355.64,355.64,7.32,20260708161443,2025年报,2026-03-21 00:00:00,7294986636.41,5.711280274295,659538772.4,14.817921516143,1885972698.2,1.44,14.05,72.9498663641,6.595387724,4.8751288758359825
002837,SZ,002837.SZ,英维克,数据中心液冷/温控,72.12,1.16,190.45,4.81,74.79,70.5,815.29,919.06,27.89,20260708161436,2025年报,2026-04-21 00:00:00,6067759091.55,32.229195512763,521914773,15.29839948939,1690633310.57,0.54,16.58,60.677590915500005,5.21914773,15.146613208159314
002518,SZ,002518.SZ,科士达,UPS/数据中心电源,41.18,-10.01,37.55,4.01,46.1,41.18,232.73,239.76,5.09,20260708161500,2025年报,2026-04-27 00:00:00,5270259670.62,26.720053612848,610887824.39,54.967258917845,1527543164.35,1.05,13.36,52.7025967062,6.1088782439,4.549301457318788
002335,SZ,002335.SZ,科华数据,UPS/数据中心电源,36.3,0.86,64.13,3.76,36.88,35.05,239.48,273.85,4.29,20260708161427,2025年报,2026-04-27 00:00:00,8160262477.61,5.196141796191,417988029.54,32.620958341314,2003768834.23,0.83,7.09,81.6026247761,4.1798802954,3.3558969549249835
301018,SZ,301018.SZ,申菱环境,数据中心温控,117.88,-0.17,231.06,7.76,130.32,117.21,333.39,441.2,16.31,20260708161412,2025年报,2026-04-27 00:00:00,4209198844.25,39.553767805463,216777173.18,87.585786493402,1009723336.83,0.81,8.24,42.0919884425,2.1677717318000003,10.481804645620478
300308,SZ,300308.SZ,中际旭创,800G/1.6T光模块,1128.35,0.57,84.18,2.86,1179.3,1114.56,12524.01,12583.75,36.32,20260708161427,2025年报,2026-03-31 00:00:00,38239935640.67,60.253455931656,10797254300.45,108.784368121158,16074398513.9,9.8,43.84,382.3993564067,107.97254300450001,32.907351409390394
300502,SZ,300502.SZ,新易盛,高速光模块,510.84,0.15,66.32,3.55,533.38,498.13,6407.18,7122.42,36.69,20260708161406,2025年报,2026-04-24 00:00:00,24841854840.22,187.294321518788,9531922730.17,235.889666901085,11875804861.01,9.61,72.75,248.4185484022,95.3192273017,28.671047495489365
300394,SZ,300394.SZ,天孚通信,光器件/无源器件,245.68,0.65,123.39,3.97,253.2,240.2,2673.95,2679.94,49.02,20260708161421,2025年报,2026-04-08 00:00:00,5163432471.16,58.791412515246,2017266034.08,50.147573648317,2786327587,2.5958,41.91,51.6343247116,20.1726603408,51.90229590429665
002281,SZ,002281.SZ,光迅科技,光芯片/光模块,216.81,-2.19,173.18,5.06,226.02,213.32,1692.2,1794.24,12.98,20260708161454,2025年报,2026-04-23 00:00:00,11928697127.38,44.200312379129,946320781.21,43.096733712215,2794926083.38,1.21,9.88,119.28697127379999,9.4632078121,15.041374433773424
