ticker,cn_name,error
002270.SZ,华明装备,Too Many Requests. Rate limited. Try after a while.
600312.SS,平高电气,Too Many Requests. Rate limited. Try after a while.
002028.SZ,思源电气,Too Many Requests. Rate limited. Try after a while.
601179.SS,中国西电,Too Many Requests. Rate limited. Try after a while.
600089.SS,特变电工,Too Many Requests. Rate limited. Try after a while.
000400.SZ,许继电气,Too Many Requests. Rate limited. Try after a while.
600406.SS,国电南瑞,Too Many Requests. Rate limited. Try after a while.
688676.SS,金盘科技,Too Many Requests. Rate limited. Try after a while.
002837.SZ,英维克,Too Many Requests. Rate limited. Try after a while.
002518.SZ,科士达,Too Many Requests. Rate limited. Try after a while.
002335.SZ,科华数据,Too Many Requests. Rate limited. Try after a while.
301018.SZ,申菱环境,Too Many Requests. Rate limited. Try after a while.
300308.SZ,中际旭创,Too Many Requests. Rate limited. Try after a while.
300502.SZ,新易盛,Too Many Requests. Rate limited. Try after a while.
300394.SZ,天孚通信,Too Many Requests. Rate limited. Try after a while.
002281.SZ,光迅科技,Too Many Requests. Rate limited. Try after a while.
000988.SZ,华工科技,Too Many Requests. Rate limited. Try after a while.
688498.SS,源杰科技,Too Many Requests. Rate limited. Try after a while.
688048.SS,长光华芯,Too Many Requests. Rate limited. Try after a while.
002463.SZ,沪电股份,Too Many Requests. Rate limited. Try after a while.
002916.SZ,深南电路,Too Many Requests. Rate limited. Try after a while.
600183.SS,生益科技,Too Many Requests. Rate limited. Try after a while.
603228.SS,景旺电子,Too Many Requests. Rate limited. Try after a while.
688072.SS,拓荆科技,Too Many Requests. Rate limited. Try after a while.
300604.SZ,长川科技,Too Many Requests. Rate limited. Try after a while.
688012.SS,中微公司,Too Many Requests. Rate limited. Try after a while.
002409.SZ,雅克科技,Too Many Requests. Rate limited. Try after a while.
300054.SZ,鼎龙股份,Too Many Requests. Rate limited. Try after a while.
002643.SZ,万润股份,Too Many Requests. Rate limited. Try after a while.
688550.SS,瑞联新材,Too Many Requests. Rate limited. Try after a while.
300395.SZ,菲利华,Too Many Requests. Rate limited. Try after a while.
000519.SZ,中兵红箭,Too Many Requests. Rate limited. Try after a while.
002080.SZ,中材科技,Too Many Requests. Rate limited. Try after a while.
600378.SS,昊华科技,Too Many Requests. Rate limited. Try after a while.
002156.SZ,通富微电,Too Many Requests. Rate limited. Try after a while.
600584.SS,长电科技,Too Many Requests. Rate limited. Try after a while.
688120.SS,华海清科,Too Many Requests. Rate limited. Try after a while.
688019.SS,安集科技,Too Many Requests. Rate limited. Try after a while.
