ticker,name,currency,price,market_cap,revenue_ttm,ps_ttm,pe_ttm,forward_pe,revenue_growth_yoy,profit_margin,assumed_margin_for_10y_test,required_10y_net_income_for_10pct_cagr,required_10y_revenue_for_10pct_cagr,required_revenue_multiple_vs_ttm
GEV,GE Vernova Inc.,USD,1077.08,289432928256,39374999552,7.3506775,33.66927,43.852207,0.163,0.23809999,0.23809999,30028579014.746597,126117514808.57515,3.2029845395177707
ETN,"Eaton Corporation, PLC",USD,395.68,153642549248,28522000384,5.3868084,38.75416,25.082567,0.168,0.13986,0.13986,15940368146.501732,113973746221.2336,3.995994133888642
POWL,"Powell Industries, Inc.",USD,234.05,8526827520,1132055040,7.532167,45.623783,34.046112,0.065,0.16513,0.16513,884655783.542928,5357329277.19329,4.732392938415159
LEU,Centrus Energy Corp.,USD,165.64,3258601472,452300000,7.2045135,63.22138,41.722923,0.049,0.13397999,0.13397999,338078919.93883073,2523353822.752418,5.578938365581291
UAMY,United States Antimony Corporat,USD,6.8,1007662208,39041772,25.809849,,-170.00002,-0.031,-0.41444,0.15,104544650.1731088,696964334.4873921,17.851759763552536
MP,MP Materials Corp.,USD,50.49,8988341248,347568992,25.860596,,48.705902,1.186,-0.20482999,0.15,932537693.6322337,6216917957.548225,17.88686016486829
FORM,"FormFactor, Inc.",USD,106.05,8267103232,839780992,9.844357,137.72728,37.993732,0.32,0.081379995,0.081379995,857709466.9947343,10539561559.25955,12.55036927444477
AXTI,AXT Inc,USD,58.15,3804358144,95894000,39.672535,,74.742935,0.391,-0.14685,0.15,394701010.06080157,2631340067.0720105,27.440090798923922
VRT,"Vertiv Holdings, LLC",USD,305.58,117375959040,10843400192,10.824645,79.99476,34.506664,0.301,0.14372,0.14372,12177720350.280268,84732259603.954,7.814178034899737
BWXT,"BWX Technologies, Inc.",USD,186.08,17047653376,3376384000,5.049086,52.564972,35.845898,0.261,0.10205,0.10205,1768688896.2559338,17331591340.087543,5.133181338404501
LHX,"L3Harris Technologies, Inc.",USD,295.4,55031525376,12856000512,4.28061,32.67699,21.640059,1.9,0.103690006,0.103690006,5709504160.472077,55063205999.5452,4.283074347122832
RKLB,Rocket Lab Corporation,USD,83.41,52116135936,679577984,76.68897,,-11682.073,0.635,-0.26872,0.15,5407033385.341871,36046889235.61248,53.043050369937355
LITE,Lumentum Holdings Inc.,USD,698.91,54375194624,2488399872,21.851469,128.24037,38.54679,0.901,0.17678,0.17678,5641410042.898808,31912037803.477814,12.824320625699588
COHR,Coherent Corp.,USD,314.13,61456183296,6602083840,9.308604,149.58572,38.2493,0.205,0.07102,0.07102,6376060482.020948,89778379076.6115,13.598491211618951
CIEN,Ciena Corporation,USD,418.91,59297939456,5569149952,10.647574,144.95155,43.46369,0.395,0.0787,0.0787,6152143334.538657,78172088113.57887,14.036628352142973
PRY.MI,PRYSMIAN,EUR,132.05,38590910464,20615000064,1.8719821,28.095747,22.105228,0.101,0.06626,0.06626,4003795321.7757716,60425525532.38412,2.9311436014936176
NEX.PA,NEXANS,EUR,131.2,5739334144,7809999872,0.73486996,27.679325,14.269756,,0.04507,0.15,595454186.4797801,3969694576.5318675,0.5082835648645536
NKT.CO,NKT A/S,DKK,923.0,49334767616,3592000000,13.734624,24.665955,106.51372,0.032,0.07767,0.07767,5118467260.99143,65900183610.03515,18.346376283417356
CHG.L,CHEMRING GROUP PLC ORD 1P,GBp,536.5,1451509376,512000000,2.8349793,31.558823,22.08455,0.065,0.06621,0.06621,150593659.99057835,2274485122.9508886,4.442353755763454
3110.T,NITTO BOSEKI CO,JPY,3515.0,639819972608,118229000192,5.4117007,15.312568,11.858574,0.113,0.3533,0.3533,66381129190.93559,187888845714.50775,1.5891942366879739
4047.T,KANTO DENKA KOGYO CO,JPY,3055.0,175216312320,65400000512,2.6791484,46.259842,33.756905,0.188,0.05787,0.05787,18178639558.661087,314128901998.6364,4.803194182559648
2802.T,AJINOMOTO CO INC,JPY,5702.0,5450341285888,1583718989824,3.4414825,41.26203,24.563822,0.105,0.085039996,0.085039996,565471264609.7501,6649474261613.912,4.198645280090298
RHM.DE,RHEINMETALL AG                I,EUR,1075.0,50032668672,10072999936,4.9670076,47.39859,19.78673,0.077,0.071779996,0.071779996,5190874285.067264,72316447120.82826,7.179236332800495
AII.TO,ALMONTY INDUSTRIES INC,CAD,21.56,6117474304,50006000,122.33481,,18.945518,2.212,-2.65078,0.15,634686114.0342203,4231240760.2281356,84.61466144518928
LYC.AX,LYNAS FPO [LYC],AUD,17.08,17191063552,715889984,24.013556,213.5,25.028574,0.627,0.115030006,0.115030006,1783567658.7639985,15505238335.50003,21.658688739944754
