code,name,segment,bottleneck_rating,price,pct_change,market_cap_100m,revenue_2025_100m,net_profit_2025_100m,revenue_yoy_pct,gross_margin_pct,ps,pe,valuation_light,red_flags,yellow_flags,green_flags,req_np_10y_exit_100m,req_rev_at_margin_100m,req_rev_multiple,req_rev_cagr_pct,source_time,report
600111,北方稀土,稀土-轻稀土配额/分离,A,42.98,-6.61,1553.76,425.63,22.51,29.11,12.21,3.65,56.74,绿灯,,,PS<10且收入增长,62.15,621.5,1.46,3.86,20260709161446,2025年报
600549,厦门钨业,钨-资源/钨钼/稀土一体化,A,64.71,1.92,1027.33,462.65,23.09,30.79,17.9,2.22,33.87,绿灯,,,PS<10且收入增长,41.09,410.93,0.89,-1.18,20260709161437,2025年报
000657,中钨高新,钨-硬质合金/刀具,A,75.99,2.76,1731.51,176.39,12.81,19.34,23.67,9.82,88.84,黄灯,,PE>80,PS<10且收入增长,69.26,692.6,3.93,14.66,20260709161430,2025年报
002155,湖南黄金,锑-锑/金伴生资源,A,24.26,5.89,379.1,501.81,14.88,80.26,6.15,0.76,21.65,绿灯,,,PS<10且收入增长;PE<30,15.16,151.64,0.3,-11.28,20260709161409,2025年报
603688,石英股份,高纯石英-石英砂/石英材料,S,67.17,10.01,363.85,10.08,1.53,-16.71,34.61,36.1,264.9,红灯,PS>30且增速<100%,PE>80,,14.55,95.89,9.51,25.26,20260709161433,2025年报
688146,中船特气,电子特气-NF3/WF6,S,363.6,9.85,1924.94,22.6,3.46,15.88,28.87,85.17,534.51,红灯,PS>30且增速<100%,PE>80,,77.0,502.93,22.25,36.38,20260709161448,2025年报
688268,XD华特气,电子特气-高端特种气体,S,229.21,6.85,292.66,14.19,1.35,1.7,30.87,20.62,234.44,黄灯,,PE>80,,11.71,117.06,8.25,23.49,20260709161447,2025年报
688106,金宏气体,电子特气-综合气体/电子气体,S,38.05,5.4,203.71,27.77,1.32,9.95,29.71,7.34,219.54,黄灯,,PE>80,PS<10且收入增长,8.15,81.48,2.93,11.37,20260709161448,2025年报
002409,雅克科技,电子材料-前驱体/配套材料,B,209,10,994.69,86.11,10.0,25.49,30.96,11.55,98.8,黄灯,,PE>80,,39.79,342.61,3.98,14.81,20260709161439,2025年报
600392,盛和资源,稀土-资源/冶炼/海外,A,24.85,1.55,435.58,149.91,8.39,31.83,10.66,2.91,43.64,绿灯,,,PS<10且收入增长,17.42,174.23,1.16,1.51,20260709161438,2025年报
601020,华钰矿业,锑-多金属/锑资源,A,20.92,-0.48,171.54,20.71,8.71,28.31,48.98,8.28,20.05,绿灯,,,PS<10且收入增长;PE<30,6.86,16.32,0.79,-2.36,20260709161437,2025年报
002378,章源钨业,钨-资源/钨制品,A,27.87,0.72,334.84,52.02,2.9,41.62,16.25,6.44,53.22,绿灯,,,PS<10且收入增长,13.39,133.94,2.57,9.92,20260709161454,2025年报
000831,中国稀土,稀土-中重稀土平台,A,48.29,-0.76,512.46,31.82,1.73,5.11,16.65,16.1,214.86,黄灯,,PE>80,,20.5,204.98,6.44,20.48,20260709161415,2025年报
600301,华锡有色,锑/锡锌-多金属资源,A,51.2,0.73,323.87,58.03,8.01,25.31,36.57,5.58,39.06,绿灯,,,PS<10且收入增长,12.95,93.85,1.62,4.93,20260709161445,2025年报
300395,菲利华,高纯石英-石英玻璃/半导体石英材料,S,107.25,4.6,563.84,20.16,4.43,15.76,47.38,27.97,117.02,黄灯,,PE>80,,22.55,102.64,5.09,17.67,20260709161424,2025年报
300346,南大光电,电子材料-前驱体/光刻胶材料,B,80.18,8.16,554.17,25.85,3.2,9.93,39.62,21.44,159.06,黄灯,,PE>80,,22.17,179.07,6.93,21.35,20260709161448,2025年报
