"code","name","report","revenue_100m","net_profit_100m","revenue_yoy_pct","net_profit_yoy_pct","gross_margin_pct","roe_pct","source"
"600111","北方稀土","2025年报","425.63","22.51","29.11","124.17","12.21","9.56","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"600549","厦门钨业","2025年报","462.65","23.09","30.79","34.89","17.9","13.99","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"000657","中钨高新","2025年报","176.39","12.81","19.34","29.2","23.67","13.32","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"002155","湖南黄金","2025年报","501.81","14.88","80.26","75.77","6.15","19.05","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"603688","石英股份","2025年报","10.08","1.53","-16.71","-54.03","34.61","2.65","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"688146","中船特气","2025年报","22.6","3.46","15.88","12.43","28.87","6.07","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"688268","华特气体","2025年报","14.19","1.35","1.7","-26.75","30.87","6.81","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"688106","金宏气体","2025年报","27.77","1.32","9.95","-34.44","29.71","4.26","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"002409","雅克科技","2025年报","86.11","10","25.49","14.77","30.96","12.59","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"600392","盛和资源","2025年报","149.91","8.39","31.83","304.94","10.66","7.79","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"601020","华钰矿业","2025年报","20.71","8.71","28.31","243.73","48.98","17.61","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"002378","章源钨业","2025年报","52.02","2.9","41.62","68.82","16.25","13.04","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"000831","中国稀土","2025年报","31.82","1.73","5.11","160.15","16.65","3.65","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"600301","华锡有色","2025年报","58.03","8.01","25.31","21.75","36.57","18.19","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"300395","菲利华","2025年报","20.16","4.43","15.76","41.04","47.38","10.15","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
"300346","南大光电","2025年报","25.85","3.2","9.93","18","39.62","9.19","Eastmoney RPT_F10_FINANCE_MAINFINADATA"
