"code","name","price","pct_change","turnover_rate","pe","market_cap_100m","pb","source_time","total_shares"
"600111","北方稀土","42.98","-6.61","4.49","56.74","1553.76","6.19","20260709161446","3615065842"
"600549","厦门钨业","64.71","1.92","3.91","33.87","1027.33","5.82","20260709161437","1587585826"
"000657","中钨高新","75.99","2.76","4.63","88.84","1731.51","17.04","20260709161430","2278604400"
"002155","湖南黄金","24.26","5.89","5.34","21.65","379.1","4.60","20260709161409","1562651316"
"603688","石英股份","67.17","10.01","5.13","264.90","363.85","6.27","20260709161433","541678289"
"688146","中船特气","363.6","9.85","9.67","534.51","1924.94","33.40","20260709161448","529411765"
"688268","XD华特气","229.21","6.85","5.78","234.44","292.66","16.16","20260709161447","127682038"
"688106","金宏气体","38.05","5.4","10.54","219.54","203.71","6.27","20260709161448","535384888"
"002409","雅克科技","209","10","10.53","98.80","994.69","12.51","20260709161439","475927678"
"600392","盛和资源","24.85","1.55","5.9","43.64","435.58","3.38","20260709161438","1752826570"
"601020","华钰矿业","20.92","-0.48","2.68","20.05","171.54","3.99","20260709161437","819964698"
"002378","章源钨业","27.87","0.72","3.8","53.22","334.84","13.00","20260709161454","1201417666"
"000831","中国稀土","48.29","-0.76","4.49","214.86","512.46","10.42","20260709161415","1061220807"
"600301","华锡有色","51.2","0.73","5.29","39.06","323.87","6.84","20260709161445","632567479"
"300395","菲利华","107.25","4.6","4.47","117.02","563.84","11.11","20260709161424","525727082"
"300346","南大光电","80.18","8.16","11.45","159.06","554.17","16.27","20260709161448","691156903"
