company,ticker,market_cap,market_cap_currency,revenue,revenue_currency,revenue_period,revenue_growth_pct,ps,pe,optimistic_revenue_cagr_pct,terminal_net_margin_pct,terminal_pe,ten_year_return_pct,euv_revenue_verified_pct,signal,valuation_flag
ASML,ASML,684.91,USD_bn,32.6673,EUR_bn,2025,15.6,18.37,62.58,12,30,25,5.49,35.5,2,high_valuation_no_domestic_benefit
HOYA,7741.T,8676.94,JPY_bn,947.749,JPY_bn,FY2025_26,9.4,9.16,34.28,10,28,25,7.09,not_disclosed,3,green_ps_but_return_below_10
Lasertec,6920.T,3357.59,JPY_bn,256.516,JPY_bn,FY2026_H1_annualized,-0.6,13.09,36.70,12,40,25,9.03,not_disclosed,3,high_purity_but_return_below_10
路维光电,688401,144.54,CNY_100m,11.5523,CNY_100m,2025,31.94,12.51,57.36,20,25,25,11.95,0,2,yellow_not_euv_mask
清溢光电,688138,100.89,CNY_100m,12.3967,CNY_100m,2025,11.46,8.14,53.95,18,20,25,12.39,0,2,green_ps_but_far_from_euv
彤程新材,603650,397.49,CNY_100m,34.2881,CNY_100m,2025,4.85,11.59,70.66,15,18,25,4.62,0,2,yellow_arf_only
茂莱光学,688502,209.88,CNY_100m,6.9101,CNY_100m,2025,37.42,30.37,453.01,25,18,25,3.27,0,1,red_ps_gt_30
芯源微,688037,627.23,CNY_100m,19.48,CNY_100m,2025,11.11,32.20,874.74,25,20,25,3.76,0,1,red_ps_gt_30
中科飞测,688361,1235.70,CNY_100m,20.53,CNY_100m,2025,48.75,60.19,2106.81,25,20,25,-2.53,0,1,red_ps_gt_30
福晶科技,002222,291.88,CNY_100m,11.58,CNY_100m,2025,32.21,25.21,104.62,18,25,25,2.64,0,1,no_euv_disclosure
奥普光电,002338,101.88,CNY_100m,8.00,CNY_100m,2025,7.27,12.74,126.52,12,15,25,-0.89,0,1,company_denied_lithography_equipment_exposure
