"symbol","last","change_pct","volume","fullVolume","name","exchange","timestamp"
"ETN","398.52","-3.3446","2536624","2602225","Eaton Corporation PLC","NYSE","2026-07-02"
"VRT","300.53","-3.4969","5663784","5906879","Vertiv Holdings Co","NYSE","2026-07-02"
"GEV","1113.11","-1.8724","2280711","2363020","GE Vernova Inc","NYSE","2026-07-02"
"POWL","246.33","-6.9961","902781","937421","Powell Industries Inc","NASDAQ","2026-07-02"
"NVT","152.15","-4.9003","2884338","2948261","nVent Electric PLC","NYSE","2026-07-02"
"HUBB","487.10","-0.6162","981372","1017988","Hubbell Inc","NYSE","2026-07-02"
"PWR","668.31","-3.3396","1175323","1273860","Quanta Services Inc","NYSE","2026-07-02"
"CEG","239.25","1.1628","3951645","4270995","Constellation Energy Corp","NASDAQ","2026-07-02"
"VST","151.05","-1.3776","4055630","4255892","Vistra Corp","NYSE","2026-07-02"
"TLN","364.67","1.0754","893668","913607","Talen Energy Corp","NASDAQ","2026-07-02"
