symbol,name,subsector,price,mcap_est_usd_b,shares_est_m,pe_est,quote_date,revenue_usd_b,revenue_year,net_income_usd_b,ocf_usd_b,ocf_to_np,roe_pct,debt_ratio_pct,source_quote,source_fin,confidence_note
ETN,Eaton Corporation PLC,低压/中压配电、UPS、电气系统集成,398.52,156.62,393.0,38.3,2026-07-02,27.45,2025,4.09,4.47,1.09,21.0,,CNBC quote-html-webservice,SEC companyfacts 10-K latest annual,市值用CNBC价格×估算股本；精确股本需以最新10-Q封面复核
VRT,Vertiv Holdings Co,数据中心电源/热管理/机柜基础设施,300.53,114.8,382.0,86.1,2026-07-02,10.23,2025,1.33,2.11,1.59,33.8,67.7,CNBC quote-html-webservice,SEC companyfacts 10-K latest annual,市值用CNBC价格×估算股本；精确股本需以最新10-Q封面复核
GEV,GE Vernova Inc,电网设备、变压器、电气化、燃机,1113.11,307.22,276.0,63.0,2026-07-02,38.07,2025,4.88,4.99,1.02,39.7,80.5,CNBC quote-html-webservice,SEC companyfacts 10-K latest annual,市值用CNBC价格×估算股本；精确股本需以最新10-Q封面复核
POWL,Powell Industries Inc,定制化开关柜/配电系统/数据中心与油气,246.33,2.98,12.1,58.0,2026-07-02,1.1,2025,0.05,0.17,3.27,8.0,42.2,CNBC quote-html-webservice,SEC companyfacts 10-K latest annual,市值用CNBC价格×估算股本；精确股本需以最新10-Q封面复核
NVT,nVent Electric PLC,电气连接/机柜/热管理外壳,152.15,25.26,166.0,35.6,2026-07-02,3.89,2025,0.71,0.65,0.91,19.0,45.6,CNBC quote-html-webservice,SEC companyfacts 10-K latest annual,市值用CNBC价格×估算股本；精确股本需以最新10-Q封面复核
HUBB,Hubbell Inc,公用事业和电气解决方案,487.1,26.16,53.7,116.2,2026-07-02,1.49,2025,0.23,1.03,4.57,5.8,53.1,CNBC quote-html-webservice,SEC companyfacts 10-K latest annual,市值用CNBC价格×估算股本；精确股本需以最新10-Q封面复核
PWR,Quanta Services Inc,电网工程/EPC/公用事业服务,668.31,100.91,151.0,96.9,2026-07-02,28.48,2025,1.04,2.23,2.14,11.5,63.8,CNBC quote-html-webservice,SEC companyfacts 10-K latest annual,市值用CNBC价格×估算股本；精确股本需以最新10-Q封面复核
CEG,Constellation Energy Corp,核电/无碳电源,239.25,73.45,307.0,31.6,2026-07-02,22.66,2025,2.32,4.24,1.82,15.6,74.1,CNBC quote-html-webservice,SEC companyfacts 10-K latest annual,市值用CNBC价格×估算股本；精确股本需以最新10-Q封面复核
VST,Vistra Corp,发电资产/容量与PPA,151.05,50.0,331.0,53.0,2026-07-02,17.59,2025,0.94,4.07,4.31,18.5,87.7,CNBC quote-html-webservice,SEC companyfacts 10-K latest annual,市值用CNBC价格×估算股本；精确股本需以最新10-Q封面复核
TLN,Talen Energy Corp,核电+数据中心PPA弹性,364.67,18.23,50.0,,2026-07-02,2.52,2025,-0.22,0.7,-3.21,-20.0,90.0,CNBC quote-html-webservice,SEC companyfacts 10-K latest annual,市值用CNBC价格×估算股本；精确股本需以最新10-Q封面复核
