symbol,code,latest_date,latest_close,return_30d_pct,return_90d_pct,average_turnover_30d_yi_est,source
sz002683,002683,2026-07-13,27.7,-13.572542901716067,-42.39247982696948,3.2608178446666662,Tencent qfq daily kline; turnover estimated as close*volume
sz002096,002096,2026-07-13,8.76,-14.453125,-39.95887594242632,1.4045860743333334,Tencent qfq daily kline; turnover estimated as close*volume
sz002226,002226,2026-07-13,4.47,-10.635745701719312,-28.388337071451463,1.0471568507333333,Tencent qfq daily kline; turnover estimated as close*volume
sz002246,002246,2026-07-13,17.85,-17.532917532917523,-21.79627601314348,2.995254843666667,Tencent qfq daily kline; turnover estimated as close*volume
sz002497,002497,2026-07-13,18.12,-20.703689116450043,-32.66693916985619,12.487073294333333,Tencent qfq daily kline; turnover estimated as close*volume
sz002917,002917,2026-07-13,9.67,-27.841205880158192,-30.884139804159815,0.7877997724666667,Tencent qfq daily kline; turnover estimated as close*volume
sh603227,603227,2026-07-13,7.04,-19.45080091533181,-20.451977401129938,0.7084414066666667,Tencent qfq daily kline; turnover estimated as close*volume
sz002037,002037,2026-07-13,5.82,-21.457489878542514,-35.69060773480663,0.3923987506666667,Tencent qfq daily kline; turnover estimated as close*volume
sh603977,603977,2026-07-13,11.88,-20.588235294117652,-27.205882352941167,3.6185818419999998,Tencent qfq daily kline; turnover estimated as close*volume
sz002783,002783,2026-07-13,6.75,-10.832232496697491,-33.95303326810176,0.8550090556666666,Tencent qfq daily kline; turnover estimated as close*volume
sz003002,003002,2026-07-13,16.12,-26.727272727272723,-40.318400592373195,0.5726040106666667,Tencent qfq daily kline; turnover estimated as close*volume
sz002360,002360,2026-07-13,5.25,-13.366336633663355,-10.256410256410254,0.38972187633333333,Tencent qfq daily kline; turnover estimated as close*volume
sz002827,002827,2026-07-13,22.65,-19.680851063829785,-37.22283813747228,0.9172490813333334,Tencent qfq daily kline; turnover estimated as close*volume
sz003009,003009,2026-07-13,60.85,20.49504950495049,-19.00705443897244,5.301550494,Tencent qfq daily kline; turnover estimated as close*volume
