symbol,name,code,price,prev_close,change_pct,turnover_amount_10k,turnover_rate_pct,pe_dynamic,float_market_cap_yi,total_market_cap_yi,pb,pe_ttm,eps_ttm,timestamp,source
sz002683,广东宏大,002683,27.70,28.61,-3.18,26432,1.43,21.76,184.64,210.49,3.15,50.85,21.99,20260713161430,Tencent qt.gtimg.cn
sz002096,易普力,002096,8.76,8.80,-0.45,5543,0.51,14.79,108.66,108.66,1.34,25.28,13.71,20260713161424,Tencent qt.gtimg.cn
sz002226,江南化工,002226,4.47,4.48,-0.22,7442,0.63,16.09,118.41,118.41,1.25,22.03,15.63,20260713161406,Tencent qt.gtimg.cn
sz002246,北化股份,002246,17.85,17.85,0.00,50470,5.04,32.04,98.00,98.00,3.15,33.88,37.26,20260713161439,Tencent qt.gtimg.cn
sz002497,雅化集团,002497,18.12,18.70,-3.10,129791,6.73,23.50,192.00,208.84,1.90,15.41,33.03,20260713161412,Tencent qt.gtimg.cn
sz002917,金奥博,002917,9.67,10.12,-4.45,4316,1.69,18.97,25.19,33.61,1.98,21.90,19.26,20260713161421,Tencent qt.gtimg.cn
sh603227,雪峰科技,603227,7.04,7.11,-0.98,5123,0.68,15.54,75.45,75.45,1.49,41.29,14.98,20260713161454,Tencent qt.gtimg.cn
sz002037,保利联合,002037,5.82,6.07,-4.12,4245,1.48,-3.23,28.16,28.16,2.74,-8.62,-3.32,20260713161424,Tencent qt.gtimg.cn
sh603977,国泰集团,603977,11.88,12.83,-7.40,36082,4.81,29.63,73.80,73.80,2.18,46.21,29.26,20260713161447,Tencent qt.gtimg.cn
sz002783,凯龙股份,002783,6.75,7.05,-4.26,5900,1.86,29.04,31.13,33.70,1.29,87.36,23.67,20260713161442,Tencent qt.gtimg.cn
sz003002,壶化股份,003002,16.12,16.82,-4.16,3011,1.02,19.59,29.47,32.24,2.13,50.41,18.74,20260713161454,Tencent qt.gtimg.cn
sz002360,ST同德,002360,5.25,5.19,1.16,3296,1.91,-1.89,17.09,21.09,2.29,-47.51,-1.93,20260713161415,Tencent qt.gtimg.cn
sz002827,高争民爆,002827,22.65,22.86,-0.92,8282,1.32,33.05,62.51,62.75,6.03,165.65,31.69,20260713161403,Tencent qt.gtimg.cn
sz003009,中天火箭,003009,60.85,60.64,0.35,105980,10.72,-125.87,100.21,100.23,4.98,528.99,-98.39,20260713161406,Tencent qt.gtimg.cn
