code,name,market_cap_yi,revenue_2025_yi,net_profit_2025_yi,ps,pe_mcap_np,pe_quote_dynamic,revenue_growth_pct,profit_growth_pct,optimistic_profit_cagr_assumption,future_np_10y_yi,future_mcap_25pe_yi,annual_return_10y_25pe,required_2036_np_for_10pct_return_yi,required_np_multiple_vs_2025,valuation_light
002683,广东宏大,215.35,203.69,9.57,1.06,22.50,22.27,49.203485757187,6.618375422117,12%,29.73,743.22,13.2%,22.34,2.3x,绿灯
002096,易普力,108.17,98.32,7.93,1.10,13.65,14.72,15.04543275084,11.162004393526,9%,18.76,469.11,15.8%,11.22,1.4x,绿灯
002226,江南化工,118.41,99.82,7.58,1.19,15.63,16.09,0.195885599349,-18.022005198029,8%,16.35,408.87,13.2%,12.29,1.6x,绿灯
002246,北化股份,98.83,27.50,2.63,3.59,37.57,32.31,41.262331530564,1029.21799917175,12%,8.17,204.23,7.5%,10.25,3.9x,黄灯
002497,雅化集团,232.82,85.43,6.32,2.73,36.82,26.20,10.724854150687,145.952275740431,8%,13.65,341.32,3.9%,24.16,3.8x,黄灯
002917,金奥博,35.00,17.69,1.75,1.98,20.05,19.75,8.381254453203,40.696387259707,15%,7.06,176.56,17.6%,3.63,2.1x,绿灯
603227,雪峰科技,75.34,55.64,5.04,1.35,14.96,15.52,-8.807860706975,-24.648849507598,6%,9.02,225.50,11.6%,7.82,1.6x,绿灯
002037,保利联合,28.84,66.91,-8.49,0.43,亏损,-3.31,2.837180973814,-2331.70122599068,8%,-18.33,0.00,N/A,2.99,N/A,黄灯
603977,国泰集团,79.52,23.61,2.52,3.37,31.53,31.93,0.26107355401,39.546590839764,12%,7.83,195.84,9.4%,8.25,3.3x,黄灯
002783,凯龙股份,34.95,35.44,1.42,0.99,24.54,30.11,-3.853290548134,-3.873902302551,8%,3.07,76.87,8.2%,3.63,2.5x,绿灯
003002,壶化股份,33.22,13.12,1.72,2.53,19.31,20.18,19.188848016381,22.866942168555,10%,4.46,111.55,12.9%,3.45,2.0x,绿灯
002360,ST同德,20.61,4.72,-10.93,4.36,亏损,-1.85,-13.254585808015,-1466.02594450044,5%,-17.81,0.00,N/A,2.14,N/A,黄灯
002827,高争民爆,62.47,18.27,1.98,3.42,31.55,32.91,7.987004450775,33.639279550099,10%,5.14,128.40,7.5%,6.48,3.3x,黄灯
003009,中天火箭,90.81,7.83,-1.02,11.60,亏损,-114.04,-15.322248260132,-620.645530717205,15%,-4.12,0.00,N/A,9.42,N/A,红灯
