company,code,price_20260713,market_cap_yi,pe_dynamic,ps_2025,pe_status,roe_2025_pct,roe_status,ocf_to_net_profit_2025_pct,ocf_status,asset_liability_2025_pct,debt_status,moat_stars,moat_status,revenue_growth_2025_pct,profit_growth_2025_pct,profit_growth_2026q1_pct,gross_margin_2025_pct,purity,decision,reason,total_shares,revenue_2025_yi,net_profit_2025_yi
广东宏大,002683,27.70,210.49,21.76,1.03,通过,14.2,接近/重资产放宽,135.9,通过,55.436507974,通过,4.0,通过,49.203485757187,6.618375422117,10.659558172481,20.8814869211,高，民爆矿服为核心,留,4项通过+ROE接近；现金流和护城河最好,759885063,203.69,9.57
易普力,002096,8.76,108.66,14.79,1.11,通过,10.27,接近/重资产放宽,93.8,通过,30.2676250249,通过,4.0,通过,15.04543275084,11.162004393526,-34.9368286264,24.7673783151,高，民爆主业,留,4项通过+重资产ROE放宽；低负债低估值,1240440770,98.32,7.93
江南化工,002226,4.47,118.41,16.09,1.19,通过,7.64,接近/重资产放宽,111.6,通过,46.3855243955,通过,4.0,通过,0.195885599349,-18.022005198029,-13.993101664595,30.3984467625,中高，含多元业务,留黄,4项通过+ROE接近；但2025净利-18%，留待精筛,2648922855,99.82,7.58
北化股份,002246,17.85,98.00,32.04,3.56,通过（高增长PEG放宽）,8.94,接近/重资产放宽,145.0,通过,37.9073095737,通过,4.5,通过,41.262331530564,1029.21799917175,145.087736537773,29.3651804563,高，特种材料主业,留黄,材料壁垒强、现金流好；PE按高增长PEG放宽，ROE接近,549034794,27.50,2.63
雅化集团,002497,18.12,208.84,23.50,2.44,通过,5.9,失败,-103.6,失败,26.1659293077,通过,3.5,通过,10.724854150687,145.952275740431,310.870013157949,22.0635002686,低于30%，非纯正,弃,主题纯度低、ROE低、经营现金流/净利为负,1152562520,85.43,6.32
金奥博,002917,9.67,33.61,18.97,1.90,通过,10.62,接近/重资产放宽,146.9,通过,37.0604228429,通过,3.5,通过,8.381254453203,40.696387259707,7.405157363545,36.4224092395,高，装备与民爆主业,留,4项通过+ROE改善；利润增速和现金流较好,347614197,17.69,1.75
雪峰科技,603227,7.04,75.45,15.54,1.36,通过,10.04,接近/重资产放宽,72.3,通过,28.7108793403,通过,3.5,通过,-8.807860706975,-24.648849507598,-28.391416562619,22.3237575249,高，区域民爆主业,留黄,估值/负债/现金流通过；业绩下滑、ROE偏低,1071692689,55.64,5.04
保利联合,002037,5.82,28.16,-3.23,0.42,失败,-55.92,失败,,失败,88.0965154821,失败,3.5,通过,2.837180973814,-2331.70122599068,-38.715553193527,16.86443922,高，但经营质量差,弃,亏损且资产负债率88%，硬指标明显不合格,483883566,66.91,-8.49
国泰集团,603977,11.88,73.80,29.63,3.13,通过,7.62,接近/重资产放宽,72.6,通过,42.7225474118,通过,3.5,通过,0.26107355401,39.546590839764,-7.320270756458,36.281046247,高，民爆主业,留黄,4项接近或通过；ROE低且估值接近上限,621241828,23.61,2.52
凯龙股份,002783,6.75,33.70,29.04,0.95,通过,5.47,失败,208.8,通过,56.1474856353,通过,3.0,通过,-3.853290548134,-3.873902302551,-73.202465690474,30.2588925016,高，区域民爆主业,弃,ROE低、2026Q1净利-73%，护城河仅及格,499317447,35.44,1.42
壶化股份,003002,16.12,32.24,19.59,2.46,通过,11.86,接近/重资产放宽,61.7,接近,29.6887006413,通过,3.0,通过,19.188848016381,22.866942168555,-31.725929383491,39.5919769213,高，民爆主业,留黄,ROE接近、负债低；现金流/净利仅62%,200000000,13.12,1.72
ST同德,002360,5.25,21.09,-1.89,4.46,失败,-74.55,失败,,失败,73.4865883281,失败,2.5,失败,-13.254585808015,-1466.02594450044,-207.686568606656,36.7430724353,中高，但ST,弃,ST、亏损、负债率73%，治理和财务双风险,401774248,4.72,-10.93
高争民爆,002827,22.65,62.75,33.05,3.43,接近,19.79,通过,86.0,通过,52.9546889425,通过,3.5,通过,7.987004450775,33.639279550099,-46.265504366613,30.3032510194,高，区域民爆主业,留黄,ROE与现金流通过；PE/PB偏高且Q1利润-46%,277046000,18.27,1.98
中天火箭,003009,60.85,100.23,-125.87,12.80,失败,-6.49,失败,,失败,50.5964236087,通过,4.0,通过,-15.322248260132,-620.645530717205,127.062916994226,18.9229692159,中，防务相关但不纯,弃,2025亏损、当前PS约12.8x，盈利未验证,164717418,7.83,-1.02
