symbol,slug,market_cap_display,http_status,title,url,source
CHG.L,chemring-group,,404,Error 404: Page not found,https://companiesmarketcap.com/chemring-group/marketcap/,CompaniesMarketCap
RHM.DE,rheinmetall,$53.37 Billion USD,200,"Rheinmetall
 (RHM.F) - Market capitalization",https://companiesmarketcap.com/rheinmetall/marketcap/,CompaniesMarketCap
BA.L,bae-systems,$72.80 Billion USD,200,"BAE Systems
 (BA.L) - Market capitalization",https://companiesmarketcap.com/bae-systems/marketcap/,CompaniesMarketCap
HO.PA,thales,$51.97 Billion USD,200,Thales (HO.PA) - Market capitalization,https://companiesmarketcap.com/thales/marketcap/,CompaniesMarketCap
LDO.MI,leonardo,$33.97 Billion USD,200,Leonardo (LDO.MI) - Market capitalization,https://companiesmarketcap.com/leonardo/marketcap/,CompaniesMarketCap
SAAB-B.ST,saab,$30.02 Billion USD,200,SAAB AB (SAAB-B.ST) - Market capitalization,https://companiesmarketcap.com/saab/marketcap/,CompaniesMarketCap
KOG.OL,kongsberg-gruppen,$25.10 Billion USD,200,Kongsberg Gruppen (KOG.OL) - Market capitalization,https://companiesmarketcap.com/kongsberg-gruppen/marketcap/,CompaniesMarketCap
012450.KS,hanwha-aerospace,$32.24 Billion USD,200,Hanwha Aerospace (012450.KS) - Market capitalization,https://companiesmarketcap.com/hanwha-aerospace/marketcap/,CompaniesMarketCap
103140.KS,poongsan,,404,Error 404: Page not found,https://companiesmarketcap.com/poongsan/marketcap/,CompaniesMarketCap
SOLARINDS.NS,solar-industries-india,$17.18 Billion USD,200,Solar Industries India (SOLARINDS.NS) - Market capitalization,https://companiesmarketcap.com/solar-industries-india/marketcap/,CompaniesMarketCap
PREMEXPLN.NS,premier-explosives,,404,Error 404: Page not found,https://companiesmarketcap.com/premier-explosives/marketcap/,CompaniesMarketCap
ORI.AX,orica,$7.42 Billion USD,200,Orica (ORI.AX) - Market capitalization,https://companiesmarketcap.com/orica/marketcap/,CompaniesMarketCap
IPL.AX,incitec-pivot,,404,Error 404: Page not found,https://companiesmarketcap.com/incitec-pivot/marketcap/,CompaniesMarketCap
AFE.JO,aeci,,404,Error 404: Page not found,https://companiesmarketcap.com/aeci/marketcap/,CompaniesMarketCap
GD,general-dynamics,$100.82 Billion USD,200,General Dynamics (GD) - Market capitalization,https://companiesmarketcap.com/general-dynamics/marketcap/,CompaniesMarketCap
NOC,northrop-grumman,$76.45 Billion USD,200,Northrop Grumman (NOC) - Market capitalization,https://companiesmarketcap.com/northrop-grumman/marketcap/,CompaniesMarketCap
LMT,lockheed-martin,$119.80 Billion USD,200,Lockheed Martin (LMT) - Market capitalization,https://companiesmarketcap.com/lockheed-martin/marketcap/,CompaniesMarketCap
