symbol,name,price,change_pct,market_cap,currency,trailing_pe,forward_pe,price_to_book,market_time,source,status_code,error
CHG.L,,,,,,,,,,Yahoo Finance quote API,401,
RHM.DE,,,,,,,,,,Yahoo Finance quote API,401,
BA.L,,,,,,,,,,Yahoo Finance quote API,401,
HO.PA,,,,,,,,,,Yahoo Finance quote API,401,
LDO.MI,,,,,,,,,,Yahoo Finance quote API,401,
SAAB-B.ST,,,,,,,,,,Yahoo Finance quote API,401,
KOG.OL,,,,,,,,,,Yahoo Finance quote API,401,
012450.KS,,,,,,,,,,Yahoo Finance quote API,401,
103140.KS,,,,,,,,,,Yahoo Finance quote API,401,
SOLARINDS.NS,,,,,,,,,,Yahoo Finance quote API,401,
PREMEXPLN.NS,,,,,,,,,,Yahoo Finance quote API,401,
ORI.AX,,,,,,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
IPL.AX,,,,,,,,,,Yahoo Finance quote API,401,
AFE.JO,,,,,,,,,,Yahoo Finance quote API,401,
GD,,,,,,,,,,Yahoo Finance quote API,401,
NOC,,,,,,,,,,Yahoo Finance quote API,401,
LMT,,,,,,,,,,Yahoo Finance quote API,401,
