name,code,price,prev_close,open,change_amt,change_pct,high,low,volume_lot,turnover_mny_wan,turnover_rate_pct,pe_dynamic,pb,market_cap_yi,float_cap_yi,timestamp,source
广东宏大,002683,28.34,28.60,28.58,-0.26,-0.91,28.58,27.76,72677,20480,1.09,22.27,3.22,215.35,188.90,20260709161415,Tencent qt.gtimg.cn
易普力,002096,8.72,8.78,8.70,-0.06,-0.68,8.83,8.68,50414,4401,0.41,14.72,1.33,108.17,108.17,20260709161442,Tencent qt.gtimg.cn
江南化工,002226,4.47,4.55,4.55,-0.08,-1.76,4.57,4.45,151208,6797,0.57,16.09,1.25,118.41,118.41,20260709161418,Tencent qt.gtimg.cn
北化股份,002246,18.00,17.49,17.49,0.51,2.92,18.08,17.19,101330,17927,1.85,32.31,3.18,98.83,98.83,20260709161433,Tencent qt.gtimg.cn
雅化集团,002497,20.20,22.19,21.80,-1.99,-8.97,21.80,19.97,1229507,251736,11.60,26.20,2.12,232.82,214.04,20260709161457,Tencent qt.gtimg.cn
金奥博,002917,10.07,10.23,10.25,-0.16,-1.56,10.26,9.80,47285,4732,1.81,19.75,2.06,35.00,26.24,20260709161430,Tencent qt.gtimg.cn
雪峰科技,603227,7.03,7.09,7.04,-0.06,-0.85,7.14,7.00,64447,4541,0.60,15.52,1.49,75.34,75.34,20260709161437,Tencent qt.gtimg.cn
保利联合,002037,5.96,6.03,6.00,-0.07,-1.16,6.08,5.83,77553,4609,1.60,-3.31,2.81,28.84,28.84,20260709161430,Tencent qt.gtimg.cn
国泰集团,603977,12.80,13.02,13.28,-0.22,-1.69,13.28,12.26,259137,32771,4.17,31.93,2.35,79.52,79.52,20260709161451,Tencent qt.gtimg.cn
凯龙股份,002783,7.00,7.13,7.13,-0.13,-1.82,7.13,6.90,78606,5498,1.70,30.11,1.34,34.95,32.28,20260709161421,Tencent qt.gtimg.cn
壶化股份,003002,16.61,17.09,17.20,-0.48,-2.81,17.20,16.46,31789,5294,1.74,20.18,2.20,33.22,30.37,20260709161439,Tencent qt.gtimg.cn
ST同德,002360,5.13,5.18,5.14,-0.05,-0.97,5.29,5.09,51440,2654,1.58,-1.85,2.24,20.61,16.70,20260709161442,Tencent qt.gtimg.cn
高争民爆,002827,22.55,22.90,22.90,-0.35,-1.53,23.05,22.22,34205,7712,1.24,32.91,6.00,62.47,62.24,20260709161427,Tencent qt.gtimg.cn
中天火箭,003009,55.13,53.83,53.88,1.30,2.42,55.54,52.35,70552,38119,4.28,-114.04,4.51,90.81,90.79,20260709161424,Tencent qt.gtimg.cn
