SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,SECURITY_TYPE_CODE,EPSJB,BPS,PER_CAPITAL_RESERVE,PER_UNASSIGN_PROFIT,PER_NETCASH,TOTALOPERATEREVE,GROSS_PROFIT,PARENTNETPROFIT,DEDU_PARENT_PROFIT,TOTALOPERATEREVETZ,PARENTNETPROFITTZ,DPNP_YOY_RATIO,YYZSRGDHBZC,NETPROFITRPHBZC,KFJLRGDHBZC,ROE_DILUTED,JROA,GROSS_PROFIT_RATIO,NET_PROFIT_RATIO,SEASON_LABEL
000682.SZ,000682,东方电子,10005606,2026-03-31 00:00:00,058001001,0.1759,4.588538971043,0.859463255311,2.592305510849,-0.282924825941,1518934346.19,462514697.44,235825663.52,125406054.56,8.0511349918,95.0552811066,9.6614159147,-52.72297546,-43.4440006701,-51.1646221371,3.9091087892,1.5859899687,30.449946608959,14.656466931465,一季度
000682.SZ,000682,东方电子,10005606,2025-12-31 00:00:00,058001001,0.311,4.410641185368,0.859463255311,2.416411639622,0.8674484867,3212838288.72,1042168170.64,416977272.64,256793455.99,10.2549872454,58.7146926101,-1.2369172242,60.4403149351,116.4714762168,44.2918660113,7.3059214547,3.4982561628,32.437616742149,14.852530211227,四季度
000682.SZ,000682,东方电子,10005606,2025-09-30 00:00:00,058001001,0.1437,4.103228989956,0.859463255311,2.147208406193,0.146394010537,2002513077.85,613052707.84,192624580.35,177968074.77,10.5094884675,14.3462058191,17.5635260634,14.0138901796,6.1359035432,-1.6647992314,3.5482066239,1.3160144854,30.614167498881,8.518136360095,三季度
000682.SZ,000682,东方电子,10005606,2025-06-30 00:00:00,058001001,0.1353,3.995044533962,0.859463190369,2.040536667395,-0.173143733421,1756376415.8,607430618.82,181488614.05,180981045.83,13.9603604922,19.9351496871,28.9914947164,24.941848656,50.1122146877,58.259007582,3.4272684627,1.4303420144,34.584307404477,10.169871728131,二季度
000682.SZ,000682,东方电子,10005606,2025-03-31 00:00:00,058001001,0.0902,3.904297112149,0.859460834632,1.950170844899,-0.23785638985,1405755105.03,438621839.02,120901962.86,114357500.78,10.0389477058,19.2235763207,18.8902797839,-51.758695195,-53.9809022449,-56.017962872,2.3365358829,0.809904362,31.20186705711,7.186727279062,一季度
000682.SZ,000682,东方电子,10005606,2024-12-31 00:00:00,058001001,0.196,3.814516156241,0.859460834632,1.859994424025,0.689837744299,2914007219.98,1025016233.71,262721280.42,260009559.01,22.5162898483,33.494964348,79.0079682852,60.810658783,55.9571553609,71.7591236906,5.2477313248,2.8366785735,35.175487098383,12.050510615839,四季度
000682.SZ,000682,东方电子,10005606,2024-09-30 00:00:00,058001001,0.1256,3.653638417034,0.859460795206,1.722553017849,0.218596753776,1812073429.73,604785456.77,168457343.18,151380347.91,14.5552157018,18.4959876872,11.0817358141,17.5741939101,11.3235492813,7.8940463519,3.4994244017,1.2825839468,33.375328330934,8.315550515105,三季度
000682.SZ,000682,东方电子,10005606,2024-06-30 00:00:00,058001001,0.1129,3.527329213157,0.859460795206,1.596906751085,-0.030531083305,1541216970.72,502539550.16,151322289.19,140304634.99,12.7006625264,20.5376036964,23.0209799227,20.6425593174,49.2216012668,45.8658784528,3.214625458,1.3517651201,32.606671202513,9.8540958895,二季度
000682.SZ,000682,东方电子,10005606,2024-03-31 00:00:00,058001001,0.0756,3.494692383973,0.859519362065,1.564040904123,-0.102142689254,1277506859.47,410714254.18,101407763.96,96187426.75,11.064308215,32.0432183126,28.3378454312,-46.2886023051,-48.4722904334,-33.7781429935,2.1879920533,0.801452782,32.149671145437,6.977449262932,一季度
000682.SZ,000682,东方电子,10005606,2023-12-31 00:00:00,058001001,0.1467,3.419080425371,0.859519362065,1.488404504296,0.784747924385,2378465119.69,824584422.11,196802390.04,145250270.98,21.465477026,24.8534786029,48.4951776833,50.3612272853,38.4344139993,6.5835324775,4.3866107179,2.5169069538,34.668762441951,11.307853500709,四季度
