日期,摊薄每股收益(元),加权每股收益(元),每股收益_调整后(元),扣除非经常性损益后的每股收益(元),每股净资产_调整前(元),每股净资产_调整后(元),每股经营性现金流(元),每股资本公积金(元),每股未分配利润(元),调整后的每股净资产(元),总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重,非主营比重,主营利润比重,股息发放率(%),投资收益率(%),主营业务利润(元),净资产收益率(%),加权净资产收益率(%),扣除非经常性损益后的净利润(元),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),应收账款周转率(次),应收账款周转天数(天),存货周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),股东权益周转率(次),流动比率,速动比率,现金比率(%),利息支付倍数,长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),资产负债率(%),总资产(元),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%),短期股票投资(元),短期债券投资(元),短期其它经营性投资(元),长期股票投资(元),长期债券投资(元),长期其它经营性投资(元),1年以内应收帐款(元),1-2年以内应收帐款(元),2-3年以内应收帐款(元),3年以内应收帐款(元),1年以内预付货款(元),1-2年以内预付货款(元),2-3年以内预付货款(元),3年以内预付货款(元),1年以内其它应收款(元),1-2年以内其它应收款(元),2-3年以内其它应收款(元),3年以内其它应收款(元)
2021-03-31,0.2806,0.28,0.28,,6.0903,6.0373,0.0374,0.6243,4.1902,,4.1376,86.0305,4.2209,46.1041,25.9849,13.1389,21.5908,28.0592,4.6072,4.1376,,41.5233,1.2786,336.2611,,,5961103325.51,4.65,4.78,1471304323.43,25.367,14.5625,23.617,23.9681,1.2862,69.9736,188.798,0.4767,,0.1955,460.3581,0.2419,372.0546,0.2191,8.4602,7.8694,363.7209,-2061.3061,,89.8076,,,11.3491,,,,21.3,10.6439,,,10.1924,36157171063.36,0.0288,0.0055,0.1332,0.0541,5.7659,,,,120000000.0,,,,,,,,,,,,,,
2021-06-30,0.4162,0.42,0.42,0.41,5.2173,5.1248,0.2342,0.547,3.3418,,7.1956,86.0118,7.4234,41.2486,24.2684,13.1921,20.0217,90.6285,17.3707,15.6699,,43.0331,0.0857,365.6893,,,11437456795.06,8.14,8.34,2647023650.06,17.5849,0.3732,24.9507,24.6754,2.3851,75.4685,211.69,0.8503,3.7751,0.3708,485.4369,0.4615,390.0325,0.4145,8.7322,8.0391,369.2392,-2830.1029,,90.2086,,886.6103,10.8542,,,54.5585,22.2213,10.1501,,10.1745,9.7914,37000499019.12,0.1127,0.0405,0.5628,0.4136,44.2248,,,,120000000.0,,,,29278967.08,1266740.35,,,12420120.27,1098381.63,,,10436641.12,2182418.36,
2021-09-30,0.6552,0.66,0.66,,5.4427,5.3517,0.5468,0.5334,3.5825,,10.7622,85.7148,11.3787,44.0984,25.1154,13.5084,20.753,65.5243,12.039,10.7622,,41.0488,0.4841,351.27,,,17313508276.28,12.29,12.96,4148940893.77,4.048,-1.1984,22.5806,19.7166,3.5735,75.5562,201.2522,1.3416,,0.5483,492.4312,0.6916,390.3991,0.6158,7.7031,7.1221,363.7048,-1928.7539,,89.3941,,,11.8642,,,,24.6765,11.3186,,,10.6059,38950347935.15,0.1732,0.0898,0.8345,0.8468,88.766,,,,200000000.0,,,,,,,,,,,,,,
2021-12-31,0.7011,0.71,0.71,0.66,5.5616,5.4726,0.6596,0.5247,3.5762,,11.4196,84.777,12.1197,28.1792,18.007,14.444,17.3092,122.592,22.0427,19.9688,,45.9595,0.3342,491.7242,,,21961922455.24,12.94,13.96,4200699248.35,-6.5949,-28.9253,15.5416,13.0627,5.3379,67.4423,201.1173,1.79,6.6913,0.7002,514.1388,0.8896,404.6763,0.7808,8.8747,8.1684,400.7258,-1221.5636,,90.5914,,797.0612,10.3858,,,57.0711,25.5215,9.5624,,11.3657,9.4086,39266221700.14,0.1629,0.1074,0.9409,1.1419,124.0269,,,,192826121.92,,,,33107654.8,2394506.36,,,16431648.42,376323.86,,,13466903.8,939828.81,
2022-03-31,0.1894,0.19,0.19,,5.7662,5.6816,0.0232,0.425,3.7796,,3.0345,83.4645,3.0557,43.3477,24.9286,15.6117,22.0546,18.9414,3.2849,3.0345,,40.9599,2.1359,334.8902,,,4572634790.4,3.41,3.47,1180040843.66,-20.9338,-19.2351,13.2758,10.1235,1.0365,86.8307,264.007,0.3409,,0.1386,649.3506,0.1806,498.3389,0.1514,11.0853,10.1346,494.6157,-1751.2115,,92.3783,,,8.2505,,,,25.3504,7.4784,,,7.6217,39817549288.9,0.027,0.0037,0.1225,0.0488,5.3824,,,,192826121.92,,,,,,,,,,,,,,
2022-06-30,0.3242,0.33,0.33,0.31,5.7431,5.6542,0.1325,0.4241,3.7588,,5.0755,82.5865,5.1694,40.5232,23.4515,16.5029,20.2195,88.814,15.4646,13.9043,,39.3299,0.3917,359.1613,0.4934,,8446978125.26,5.88,5.88,2008675627.68,-23.0832,-22.3235,9.7593,10.1226,1.9711,91.3196,255.4641,0.7046,2.1586,0.2557,703.9499,0.3348,537.6344,0.2833,8.0528,7.4304,349.7151,-965.6212,,89.9109,,730.6826,11.2212,,,58.2243,26.8683,10.475,,12.3051,10.0891,40745925627.25,0.0827,0.0207,0.4088,0.2057,22.0304,,,,192826121.92,,,,23643555.73,7520863.24,,,15762151.71,1755822.47,,,1082617.06,109627.68,
2022-09-30,0.4853,0.5,0.5,,5.8488,5.7616,0.3429,0.4241,3.9241,,7.7064,82.3605,7.7946,38.9565,22.9022,16.7369,19.4167,48.535,8.2982,7.7064,,39.2527,-0.2951,371.609,,,13132635821.29,8.63,8.88,3051171760.23,-21.0588,-26.1422,7.1523,3.1442,3.0892,87.4013,238.1372,1.1338,,0.4014,672.6457,0.5333,506.2816,0.4376,11.4735,10.5806,619.8553,-852.4771,,92.8679,,,7.6798,,,,28.3012,6.9184,,,7.1321,40175041688.79,0.1372,0.0545,0.7066,0.7635,84.7485,,,,492826121.92,,,,,,,,,,,,,,
2022-12-31,0.5981,0.61,0.61,0.54,6.0218,5.9294,0.1983,0.4735,4.0007,,9.0074,82.7169,9.3482,30.8579,19.3274,16.3882,17.932,120.0286,19.9323,18.0773,,43.1652,6.1458,443.4491,,,17598243055.78,10.33,10.89,3409557967.43,-17.8736,-14.9186,7.9876,7.8663,4.0432,89.0384,250.5568,1.4368,4.3216,0.5213,690.5812,0.6962,517.0928,0.5751,8.5002,7.8268,415.2176,-742.8052,,90.6933,,713.5803,10.2617,,,58.3558,29.7319,9.4739,,12.7096,9.3067,42355009127.7,0.0595,0.0299,0.3316,0.321,34.7675,,,,767861518.38,,,,12395032.89,13387365.89,,,24983362.97,7783860.57,,,12090289.48,1709714.81,
2023-03-31,0.1934,0.19,0.19,,6.1881,6.0968,0.0335,0.4813,4.1949,,2.9162,83.4228,2.9141,43.3269,24.4784,15.6494,22.4567,19.3352,3.1246,2.9162,,39.0926,1.0133,345.8655,,,4581848294.62,3.19,3.23,1220142401.43,0.2515,2.0791,7.3167,6.2191,0.9469,95.047,261.3999,0.3443,,0.1298,693.3744,0.1784,504.4843,0.141,12.0827,11.0804,561.1038,-1838.5566,,93.333,,,7.1433,,,,29.4963,6.4263,,,6.667,42293829996.23,0.039,0.0051,0.1735,0.0759,8.4349,,,,767861518.38,,,,,,,,,,,,,,
2023-06-30,0.3591,0.36,0.36,0.35,6.1821,6.092,0.4508,0.4892,4.2027,,5.4584,83.1759,5.4329,39.2721,23.0133,15.8427,20.508,99.7981,16.143,15.1714,,40.4584,-2.6796,369.7354,0.0171,,9289399119.03,5.94,5.94,2243299159.39,9.1937,10.7514,7.6452,2.9829,1.8806,95.7141,247.3547,0.7277,2.087,0.2649,679.5017,0.3672,490.1961,0.2869,13.2263,12.1589,714.0794,-930.4457,,93.9814,,741.3129,6.404,,,56.6203,30.6076,5.7307,,12.6777,6.0186,41961333250.86,0.2575,0.0685,1.2554,1.1385,127.2296,,,,726056617.1,,,5730360324.69,16273243.97,31298.4,,,28854511.29,7348338.69,,704082820.42,16602516.09,12089366.65,
2023-09-30,0.541,0.55,0.55,,6.303,6.2137,0.6755,0.4971,4.3854,,8.0497,83.4234,8.0985,39.9901,23.1657,15.6201,20.2839,54.0998,8.5832,8.0497,,39.4566,-3.6858,372.2965,,,14193344890.94,8.76,8.91,3360195476.61,6.6999,11.4657,7.7644,6.7115,2.9546,91.3829,250.4174,1.0782,,0.3993,676.1833,0.5527,488.5109,0.4328,12.5261,11.5122,711.8535,-926.3243,,93.7842,,,6.6278,,,,30.4509,6.0815,,,6.2158,42871390741.49,0.2533,0.1005,1.2486,1.617,176.2211,,,,720572025.23,,,,,,,,,,,,,,
2023-12-31,0.6706,0.68,0.68,0.65,6.4325,6.3436,1.1983,0.4793,4.5152,,9.7702,83.591,9.9323,35.1962,21.516,15.4482,18.7461,135.588,21.0785,19.7539,,41.6996,-6.2555,408.7172,,,19075279820.97,10.63,10.99,4141262764.05,7.2597,12.1295,6.8204,3.375,4.1169,87.4444,243.2761,1.4798,4.2124,0.5298,679.5017,0.7335,490.7975,0.5745,12.252,11.3459,812.4071,-875.587,,93.716,,752.7,6.7054,,,55.498,30.456,6.2234,,12.4506,6.284,43784506635.76,0.335,0.1746,1.7868,2.7781,299.3221,,,,694990655.18,,,4916950811.89,2861839.64,4303887.4,,,34200182.48,4121717.35,,406870707.64,18136206.9,6865934.12,
2024-03-31,0.2144,0.21,0.21,,6.653,6.5643,0.1967,0.4879,4.7298,,2.951,83.312,3.0347,47.0595,27.278,15.7206,22.8008,21.4373,3.2222,2.951,,36.5471,-8.844,332.5544,,,4996666621.8,3.27,3.33,1440480282.74,9.1985,10.8721,7.5119,9.5668,1.1972,75.1754,218.9248,0.4111,,0.1331,676.1833,0.1845,487.8049,0.1437,9.1162,8.5015,576.1468,-910.8692,,91.5826,,,9.1911,,,,29.7548,8.7138,,,8.4174,46340001350.84,0.2092,0.0271,0.9174,0.3216,33.9258,,,,672308474.09,,,,,,,,,,,,,,
