SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
600276.SH,600276,恒瑞医药,10002474,通用,2026-03-31 00:00:00,一季报,2026一季报,058001001,2026-04-23 00:00:00,2026-04-23 00:00:00,CNY,6671724436.36,,,,,,,,,,,,,252626908.49,,0.0,6924351344.85,379189175.2,,,,,,2166754419.69,698501493.04,2893460356.21,,0.0,6137905444.14,,0.0,786445900.71,,518588.51,10854350.55,,,,,0.0,11372939.06,704818964.87,30300000.0,,,,,,0.0,735118964.87,,0.0,-723746025.81,,,299534222.25,,,,0.0,299534222.25,300000000.0,,,,185251178.59,,,0.0,485251178.59,,0.0,-185716956.34,-349701516.56,,0.0,-472718598.0,40155552697.41,,0.0,39682834099.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5429946907,,,,,,,,,,,,,19.4855026724,,,9.8765641764,9.1654542076,,,,,,13.7053968545,7.1092547289,1.8220229922,,,6.8063191715,,,41.6575299508,,-97.2394668048,592.015951989,,,,,,-93.3239503529,0.3969995301,,,,,,,,4.7130427091,,,-36.1249848805,,,,,,,,,,,,,-71.976613488,,,,-26.5948997651,,,71.9061541796,-1280.4607840398,,,22.2423719637,65.6643571304,,,67.9258576889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600276.SH,600276,恒瑞医药,10002474,通用,2025-12-31 00:00:00,年报,2025年报,058001001,2026-03-26 00:00:00,2026-03-26 00:00:00,CNY,33605876222.74,,,,,,,,,,,,,1228283666.84,,0.0,34834159889.58,2099963151.92,,,,,,7004960838.62,2787135744.23,11706722024.18,,0.0,23598781758.95,,0.0,11235378130.63,151000000.0,51492129.44,18911785.27,,,,,0.0,221403914.71,2961906284.58,,,,,,,0.0,2961906284.58,,0.0,-2740502369.87,10351937892.28,,1495572622.12,,418168545.0,,0.0,12265679059.4,1500000000.0,1284255700.45,,,1699715987.25,,,0.0,4483971687.7,,0.0,7781707371.7,-360132552.71,,0.0,15916450579.75,24239102117.66,,0.0,40155552697.41,7717002245.78,86914039.97,689203837.11,689203837.11,,114581839.37,97702799.02,,,,-4053134.77,3289843.5,-173573838.21,374481650.12,57480679.6,-403931406.24,-403782268.44,-149137.8,,-479237472.88,-1097175061.93,4134810119.38,53018404.41,,0.0,11235378130.63,,,,,40155552697.41,24239102117.66,,,,,15916450579.75,23.7930901762,,,,,,,,,,,,,-7.0939529178,,,22.3587220694,49.7673199618,,,,,,13.6533231508,21.7009890727,4.6141400019,,,12.1288484417,,,51.3640299231,-75.0613270326,-1.9293540035,-13.6516727279,,,,,,-67.4354375291,50.4118455787,,,,,,,,14.2764589841,,,-43.3327846859,,,86.9677565189,,,,,1433.3835762963,87.5212414499,0.7426665739,,,516.2817951561,,,,90.7667654087,,,601.8545999794,-4966.2935525287,,,301.1629056759,19.5721732374,,,65.6643571304,21.7770043216,167.1126931609,5.218486067,5.218486067,,70.3465048368,3.0730548936,,,,24.91291517,-33.458261244,-59.7833060572,20432.3703581191,340.824452985,-1645.4925096224,-613.1635394401,-100.4454924245,,-253.3396639133,-192.0353792156,515.8410609174,-74.6632888938,,,51.3640299231,,,,,65.6643571304,19.5721732374,,,,,301.1629056759,标准无保留意见,,,,40981909.26,-23.7467663241
600276.SH,600276,恒瑞医药,10002474,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-28 00:00:00,2025-10-28 00:00:00,CNY,26173262016.04,,,,,,,,,,,,,799560767.34,,0.0,26972822783.38,1167102744.63,,,,,,5462509586.42,1839015825.49,9393764336.57,,0.0,17862392493.11,,0.0,9110430290.27,151000000.0,30047582.88,7147978.59,,,,,0.0,188195561.47,1714462484.69,,,,,,,0.0,1714462484.69,,0.0,-1526266923.22,10351937892.28,,428335302.78,,,,0.0,10780273195.06,,1274130192.8,,,1415122611.08,,,0.0,2689252803.88,,0.0,8091020391.18,-146577748.58,,0.0,15528606009.65,24239102117.66,,0.0,39767708127.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.8653669894,,,,,,,,,,,,,46.2647909939,,,31.2750727088,3.2402814024,,,,,,18.4731301217,11.3009219187,9.639961418,,,11.9102789804,,,98.6814428117,-24.5,-30.1825812767,-12.6553673884,,,,,,-25.0876540368,12.4482859985,,,,,,,,-19.3067868354,,,18.5315976977,,,-46.4520215106,,,,,1247.686808471,,-0.0516227881,,,510.6621236675,,,,16.5978939057,,,637.0654647603,-590.7686547965,,,1211.2542043948,19.5721732374,,,85.34729434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600276.SH,600276,恒瑞医药,10002474,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-21 00:00:00,2025-08-21 00:00:00,CNY,15666363464.51,,,,,,,,,,,,,457430575.96,,0.0,16123794040.47,910938758.61,,,,,,3558646926.64,1367794099.13,5985961004.69,,0.0,11823340789.07,,0.0,4300453251.4,150000000.0,29112592.22,3719423.42,,,,,0.0,182832015.64,1267564947.42,,,,,,,0.0,1267564947.42,,0.0,-1084732931.78,10351937892.28,,,,,,0.0,10351937892.28,,1274130192.8,,,1038312699.07,,,0.0,2312442891.87,,0.0,8039495000.41,48287663.47,,0.0,11303502983.5,24239102117.66,,0.0,35542605101.16,4454670657.21,9443508.19,347244043.34,347244043.34,,52108856.42,43231966.88,,,,-2311106.15,1875878.05,-111263854.42,-36624580.62,12354120.47,-21405272.89,-32699770.72,11294497.83,,-173390260.24,-691831578.87,280027724.23,126931999.62,,0.0,4300453251.4,,,,,35542605101.16,24239102117.66,,,,,11303502983.5,15.9979705318,,,,,,,,,,,,,37.5327615965,,,16.5155491587,16.0899642997,,,,,,14.7656903698,8.8514294464,5.6933310804,,,9.4189992526,,,41.8002270743,,-17.3492738259,-36.5033366327,,,,,,345.0491905575,31.3983073452,,,,,,,,-18.9885452587,,,28.8042578289,,,,,,,,1194.1388299816,,124820.4503049527,,,654.8753620006,,,,146.4038155339,,,5901.8610345005,927.0629706752,,,728.2432367034,19.5721732374,,,64.2731741365,29.9445351567,159.7068739672,10.6902052492,10.6902052492,,84.6263027415,-11.9086751384,,,,-14.6718748032,0.4044523213,-1375.2182176684,-207.0141761456,105.6332633224,74.0013309973,60.9722915154,676.8677758273,,-322.7539807101,72.8541902053,-82.6600627839,15.533690644,,,41.8002270743,,,,,64.2731741365,19.5721732374,,,,,728.2432367034,,,,,19206978.25,-43.1989958896
600276.SH,600276,恒瑞医药,10002474,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-25 00:00:00,2026-04-23 00:00:00,CNY,6090507617.76,,,,,,,,,,,,,211428920.53,,0.0,6301936538.29,347352720.65,,,,,,1905586260.31,652139252.4,2841684216.42,,0.0,5746762449.78,,0.0,555174088.51,150000000.0,18785809.6,1568511.61,,,,,0.0,170354321.21,702031901.52,,,,,,,0.0,702031901.52,,0.0,-531677580.31,,,,,,,,,,,,,661059213.92,,,0.0,661059213.92,,0.0,-661059213.92,29624153.66,,0.0,-607938552.06,24239102117.66,,0.0,23631163565.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.8436328172,,,,,,,,,,,,,-81.3256905964,,,2.703451477,9.1721471336,,,,,,24.3723560415,39.4062080971,10.8594041725,,,17.7264861073,,,-55.7488784242,,108.5055343991,-3.2903230942,,,,,,1502.3367303885,25.1345004668,,,,,,,,-7.7514144089,,,29.1465225855,,,,,,,,,,,,,3545.2972511318,,,,3545.2972511318,,,-3545.2972511318,262.6969060548,,,-229.9386307401,19.5721732374,,,13.9433867886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600276.SH,600276,恒瑞医药,10002474,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-03-31 00:00:00,2026-03-26 00:00:00,CNY,27146811001.25,,,,,,,,,,,,,1322070742.88,,0.0,28468881744.13,1402150450.75,,,,,,6163445682.38,2290150446.16,11190382126.13,,0.0,21046128705.42,,0.0,7422753038.71,605485304.68,52505139.45,21901739.0,,,,,0.0,679892183.13,1969197487.86,622680411.5,,,,,,0.0,2591877899.36,,0.0,-1911985716.23,,,799909380.08,,,,0.0,799909380.08,799909380.08,1274788274.05,,,275801751.83,,,0.0,2350499405.96,,0.0,-1550590025.88,7400551.34,,0.0,3967577847.94,20271524269.72,,0.0,24239102117.66,6336994647.53,32538341.38,655021624.88,655021624.88,,67263980.25,94789854.75,,,,-5397912.01,4944029.96,-108630771.57,-1841800.26,-23868290.32,-23141400.15,-56618467.73,33477067.58,,-135630816.98,-375699363.85,671408644.5,209255274.64,,0.0,7422753038.71,,,,,24239102117.66,20271524269.72,,,,,3967577847.94,12.6707829641,,,,,,,,,,,,,2.0486172943,,,11.8397201723,19.1676814148,,,,,,7.1508017762,40.2053617112,20.987056543,,,18.1609533619,,,-2.8901323339,-76.7791041781,-45.0245980602,8.5109527407,,,,,,-75.0332669275,32.7138726921,3544.4813459545,,,,,,,72.6908570711,,,-256.4233073152,,,3691.039716019,,,,,3691.039716019,-37.5607384217,24.6337935922,,,-67.9895515957,,,,-25.746963221,,,50.6876651206,-40.9521258086,,,-30.8071566935,39.4435891539,,,19.5721732374,48.1360507659,-69.6517575086,4.2331570227,4.2331570227,,76.561688912,6.1456982373,,,,-70.684382932,-20.425835983,-286.4684180969,-131.1969871174,-5.443169106,76.4991856954,30.6645248704,299.1271864457,,-205.054048069,-118.4533294018,112.9275974547,277.2490907615,,,-2.8901323339,,,,,19.5721732374,39.4435891539,,,,,-30.8071566935,标准无保留意见,,,,53744487.0,40.9897545124
600276.SH,600276,恒瑞医药,10002474,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-25 00:00:00,2025-10-28 00:00:00,CNY,20000144131.46,,,,,,,,,,,,,546652931.24,,0.0,20546797062.7,1130472262.16,,,,,,4610758220.71,1652291637.65,8567828933.06,,0.0,15961351053.58,,0.0,4585446009.12,200000000.0,43037372.95,8183649.5,,,,,0.0,251221022.45,1524667512.24,600000000.0,,,,,,0.0,2124667512.24,,0.0,-1873446489.79,,,799909380.08,,,,0.0,799909380.08,799909380.08,1274788274.05,,,231735776.01,,,0.0,2306433430.14,,0.0,-1506524050.06,-21219513.59,,0.0,1184255955.68,20271524269.72,,0.0,21455780225.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5216187943,,,,,,,,,,,,,-24.9926432732,,,24.8569520682,34.9823026509,,,,,,4.5249888735,54.234651729,47.0250050527,,,31.3972759032,,,6.4187304885,-92.0239343265,-51.9097957907,-38.1534646592,,,,,,-90.3755109924,11.2511953756,27578.5961416037,,,,,,,54.7868692217,,,-251.3790394268,,,3691.039716019,,,,,3691.039716019,-36.7660569107,24.6538438136,,,-71.8555619748,,,,-25.8630164444,,,51.2442768433,-207.736078565,,,-52.1746649871,39.4435891539,,,26.1092305048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600276.SH,600276,恒瑞医药,10002474,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-22 00:00:00,2025-08-21 00:00:00,CNY,13505722033.49,,,,,,,,,,,,,332597535.78,,0.0,13838319569.27,784683468.64,,,,,,3100793377.51,1256569717.17,5663518164.77,,0.0,10805564728.09,,0.0,3032754841.18,,35223637.55,5857667.51,,,,,0.0,41081305.06,964673726.04,600000000.0,,,,,,0.0,1564673726.04,,0.0,-1523592420.98,,,799909380.08,,,,0.0,799909380.08,799909380.08,1019953.25,,,137547567.63,,,0.0,938476900.96,,0.0,-138567520.88,-5838450.66,,0.0,1364756448.66,20271524269.72,,0.0,21636280718.38,3428132358.04,-15816450.54,313708012.88,313708012.88,,28223961.4,49076304.56,,,,-2015408.01,1868321.58,-7542196.34,-11929279.97,6007841.47,-82332187.42,-83786038.15,1453850.73,,77839354.29,-2548575946.35,1614929285.73,109865787.99,,0.0,3032754841.18,,,,,21636280718.38,20271524269.72,,,,,1364756448.66,17.3560767384,,,,,,,,,,,,,-45.1957157356,,,13.9401871137,5.5095303242,,,,,,2.5943036147,36.0322390424,23.6554659681,,,16.5661331109,,,5.4743407099,,-49.9606443962,34.3809935765,,,,,,-97.9310903823,-2.0909430441,27578.5961416037,,,,,,,58.4571169129,,,-252.6329054184,,,7899.0938008,,,,,7340.6921751328,-36.5151285651,-99.8962916568,,,-64.6483248635,,,,-64.3512481071,,,94.7148255711,-121.0747903861,,,6.667970766,39.4435891539,,,36.7923361399,49.6735784895,,13.2275717965,13.2275717965,,114.8390599724,14.9341068442,,,,22.7179227047,1.8083516617,-127.3040035958,-245.9356438401,121.0157030748,-41657.1007475758,-1791.6424339224,128.2295109876,,64.7412676548,-1933.8386754256,5426.7878763442,22.0035416904,,,5.4743407099,,,,,36.7923361399,39.4435891539,,,,,6.667970766,,,,,33814504.78,109.5701307036
600276.SH,600276,恒瑞医药,10002474,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-18 00:00:00,2025-04-25 00:00:00,CNY,4998626088.98,,,,,,,,,,,,5233902.35,1132191375.65,,0.0,6136051366.98,318169725.31,,,,,,1532162227.17,467797855.85,2563322649.65,,0.0,4881452457.98,,0.0,1254598909.0,,9009741.47,1621876.59,,,,,0.0,10631618.06,561021859.6,200000000.0,,,,,,0.0,761021859.6,,0.0,-750390241.54,,,,,,,,,,,,,18134576.37,,,0.0,18134576.37,,0.0,-18134576.37,-18208185.01,,0.0,467865906.08,20271524269.72,,0.0,20739390175.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.4422171672,,,,,,,,,,,,28.0661370633,181.4964632783,,,52.7553570493,90.1543712039,,,,,,5.9619152709,91.1600218709,31.793617054,,,28.3598048718,,,486.3453412077,,-73.8587034984,-38.0726769759,,,,,,-98.9843421559,45.8013694662,9601.626477679,,,,,,,96.7244782718,,,-213.7084008414,,,,,,,,,,,,,-91.4539003745,,,,-98.7703712708,,,98.7619767601,-81.3753279027,,,177.8549554457,39.4435891539,,,48.8135655331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600276.SH,600276,恒瑞医药,10002474,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-18 00:00:00,2025-03-31 00:00:00,CNY,24093922387.94,,,,,,,,,,,,65619728.74,1295530285.4,,0.0,25455072402.08,1176619729.53,,,,,,5752122784.16,1633425725.1,9249239088.77,,0.0,17811407327.56,,0.0,7643665074.52,2607501921.22,95506604.04,20183897.06,,,,,0.0,2723192422.32,1483791745.29,17085570.0,,,,,,0.0,1500877315.29,,0.0,1222315107.03,,,21100000.0,,,,0.0,21100000.0,1281100000.0,1022827146.08,,,861599151.46,,,0.0,3165526297.54,,0.0,-3144426297.54,12533137.63,,0.0,5734087021.64,14537437248.08,,0.0,20271524269.72,4277820702.5,107216559.21,628419634.97,628419634.97,,38096588.6,89301645.12,,,,-3162510.78,6213109.52,58256927.73,5903776.07,-22636165.55,-98470631.06,-81658728.99,-16811902.07,,129105750.3,2035943518.21,315322509.87,55468728.69,,0.0,7643665074.52,,,,,20271524269.72,14537437248.08,,,,,5734087021.64,29.7643795512,,,,,,,,,,,,-74.7839099915,78.1184209347,,,30.1716087585,9.6241260873,,,,,,-7.7323359957,-13.6364322238,1.7415280828,,,-2.6153398946,,,504.1159202293,-72.8452081618,-42.6359369132,-0.1438653034,,,,,,-72.2833512574,-25.5191072073,-99.770436923,,,,,,,-84.0921551371,,,213.1817596296,,,-98.3253968254,,,,,-98.8270319531,,0.7172894933,,,-21.8208420292,,,,49.4846946809,,,-886.4241401244,-84.4303762943,,,304.5835918159,10.8023193477,,,39.4435891539,12.127443064,-26.9065487998,21.6362455852,21.6362455852,,69.4547626381,34.773235566,,,,42.223585678,400.5368265553,176.1503311767,-9.0586874867,95.0504248233,-345.4147875512,0.0112959117,-128.2266775957,,345.093314697,189.1171787901,161.7011562936,58.5695217363,,,504.1159202293,,,,,39.4435891539,10.8023193477,,,,,304.5835918159,标准无保留意见,,,,38119427.32,-1.6835458312
