SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,EPSJB,EPSKCJB,EPSXS,BPS,MGZBGJ,MGWFPLR,MGJYXJJE,TOTALOPERATEREVE,MLR,PARENTNETPROFIT,KCFJCXSYJLR,TOTALOPERATEREVETZ,PARENTNETPROFITTZ,KCFJCXSYJLRTZ,YYZSRGDHBZC,NETPROFITRPHBZC,KFJLRGDHBZC,ROEJQ,ROEKCJQ,ZZCJLL,XSJLL,XSMLL,YSZKYYSR,XSJXLYYSR,JYXJLYYSR,TAXRATE,LD,SD,XJLLB,ZCFZL,QYCS,CQBL,ZZCZZTS,CHZZTS,YSZKZZTS,TOAZZL,CHZZL,YSZKZZL,TOTALDEPOSITS,GROSSLOANS,LTDRR,NEWCAPITALADER,HXYJBCZL,NONPERLOAN,BLDKBBL,NZBJE,TOTAL_ROI,NET_ROI,EARNED_PREMIUM,COMPENSATE_EXPENSE,SURRENDER_RATE_LIFE,SOLVENCY_AR,JZB,JZC,JZBJZC,ZYGPGMJZC,ZYGDSYLZQJZB,YYFXZB,JJYWFXZB,ZQZYYWFXZB,ZQCXYWFXZB,RZRQYWFXZB,EPSJBTZ,BPSTZ,MGZBGJTZ,MGWFPLRTZ,MGJYXJJETZ,ROEJQTZ,ZZCJLLTZ,ZCFZLTZ,REPORT_YEAR,ROIC,ROICTZ,NBV_LIFE,NBV_RATE,NHJZ_CURRENT_AMT,DJD_TOI_YOY,DJD_DPNP_YOY,DJD_DEDUCTDPNP_YOY,DJD_TOI_QOQ,DJD_DPNP_QOQ,DJD_DEDUCTDPNP_QOQ,XSMLL_TB,PER_TOI,PER_OI,PER_EBIT,STAFF_NUM,AVG_TOI,AVG_NET_PROFIT,PREPAID_ACCOUNTS_RATIO,ACCOUNTS_PAYABLE_TR,FIXED_ASSET_TR,CURRENT_ASSET_TR,PREPAID_ACCOUNTS_TDAYS,PAYABLE_TDAYS,OPERATE_CYCLE,GUARD_SPEED_RATIO,CASH_RATIO,INTEREST_COVERAGE_RATIO,CA_TA,NCA_TA,LIQUIDATION_RATIO,INTEREST_DEBT_RATIO,FC_LIABILITIES,FCFF_FORWARD,FCFF_BACK,SS_OI,SS_TA,NCO_OP,NCO_NETPROFIT,NCO_FIXED,FIRST_ADEQUACY_RATIO,NET_INTEREST_SPREAD,NET_INTEREST_MARGIN,LOAN_ADVANCES,NON_PERFORMING_LOAN,OVERDUE_LOANS,LOAN_PROVISION_RATIO,REVENUE_RATIO,LIABILITY,CAPITAL_PROVISIONS_SUM,RISK_COVERAGE,CAPITAL_LEVERAGE_RATIO,LIQUIDITY_COVERAGE_RATIO,NET_FUNDING_RATIO,NET_CAPITAL_LIABILITIES,NET_ASSETS_LIABILITIES,PROPRIETARY_CAPITAL,IS_BZ
600276.SH,600276,恒瑞医药,10002474,通用,2026-03-31 00:00:00,一季报,2026一季报,058001001,2026-04-23 00:00:00,2026-04-23 00:00:00,CNY,0.34,,0.34,9.586311329774,1.941024505984,6.396616625555,0.118490615868,8140565320.77,7049616182.4,2282268233.13,2172398804.54,12.975362979304,21.782316948345,16.58962258919,2.95596413263,5.293863461012,4.169638507623,4.15,,3.2317592332,28.0201019887,86.5986071559,,0.772985046273,0.0966082661,10.7892934467,9.233057601218,8.721048052942,0.13952181108,10.0243918877,1.111412327163,0.111412327163,780.320870767341,237.775611604117,56.207545158521,0.115337168813,0.378508121135,1.601208516511,,,,,,,,,,,,,,,,,,,,,,,,,13.333333333333,30.1445598729,333.859253691863,14.170415068507,36.146827403027,1.7156862745,-12.655903510762,37.370347115579,2026,3.106585181618,-19.466290256081,,,,12.975362979304,21.782316948345,16.58962258919,-3.563049807599,16.449072964754,19.097166955243,1.678525755912,1.226505977718,1.226505977718,0.33663984023,,,,0.850072473981,0.473813523993,1.379810683911,0.157253090323,105.873325810059,189.948145087833,293.988557459052,8.120702018245,7.209116782093,,72.9995443135,27.0004556865,955.157123394976,0.0946431368,718.979412527383,-126566067.517898,2120980.6079644,0.819565248047,0.093580628233,0.30161569839,0.344781993079,0.131750451367,,,,,,,,,7146776162.93,,,,,,,,,0
600276.SH,600276,恒瑞医药,10002474,通用,2025-12-31 00:00:00,年报,2025年报,058001001,2026-03-26 00:00:00,2026-03-26 00:00:00,CNY,1.19,1.14,1.18,9.231614205477,1.948806204998,6.052756522431,1.692788878431,31629416193.83,27266760378.4,7711054811.98,7413405567.05,13.024342516962,21.692131889131,19.997503862955,2.085094320472,3.25294869139,3.669473378472,14.26,13.71,12.8613530474,24.3981811061,86.2069669933,,0.99609530817,0.355219269992,11.3765031357,8.084228950022,7.63230474503,1.764006838829,11.5511699142,1.13059720409,0.130597204089,682.925440724484,218.48974932396,57.258668362764,0.527143928945,1.64767455276,6.287257637904,,,,,,,,,,,,,,,,,,,,,,,,,19.0,29.3687757448,289.935885753167,14.011352400438,45.475729134433,-3.1907671419,-4.691395562655,43.156705119767,2025,12.854390162707,-2.226364117347,,,,8.287463523405,14.149158245989,16.802984382318,13.659098187969,50.63721307645,38.553296104178,-0.048675221385,4.76547592272,4.76547592272,1.195773458905,20602.0,1535259.49877827,374286.71060965,3.959216033081,2.058964826856,5.770577822625,0.728743897066,90.927091876786,174.845143202234,275.74465751652,7.281276937381,6.448075613566,783.002429323532,73.6973674841,26.3026325159,831.794006824785,0.1062486453,643.02020208625,8271911580.88498,-8425558222.36556,1.062488033823,0.480995668011,1.249763579401,1.455925211992,1.927056623314,,,,,,,,,8070492359.49,,,,,,,,,0
600276.SH,600276,恒瑞医药,10002474,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-28 00:00:00,2025-10-28 00:00:00,CNY,0.89,,0.89,8.965264255531,1.948417633213,5.776919345747,1.37263160116,23188081928.77,19992640745.43,5751169537.65,5589349747.69,14.853301068119,24.49561808602,21.078176892595,2.780947971216,1.539594057067,2.733003460708,11.09,,9.7249370994,24.8413610479,86.2194674266,,1.07840568048,0.392892793732,10.1648760197,6.54638686139,6.197325249449,1.160329521053,12.1400864482,1.1381754882,0.1381754882,689.687492512073,217.905405897619,58.279296348608,0.391481653548,1.239069764643,4.632863073448,,,,,,,,,,,,,,,,,,,,,,,,,21.917808219178,30.6652353576,285.710790602622,14.627097329451,90.952419628253,1.9301470588,-2.965503461435,46.466213216938,2025,9.924923487668,2.798372400163,,,,12.723832392346,9.53297938218,16.891068806331,-13.192488126842,-49.493887285776,-45.363462782921,0.293781568403,3.493654307384,3.493654307384,0.893092312844,,,,2.475786374409,1.524530039509,4.554538258319,0.534814621768,109.056258969193,177.103758537259,276.178920607303,5.824596917783,5.155074535604,,75.2252129962,24.7747870038,800.172612223891,0.1206523563,514.087973489501,7587945587.34417,-8255984292.7292,1.12873768932,0.383055819512,1.375260500151,1.581607356268,1.803890668261,,,,,,,,,8295022482.91,,,,,,,,,0
600276.SH,600276,恒瑞医药,10002474,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-21 00:00:00,2025-08-21 00:00:00,CNY,0.7,0.67,0.7,8.808659122321,1.939296234653,5.580893434536,0.647931858772,15761193628.9,13646231459.72,4450106384.46,4272848537.94,15.884874271484,29.674622298875,22.429385100351,3.262400780856,7.501578824729,5.453767070934,9.42,9.05,7.8823386116,28.2635361388,86.5812055928,,0.936187007997,0.272850734066,11.8050152125,13.494843787747,12.74995805292,1.241094662317,6.1432708562,1.065453707073,0.065453707072,645.42222246999,212.692472849595,56.744936435338,0.278887205512,0.846292290406,3.172089199626,,,,,,,,,,,,,,,,,,,,,,,,,29.62962962963,31.8336457073,290.609713521004,14.986012302165,36.283973382308,15.8671586716,5.729013084139,-40.733304787694,2025,7.997872751036,10.261238944109,,,,12.526071629951,24.88013012717,17.564199645275,18.735001937635,37.458620463256,29.317838593032,0.411420957127,2.374675153394,2.374675153394,0.724403213512,,,,1.61318437599,1.015172299798,3.066799973383,0.384067064049,111.580550046858,177.309802519057,269.435278501217,11.95132646654,10.456088922052,368.723544770155,74.3483445113,25.6516554887,1580.94620338422,0.1453710651,1042.46294995313,3138107331.74609,-8179259113.15333,0.993983313281,0.249093454696,0.83360006313,0.965380739077,0.835588050056,,,,,,,,,3863719109.4,,,,,,,,,0
600276.SH,600276,恒瑞医药,10002474,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-25 00:00:00,2026-04-23 00:00:00,CNY,0.3,,0.3,7.365894770502,0.447385756894,5.602691924801,0.087031492491,7205611122.72,6136948606.36,1874055519.98,1863286591.29,20.142899202865,36.899370286911,29.351759521884,4.316934956965,7.971658148923,6.843777962049,4.08,,3.7000316714,26.0413992562,85.169023166,,0.797039251674,0.07704746746,9.5953649232,10.696114615102,9.982149061451,0.165088805384,7.297347716,1.078717787854,0.078717787853,633.434019272346,202.883976790634,60.855321388105,0.142082675167,0.443603292008,1.478917503796,,,,,,,,,,,,,,,,,,,,,,,,,42.857142857143,12.2119099856,-8.311161925217,18.453998438166,-55.748878424236,22.5225225225,21.925518256831,-13.30689870584,2025,3.857496682441,34.296505006385,,,,20.142899202865,36.899370286911,29.351759521884,-7.564689761775,9.150195123078,19.315117614432,1.055585448578,1.129582780067,1.129582780067,0.315012079663,,,,0.784917836281,0.539131607989,1.40643627712,0.20216433025,114.661682841107,166.935120602011,263.741524069172,8.685017130277,7.194967746958,,70.1263700508,29.8736299492,1322.36185069648,0.2118595182,716.222312279428,-531263924.735215,189062699.091808,0.845245117178,0.118740053025,0.266145334987,0.295865313159,0.108545875095,,,,,,,,,3743012633.17,,,,,,,,,0
600276.SH,600276,恒瑞医药,10002474,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-03-31 00:00:00,2026-03-26 00:00:00,CNY,1.0,0.97,1.0,7.135890520976,0.499776059655,5.308906871986,1.163622886445,27984605342.06,24136427950.18,6336527014.75,6177966481.3,22.63308203517,47.277661254478,49.180741075656,7.651910005923,16.304266311965,14.462278752148,14.73,14.36,13.4944301444,22.6445739365,86.2489488601,,0.919957963881,0.265244156492,11.6141053339,9.71900286547,9.053788938935,2.042812025675,8.0688989765,1.087771155644,0.087771155644,604.104547573445,221.301130325257,65.024533633852,0.595923340498,1.62674270787,5.536371887373,,,,,,,,,,,,,,,,,,,,,,,,,47.058823529412,12.4897248573,4.265829034583,17.577332453105,-2.890132333864,34.0309372157,35.889027617125,28.403782706364,2024,13.147092308335,39.672534703267,,,,34.259329347774,107.196897836151,99.938180637217,18.315534570043,44.545461461356,38.657783051553,2.007239241002,4.386987829762,4.386987829762,1.030250681053,20238.0,1382775.24172646,313100.455319202,3.249710064578,2.377121891018,5.288382820823,0.84034827602,110.779113473544,151.443643407714,286.331143885057,8.316943024158,6.904799613669,1335.32747408254,70.4387607388,29.5612392612,1200.52970394222,0.2197280249,682.957256442251,5992658609.77912,1762799236.24629,0.970062313527,0.541467270175,0.990938152464,1.171336485443,1.446373967053,,,,,,,,,4045394570.79,,,,,,,,,0
600276.SH,600276,恒瑞医药,10002474,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-25 00:00:00,2025-10-28 00:00:00,CNY,0.73,,0.73,6.861246781514,0.50514988968,5.039750181533,0.718834358754,20189303845.1,17356121167.4,4619575874.29,4616314757.24,18.665453901308,32.984155694504,37.382327587003,2.94357850965,0.41124228468,0.173848501973,10.88,,10.0221441305,22.8652271167,85.9669124828,,0.934637073872,0.227122541931,9.2477689722,8.997616361125,8.336712518077,1.19737994279,8.2886600135,1.090377700454,0.090377700453,615.997060223204,230.862330825607,72.672958481192,0.438313780105,1.169528173065,3.715274644693,,,,,,,,,,,,,,,,,,,,,,,,,32.727272727273,10.4221272751,1.614811591562,14.921580415295,6.418730488559,22.1099887767,23.776137111572,33.34800662867,2024,9.654747692924,24.487863362447,,,,12.716584558874,1.914491907251,0.838661863736,-13.34478174005,-42.417252196137,-45.048831917539,1.88084928034,3.164962634892,3.164962634892,0.720980378741,,,,1.963455065411,2.016243240506,3.807988146276,0.614175241992,137.512696244716,133.912414224506,303.5403547815,7.508688273186,5.981217076061,,71.2832523554,28.7167476446,1167.06626580409,0.1811828111,577.91782148041,2385129335.72964,755560104.927264,0.990630696576,0.413755285674,0.857847854008,0.993309800826,0.889996613447,,,,,,,,,4006580717.3,,,,,,,,,0
600276.SH,600276,恒瑞医药,10002474,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-22 00:00:00,2025-08-21 00:00:00,CNY,0.54,0.55,0.54,6.681647219159,0.496479264986,4.853541159311,0.475427772387,13600734114.77,11727430459.39,3431748098.1,3490051456.55,21.778944888107,48.672185695907,55.576729119759,8.262128444957,22.418852148525,23.532975604769,8.13,8.26,7.4552276444,25.2054950057,86.2264518991,,0.935319995046,0.222984643004,8.6221275666,7.23261778978,6.764260880006,0.630732562621,10.3654688931,1.115641469477,0.115641469477,608.564797406376,219.367862725272,75.091451982497,0.295777870766,0.820539516426,2.397077100626,,,,,,,,,,,,,,,,,,,,,,,,,50.0,9.6798167117,1.498349941281,15.487063336134,5.474340709797,36.8686868687,37.249873035548,72.225053081986,2024,7.253566917645,37.882427370246,,,,33.952102727045,92.938715515393,100.318392842999,26.772108570155,50.68849273911,42.283875619,2.458665336407,2.132109933587,2.132109933587,0.530510176719,,,,1.365964321071,1.382896993555,2.50836168496,0.411743524242,131.775037768784,130.1615383061,294.469162425621,6.229653866905,4.842761183213,915.245352836502,72.1786096673,27.8213903327,939.387457387082,0.1972200726,464.035559445433,3052983244.5913,1317973284.06317,0.99301419464,0.280310103768,0.761085379265,0.884666787753,0.562364447806,,,,,,,,,4994223887.59,,,,,,,,,0
600276.SH,600276,恒瑞医药,10002474,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-18 00:00:00,2025-04-25 00:00:00,CNY,0.21,,0.21,6.564271806304,0.487939171537,4.729846183897,0.196676353936,5997533912.14,5054684532.62,1368929247.85,1440480282.74,9.198549224963,10.477037227102,18.058374256297,2.21392873525,3.017401202032,5.320548196621,3.33,,3.0346655272,22.8008496117,84.2793822706,,0.78039681513,0.209185796592,8.9864341539,9.116170562727,8.501459514652,0.33925759846,8.4174491477,1.091911058049,0.09191105805,676.21174282925,218.939760962365,75.177721140722,0.133094405642,0.411071975252,1.197163183911,,,,,,,,,,,,,,,,,,,,,,,,,10.526315789474,7.6666389827,1.386898031403,12.751093488771,486.345341203576,3.0959752322,4.155438359259,26.254694822051,2024,2.872373098807,-0.961056338785,,,,9.198549224963,10.477037227102,18.058374256297,3.296181821636,65.198581851144,84.424607956796,-0.084388583654,0.940199368886,0.940199368886,0.209444626312,,,,0.712719473489,0.746731342287,1.100235906189,0.184540291012,126.276892027985,120.525274490768,294.100245094712,7.418555648105,5.887591372155,,72.7497863356,27.2502136644,1156.27727692693,0.1691807513,576.146792499734,63723700.4390646,-625404934.525551,0.833446907047,0.107868492518,0.766865616975,0.917447376542,0.230167165955,,,,,,,,,3900646048.76,,,,,,,,,0
600276.SH,600276,恒瑞医药,10002474,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-18 00:00:00,2025-03-31 00:00:00,CNY,0.68,0.65,0.68,6.343593185979,0.479328716112,4.515246911307,1.19825401312,22819784741.31,19294536954.4,4302435930.05,4141262764.05,7.259668198401,10.138833467357,21.457882849657,2.131202391999,2.275949951215,11.366728397557,10.99,10.58,9.9304781122,18.746104536,84.5517921099,,1.004273393382,0.334957807936,8.3411150279,12.252017880314,11.345856822962,2.993221173155,6.2840041052,1.0670536982,0.067053698199,679.584362073567,243.281660982575,87.44431127888,0.529735556159,1.479766286312,4.116905888273,,,,,,,,,,,,,,,,,,,,,,,,,11.475409836066,6.9856846114,1.238338622981,12.862601651547,504.1159202288,0.9182736455,6.247093839414,-32.728408874821,2023,9.412797108798,3.398646023979,,,,8.934153567175,13.052318743381,117.940108114741,-0.668929140501,-28.902037548928,-30.068057759909,1.124262103884,3.577328202926,3.577328202926,0.657762745693,19611.0,1163621.67871654,219388.910817908,3.097927724302,2.556946090853,4.212386431565,0.733501295798,116.206713660851,140.79295660078,330.720554742115,10.49620837633,8.162858693417,1294.70782493957,71.4578593553,28.5421406447,1547.57109160206,0.1716963284,812.407136773434,8989130064.02964,1717055303.06409,1.055834779384,0.550284204145,1.556784742148,1.786812867134,1.402133576522,,,,,,,,,2751420194.43,,,,,,,,,0
