代码,简称,公告标题,公告时间,公告链接
002270,华明装备,关于2025年员工持股计划预留授予部分非交易过户完成的公告,2026-06-02,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002270&announcementId=1225341681&orgId=9900005198&announcementTime=2026-06-02
002270,华明装备,关于为下属全资公司提供担保的进展公告,2026-05-23,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002270&announcementId=1225324787&orgId=9900005198&announcementTime=2026-05-23
002270,华明装备,关于公司2025年员工持股计划预留份额分配的公告,2026-05-19,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002270&announcementId=1225313290&orgId=9900005198&announcementTime=2026-05-19
002270,华明装备,国浩律师（上海）事务所关于华明电力装备股份有限公司2026年第二次临时股东会的法律意见书,2026-05-19,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002270&announcementId=1225313289&orgId=9900005198&announcementTime=2026-05-19
002270,华明装备,关于2026年第二次临时股东会决议的公告,2026-05-19,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002270&announcementId=1225313288&orgId=9900005198&announcementTime=2026-05-19
002270,华明装备,关于第七届董事会第九次会议决议的公告,2026-05-19,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002270&announcementId=1225313287&orgId=9900005198&announcementTime=2026-05-19
002270,华明装备,关于参加2026年山东辖区上市公司投资者网上集体接待日活动的公告,2026-05-12,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002270&announcementId=1225289701&orgId=9900005198&announcementTime=2026-05-12
002270,华明装备,关于董事及高级管理人员薪酬方案的公告,2026-04-27,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002270&announcementId=1225181779&orgId=9900005198&announcementTime=2026-04-27
002270,华明装备,2025年度环境、社会和公司治理（ESG）报告（英文版）,2026-04-27,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002270&announcementId=1225181778&orgId=9900005198&announcementTime=2026-04-27
002270,华明装备,2025年度环境、社会和公司治理（ESG）报告（中文版）,2026-04-27,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002270&announcementId=1225181777&orgId=9900005198&announcementTime=2026-04-27
002270,华明装备,董事、高级管理人员薪酬管理制度（2026年4月）,2026-04-27,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002270&announcementId=1225181776&orgId=9900005198&announcementTime=2026-04-27
002270,华明装备,董事、高级管理人员离职管理制度（2026年4月）,2026-04-27,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002270&announcementId=1225181775&orgId=9900005198&announcementTime=2026-04-27
002270,华明装备,关于召开2026年第二次临时股东会的通知,2026-04-27,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002270&announcementId=1225181774&orgId=9900005198&announcementTime=2026-04-27
002270,华明装备,关于第七届董事会第八次会议决议的公告,2026-04-27,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002270&announcementId=1225181773&orgId=9900005198&announcementTime=2026-04-27
002270,华明装备,2026年一季度报告,2026-04-27,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002270&announcementId=1225181771&orgId=9900005198&announcementTime=2026-04-27
002270,华明装备,2025年年度权益分派实施公告,2026-04-24,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002270&announcementId=1225161371&orgId=9900005198&announcementTime=2026-04-24
002270,华明装备,关于为下属全资公司提供担保的进展公告,2026-04-17,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002270&announcementId=1225109484&orgId=9900005198&announcementTime=2026-04-17
002270,华明装备,关于为下属全资公司提供担保的进展公告,2026-03-26,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002270&announcementId=1225030591&orgId=9900005198&announcementTime=2026-03-26
002270,华明装备,国浩律师（上海）事务所关于华明电力装备股份有限公司2025年年度股东会的法律意见书,2026-03-21,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002270&announcementId=1225021071&orgId=9900005198&announcementTime=2026-03-21
