日期,摊薄每股收益(元),加权每股收益(元),每股收益_调整后(元),扣除非经常性损益后的每股收益(元),每股净资产_调整前(元),每股净资产_调整后(元),每股经营性现金流(元),每股资本公积金(元),每股未分配利润(元),调整后的每股净资产(元),总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重,非主营比重,主营利润比重,股息发放率(%),投资收益率(%),主营业务利润(元),净资产收益率(%),加权净资产收益率(%),扣除非经常性损益后的净利润(元),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),应收账款周转率(次),应收账款周转天数(天),存货周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),股东权益周转率(次),流动比率,速动比率,现金比率(%),利息支付倍数,长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),资产负债率(%),总资产(元),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%),短期股票投资(元),短期债券投资(元),短期其它经营性投资(元),长期股票投资(元),长期债券投资(元),长期其它经营性投资(元),1年以内应收帐款(元),1-2年以内应收帐款(元),2-3年以内应收帐款(元),3年以内应收帐款(元),1年以内预付货款(元),1-2年以内预付货款(元),2-3年以内预付货款(元),3年以内预付货款(元),1年以内其它应收款(元),1-2年以内其它应收款(元),2-3年以内其它应收款(元),3年以内其它应收款(元)
2020-03-31,0.124,0.1243,0.1267,,3.1054,3.1054,0.2708,0.1963,1.6942,,2.5262,25.7393,2.5613,20.4508,16.2186,73.2663,13.5267,12.4034,3.9942,2.5262,,4.781,-1.7933,159.2323,,,407063751,3.99,4.08,199807523,16.0061,31.6848,27.9086,20.0768,0.9258,97.2132,113.4216,0.7935,,0.1893,475.4358,0.3225,279.0698,0.3015,1.8819,1.3138,48.6107,-2550.1301,,63.2474,,,58.1091,,,,63.7244,50.1543,,,36.7526,8468196859,0.2953,0.0551,2.183,0.15,17.3846,,,,119052764.0,,,,,,,,,,,,,,
2020-06-30,0.3383,0.3422,0.3433,0.3239,3.1503,3.1503,0.3911,0.2001,1.7085,,6.7175,30.4582,6.8965,25.2103,18.7252,68.6763,16.5143,187.5203,59.5246,37.2307,,4.6546,-2.0582,162.8335,,,1076267667,10.74,10.92,550788070,13.1865,21.9794,23.8205,16.3254,1.9624,91.7244,112.7678,1.5962,1.3086,0.4176,431.0345,0.7166,251.1862,0.6688,1.9352,1.3118,30.9803,-4741.3087,0.081,62.5467,2.3023,199.0332,59.8805,63.4923,3.5503,50.7363,65.8294,52.282,302.0607,31.4253,37.4533,8686914364,0.1909,0.0776,1.1558,0.2073,25.5419,,,,106247373.0,,,,103768.0,,,,,,,,131093.0,230780.0,
2020-09-30,0.5536,0.558,0.5611,,3.3816,3.3816,0.7861,0.2021,1.9241,,10.5234,29.9894,11.0311,26.3524,19.6879,69.2642,17.179,55.3586,16.3703,10.5234,,4.5567,-2.0549,152.6158,,,1666437298,16.37,17.55,910284663,10.9058,12.145,22.2023,15.4565,3.1829,84.8283,102.7788,2.627,,0.6421,420.4952,1.1761,229.5723,1.0135,1.6579,1.1158,26.0714,-10828.2662,,64.2834,,,55.5611,,,,75.0165,48.5837,,,35.7166,9071163995,0.2439,0.1494,1.42,0.4184,47.847,,,,99522517.0,,,,,,,,,,,,,,
2020-12-31,0.7787,0.7833,0.7888,0.7414,3.6436,3.6436,0.9078,0.2348,2.0813,,14.0521,29.6057,15.0944,25.932,19.5273,69.6336,18.0001,236.5352,64.9184,42.6829,,4.9454,-2.0103,151.5364,,,2208595553,21.37,24.02,1262276557,4.65,11.3461,22.3771,16.0238,4.1446,86.86,97.6987,3.6848,2.7884,0.8386,429.2869,1.5303,235.248,1.3068,1.7417,1.245,32.5457,-45644.9273,,65.7486,,234.4329,52.0946,,,49.4838,72.5567,45.6665,,28.0458,34.2514,9555973096,0.2098,0.1638,1.1657,0.4783,54.558,,,,86650803.0,,,,380548.0,,,,,,,,1347111.0,56200.0,
2021-03-31,0.128,0.1281,0.1294,,3.8042,3.8042,0.203,0.2477,2.2093,,2.1629,23.5942,2.2342,18.0045,14.4839,75.5922,12.6405,12.8032,3.3655,2.1629,,4.4931,-0.5314,161.9878,,,412093960,3.37,3.45,200227071,10.4396,3.2035,22.4797,20.5386,1.0025,89.7756,95.4603,0.9428,,0.1767,509.3379,0.3391,265.4084,0.272,1.6364,1.2119,34.963,-1575.2746,,64.2659,,,55.6035,,,,74.762,49.4024,,,35.7341,10207449924,0.2004,0.0343,1.5856,0.096,10.8017,,,,81023535.0,,,,,,,,,,,,,,
2021-06-30,0.2785,0.2814,0.2814,0.2576,3.8046,3.8046,0.4702,0.2577,2.1598,,4.4113,27.6076,4.6988,20.1697,15.4727,71.6227,13.5595,195.122,51.286,30.902,,4.4971,-0.8514,178.017,,,977924511,7.32,7.43,439740183,0.2446,-17.6913,20.7456,25.3393,2.0318,88.5914,108.8139,1.6542,1.3278,0.3465,519.4805,0.6474,278.0352,0.5516,1.5149,1.0965,30.7588,-1757.4805,,60.2544,,247.0484,65.9631,,,47.9354,75.3326,59.8246,,24.3897,39.7456,10888114378,0.2289,0.0745,1.688,0.1873,20.6567,,,,69869856.0,,,,320868.0,,,,,,,,1280800.0,159202.0,
2021-09-30,0.4142,0.417,0.417,,3.6294,3.6294,0.6272,0.153,2.1417,,7.1419,27.0388,7.6437,21.4438,16.5754,72.2301,14.5175,41.4221,11.4128,7.1419,,4.5096,-0.3414,162.7603,,,1463242609,11.41,12.03,703351786,-2.6116,-17.6995,18.0498,21.267,3.1166,86.6329,111.9821,2.4111,,0.5265,512.8205,1.0342,261.0714,0.822,1.4671,0.9795,35.555,-1633.0511,,62.578,,,59.8006,,,,80.3636,54.1459,,,37.422,11000332841,0.2198,0.1081,1.5142,0.289,31.9157,,,,57874826.0,,,,,,,,,,,,,,
2021-12-31,0.5607,0.5636,0.5636,0.5069,3.8142,3.8142,0.7436,0.1582,2.2317,,9.1298,26.41,10.0308,20.8156,16.0868,72.8249,14.3354,211.4903,55.4474,34.4353,,4.0697,-0.496,163.3748,,,1959281921,14.7,15.85,956563256,-0.5538,-20.8005,15.1429,21.8993,4.053,88.8231,108.8074,3.3086,2.7965,0.6997,514.5062,1.3771,261.4189,1.0977,1.4385,0.9801,40.0119,-1554.2638,,62.1044,,275.5152,61.0192,,,47.1113,81.1599,55.5161,,22.5412,37.8956,11648660084,0.1901,0.1211,1.3262,0.3195,35.1184,,,,50346191.0,,,,233449.0,,,,,,,,60370.0,1168200.0,
2022-03-31,0.1316,0.1315,0.1316,,3.9332,3.9332,0.1408,0.1668,2.3632,,2.0679,25.0298,2.1045,19.5933,15.3983,74.0478,13.0171,13.1584,3.3455,2.0679,,3.6558,-3.5702,162.4742,,-1.8055,479883276,3.35,3.4,235194390,9.771,13.0415,13.7193,18.2371,0.974,92.4025,121.9017,0.7383,,0.1617,556.5863,0.3185,282.5746,0.261,1.5121,1.0279,47.7163,-1094.5214,0.0402,61.8103,0.7063,,61.7853,76.9638,1.1298,,77.8433,56.6551,283.1166,,38.1897,12068996604,0.1393,0.0221,1.0703,0.058,6.4501,,,,114106180.0,,,,,,,,,,,,,,
2022-06-30,0.2815,0.2815,0.2815,0.2667,3.9184,3.9184,0.3902,0.1744,2.3632,,4.3119,28.2878,4.4435,21.9405,16.4424,70.8142,14.2919,189.5002,48.3615,29.0272,,3.2546,-4.1567,171.9825,,-3.9659,1056758225,7.18,7.23,505807284,5.4627,11.1588,13.2813,13.7211,1.9809,90.8678,136.3946,1.3197,1.4256,0.3109,578.9643,0.6126,293.8296,0.5094,1.4234,0.9426,51.4328,-805.5926,0.0441,60.0213,0.6795,284.1854,66.6074,79.3346,1.1194,46.0786,80.2327,61.8142,267.3036,21.1205,39.9787,12382081125,0.1981,0.0598,1.3861,0.1495,16.4101,,,,96171558.0,,,,309897.0,,,,,,,,477970.0,1168200.0,
