编号,股东名称,持股数量,持股比例,股本性质,截至日期,公告日期,股东说明,股东总数,平均持股数
1,"BIGGERING(BVI)HOLDINGS CO.,LTD.",371799937.0,19.32,流通A股,2026-03-31,2026-04-23,,240937.0,7987.0
2,"WUS GROUP HOLDINGS CO.,LTD.",216711023.0,11.26,流通A股,2026-03-31,2026-04-23,,240937.0,7987.0
3,香港中央结算有限公司,,,流通A股,2026-03-31,2026-04-23,,240937.0,7987.0
4,平安银行股份有限公司-永赢科技智选混合型发起式证券投资基金,,,流通A股,2026-03-31,2026-04-23,,240937.0,7987.0
5,HAPPY UNION INVESTMENT LIMITED,19811263.0,1.03,流通A股,2026-03-31,2026-04-23,,240937.0,7987.0
6,交通银行股份有限公司-易方达上证50指数增强型证券投资基金,,0.86,流通A股,2026-03-31,2026-04-23,,240937.0,7987.0
7,全国社保基金一零九组合,11580547.0,0.6,流通A股,2026-03-31,2026-04-23,,240937.0,7987.0
8,中国工商银行股份有限公司-华泰柏瑞沪深300交易型开放式指数证券投资基金,,0.56,流通A股,2026-03-31,2026-04-23,,240937.0,7987.0
9,平安银行股份有限公司-东吴移动互联灵活配置混合型证券投资基金,9900000.0,0.51,流通A股,2026-03-31,2026-04-23,,240937.0,7987.0
10,富国基金管理有限公司-社保基金2101组合,9855294.0,0.51,流通A股,2026-03-31,2026-04-23,,240937.0,7987.0
1,"BIGGERING(BVI) HOLDINGS CO., LTD.",371799937.0,19.32,流通A股,2025-12-31,2026-03-25,,198942.0,9673.0
2,"WUS GROUP HOLDINGS CO., LTD.",216711023.0,11.26,流通A股,2025-12-31,2026-03-25,,198942.0,9673.0
3,香港中央结算有限公司,143209875.0,7.44,流通A股,2025-12-31,2026-03-25,,198942.0,9673.0
4,中国工商银行股份有限公司-华泰柏瑞沪深300交易型开放式指数证券投资基金,22233131.0,1.16,流通A股,2025-12-31,2026-03-25,,198942.0,9673.0
5,HAPPY UNION INVESTMENT LIMITED,19811263.0,1.03,流通A股,2025-12-31,2026-03-25,,198942.0,9673.0
