SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_INCOME_YOY,OPERATE_INCOME,OPERATE_INCOME_YOY,INTEREST_INCOME,INTEREST_INCOME_YOY,EARNED_PREMIUM,EARNED_PREMIUM_YOY,FEE_COMMISSION_INCOME,FEE_COMMISSION_INCOME_YOY,OTHER_BUSINESS_INCOME,OTHER_BUSINESS_INCOME_YOY,TOI_OTHER,TOI_OTHER_YOY,TOTAL_OPERATE_COST,TOTAL_OPERATE_COST_YOY,OPERATE_COST,OPERATE_COST_YOY,INTEREST_EXPENSE,INTEREST_EXPENSE_YOY,FEE_COMMISSION_EXPENSE,FEE_COMMISSION_EXPENSE_YOY,RESEARCH_EXPENSE,RESEARCH_EXPENSE_YOY,SURRENDER_VALUE,SURRENDER_VALUE_YOY,NET_COMPENSATE_EXPENSE,NET_COMPENSATE_EXPENSE_YOY,NET_CONTRACT_RESERVE,NET_CONTRACT_RESERVE_YOY,POLICY_BONUS_EXPENSE,POLICY_BONUS_EXPENSE_YOY,REINSURE_EXPENSE,REINSURE_EXPENSE_YOY,OTHER_BUSINESS_COST,OTHER_BUSINESS_COST_YOY,OPERATE_TAX_ADD,OPERATE_TAX_ADD_YOY,SALE_EXPENSE,SALE_EXPENSE_YOY,MANAGE_EXPENSE,MANAGE_EXPENSE_YOY,ME_RESEARCH_EXPENSE,ME_RESEARCH_EXPENSE_YOY,FINANCE_EXPENSE,FINANCE_EXPENSE_YOY,FE_INTEREST_EXPENSE,FE_INTEREST_EXPENSE_YOY,FE_INTEREST_INCOME,FE_INTEREST_INCOME_YOY,ASSET_IMPAIRMENT_LOSS,ASSET_IMPAIRMENT_LOSS_YOY,CREDIT_IMPAIRMENT_LOSS,CREDIT_IMPAIRMENT_LOSS_YOY,TOC_OTHER,TOC_OTHER_YOY,FAIRVALUE_CHANGE_INCOME,FAIRVALUE_CHANGE_INCOME_YOY,INVEST_INCOME,INVEST_INCOME_YOY,INVEST_JOINT_INCOME,INVEST_JOINT_INCOME_YOY,NET_EXPOSURE_INCOME,NET_EXPOSURE_INCOME_YOY,EXCHANGE_INCOME,EXCHANGE_INCOME_YOY,ASSET_DISPOSAL_INCOME,ASSET_DISPOSAL_INCOME_YOY,ASSET_IMPAIRMENT_INCOME,ASSET_IMPAIRMENT_INCOME_YOY,CREDIT_IMPAIRMENT_INCOME,CREDIT_IMPAIRMENT_INCOME_YOY,OTHER_INCOME,OTHER_INCOME_YOY,OPERATE_PROFIT_OTHER,OPERATE_PROFIT_OTHER_YOY,OPERATE_PROFIT_BALANCE,OPERATE_PROFIT_BALANCE_YOY,OPERATE_PROFIT,OPERATE_PROFIT_YOY,NONBUSINESS_INCOME,NONBUSINESS_INCOME_YOY,NONCURRENT_DISPOSAL_INCOME,NONCURRENT_DISPOSAL_INCOME_YOY,NONBUSINESS_EXPENSE,NONBUSINESS_EXPENSE_YOY,NONCURRENT_DISPOSAL_LOSS,NONCURRENT_DISPOSAL_LOSS_YOY,EFFECT_TP_OTHER,EFFECT_TP_OTHER_YOY,TOTAL_PROFIT_BALANCE,TOTAL_PROFIT_BALANCE_YOY,TOTAL_PROFIT,TOTAL_PROFIT_YOY,INCOME_TAX,INCOME_TAX_YOY,EFFECT_NETPROFIT_OTHER,EFFECT_NETPROFIT_OTHER_YOY,EFFECT_NETPROFIT_BALANCE,EFFECT_NETPROFIT_BALANCE_YOY,UNCONFIRM_INVEST_LOSS,UNCONFIRM_INVEST_LOSS_YOY,NETPROFIT,NETPROFIT_YOY,PRECOMBINE_PROFIT,PRECOMBINE_PROFIT_YOY,CONTINUED_NETPROFIT,CONTINUED_NETPROFIT_YOY,DISCONTINUED_NETPROFIT,DISCONTINUED_NETPROFIT_YOY,PARENT_NETPROFIT,PARENT_NETPROFIT_YOY,MINORITY_INTEREST,MINORITY_INTEREST_YOY,DEDUCT_PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT_YOY,NETPROFIT_OTHER,NETPROFIT_OTHER_YOY,NETPROFIT_BALANCE,NETPROFIT_BALANCE_YOY,BASIC_EPS,BASIC_EPS_YOY,DILUTED_EPS,DILUTED_EPS_YOY,OTHER_COMPRE_INCOME,OTHER_COMPRE_INCOME_YOY,PARENT_OCI,PARENT_OCI_YOY,MINORITY_OCI,MINORITY_OCI_YOY,PARENT_OCI_OTHER,PARENT_OCI_OTHER_YOY,PARENT_OCI_BALANCE,PARENT_OCI_BALANCE_YOY,UNABLE_OCI,UNABLE_OCI_YOY,CREDITRISK_FAIRVALUE_CHANGE,CREDITRISK_FAIRVALUE_CHANGE_YOY,OTHERRIGHT_FAIRVALUE_CHANGE,OTHERRIGHT_FAIRVALUE_CHANGE_YOY,SETUP_PROFIT_CHANGE,SETUP_PROFIT_CHANGE_YOY,RIGHTLAW_UNABLE_OCI,RIGHTLAW_UNABLE_OCI_YOY,UNABLE_OCI_OTHER,UNABLE_OCI_OTHER_YOY,UNABLE_OCI_BALANCE,UNABLE_OCI_BALANCE_YOY,ABLE_OCI,ABLE_OCI_YOY,RIGHTLAW_ABLE_OCI,RIGHTLAW_ABLE_OCI_YOY,AFA_FAIRVALUE_CHANGE,AFA_FAIRVALUE_CHANGE_YOY,HMI_AFA,HMI_AFA_YOY,CASHFLOW_HEDGE_VALID,CASHFLOW_HEDGE_VALID_YOY,CREDITOR_FAIRVALUE_CHANGE,CREDITOR_FAIRVALUE_CHANGE_YOY,CREDITOR_IMPAIRMENT_RESERVE,CREDITOR_IMPAIRMENT_RESERVE_YOY,FINANCE_OCI_AMT,FINANCE_OCI_AMT_YOY,CONVERT_DIFF,CONVERT_DIFF_YOY,ABLE_OCI_OTHER,ABLE_OCI_OTHER_YOY,ABLE_OCI_BALANCE,ABLE_OCI_BALANCE_YOY,OCI_OTHER,OCI_OTHER_YOY,OCI_BALANCE,OCI_BALANCE_YOY,TOTAL_COMPRE_INCOME,TOTAL_COMPRE_INCOME_YOY,PARENT_TCI,PARENT_TCI_YOY,MINORITY_TCI,MINORITY_TCI_YOY,PRECOMBINE_TCI,PRECOMBINE_TCI_YOY,EFFECT_TCI_BALANCE,EFFECT_TCI_BALANCE_YOY,TCI_OTHER,TCI_OTHER_YOY,TCI_BALANCE,TCI_BALANCE_YOY,ACF_END_INCOME,ACF_END_INCOME_YOY,OPINION_TYPE
002463.SZ,002463,沪电股份,10090573,通用,2026-03-31 00:00:00,一季报,2026一季报,058001001,2026-04-23 00:00:00,2026-04-23 00:00:00,CNY,6214156406,53.9061409765,6214156406,53.9061409765,,,,,,,,,,,4886516593,56.5966863849,3999902225,47.3203179612,,,,,417024662.0,95.9937781812,,,,,,,,,,,,,39106914.0,52.5287823775,164768655,44.9942697888,125434955,48.1841029039,,,140279182,547.3445538768,27741005.0,-7.0170148006,36637310.0,-31.4219966769,,,,,,,,,45133292.0,1409.2819374915,-3510010.0,10.0783213028,,,,,1072547.0,322.4435153039,-13008769.0,60.3096972555,2428124.0,158.7753280164,30191997.0,106.9760860744,,,0.0,,1393457004,56.4029022266,1525493.0,27.1161541166,,,1604477,584.5359637184,,,,,0.0,,1393378020,56.2247053031,151938275,15.1655882649,,,,,,,1241439745,63.3524832658,,,1241439745.0,63.3524832658,,,1242081367,62.9033090551,-641622.0,74.2253509245,1162681935.0,56.0157344561,,,,,0.6455,62.6354245402,0.6392,62.3158963941,349213333.0,597.0164821281,349848402.0,597.9044892575,-635069.0,-28489.3160482789,,,,,413461502.0,685.9008778519,,,413461502.0,685.9008778519,,,,,,,,,-63613100.0,-21001.4351991799,,,,,,,,,,,,,,,-63613100.0,-21001.4351991799,,,,,,,,,1590653078.0,130.6249821982,1591929769.0,129.9807736115,-1276691.0,48.6678144485,,,,,,,,,,,
002463.SZ,002463,沪电股份,10090573,通用,2025-12-31 00:00:00,年报,2025年报,058001001,2026-03-25 00:00:00,2026-03-25 00:00:00,CNY,18945220585,42.0017369822,18945220585,42.0017369822,,,,,,,,,,,14359871063,41.7655214767,12224297224,39.9716678332,,,,,1140945544.0,44.4996406366,,,,,,,,,,,,,111406395.0,12.0902869844,531026280,45.197616508,420145424,29.9341227596,,,-67949804,62.695622633,123648075.0,2.7424749147,200745944.0,-2.9559635478,,,,,,,12102946.0,233.5697346825,-2496065.0,88.7798705691,-10344827.0,58.7987227191,,,,,-16458686.0,-206.710774924,-209270013.0,23.3162625702,-43485542.0,-162.1232180168,85013953.0,21.4747931663,,,0.0,,4410756115,49.2110747051,2367850.0,61.7893339364,,,14936745,92.6041304408,,,,,0.0,,4398187220,49.1032316831,579514112,51.1337317461,,,,,,,3818673108,48.7998456277,,,3818673108.0,48.7998456277,,,3822306272,47.7370154165,-3633164.0,82.6342695619,3760567906.0,47.6874508394,,,,,1.9875,47.0479431785,1.9691,46.2275360166,98746487.0,-53.0053209816,98172278.0,-53.1608913578,574209.0,8.7473793656,,,,,41914962.0,-73.1920825451,,,41169437.0,-73.803371334,,,745525.0,192.8937134683,,,,,56257316.0,5.6639023263,-212182.0,-120.2081367032,,,,,,,,,,,,,56469498.0,8.1961693119,,,,,,,,,3917419595.0,41.0951618925,3920478550.0,40.1757214773,-3058955.0,85.0002969092,,,,,,,,,,,标准无保留意见
002463.SZ,002463,沪电股份,10090573,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-29 00:00:00,2025-10-29 00:00:00,CNY,13512390231,49.9558224394,13512390231,49.9558224394,,,,,,,,,,,10201018914,50.0538456805,8728624634,50.7224583315,,,,,792327190.0,37.2512206486,,,,,,,,,,,,,81668700.0,24.0667180574,373567178,47.6310102329,300933228,49.1576061031,,,-76102016,16.2395711536,89247370.0,0.627687219,155511859.0,-4.0506663929,,,,,,,,,-9657373.0,58.2069821721,-9924348.0,56.7881238909,,,,,-6965478.0,-1765.2906946164,-196983668.0,-39.2174826989,-38407676.0,-932.2454726672,52409583.0,8.9253329918,,,0.0,,3111766705,48.699314735,1856839.0,68.7796094372,,,3618670,90.2620482244,,,,,0.0,,3110004874,48.6720860977,396683504,51.618094349,,,,,,,2713321370,48.2509491809,,,2713321370.0,48.2509491809,,,2717617995,47.0262714693,-4296625.0,76.3498912121,2676420260.0,48.1704182419,,,,,1.4134,46.284413165,1.4015,45.3989003009,79338023.0,-44.0940281266,78865448.0,-44.4270306853,472575.0,,,,,,31728224.0,-50.6744193263,,,,,363370.0,117.3133915894,31364854.0,-52.7800280072,,,,,47137224.0,-39.247737006,361843.0,-65.9344735487,,,,,,,,,,,,,46775381.0,-38.8773245685,,,,,,,,,2792659393.0,41.6058761731,2796483443.0,40.5054331863,-3824050.0,78.9511073202,,,,,,,,,,,
002463.SZ,002463,沪电股份,10090573,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-22 00:00:00,2025-08-22 00:00:00,CNY,8493871883,56.594868895,8493871883,56.594868895,,,,,,,,,,,6386598446,59.7146483372,5508789969,59.4791799602,,,,,481526354.0,31.3623864767,,,,,,,,,,,,,54800754.0,40.2769089518,235528888,47.5323936545,188369204,51.6801031928,,,-82416723,43.1395435093,59134982.0,0.4514020861,108948615.0,-1.4477282101,,,,,,,150889.0,165.7230718302,-2733763.0,83.5105141649,-6407755.0,60.5846186419,,,,,1761175.0,224.9200264994,-190137615.0,-30.2128465727,-36334747.0,-269.4841584916,34244303.0,4.7767866336,,,0.0,,1914223679,49.0873878606,1469615.0,86.849114777,,,1440612,210.6474463337,,,,,0.0,,1914252682,49.0521759134,235938225,51.1597220134,,,,,,,1678314457,48.7605984942,,,1678314457.0,48.7605984942,,,1682780947,47.504936315,-4466490.0,64.6415137028,1643812901.0,47.8952391872,,,,,0.8754,46.7314783775,0.8693,46.1253992268,-23061496.0,-211.3942339786,-23477461.0,-213.4034749462,415965.0,,,,,,-65707307.0,-185.087383896,,,-66070677.0,-183.2941548891,,,363370.0,117.3133915894,,,,,42229846.0,174.7156755634,361843.0,-65.9344735487,,,,,,,,,,,,,41868003.0,172.7090553645,,,,,,,,,1655252961.0,44.072744064,1659303486.0,42.8546322831,-4050525.0,67.9344557564,,,,,,,,,,,
002463.SZ,002463,沪电股份,10090573,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-25 00:00:00,2026-04-23 00:00:00,CNY,4037627327,56.2527850262,4037627327,56.2527850262,,,,,,,,,,,3120446994,57.638328183,2715105615,57.9816061194,,,,,212774439.0,15.0842900603,,,,,,,,,,,,,25639039.0,11.2408202817,113638046,45.4272523046,84648051,48.6339810003,,,-31358196,61.8277361675,29834496.0,3.2732943107,53424288.0,-1.2579087601,,,,,,,9334.0,104.0656320372,-3447179.0,60.2404388526,-3903408.0,49.8338508359,,,,,-482166.0,-114.9928917115,-32775686.0,-73.5794468018,-4131196.0,-270.8374550501,14587191.0,1.5690602426,,,0.0,,890940631,50.1872987386,1200078.0,185.9146171495,,,234389,-37.0806634758,,,,,0.0,,891906320,50.338122183,131930273,54.9431264891,,,,,,,759976047,49.5664435958,,,759976047.0,49.5664435958,,,762465400,48.1055994264,-2489353.0,62.804657111,745233767.0,50.0734285358,,,,,0.3969,47.3273942094,0.3938,46.5574990696,-70261922.0,-284.486782192,-70264159.0,-284.4990234872,2237.0,,,,,,-70568507.0,-315.339440819,,,-70568507.0,-315.339440819,,,,,,,,,304348.0,100.5962343094,,,,,,,,,,,,,,,304348.0,100.5962343094,,,,,,,,,689714125.0,40.8024828761,692201241.0,39.4055505032,-2487116.0,62.8380818531,,,,,,,,,,,
002463.SZ,002463,沪电股份,10090573,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-03-26 00:00:00,2026-03-25 00:00:00,CNY,13341541440,49.2624731014,13341541440,49.2624731014,,,,,,,,,,,10129311354,41.3816351433,8733408277,41.6174320835,,,,,789583655.0,46.5076678832,,,,,,,,,,,,,99389874.0,50.4260791174,365726582,38.0495745929,323352646,65.1525850813,,,-182149680,-167.4413037251,120347573.0,37.0580494853,206860670.0,19.8239068101,,,,,,,-9061144.0,-1407.9339417971,-22246312.0,-215.5094705689,-25108025.0,-212.4038017947,,,,,-5366191.0,55.5854704272,-272900122.0,-67.6231513352,-16589733.0,-242.1543543505,69984851.0,-7.2244009691,,,0.0,,2956051435,73.2777603905,1463539.0,-76.480110514,,,7755153,13.256222288,,,,,0.0,,2949759821,72.9723172776,383444586,77.6704762791,,,,,,,2566315235,72.2915962804,,,2566315235.0,72.2915962804,,,2587236693,71.0526482449,-20921458.0,9.1150117593,2546301588.0,80.7963649813,,,,,1.3516,70.1409869084,1.3466,69.8751103822,210122697.0,168.1105537866,209594676.0,167.4368140872,528021.0,,,,,,156352921.0,148.858219709,,,157155478.0,162.1204429389,,,-802557.0,-127.9376969207,,,,,53241755.0,242.5327869116,1049983.0,225.299889257,,,,,,,,,,,,,52191772.0,218.6014050217,,,,,,,,,2776437932.0,77.0811478938,2796831369.0,75.8007407169,-20393437.0,11.4087898686,,,,,,,,,,,标准无保留意见
002463.SZ,002463,沪电股份,10090573,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-25 00:00:00,2025-10-29 00:00:00,CNY,9010914022,48.1459573631,9010914022,48.1459573631,,,,,,,,,,,6798238904,38.4817021266,5791190464,37.1423968018,,,,,577282436.0,51.5656052096,,,,,,,,,,,,,65826437.0,42.2225372331,253041131,40.0630348369,201755201,49.4077876056,,,-90856765,-60.821174081,88690670.0,39.9367529784,162077060.0,30.459077546,,,,,,,-229583.0,-184.168481409,-23107623.0,34.0279120616,-22966714.0,27.1251006655,,,,,418274.0,120.689365213,-141493485.0,-40.0744093684,-3720789.0,-144.3621679534,48115146.0,-13.14041375,,,0.0,,2092657058,90.3582399823,1100156.0,-83.6666691411,,,1901940,60.4089460749,,,,,0.0,,2091855274,89.3294721568,261633353,56.6067027648,,,,,,,1830221921,95.158782267,,,1830221921.0,95.158782267,,,1848389385,93.9380738492,-18167464.0,-18.9705937245,1806312145.0,105.7966140766,,,,,0.9662,92.8927929726,0.9639,92.8571428571,141913324.0,543.4549680035,141913324.0,543.4549680035,,,,,,,64324076.0,128.0423879545,,,,,-2098780.0,,66422856.0,2212.2365383805,,,,,77589248.0,1361.1679708669,1062197.0,-53.5823659688,,,,,,,,,,,,,76527051.0,1006.66253817,,,,,,,,,1972135245.0,105.4593028296,1990302709.0,104.1048983304,-18167464.0,-18.9705937245,,,,,,,,,,,
002463.SZ,002463,沪电股份,10090573,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-23 00:00:00,2025-08-22 00:00:00,CNY,5424106130,44.1250000769,5424106130,44.1250000769,,,,,,,,,,,3998755601,29.8296479321,3454237707,30.4190632059,,,,,366563342.0,61.3433537488,,,,,,,,,,,,,39066126.0,35.188895818,159645541,34.7333704459,124188473,54.1437333826,,,-144945588,-511.2011211865,58869245.0,47.7079445036,110549065.0,35.386317132,,,,,,,-229583.0,-131.1600231817,-16578825.0,52.3263623477,-16256991.0,48.415494589,,,,,-1409842.0,54.6185908877,-146020627.0,-22.8306818959,-9833912.0,-205.0337506987,32683101.0,16.9377321649,,,0.0,,1283960841,127.3469964003,786525.0,-88.0470358883,,,463745,-53.8400054945,,,,,0.0,,1284283621,125.1810720522,156085379,84.0361792189,,,,,,,1128198242,132.3683852767,,,1128198242.0,132.3683852767,,,1140830259,131.590859581,-12632017.0,-78.3048135883,1111471140.0,150.2239585092,,,,,0.5966,130.258587418,0.5949,130.0464037123,20702594.0,76.6779959682,20702594.0,76.6779959682,,,,,,,77223325.0,786.3096307937,,,79322105.0,1258.1996387477,,,-2098780.0,-173.0603303481,,,,,-56520731.0,-1981.0197511175,1062197.0,-53.5823659688,,,,,,,,,,,,,-57582928.0,-8137.3243407719,,,,,,,,,1148900836.0,131.0560122887,1161532853.0,130.3149876147,-12632017.0,-78.3048135883,,,,,,,,,,,
002463.SZ,002463,沪电股份,10090573,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-23 00:00:00,2025-04-25 00:00:00,CNY,2584035431,38.3381673035,2584035431,38.3381673035,,,,,,,,,,,1979497645,22.1728517338,1718621352,23.8869245393,,,,,184885738.0,64.333089813,,,,,,,,,,,,,23048229.0,78.3305538452,78140819,36.2911404292,56950672,54.0441869793,,,-82149165,-719.6087457211,28888878.0,87.3631762775,54104878.0,37.4661345488,,,,,,,-229583.0,-144.0940178655,-8670063.0,43.7040370665,-7780960.0,49.849237564,,,,,3215964.0,4084.6411180909,-18882239.0,-115.7865854028,-1114018.0,-42.2725177103,14361845.0,-8.9850852943,,,0.0,,593219692,148.2568567663,419733.0,-47.4461355851,,,372523,7028.2625334864,,,,,0.0,,593266902,147.4549403648,85147548,115.8110161884,,,,,,,508119354,153.6883204259,,,508119354.0,153.6883204259,,,514812001,157.0297526372,-6692647.0,,496579424.0,172.0164576885,,,,,0.2694,155.1136363636,0.2687,154.691943128,-18274210.0,-195.7409794608,-18274210.0,-195.7409794608,,,,,,,32770823.0,71.7885649877,,,32770823.0,71.7885649877,,,,,,,,,-51045033.0,-469220.788530466,,,,,,,,,,,,,,,-51045033.0,-469220.788530466,,,,,,,,,489845144.0,123.2862453521,496537791.0,126.3369564562,-6692647.0,,,,,,,,,,,,
002463.SZ,002463,沪电股份,10090573,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-03-26 00:00:00,2025-11-28 00:00:00,CNY,8938309250,7.2250109535,8938309250,7.2250109535,,,,,,,,,,,7164517049,7.8419260065,6166902018,6.1135383875,,,,,538936744.0,15.036820116,,,,,,,,,,,,,66072236.0,2.5445442569,264924092,-2.867041127,195790242,20.4245164699,,,-68108283,50.0386005737,87807738.0,139.6691906776,172637227.0,27.1069476438,,,,,,,692783.0,-98.0422271558,19259297.0,133.7817086279,22337345.0,136.2586651304,,,,,-12082062.0,-99.6841298208,-162805746.0,-7.0778450229,11670225.0,207.1537375825,75434545.0,6.646718537,,,0.0,,1705961243,8.4791527579,6222559.0,651.5222332529,,,6847441,4501.3419436343,,,,,0.0,,1705336361,8.3926051002,215817841,1.9350856503,,,,,,,1489518520,9.3967301656,,,1489518520.0,9.3967301656,,,1512538227,11.087397748,-23019707.0,,1408380964.0,11.3639759793,,,,,0.7944,10.656080234,0.7927,10.419278451,78371662.0,177.9610923808,78371662.0,177.9610923808,,,,,,,62828112.0,161.7617199383,,,59955445.0,157.2845450664,,,2872667.0,-2.1534859434,,,,,15543550.0,1195.3077069873,-837976.0,-217.6485750893,,,,,,,,,,,,,16381526.0,1019.113400442,,,,,,,,,1567890182.0,24.3322805231,1590909889.0,26.1577225732,-23019707.0,,,,,,,,,,,,标准无保留意见
