名次,股东名称,股份类型,持股数,占总股本持股比例,增减,变动比率
1,"BIGGERING(BVI) HOLDINGS CO., LTD.",流通A股,371799937,19.32,不变,
2,"WUS GROUP HOLDINGS CO.,LTD.",流通A股,216711023,11.26,不变,
3,香港中央结算有限公司,流通A股,193881300,10.08,50671425,35.38263336
4,平安银行股份有限公司-永赢科技智选混合型发起式证券投资基金,流通A股,20262438,1.05,1540778,8.22992192
5,HAPPY UNION INVESTMENT LIMITED,流通A股,19811263,1.03,不变,
6,交通银行股份有限公司-易方达上证50指数增强型证券投资基金,流通A股,16620895,0.86,-1173715,-6.59590179
7,全国社保基金一零九组合,流通A股,11580547,0.6,不变,
8,中国工商银行股份有限公司-华泰柏瑞沪深300交易型开放式指数证券投资基金,流通A股,10831151,0.56,-11401980,-51.28373507
9,平安银行股份有限公司-东吴移动互联灵活配置混合型证券投资基金,流通A股,9900000,0.51,新进,
10,富国基金管理有限公司-社保基金2101组合,流通A股,9855294,0.51,新进,
