股票代码,报告日期,分类类型,主营构成,主营收入,收入比例,主营成本,成本比例,主营利润,利润比例,毛利率
002463,2025-12-31,按行业分类,产品销售收入(印制电路板业务),18143308261,0.957672,11446118164.0,0.936342,6697190097.0,0.996469,0.369127
002463,2025-12-31,按行业分类,其他(补充),798147594,0.042129,775189567.0,0.063414,22958027.0,0.003416,0.028764
002463,2025-12-31,按行业分类,房屋销售收入,3418974,0.00018,2636165.0,0.000216,782809.0,0.000116,0.22896
002463,2025-12-31,按行业分类,物业费收入,345756,1.8e-05,353328.0,2.9e-05,-7572.0,-1e-06,-0.0219
002463,2025-12-31,按产品分类,产品销售收入(印制电路板业务),18143308261,0.957672,11446118164.0,0.936342,6697190097.0,0.996469,0.369127
002463,2025-12-31,按产品分类,其他(补充),798147594,0.042129,775189567.0,0.063414,22958027.0,0.003416,0.028764
002463,2025-12-31,按产品分类,房屋销售收入,3418974,0.00018,2636165.0,0.000216,782809.0,0.000116,0.22896
002463,2025-12-31,按产品分类,物业费收入,345756,1.8e-05,353328.0,2.9e-05,-7572.0,-1e-06,-0.0219
002463,2025-12-31,按地区分类,外销,15542868460,0.820411,9583001578.0,0.783931,5959866882.0,0.886763,0.383447
002463,2025-12-31,按地区分类,内销,2600439801,0.137261,1863116586.0,0.152411,737323215.0,0.109706,0.283538
002463,2025-12-31,按地区分类,其他(补充),798147594,0.042129,775189567.0,0.063414,22958027.0,0.003416,0.028764
002463,2025-06-30,按行业分类,PCB业务收入,8152385076,0.959796,5180102722.0,0.940334,2972282354.0,0.995712,0.364591
002463,2025-06-30,按行业分类,其他(补充),338617782,0.039866,326655770.0,0.059297,11962012.0,0.004007,0.035326
002463,2025-06-30,按行业分类,房屋销售收入,2676551,0.000315,,,,,
002463,2025-06-30,按行业分类,物业费收入,192474,2.3e-05,,,,,
002463,2025-06-30,按产品分类,产品销售收入(印制电路板业务),8152385076,0.959796,5180102722.0,0.940334,2972282354.0,0.995712,0.364591
002463,2025-06-30,按产品分类,其他(补充),338617782,0.039866,326655770.0,0.059297,11962012.0,0.004007,0.035326
002463,2025-06-30,按产品分类,房屋销售收入,2676551,0.000315,1866168.0,0.000339,810383.0,0.000271,0.302771
002463,2025-06-30,按产品分类,物业费收入,192474,2.3e-05,165309.0,3e-05,27165.0,9e-06,0.141136
002463,2025-06-30,按产品分类,其中:销售材料,337266555,0.039707,326278989.0,0.059229,10987566.0,0.003681,0.032578
002463,2025-06-30,按产品分类,其中:租金收入,1351227,0.000159,376781.0,6.8e-05,974446.0,0.000326,0.721156
002463,2025-06-30,按地区分类,外销收入,6893298253,0.811561,,,,,
002463,2025-06-30,按地区分类,内销收入,1600573630,0.188439,,,,,
002463,2024-12-31,按行业分类,印制电路板,12838987162,0.962332,8236752438.0,0.943131,4602234724.0,0.99872,0.358458
002463,2024-12-31,按行业分类,其他(补充),497541675,0.037293,493115192.0,0.056463,4426483.0,0.000961,0.008897
002463,2024-12-31,按行业分类,房屋销售收入,4690353,0.000352,,,,,
