变更日期,总股本,流通受限股份,其他内资持股(受限),境内法人持股(受限),境内自然人持股(受限),已流通股份,已上市流通A股,变动原因
2025-08-22,824157988,,,,,824157988,824157988.0,首发限售股份上市
2024-11-25,824157988,230859012.0,230859012.0,230859012.0,,824157988,593298976.0,限制性股票
2024-08-22,824157988,230859012.0,230859012.0,230859012.0,,824157988,593298976.0,"战略配售上市,股份性质变更"
2024-06-30,824157988,234859012.0,230859012.0,230859012.0,,824157988,589298976.0,股份性质变更
2023-12-31,824157988,231927812.0,230859012.0,230859012.0,,824157988,592230176.0,股份性质变更
2023-08-22,824157988,234859012.0,230859012.0,230859012.0,,824157988,589298976.0,"战略配售上市,首发限售股份上市"
2023-06-30,824157988,772433488.0,577442227.0,554688393.0,22753834.0,824157988,51724500.0,股份性质变更
2023-02-22,824157988,774157988.0,577442227.0,554688393.0,22753834.0,824157988,50000000.0,首发限售股份上市
2022-12-31,824157988,772706246.0,580190286.0,557436452.0,22753834.0,824157988,51451742.0,股份性质变更
2022-08-10,824157988,776907446.0,580191685.0,557437851.0,22753834.0,824157988,47250542.0,首发A股上市
2021-12-31,724157988,724157988.0,577442227.0,554688393.0,22753834.0,724157988,,上市前股本
