SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_INCOME_YOY,OPERATE_INCOME,OPERATE_INCOME_YOY,INTEREST_INCOME,INTEREST_INCOME_YOY,EARNED_PREMIUM,EARNED_PREMIUM_YOY,FEE_COMMISSION_INCOME,FEE_COMMISSION_INCOME_YOY,OTHER_BUSINESS_INCOME,OTHER_BUSINESS_INCOME_YOY,TOI_OTHER,TOI_OTHER_YOY,TOTAL_OPERATE_COST,TOTAL_OPERATE_COST_YOY,OPERATE_COST,OPERATE_COST_YOY,INTEREST_EXPENSE,INTEREST_EXPENSE_YOY,FEE_COMMISSION_EXPENSE,FEE_COMMISSION_EXPENSE_YOY,RESEARCH_EXPENSE,RESEARCH_EXPENSE_YOY,SURRENDER_VALUE,SURRENDER_VALUE_YOY,NET_COMPENSATE_EXPENSE,NET_COMPENSATE_EXPENSE_YOY,NET_CONTRACT_RESERVE,NET_CONTRACT_RESERVE_YOY,POLICY_BONUS_EXPENSE,POLICY_BONUS_EXPENSE_YOY,REINSURE_EXPENSE,REINSURE_EXPENSE_YOY,OTHER_BUSINESS_COST,OTHER_BUSINESS_COST_YOY,OPERATE_TAX_ADD,OPERATE_TAX_ADD_YOY,SALE_EXPENSE,SALE_EXPENSE_YOY,MANAGE_EXPENSE,MANAGE_EXPENSE_YOY,ME_RESEARCH_EXPENSE,ME_RESEARCH_EXPENSE_YOY,FINANCE_EXPENSE,FINANCE_EXPENSE_YOY,FE_INTEREST_EXPENSE,FE_INTEREST_EXPENSE_YOY,FE_INTEREST_INCOME,FE_INTEREST_INCOME_YOY,ASSET_IMPAIRMENT_LOSS,ASSET_IMPAIRMENT_LOSS_YOY,CREDIT_IMPAIRMENT_LOSS,CREDIT_IMPAIRMENT_LOSS_YOY,TOC_OTHER,TOC_OTHER_YOY,FAIRVALUE_CHANGE_INCOME,FAIRVALUE_CHANGE_INCOME_YOY,INVEST_INCOME,INVEST_INCOME_YOY,INVEST_JOINT_INCOME,INVEST_JOINT_INCOME_YOY,NET_EXPOSURE_INCOME,NET_EXPOSURE_INCOME_YOY,EXCHANGE_INCOME,EXCHANGE_INCOME_YOY,ASSET_DISPOSAL_INCOME,ASSET_DISPOSAL_INCOME_YOY,ASSET_IMPAIRMENT_INCOME,ASSET_IMPAIRMENT_INCOME_YOY,CREDIT_IMPAIRMENT_INCOME,CREDIT_IMPAIRMENT_INCOME_YOY,OTHER_INCOME,OTHER_INCOME_YOY,OPERATE_PROFIT_OTHER,OPERATE_PROFIT_OTHER_YOY,OPERATE_PROFIT_BALANCE,OPERATE_PROFIT_BALANCE_YOY,OPERATE_PROFIT,OPERATE_PROFIT_YOY,NONBUSINESS_INCOME,NONBUSINESS_INCOME_YOY,NONCURRENT_DISPOSAL_INCOME,NONCURRENT_DISPOSAL_INCOME_YOY,NONBUSINESS_EXPENSE,NONBUSINESS_EXPENSE_YOY,NONCURRENT_DISPOSAL_LOSS,NONCURRENT_DISPOSAL_LOSS_YOY,EFFECT_TP_OTHER,EFFECT_TP_OTHER_YOY,TOTAL_PROFIT_BALANCE,TOTAL_PROFIT_BALANCE_YOY,TOTAL_PROFIT,TOTAL_PROFIT_YOY,INCOME_TAX,INCOME_TAX_YOY,EFFECT_NETPROFIT_OTHER,EFFECT_NETPROFIT_OTHER_YOY,EFFECT_NETPROFIT_BALANCE,EFFECT_NETPROFIT_BALANCE_YOY,UNCONFIRM_INVEST_LOSS,UNCONFIRM_INVEST_LOSS_YOY,NETPROFIT,NETPROFIT_YOY,PRECOMBINE_PROFIT,PRECOMBINE_PROFIT_YOY,CONTINUED_NETPROFIT,CONTINUED_NETPROFIT_YOY,DISCONTINUED_NETPROFIT,DISCONTINUED_NETPROFIT_YOY,PARENT_NETPROFIT,PARENT_NETPROFIT_YOY,MINORITY_INTEREST,MINORITY_INTEREST_YOY,DEDUCT_PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT_YOY,NETPROFIT_OTHER,NETPROFIT_OTHER_YOY,NETPROFIT_BALANCE,NETPROFIT_BALANCE_YOY,BASIC_EPS,BASIC_EPS_YOY,DILUTED_EPS,DILUTED_EPS_YOY,OTHER_COMPRE_INCOME,OTHER_COMPRE_INCOME_YOY,PARENT_OCI,PARENT_OCI_YOY,MINORITY_OCI,MINORITY_OCI_YOY,PARENT_OCI_OTHER,PARENT_OCI_OTHER_YOY,PARENT_OCI_BALANCE,PARENT_OCI_BALANCE_YOY,UNABLE_OCI,UNABLE_OCI_YOY,CREDITRISK_FAIRVALUE_CHANGE,CREDITRISK_FAIRVALUE_CHANGE_YOY,OTHERRIGHT_FAIRVALUE_CHANGE,OTHERRIGHT_FAIRVALUE_CHANGE_YOY,SETUP_PROFIT_CHANGE,SETUP_PROFIT_CHANGE_YOY,RIGHTLAW_UNABLE_OCI,RIGHTLAW_UNABLE_OCI_YOY,UNABLE_OCI_OTHER,UNABLE_OCI_OTHER_YOY,UNABLE_OCI_BALANCE,UNABLE_OCI_BALANCE_YOY,ABLE_OCI,ABLE_OCI_YOY,RIGHTLAW_ABLE_OCI,RIGHTLAW_ABLE_OCI_YOY,AFA_FAIRVALUE_CHANGE,AFA_FAIRVALUE_CHANGE_YOY,HMI_AFA,HMI_AFA_YOY,CASHFLOW_HEDGE_VALID,CASHFLOW_HEDGE_VALID_YOY,CREDITOR_FAIRVALUE_CHANGE,CREDITOR_FAIRVALUE_CHANGE_YOY,CREDITOR_IMPAIRMENT_RESERVE,CREDITOR_IMPAIRMENT_RESERVE_YOY,FINANCE_OCI_AMT,FINANCE_OCI_AMT_YOY,CONVERT_DIFF,CONVERT_DIFF_YOY,ABLE_OCI_OTHER,ABLE_OCI_OTHER_YOY,ABLE_OCI_BALANCE,ABLE_OCI_BALANCE_YOY,OCI_OTHER,OCI_OTHER_YOY,OCI_BALANCE,OCI_BALANCE_YOY,TOTAL_COMPRE_INCOME,TOTAL_COMPRE_INCOME_YOY,PARENT_TCI,PARENT_TCI_YOY,MINORITY_TCI,MINORITY_TCI_YOY,PRECOMBINE_TCI,PRECOMBINE_TCI_YOY,EFFECT_TCI_BALANCE,EFFECT_TCI_BALANCE_YOY,TCI_OTHER,TCI_OTHER_YOY,TCI_BALANCE,TCI_BALANCE_YOY,ACF_END_INCOME,ACF_END_INCOME_YOY,OPINION_TYPE
688271.SH,688271,联影医疗,10477590,通用,2026-03-31 00:00:00,一季报,2026一季报,058001001,2026-04-29 00:00:00,2026-04-29 00:00:00,CNY,2907566494.56,17.3376279997,2907566494.56,17.3376279997,,,,,,,,,,,2559729801.02,20.0175241319,1536316521.02,23.8509776283,,,,,377950276.05,-0.2432947733,,,,,,,,,,,,,16885670.78,16.6187692892,448170487.57,16.6787983686,138422825.87,5.0084665926,,,41984019.73,347.8797244239,6453248.12,91.0240195846,-16628678.28,19.9162550837,,,,,,,3181436.71,108.2216621717,18431365.97,26.85596618,-2456540.83,48.747121734,,,,,270.61,,-60924.15,-15.6757055415,-39140889.79,-3.0507301891,155728179.82,34.4656770467,,,0,,485976132.71,21.8707465503,428433.66,-27.5634415104,,,5285373.54,243.9733848366,,,,,0,,481119192.83,20.9393834336,88675709.11,174.5951423892,,,,,,,392443483.72,7.3642742204,,,392443483.72,7.3642742204,,,398869282.78,7.7785596595,-6425799.06,-41.0090595558,371861638.8,-1.754461164,,,,,0.48,6.6666666667,0.48,6.6666666667,-45317063.95,-1879.3766146974,-45317063.95,-1879.3766146974,,,,,,,,,,,,,,,,,,,,,-45317063.95,-1879.3766146974,,,,,,,,,,,,,,,-45317063.95,-1879.3766146974,,,,,,,,,347126419.77,-4.4349501235,353552218.83,-3.8718915213,-6425799.06,-41.0090595558,,,,,,,,,,,
688271.SH,688271,联影医疗,10477590,通用,2025-12-31 00:00:00,年报,2025年报,058001001,2026-04-29 00:00:00,2026-04-29 00:00:00,CNY,13800251663.95,33.9816680053,13800251663.95,33.9816680053,,,,,,,,,,,12083533906.88,28.7499658039,7312582446.96,37.9690437226,,,,,1841943294.35,4.5687281715,,,,,,,,,,,,,71322317.07,25.609087477,2261407623.18,24.0359631027,626904263.9,12.7596435124,,,-30626038.58,72.7259864195,18769868.0,106.8711406716,85727321.21,-26.2706745927,,,,,,,-37113946.49,-200.3077411557,80512625.69,-17.9062395687,2099622.17,137.3371201338,,,,,-641405.91,26.2615318188,1303061.74,-90.5867016081,-194450990.75,-38.1854261824,433981526.27,-2.2989919289,,,0,,2000308627.62,46.3973342581,6189198.45,11.5911312117,,,25102821.54,24.303929516,,,,,0,,1981395004.53,46.5845964484,137347560.82,25.1076381291,,,,,,,1844047443.71,48.4831151525,,,1844047443.71,48.4831151525,,,1869300805.65,48.1374165742,-25253361.94,-26.6121391818,1769843181.21,75.1758986963,,,,,2.28,48.0519480519,2.28,48.0519480519,-37939903.16,-725.2160891733,-37939903.16,-725.2160891733,,,,,,,,,,,,,,,,,,,,,-37939903.16,-725.2160891733,,,,,,,,,,,,,,,-37939903.16,-725.2160891733,,,,,,,,,1806107540.55,44.7210499222,1831360902.49,44.4361854706,-25253361.94,-26.6121391818,,,,,,,,,,,标准无保留意见
688271.SH,688271,联影医疗,10477590,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-30 00:00:00,2025-10-30 00:00:00,CNY,8858916392.73,27.3879157689,8858916392.73,27.3879157689,,,,,,,,,,,7918571581.46,19.8278487888,4693777044.5,28.6033159455,,,,,1250296831.18,-5.1079311605,,,,,,,,,,,,,48407236.0,32.4058882418,1522649084.89,21.4726766172,447264729.43,8.6280863791,,,-43823344.54,28.0517411598,12749994.04,147.5530787007,-64558314.78,29.67114014,,,,,,,-41816402.32,-6688.1738407239,60684708.13,-15.9918382939,1819238.99,119.961502973,,,,,-641241.48,-202.8699138153,480051.63,-99.0485761388,-96889157.34,10.2273591031,318963467.13,-10.1948269194,,,0,,1181126237.02,64.6881348955,4587989.54,26.2483703556,,,7161500.29,-20.1043326591,,,,,0,,1178552726.27,65.5595826474,76246522.85,42.5950659535,,,,,,,1102306203.42,67.4246303814,,,1102306203.42,67.4246303814,,,1120234330.0,66.9094080519,-17928126.58,-40.3532552193,1053226533.66,126.941343243,,,,,1.36,65.8536585366,1.36,65.8536585366,-15265169.31,-94.2826636772,-15265169.31,-94.2826636772,,,,,,,,,,,,,,,,,,,,,-15265169.31,-94.2826636772,,,,,,,,,,,,,,,-15265169.31,-94.2826636772,,,,,,,,,1087041034.11,67.1002363089,1104969160.69,66.5851579083,-17928126.58,-40.3532552193,,,,,,,,,,,
688271.SH,688271,联影医疗,10477590,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-30 00:00:00,2025-08-30 00:00:00,CNY,6015901402.16,12.7949171817,6015901402.16,12.7949171817,,,,,,,,,,,5075101040.91,11.1784094627,3132664301.76,15.646537656,,,,,766458924.01,-7.2109379071,,,,,,,,,,,,,30107015.65,10.7951547849,938304878.27,13.1299516159,257182484.27,7.72299513,,,-49616563.05,24.0708604363,5292016.92,54.7050428429,44496516.79,-37.3009746381,,,,,,,-45441421.76,-713.2055819572,39841032.04,-11.5319005516,-1073833.88,84.2287199713,,,,,-640729.77,-202.8608384649,-197713.08,-100.5002825785,-72911342.79,0.7892525177,215480112.85,-14.6620922839,,,0,,1076930298.74,3.5252065602,2148497.13,38.4357204043,,,6106665.13,203.3336567679,,,,,0,,1072972130.74,3.1904580923,85076398.44,-10.6645246428,,,,,,,987895732.3,4.5873382027,,,987895732.3,4.5873382027,,,998018064.12,5.0311031823,-10122331.82,-79.2643296129,965612481.04,21.0140164144,,,,,1.21,4.3103448276,1.21,4.3103448276,-3315448.42,-248.4659467578,-3315448.42,-248.4659467578,,,,,,,,,,,,,,,,,,,,,-3315448.42,-248.4659467578,,,,,,,,,,,,,,,-3315448.42,-248.4659467578,,,,,,,,,984580283.88,3.9904817979,994702615.7,4.4367447889,-10122331.82,-79.2643296129,,,,,,,,,,,
688271.SH,688271,联影医疗,10477590,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-29 00:00:00,2026-04-29 00:00:00,CNY,2477948927.49,5.4231754453,2477948927.49,5.4231754453,,,,,,,,,,,2132796705.76,3.7790331701,1240455707.69,4.6459803311,,,,,378872051.95,-9.7239860267,,,,,,,,,,,,,14479376.59,21.9719655196,384106190.53,7.3797494088,131820633.48,8.7815979201,,,-16937254.48,58.3757081811,3378239.1,380.1846183446,-20764111.74,47.0411433378,,,,,,,-38695784.91,-595.9652174748,14529364.7,-6.2681795388,-4792981.22,-10.1519351382,,,,,,,-52668.06,-102.5324570949,-37982156.67,-48.4601705404,115812587.45,10.0223975004,,,0,,398763564.24,-0.410515079,591460.54,-37.7652326283,,,1536564.68,-4.9817366693,,,,,0,,397818460.1,-0.4808320956,32293254.84,-14.5639708016,,,,,,,365525205.26,0.9898905957,,,365525205.26,0.9898905957,,,370082216.76,1.8674755761,-4557011.5,-236.224261976,378502314.92,26.085509191,,,,,0.45,2.2727272727,0.45,2.2727272727,-2289461.42,-319.0205134272,-2289461.42,-319.0205134272,,,,,,,,,,,,,,,,,,,,,-2289461.42,-319.0205134272,,,,,,,,,,,,,,,-2289461.42,-319.0205134272,,,,,,,,,363235743.84,0.0683367031,367792755.34,0.9468320106,-4557011.5,-236.224261976,,,,,,,,,,,
688271.SH,688271,联影医疗,10477590,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-29 00:00:00,2026-04-29 00:00:00,CNY,10300104386.97,-9.733450446,10300104386.97,-9.733450446,,,,,,,,,,,9385271546.62,-4.7948621868,5300161724.44,-12.2367538217,,,,,1761466670.35,1.9047990977,,,,,,,,,,,,,56781176.03,-18.2910212561,1823187055.28,13.3164022303,555965099.19,-0.845642327,,,-112290178.67,24.5803186189,9073217.24,29.2071050859,116273030.76,-33.4333797927,,,,,,,37000082.01,710.2856690248,98073989.14,-11.1206902662,-5623417.56,64.5702296114,,,,,-869838.94,-6560.7336741568,13842775.25,132.2780241489,-140717437.52,-138.574348673,444193498.96,-24.2338397175,,,0,,1366355909.25,-36.1967691117,5546317.51,-47.3461207127,,,20194712.78,106.1926295053,,,,,0,,1351707513.98,-36.9025760363,109783513.52,-33.262248044,,,,,,,1241924000.46,-37.2053605221,,,1241924000.46,-37.2053605221,,,1261869451.27,-36.0849738364,-19945450.81,-676.0437389988,1010323448.82,-39.3154096142,,,,,1.54,-35.8333333333,1.54,-35.8333333333,6068286.44,-55.8689246025,6068286.44,-55.8689246025,,,,,,,,,,,,,,,,,,,,,6068286.44,-36.0365314934,,,,,,,,,,,,,,,6068286.44,-36.0365314934,,,,,,,,,1247992286.9,-37.3342254263,1267937737.71,-36.2218125017,-19945450.81,-676.0437389988,,,,,,,,,,,标准无保留意见
688271.SH,688271,联影医疗,10477590,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-31 00:00:00,2025-10-30 00:00:00,CNY,6954283174.55,-6.4333659576,6954283174.55,-6.4333659576,,,,,,,,,,,6608289860.41,-1.8081350487,3649810278.99,-4.3367463802,,,,,1317598874.67,-3.79472451,,,,,,,,,,,,,36559730.57,-22.0212386337,1253491013.2,0.0285132799,411739490.53,8.3602644608,,,-60909527.55,54.832600719,5150408.19,-1.5124842796,-91794911.66,36.2499199271,,,,,,,634719.17,111.45172378,72236681.41,-11.0516261851,-9113737.54,23.3521680102,,,,,623351.82,4529.9457495388,50456126.82,1199.8617727734,-107927266.45,-7656.5870374903,355172710.2,-8.6545166438,,,0,,717189637.11,-38.3756758651,3634098.03,-65.8140450071,,,8963565.27,11.9900664691,,,,,0,,711860169.87,-38.9713386396,53470659.97,-46.9911168439,,,,,,,658389509.9,-38.2121504813,,,658389509.9,-38.2121504813,,,671163083.66,-36.9377860609,-12773573.76,-1099.9084646955,464096368.96,-43.9997084273,,,,,0.82,-36.4341085271,0.82,-36.4341085271,-7857195.81,-256.1634235318,-7857195.81,-256.1634235318,,,,,,,,,,,,,,,,,,,,,-7857195.81,-229.3677025363,,,,,,,,,,,,,,,-7857195.81,-229.3677025363,,,,,,,,,650532314.09,-39.2364383124,663305887.85,-37.9692937511,-12773573.76,-1099.9084646955,,,,,,,,,,,
688271.SH,688271,联影医疗,10477590,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-31 00:00:00,2025-08-30 00:00:00,CNY,5333486253.17,1.1788346633,5333486253.17,1.1788346633,,,,,,,,,,,4564826089.38,-0.2440095025,2708826710.47,0.1974195847,,,,,826022924.17,-6.6884259654,,,,,,,,,,,,,27173585.08,-20.4344743187,829404472.35,0.6506988945,238744275.5,-3.1844482475,,,-65345878.19,44.3961484572,3420713.91,-0.3699217985,70968434.57,-29.9213676584,,,,,,,7410470.99,205.1285043065,45034348.3,-7.8580503972,-6808793.44,48.0051421779,,,,,622909.34,4526.6592292632,39520280.84,2892.5239634762,-73491375.32,-311.1246156262,252502221.6,-7.541111803,,,0,,1040259019.54,-0.5887853321,1551981.76,-81.2269218081,,,2013184.16,-72.8149890741,,,,,0,,1039797817.14,-0.7146060075,95232490.9,-11.4810489316,,,,,,,944565326.24,0.5180249616,,,944565326.24,0.5180249616,,,950211921.88,1.3260062674,-5646595.64,-394.0142049283,797934412.6,1.3918200734,,,,,1.16,1.7543859649,1.16,1.7543859649,2233137.29,-82.4699794128,2233137.29,-82.4699794128,,,,,,,,,,,,,,,,,,,,,2233137.29,-82.4699794128,,,,,,,,,,,,,,,2233137.29,-82.4699794128,,,,,,,,,946798463.53,-0.5919478432,952445059.17,0.2029620963,-5646595.64,-394.0142049283,,,,,,,,,,,
688271.SH,688271,联影医疗,10477590,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-27 00:00:00,2025-04-29 00:00:00,CNY,2350478362.11,6.2185248073,2350478362.11,6.2185248073,,,,,,,,,,,2055132564.46,5.4401643352,1185383044.59,7.6849580814,,,,,419681857.09,1.7514402664,,,,,,,,,,,,,11871069.33,-40.1641831092,357708220.26,6.9838694483,121179166.33,4.4102722489,,,-40690793.14,-18.2714323738,703529.22,-46.3605501839,-39208006.08,18.3424456066,,,,,,,7802116.67,-40.365703346,15500994.89,111.9268756636,-4351245.59,-38.7393499047,,,,,,,2079721.71,113.5167848463,-25584071.83,-87.015360491,105262737.48,-2.6088407257,,,0,,400407296.57,10.242332422,950369.97,25.9318753016,,,1617125.62,-63.4171312903,,,,,0,,399740540.92,11.1808855094,37798169.16,11.1250197376,,,,,,,361942371.76,11.1867228928,,,361942371.76,11.1867228928,,,363297720.56,10.2040352023,-1355348.8,67.2032452949,300194937.03,8.5219419935,,,,,0.44,10.0,0.44,10.0,1045318.26,121.7427298297,1045318.26,121.7427298297,,,,,,,,,,,,,,,,,,,,,1045318.26,121.7427298297,,,,,,,,,,,,,,,1045318.26,121.7427298297,,,,,,,,,362987690.02,13.1793731115,364343038.82,12.1567927258,-1355348.8,67.2032452949,,,,,,,,,,,
688271.SH,688271,联影医疗,10477590,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-27 00:00:00,2025-04-29 00:00:00,CNY,11410765602.39,23.518229536,11410765602.39,23.518229536,,,,,,,,,,,9857946495.53,26.803662053,6039158708.5,26.607146481,,,,,1728541428.81,32.3256168799,,,,,,,,,,,,,69491966.37,81.1998002264,1608934822.67,21.1836707589,560706672.14,30.2165390351,,,-148887102.96,-50.8095140319,7022227.79,9.3075909242,174671675.38,82.9682421511,,,,,,,-6062747.97,-121.2731393767,110345129.18,771.1221467524,-15872012.43,-107.4618111003,,,,,13463.47,2412.3574471009,-42886067.58,42.6247023923,-58982635.1,37.5777273715,586268985.13,-1.0302933548,,,0,,2141515233.99,11.0604265189,10533540.14,332.2950402673,,,9794100.22,-10.0186844189,,,,,0,,2142254673.91,11.5876574949,164499867.47,-39.0085544661,,,,,,,1977754806.44,19.8577077403,,,1977754806.44,19.8577077403,,,1974292317.49,19.2145009612,3462488.95,157.7234530972,1664876441.28,25.3822623262,,,,,2.4,9.5890410959,2.4,9.5890410959,13750597.25,-36.2327217821,13750597.25,-36.2327217821,,,,,,,4263484.4,309.1069350524,,,,,,,4263484.4,309.1069350524,,,,,9487112.85,-53.7700563492,,,,,,,,,,,,,,,9487112.85,-53.7700563492,,,,,,,,,1991505403.69,19.1341598781,1988042914.74,18.5018076225,3462488.95,157.7234530972,,,,,,,,,,,标准无保留意见
