SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
300760.SZ,300760,迈瑞医疗,10091420,通用,2026-03-31 00:00:00,一季报,2026一季报,058001001,2026-04-29 00:00:00,2026-04-29 00:00:00,CNY,9272606483.0,,,,,,,,,,,,95649674.0,203258719.0,,0.0,9571514876.0,3405089779.0,,,,,,3495816072.0,610574915.0,678998631.0,,0.0,8190479397.0,,0.0,1381035479,506505644.0,1850739.0,10694565.0,,,,,0.0,519050948.0,600828845.0,547500000.0,,,,,,0.0,1148328845.0,,0.0,-629277897.0,985437.0,985437.0,106886.0,,5000000.0,,0.0,6092323.0,4042049.0,70714.0,,,401918079.0,,,0.0,406030842.0,,0.0,-399938519.0,-240110500.0,,0.0,111708563.0,17624904267.0,,0.0,17736612830.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1882091136,,,,,,,,,,,,-61.8286584441,-55.1643293274,,,1.4344412915,8.2155202694,,,,,,2.8150786156,-18.9035563516,5.7352535089,,,3.1319131711,,,-7.5864538784,-31.9761423583,18.1615907266,271.806531754,,,,,,-30.7047545091,20.7981286003,-20.0729927007,,,,,,,-2.8800941981,,,-45.2157689511,,,105.265785835,,,,,11599.8060377938,489.2869743207,-56.1795106958,,,1264.4704184984,,,,1239.8911800608,,,-1222.0584487266,-1573.1700589101,,,-89.3317855632,18.2266463388,,,11.1675892788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300760.SZ,300760,迈瑞医疗,10091420,通用,2025-12-31 00:00:00,年报,2025年报,058001001,2026-03-31 00:00:00,2026-03-31 00:00:00,CNY,36889267207.0,,,,,,,,,,,,939758037.0,1000300926.0,,0.0,38829326170.0,13728116473.0,,,,,,8809386828.0,3326332481.0,2820521853.0,,0.0,28684357635.0,,0.0,10144968535,2565028766.0,7734020.0,38416134.0,,,1673957323.0,,0.0,4285136243.0,2037744137.0,2738500000.0,,,,18287481.0,,0.0,4794531618.0,,0.0,-509395375.0,35936124.0,35936124.0,4709900.0,,95181761.0,,0.0,135827785.0,7267125.0,5743047401.0,128432964.0,,1109196466.0,,,0.0,6859510992.0,,0.0,-6723683207.0,-194711493.0,,0.0,2717178460.0,14907725807.0,,0.0,17624904267.0,8451471405.0,335842079.0,723103513.0,721366312.0,1737201.0,851313646.0,26556375.0,,,,-10715933.0,,-485746.0,135227140.0,-114953316.0,22428806.0,130669795.0,-108240989.0,,-677854855.0,-345550084.0,583905506.0,-177467909.0,,0.0,10144968535.0,,,,,17624904267.0,14907725807.0,,,,,2717178460.0,-8.1043975997,,,,,,,,,,,,-6.5411295555,24.9237159274,,,-7.4364769874,-6.5194592866,,,,,,8.5046057604,-22.6173751708,16.8494229198,,,-2.8202353341,,,-18.3965987106,93.7462924107,44.2671670303,24.9869542719,,,1082.7151363694,,,185.3821316539,3.9958127417,146.2012192505,,,,-53.9497355963,,,-46.0364173161,,,93.1006253395,-54.2410397883,-54.2410397883,78.1751601152,,88.3076729802,,,3.116374477,32.1209455821,-35.0584282618,27.2808028985,,574.1646998605,,,,-23.8968265409,,,24.2974535999,-369.7229356768,,,172.2520588544,-20.1446807842,,,18.2266463388,-28.0111122738,41.2041698833,15.5252337222,15.5957329151,-7.8194255114,19.4554021079,-22.8397057037,,,,-152.5053465679,,99.614572267,38.8380112284,-65.6623227113,105.0947180771,134.9690950002,-62.6113537323,,13.3229555285,0.459974189,45.1756879395,-125.0631099132,,,-18.3965987106,,,,,18.2266463388,-20.1446807842,,,,,172.2520588544,标准无保留意见,,,,146120108.0,12.4545015403
300760.SZ,300760,迈瑞医疗,10091420,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-30 00:00:00,2025-10-30 00:00:00,CNY,27569990776.0,,,,,,,,,,,,747519751.0,783502685.0,,0.0,29101013212.0,10287242478.0,,,,,,7022216396.0,2424530991.0,2094163052.0,,0.0,21828152917.0,,0.0,7272860295,1780678764.0,4744837.0,37648011.0,,,1673957323.0,,0.0,3497028935.0,1526930407.0,2096000000.0,,,,,,0.0,3622930407.0,,0.0,-125901472.0,29776854.0,29776854.0,4709900.0,,88719896.0,,0.0,123206650.0,4683964.0,4105788245.0,128432964.0,,942136585.0,,,0.0,5052608794.0,,0.0,-4929402144.0,-55826078.0,,0.0,2161730601.0,14907725807.0,,0.0,17069456408.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.6912288,,,,,,,,,,,,-13.7630522762,27.0530012224,,,-11.9779986489,-0.8903001201,,,,,,9.2355584774,-26.4778694767,11.2533313821,,,-0.7278158594,,,-34.3182655207,200.3844068826,69.5165236951,155.1173622195,,,1085.1438774444,,,365.2771597916,7.6953316813,186.8494651013,,,,,,,-54.4945184605,,,98.253775327,-57.3146807355,-57.3146807355,95.2430163904,,133.2504292541,,,11.7949978413,-8.3777673931,-39.9943713951,27.2808028985,,675.1749284083,,,,-27.498686957,,,28.1300622073,37.7140471363,,,170.0620077522,-20.1446807842,,,9.5392016047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300760.SZ,300760,迈瑞医疗,10091420,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-28 00:00:00,2025-08-28 00:00:00,CNY,17718258486.0,,,,,,,,,,,,480675210.0,610951976.0,,0.0,18809885672.0,6552579954.0,,,,,,5187333130.0,1724908027.0,1422972360.0,,0.0,14887793471.0,,0.0,3922092201,1259678764.0,2998783.0,33475228.0,,,1673957323.0,,0.0,2970110098.0,1016735002.0,1322000000.0,,,,,,0.0,2338735002.0,,0.0,631375096.0,20873979.0,20873979.0,4174707.0,,81219896.0,,0.0,106268582.0,1187903.0,2517197653.0,128432964.0,,197053294.0,,,0.0,2715438850.0,,0.0,-2609170268.0,35771928.0,,0.0,1980068957.0,14907725807.0,,0.0,16887794764.0,5232692188.0,229499991.0,354386442.0,354386442.0,,423485850.0,12475921.0,,,,-736574.0,,-250473.0,-133460180.0,-100922057.0,163130039.0,182611984.0,-19481945.0,,-599783982.0,-596037314.0,-1006694280.0,-127200036.0,,0.0,3922092201.0,,,,,16887794764.0,14907725807.0,,,,,1980068957.0,-18.7326567852,,,,,,,,,,,,-3.8535498391,36.3425102559,,,-17.320910395,3.5231463059,,,,,,11.6389740183,-13.7761841787,11.3371940773,,,4.441442023,,,-53.8349004265,588.3490513661,163.3620924355,381.7545850204,,,,,,1454.3213597809,11.6099884746,786.0777005155,,,,,,,-65.7141844574,,,109.5227113616,-70.0770115629,-70.0770115629,,,113.9901580209,,,-1.3418788294,-74.7753966988,38.3703971209,,,168.5224251722,,,,43.1236957263,,,-45.800097737,62.0336229957,,,1918.0974608469,-20.1446807842,,,-10.0111189925,-30.9301129372,1.7867708106,20.82240411,20.82240411,,41.69042411,-24.7599249862,,,,79.1957515581,,99.8016596204,-1002.890377092,-59.0851551039,524.0094631531,297.2385077751,1.7459038613,,-151.0618075843,34.9710972588,-180.3881542562,-219.3517770372,,,-53.8349004265,,,,,-10.0111189925,-20.1446807842,,,,,1918.0974608469,,,,,71506666.0,16.3890541921
300760.SZ,300760,迈瑞医疗,10091420,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-29 00:00:00,2026-04-29 00:00:00,CNY,8732237374.0,,,,,,,,,,,,250579807.0,453341538.0,,0.0,9436158719.0,3146581720.0,,,,,,3400100568.0,752899742.0,642168632.0,,0.0,7941750662.0,,0.0,1494408057,744600000.0,1566278.0,2876379.0,,,,,0.0,749042657.0,497382577.0,685000000.0,,,,,,0.0,1182382577.0,,0.0,-433339920.0,,,52072.0,,,,0.0,52072.0,685922.0,161372.0,,,29455976.0,,,0.0,30303270.0,,0.0,-30251198.0,16298899.0,,0.0,1047115838.0,14907725807.0,,0.0,15954841645.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.0612503465,,,,,,,,,,,,16.1977615642,81.5295964095,,,-9.2266135466,1.4564985899,,,,,,11.0850886088,4.9161056308,-1.3202283474,,,5.4597612499,,,-47.8335915637,,,25.4785091837,,,,,,32576.0680408737,23.6926632591,64326.0811825055,,,,,,,193.2679341329,,,-8.0964840249,,,,,,,,-84.0242005504,-76.0020376097,-0.247261578,,,-21.6107826351,,,,-25.3551326689,,,24.8802763184,350.530322442,,,-56.6776757615,-20.1446807842,,,-24.3324745918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300760.SZ,300760,迈瑞医疗,10091420,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-29 00:00:00,2026-03-31 00:00:00,CNY,40142581629.0,,,,,,,,,,,,1005531131.0,800729404.0,,0.0,41948842164.0,14685533875.0,,,,,,8118905890.0,4298552147.0,2413808971.0,,0.0,29516800883.0,,0.0,12432041281,1323911149.0,5360901.0,30736115.0,,,141535123.0,,0.0,1501543288.0,1959448254.0,1112301559.0,,5773292274.0,,39712000.0,,0.0,8884754087.0,,0.0,-7383210799.0,78533524.0,78533524.0,2643410.0,,50545875.0,,0.0,131722809.0,5500358.0,8843406846.0,100905212.0,,164529004.0,,,0.0,9013436208.0,,0.0,-8881713399.0,72189446.0,,0.0,-3760693471.0,18668419278.0,,0.0,14907725807.0,11739966642.0,237841474.0,625926899.0,624042336.0,1884563.0,712662325.0,34417151.0,-37903465.0,,,-4243844.0,,-126027776.0,97399220.0,-69390139.0,-440236450.0,-373672224.0,-66564226.0,,-782046572.0,-347146870.0,402206123.0,-78852509.0,-40949044.0,0.0,12432041281.0,,,,79576430.0,14907725807.0,18668419278.0,,,,,-3760693471.0,13.8833158796,,,,,,,,,,,,4.0702122337,-16.8241239916,,,12.8331360595,17.6283944092,,,,,,15.7119175845,5.7140627504,-5.2802864747,,,13.0230168167,,,12.3848567461,,1530.4443430657,41.8705798601,,,-97.9097331065,,,-77.896196765,-27.121970385,-15.1941527881,,562.9703213904,,-98.481376673,,,18.6837273472,,,-965.5035887201,-0.2728639566,-0.2728639566,,,13614.9061042418,,,66.4912689313,-70.68906743,-17.1159870444,,,-1.1362983033,,,,-16.9636109964,,,17.5763511462,-28.7844220435,,,-1132.1071189702,-1.6086765288,,,-20.1446807842,1.3952968543,-55.0823611852,22.2375341421,22.3198018431,-0.0272137569,85.597450688,18.0279504543,-113.1089192323,,,-72.193605637,,-58.7214845077,144.8510549007,-805.1202766741,31.4710278273,33.1305704624,20.3781867786,,-288.2425472854,49.0169537054,152.2893136368,,-115.0739688453,,12.3848567461,,,,-40.8141385673,-20.1446807842,-1.6086765288,,,,,-1132.1071189702,标准无保留意见,,,,129937091.0,14.0082474363
300760.SZ,300760,迈瑞医疗,10091420,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-30 00:00:00,2025-10-30 00:00:00,CNY,31577572788.0,,,,,,,,,,,,866820743.0,616673890.0,,0.0,33061067421.0,10379652537.0,,,,,,6428507799.0,3297688701.0,1882337388.0,,0.0,21988186425.0,,0.0,11072880996,592800000.0,2799041.0,14757134.0,,,141245072.0,,0.0,751601247.0,1417824137.0,730696848.0,,5773292274.0,,39712000.0,,0.0,7961525259.0,,0.0,-7209924012.0,69759005.0,69759005.0,2412327.0,,38036327.0,,0.0,110207659.0,5112257.0,6842338528.0,100905212.0,,121538578.0,,,0.0,6968989363.0,,0.0,-6858781704.0,-89628681.0,,0.0,-3085453401.0,18668419278.0,,0.0,15582965877.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1793630283,,,,,,,,,,,,12.64389351,-8.9728714136,,,18.3168427046,7.6806351732,,,,,,13.800828799,7.2669594909,4.0153943395,,,9.0026449763,,,42.4959133549,,751.2898418491,11.1220347113,,,-87.217640543,,,-32.8092922449,-28.4991639371,-44.291376482,,,,-98.481376673,,,34.7221689054,,,-50.4895708498,,,,,12287.1007347003,,,35790.77814397,,25.4097460227,,,-11.5953361768,,,,24.5916081309,,,-22.6280472463,-150.8775198579,,,-26.5927282687,-1.6086765288,,,-5.7653093634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300760.SZ,300760,迈瑞医疗,10091420,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-30 00:00:00,2025-08-28 00:00:00,CNY,21802433530.0,,,,,,,,,,,,499940673.0,448100871.0,,0.0,22750475074.0,6329579604.0,,,,,,4646525262.0,2000500686.0,1278074566.0,,0.0,14254680118.0,,0.0,8495794956,183000000.0,1138654.0,6948606.0,,,,,0.0,191087260.0,910971335.0,149196848.0,,5721410094.0,,39712000.0,,0.0,6821290277.0,,0.0,-6630203017.0,69759005.0,69759005.0,,,37954968.0,,0.0,107713973.0,4709303.0,1819173541.0,,,73384297.0,,,0.0,1897267141.0,,0.0,-1789553168.0,22076855.0,,0.0,98115626.0,18668419278.0,,0.0,18766534904.0,7575938532.0,225471335.0,293311861.0,293311861.0,,298881066.0,16581484.0,,,,-3540498.0,,-126284421.0,-12100947.0,-63439016.0,26142238.0,45970363.0,-19828125.0,,-238898934.0,-916572922.0,1252291820.0,106575737.0,,0.0,8495794956.0,,,,,18766534904.0,18668419278.0,,,,,98115626.0,24.9895256495,,,,,,,,,,,,-12.2193363714,19.9902577526,,,23.7354091644,-0.1578250927,,,,,,9.418256494,-4.0073910128,3.6482509917,,,2.527602144,,,89.5059159692,,,11.2048655728,,,,,,150.6112614216,-14.3099031292,-87.4849866892,,,,,,,202.4636701607,,,-204.2781158704,,,,,12898.5438056946,,,36789.1049131147,,-66.6572925595,,,-25.1716818299,,,,-65.8399740253,,,67.7776548141,-91.5983867305,,,103.2849082315,-1.6086765288,,,17.3878102795,17.5801425005,68.6117450954,18.1038385747,18.1038385747,,62.7355214348,14.6045680693,,,,-3216.1418085163,,-280.6475671148,96.3849953606,-3628.4671175581,197.3995031411,318.2738393438,-243.0857276337,,51.4769003555,26.7844828711,291.7977190359,-45.0666420396,,,89.5059159692,,,,,17.3878102795,-1.6086765288,,,,,103.2849082315,,,,,61437621.0,10.3014938065
300760.SZ,300760,迈瑞医疗,10091420,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-27 00:00:00,2025-04-29 00:00:00,CNY,9929908497.0,,,,,,,,,,,,215649427.0,249734229.0,,0.0,10395292153.0,3101409731.0,,,,,,3060807360.0,717620748.0,650760152.0,,0.0,7530597991.0,,0.0,2864694162,,,2292328.0,,,,,0.0,2292328.0,402111624.0,1063234.0,,,,,,0.0,403174858.0,,0.0,-400882530.0,,,,,325943.0,,0.0,325943.0,2858251.0,161772.0,,,37576566.0,,,0.0,40596589.0,,0.0,-40270646.0,-6505759.0,,0.0,2417035227.0,18668419278.0,,0.0,21085454505.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1376137728,,,,,,,,,,,,-17.371570845,32.9595662021,,,11.7301960448,-4.3131737927,,,,,,5.5592679261,-38.0511893395,-3.0651947277,,,-5.5199111589,,,114.8481672213,,,-26.259457512,,,,,,-93.9847551631,-23.4328500362,-89.4324181416,,,,,,,-24.6734983383,,,19.3602611166,,,,,,,,,,,,,0.9099319916,,,,9.0200481619,,,-8.1447450285,90.5881702951,,,231.1602332333,-1.6086765288,,,7.0136827661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300760.SZ,300760,迈瑞医疗,10091420,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-27 00:00:00,2025-04-29 00:00:00,CNY,35248869704.0,,,,,,,,,,,,966204555.0,962694284.0,,0.0,37177768543.0,12484684458.0,,,,,,7016482018.0,4066206553.0,2548370219.0,,0.0,26115743248.0,,0.0,11062025295,,328800.0,21664897.0,,,6771150777.0,,0.0,6793144474.0,2688667990.0,1311585929.0,,870822130.0,,2615000000.0,,0.0,7486076049.0,,0.0,-692931575.0,78748400.0,78748400.0,,,368547.0,,0.0,79116947.0,18765551.0,10669617132.0,,,166420032.0,,,0.0,10854802715.0,,0.0,-10775685768.0,101367493.0,,0.0,-305224555.0,18973643833.0,,0.0,18668419278.0,11578413404.0,529505736.0,512057858.0,510172782.0,1885076.0,383982820.0,29160170.0,-17785959.0,,,-2464577.0,,-79401838.0,-217161492.0,9840894.0,-642409241.0,-558808751.0,-83600490.0,,-201432475.0,-680906488.0,-769193732.0,,271654031.0,0.0,11062025295.0,,,,134451756.0,18668419278.0,18973643833.0,,,,,-305224555.0,1.9589320039,,,,,,,,,,,,49.2978506665,99.3711580544,,,4.1345480537,3.2015054273,,,,,,14.40971361,21.0485681204,29.2793949531,,,10.8453689511,,,-8.8881429666,,,-70.4544786927,,,3432.5138339364,,,2463.3735728515,40.3616908921,3493.3861068493,,,,70.6083605833,,,114.822144755,,,78.4788525546,,,,,-99.7602081063,,,-48.5232479336,,152.0358374798,,,-85.0690704962,,,,102.9704367634,,,-107.4530135881,-10.9372445159,,,-107.9466619026,25.3815121673,,,-1.6086765288,20.4739836463,644.7955893725,18.8657247754,18.9486419627,0.0,10.2363943521,10.8127999286,50.9907909814,,,60.0184903635,,-471.4151745969,9.7502960036,94.4296615809,-267.2141039101,-254.4973530507,-383.0382349101,,61.4855875488,34.9661843474,-124.8643793829,,-35.1945120917,,-8.8881429666,,,,57.473095906,-1.6086765288,25.3815121673,,,,,-107.9466619026,标准无保留意见,,,,113971659.0,7.5782654706
