SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_INCOME_YOY,OPERATE_INCOME,OPERATE_INCOME_YOY,INTEREST_INCOME,INTEREST_INCOME_YOY,EARNED_PREMIUM,EARNED_PREMIUM_YOY,FEE_COMMISSION_INCOME,FEE_COMMISSION_INCOME_YOY,OTHER_BUSINESS_INCOME,OTHER_BUSINESS_INCOME_YOY,TOI_OTHER,TOI_OTHER_YOY,TOTAL_OPERATE_COST,TOTAL_OPERATE_COST_YOY,OPERATE_COST,OPERATE_COST_YOY,INTEREST_EXPENSE,INTEREST_EXPENSE_YOY,FEE_COMMISSION_EXPENSE,FEE_COMMISSION_EXPENSE_YOY,RESEARCH_EXPENSE,RESEARCH_EXPENSE_YOY,SURRENDER_VALUE,SURRENDER_VALUE_YOY,NET_COMPENSATE_EXPENSE,NET_COMPENSATE_EXPENSE_YOY,NET_CONTRACT_RESERVE,NET_CONTRACT_RESERVE_YOY,POLICY_BONUS_EXPENSE,POLICY_BONUS_EXPENSE_YOY,REINSURE_EXPENSE,REINSURE_EXPENSE_YOY,OTHER_BUSINESS_COST,OTHER_BUSINESS_COST_YOY,OPERATE_TAX_ADD,OPERATE_TAX_ADD_YOY,SALE_EXPENSE,SALE_EXPENSE_YOY,MANAGE_EXPENSE,MANAGE_EXPENSE_YOY,ME_RESEARCH_EXPENSE,ME_RESEARCH_EXPENSE_YOY,FINANCE_EXPENSE,FINANCE_EXPENSE_YOY,FE_INTEREST_EXPENSE,FE_INTEREST_EXPENSE_YOY,FE_INTEREST_INCOME,FE_INTEREST_INCOME_YOY,ASSET_IMPAIRMENT_LOSS,ASSET_IMPAIRMENT_LOSS_YOY,CREDIT_IMPAIRMENT_LOSS,CREDIT_IMPAIRMENT_LOSS_YOY,TOC_OTHER,TOC_OTHER_YOY,FAIRVALUE_CHANGE_INCOME,FAIRVALUE_CHANGE_INCOME_YOY,INVEST_INCOME,INVEST_INCOME_YOY,INVEST_JOINT_INCOME,INVEST_JOINT_INCOME_YOY,NET_EXPOSURE_INCOME,NET_EXPOSURE_INCOME_YOY,EXCHANGE_INCOME,EXCHANGE_INCOME_YOY,ASSET_DISPOSAL_INCOME,ASSET_DISPOSAL_INCOME_YOY,ASSET_IMPAIRMENT_INCOME,ASSET_IMPAIRMENT_INCOME_YOY,CREDIT_IMPAIRMENT_INCOME,CREDIT_IMPAIRMENT_INCOME_YOY,OTHER_INCOME,OTHER_INCOME_YOY,OPERATE_PROFIT_OTHER,OPERATE_PROFIT_OTHER_YOY,OPERATE_PROFIT_BALANCE,OPERATE_PROFIT_BALANCE_YOY,OPERATE_PROFIT,OPERATE_PROFIT_YOY,NONBUSINESS_INCOME,NONBUSINESS_INCOME_YOY,NONCURRENT_DISPOSAL_INCOME,NONCURRENT_DISPOSAL_INCOME_YOY,NONBUSINESS_EXPENSE,NONBUSINESS_EXPENSE_YOY,NONCURRENT_DISPOSAL_LOSS,NONCURRENT_DISPOSAL_LOSS_YOY,EFFECT_TP_OTHER,EFFECT_TP_OTHER_YOY,TOTAL_PROFIT_BALANCE,TOTAL_PROFIT_BALANCE_YOY,TOTAL_PROFIT,TOTAL_PROFIT_YOY,INCOME_TAX,INCOME_TAX_YOY,EFFECT_NETPROFIT_OTHER,EFFECT_NETPROFIT_OTHER_YOY,EFFECT_NETPROFIT_BALANCE,EFFECT_NETPROFIT_BALANCE_YOY,UNCONFIRM_INVEST_LOSS,UNCONFIRM_INVEST_LOSS_YOY,NETPROFIT,NETPROFIT_YOY,PRECOMBINE_PROFIT,PRECOMBINE_PROFIT_YOY,CONTINUED_NETPROFIT,CONTINUED_NETPROFIT_YOY,DISCONTINUED_NETPROFIT,DISCONTINUED_NETPROFIT_YOY,PARENT_NETPROFIT,PARENT_NETPROFIT_YOY,MINORITY_INTEREST,MINORITY_INTEREST_YOY,DEDUCT_PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT_YOY,NETPROFIT_OTHER,NETPROFIT_OTHER_YOY,NETPROFIT_BALANCE,NETPROFIT_BALANCE_YOY,BASIC_EPS,BASIC_EPS_YOY,DILUTED_EPS,DILUTED_EPS_YOY,OTHER_COMPRE_INCOME,OTHER_COMPRE_INCOME_YOY,PARENT_OCI,PARENT_OCI_YOY,MINORITY_OCI,MINORITY_OCI_YOY,PARENT_OCI_OTHER,PARENT_OCI_OTHER_YOY,PARENT_OCI_BALANCE,PARENT_OCI_BALANCE_YOY,UNABLE_OCI,UNABLE_OCI_YOY,CREDITRISK_FAIRVALUE_CHANGE,CREDITRISK_FAIRVALUE_CHANGE_YOY,OTHERRIGHT_FAIRVALUE_CHANGE,OTHERRIGHT_FAIRVALUE_CHANGE_YOY,SETUP_PROFIT_CHANGE,SETUP_PROFIT_CHANGE_YOY,RIGHTLAW_UNABLE_OCI,RIGHTLAW_UNABLE_OCI_YOY,UNABLE_OCI_OTHER,UNABLE_OCI_OTHER_YOY,UNABLE_OCI_BALANCE,UNABLE_OCI_BALANCE_YOY,ABLE_OCI,ABLE_OCI_YOY,RIGHTLAW_ABLE_OCI,RIGHTLAW_ABLE_OCI_YOY,AFA_FAIRVALUE_CHANGE,AFA_FAIRVALUE_CHANGE_YOY,HMI_AFA,HMI_AFA_YOY,CASHFLOW_HEDGE_VALID,CASHFLOW_HEDGE_VALID_YOY,CREDITOR_FAIRVALUE_CHANGE,CREDITOR_FAIRVALUE_CHANGE_YOY,CREDITOR_IMPAIRMENT_RESERVE,CREDITOR_IMPAIRMENT_RESERVE_YOY,FINANCE_OCI_AMT,FINANCE_OCI_AMT_YOY,CONVERT_DIFF,CONVERT_DIFF_YOY,ABLE_OCI_OTHER,ABLE_OCI_OTHER_YOY,ABLE_OCI_BALANCE,ABLE_OCI_BALANCE_YOY,OCI_OTHER,OCI_OTHER_YOY,OCI_BALANCE,OCI_BALANCE_YOY,TOTAL_COMPRE_INCOME,TOTAL_COMPRE_INCOME_YOY,PARENT_TCI,PARENT_TCI_YOY,MINORITY_TCI,MINORITY_TCI_YOY,PRECOMBINE_TCI,PRECOMBINE_TCI_YOY,EFFECT_TCI_BALANCE,EFFECT_TCI_BALANCE_YOY,TCI_OTHER,TCI_OTHER_YOY,TCI_BALANCE,TCI_BALANCE_YOY,ACF_END_INCOME,ACF_END_INCOME_YOY,OPINION_TYPE
300760.SZ,300760,迈瑞医疗,10091420,通用,2026-03-31 00:00:00,一季报,2026一季报,058001001,2026-04-29 00:00:00,2026-04-29 00:00:00,CNY,8352015912,1.3941290693,8352015912.0,1.3941290693,,,,,,,,,,,5905265678.0,11.1518527892,3184616660.0,3.1683852218,,,,,801738588.0,4.5921364442,,,,,,,,,,,,,94353056.0,-7.1114755649,1239689610.0,5.2096848162,343826411.0,0.5602465978,,,241041353.0,248.4676483425,6070916.0,21.7186729975,114163421.0,-0.1605891888,,,,,,,1007831.0,,10229985.0,-89.3531133697,8798782.0,211.659337526,,,,,-7089989.0,-556.1857869383,-20814987.0,51.4690580603,-9522134.0,90.5877255032,103850398.0,-39.8813393597,,,0.0,,2524411338,-17.1801925613,24549320.0,147.9120280755,,,7612978.0,102.6185320507,,,,,0.0,,2541347680,-16.7923048296,114809554.0,-68.2557951274,,,,,,,2426538126.0,-9.879586349,,,2426538126.0,-9.879586349,,,2329658005,-11.3720139814,96880121.0,51.4450501909,2296470040.0,-9.2512770354,,,,,1.9225,-11.3973638123,1.9224,-11.401972532,-243472238.0,-290.686507645,-236962743.0,-294.0007731942,-6509495.0,-217.5702396704,,,,,-9812608.0,-125.1393898623,,,-9812608.0,-125.1393898623,,,,,,,,,-227150135.0,-279.5600494455,,,,,,,,,,,,,,,-227150135.0,-279.5600494455,,,,,,,,,2183065888.0,-22.5927109959,2092695262.0,-23.92206979,90370626.0,30.0162776029,,,,,,,,,,,
300760.SZ,300760,迈瑞医疗,10091420,通用,2025-12-31 00:00:00,年报,2025年报,058001001,2026-03-31 00:00:00,2026-03-31 00:00:00,CNY,33282159404,-9.376500647,33282159404.0,-9.376500647,,,,,,,,,,,23608910747.0,-2.0232671059,13207838172.0,-2.5073314337,,,,,3578692207.0,-2.3778421459,,,,,,,,,,,,,389477342.0,-2.7618035781,5145135431.0,-2.6060257715,1550675756.0,-3.0674942607,,,-262908161.0,34.2775397839,24024138.0,23.7487687779,479906226.0,-13.9156281425,,,,,,,485746.0,-99.614572267,114953316.0,65.6623227113,15538266.0,231.5454420005,,,,,10715933.0,152.5053465679,-335842079.0,-41.2041698833,-196027800.0,34.5763872488,527360218.0,-35.7135939886,,,0.0,,9794893991,-25.2972454507,34428279.0,-6.350190652,,,155356531.0,20.5332868258,,,,,0.0,,9673965739,-25.6974541407,1222494334.0,-4.4724467515,,,,,,,8451471405.0,-28.0111122738,,,8451471405.0,-28.0111122738,,,8135775409,-30.2756621775,315695996.0,341.659627117,8068550808.0,-29.4832602391,,,,,6.7147,-30.3136286272,6.7145,-30.2968960864,278427564.0,246.1969164567,254979713.0,262.2706529127,23447851.0,170.3831442225,,,,,-33214371.0,7.0265104167,,,-33214371.0,7.0265104167,,,,,,,,,288194084.0,337.3769040199,,,,,,,,,,,,,,,288194084.0,337.3769040199,,,,,,,,,8729898969.0,-24.4133158821,8390755122.0,-27.1088827703,339143847.0,788.6277480915,,,,,,,,,,,标准无保留意见
300760.SZ,300760,迈瑞医疗,10091420,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-30 00:00:00,2025-10-30 00:00:00,CNY,25833906543,-12.3823063743,25833906543.0,-12.3823063743,,,,,,,,,,,17055866071.0,-4.5412883538,9829018551.0,-5.1117779052,,,,,2434870090.0,-6.0746188901,,,,,,,,,,,,,302964242.0,-3.7650348351,3735210386.0,1.92635664,1046880948.0,-6.473301023,,,-293078146.0,-60.7041357554,16751412.0,17.9898340076,358085286.0,-17.5308374047,,,,,,,669858.0,-99.4720666498,111310332.0,73.3342030902,14921144.0,204.8759280052,,,,,9892876.0,24.720937659,-203062364.0,-26.1016934417,-156211934.0,16.9966784949,406772773.0,-35.227174372,,,0.0,,8947412013,-26.0259341354,18911609.0,-35.853197251,,,64711790.0,-12.8240446808,,,,,0.0,,8901611832,-26.1312997627,1087718256.0,-19.3049554004,,,,,,,7813893576.0,-26.9910383602,,,7813893576.0,-26.9910383602,,,7570044518,-28.8334029708,243849058.0,271.8650129516,7462681541.0,-28.4974490144,,,,,6.2481,-28.8436133382,6.2479,-28.8199507838,399264979.0,674.6137402096,368192867.0,603.8362661337,31072112.0,764.5991712989,,,,,-9182648.0,75.3775929062,,,-9182648.0,75.3775929062,,,,,,,,,377375515.0,1154.5924935809,,,,,,,,,,,,,,,377375515.0,1154.5924935809,,,,,,,,,8213158555.0,-22.7590478256,7938237385.0,-24.8557428936,274921170.0,297.4662343808,,,,,,,,,,,
300760.SZ,300760,迈瑞医疗,10091420,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-28 00:00:00,2025-08-28 00:00:00,CNY,16743003854,-18.4485282239,16743003854.0,-18.4485282239,,,,,,,,,,,10992966764.0,-11.2802914489,6418018807.0,-11.9087879048,,,,,1606602668.0,-9.5024983023,,,,,,,,,,,,,197869656.0,-10.9594216175,2423934190.0,-5.9655368014,682196711.0,-17.0616553254,,,-335655268.0,-14.6563759815,10300387.0,12.8049259951,236093967.0,-25.3712090142,,,,,,,250473.0,-99.8016596204,100922057.0,59.0851551039,6253338.0,144.3050536701,,,,,736574.0,-79.1957515581,-108538077.0,-19.0897530438,-120961914.0,9.952752966,299959868.0,-36.5126033417,,,0.0,,5922406071,-30.9758200146,12607181.0,-18.9926927407,,,18107171.0,-66.5967406866,,,,,0.0,,5916906081,-30.727922814,684213893.0,-29.1415840743,,,,,,,5232692188.0,-30.9301129372,,,5232692188.0,-30.9301129372,,,5068767098,-32.9593583375,163925090.0,978.3986330182,4949323103.0,-32.9353800397,,,,,4.184,-32.9981103674,4.1839,-32.9642862865,479585047.0,454.5270460639,449177546.0,437.58523044,30407501.0,1470.5969054688,,,,,-12670951.0,59.4697849453,,,-12670951.0,59.4697849453,,,,,,,,,461848497.0,553.7131168275,,,,,,,,,,,,,,,461848497.0,553.7131168275,,,,,,,,,5712277235.0,-23.2289310743,5517944644.0,-25.7110782963,194332591.0,1396.9123638167,,,,,,,,,,,
300760.SZ,300760,迈瑞医疗,10091420,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-29 00:00:00,2026-04-29 00:00:00,CNY,8237179005,-12.1162389669,8237179005.0,-12.1162389669,,,,,,,,,,,5312791042.0,-12.5246411029,3086814486.0,-8.0475450788,,,,,766538112.0,-19.0930632395,,,,,,,,,,,,,101576655.0,0.7619013193,1178303701.0,-10.6430538666,341910867.0,-27.7680249988,,,-162352779.0,-31.2088252479,4987662.0,11.7038545369,114347050.0,-39.7408510445,,,,,,,,,96084286.0,3200.7884261329,2823205.0,191.1091891613,,,,,-1080485.0,-241.7277336226,-42890136.0,1.2861483386,-101167194.0,-52.3298347845,172742368.0,-33.6086814733,,,0.0,,3048076802,-14.6741559618,9902432.0,32.4746269715,,,3757296.0,-82.9513564333,,,,,0.0,,3054221938,-14.1521425418,361670908.0,-8.6514502327,,,,,,,2692551030.0,-14.8409473195,,,2692551030.0,-14.8409473195,,,2628580553,-16.8144037457,63970477.0,3281.010511339,2530581109.0,-16.6752290154,,,,,2.1698,-16.8881909067,2.1698,-16.8372235637,127681943.0,209.8222103697,122145257.0,211.0994234648,5536686.0,187.6042802426,,,,,-4358459.0,58.4095672732,,,-4358459.0,58.4095672732,,,,,,,,,126503716.0,227.1869375191,,,,,,,,,,,,,,,126503716.0,227.1869375191,,,,,,,,,2820232973.0,-7.3975784906,2750725810.0,-9.8109786146,69507163.0,1669.6989221232,,,,,,,,,,,
300760.SZ,300760,迈瑞医疗,10091420,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-29 00:00:00,2026-03-31 00:00:00,CNY,36725749548,5.1352735425,36725749548.0,5.1352735425,,,,,,,,,,,24096446217.0,9.5731059483,13547519384.0,8.2663792246,,,,,3665860585.0,6.793621831,,,,,,,,,,,,,400539455.0,9.4139121664,5282806736.0,5.434798442,1599747932.0,4.987687683,,,-400027875.0,53.2082823387,19413638.0,49.3714226535,557483566.0,-32.1501839524,,,,,,,126027776.0,58.7214845077,69390139.0,805.1202766741,-11812090.0,-20.3234937471,,,,,4243844.0,72.193605637,-237841474.0,55.0823611852,-299628516.0,-22.7007509689,820329290.0,-1.264661963,,,0.0,,13111824390,0.3210942119,36762786.0,-34.7574904429,,,128890977.0,11.8110468529,,,,,0.0,,13019696199,0.067375445,1279729557.0,-10.6656400035,,,,,,,11739966642.0,1.3952968543,,,11739966642.0,1.3952968543,,,11668487164,0.7447711551,71479478.0,1974.7825480285,11442036083.0,0.0726020503,,,,,9.6356,0.8055572992,9.633,0.7878464484,-190446947.0,-169.8040757129,-157132364.0,-157.8446741204,-33314583.0,-2910.5176175219,,,,,-35724561.0,-240.4765739606,,,-35724561.0,-277.5103035501,,,,,,,,,-121407803.0,-149.3097957686,,,,,,,,,,,,,,,-121407803.0,-149.3097957686,,,,,,,,,11549519695.0,-2.5459302365,11511354800.0,-2.8894916825,38164895.0,1552.6130550175,,,,,,,,,,,标准无保留意见
300760.SZ,300760,迈瑞医疗,10091420,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-30 00:00:00,2025-10-30 00:00:00,CNY,29484805493,7.9879272908,29484805493.0,7.9879272908,,,,,,,,,,,17867270338.0,7.9709391053,10358523254.0,5.8446468066,,,,,2592345180.0,3.3249889825,,,,,,,,,,,,,314817220.0,9.2973772963,3664616797.0,6.1000431483,1119339140.0,0.3177516634,,,-182371253.0,69.8556801304,14197335.0,61.0035328765,434205071.0,-17.5040987084,,,,,,,126883062.0,108.5622158556,64217177.0,1397.1770312409,-14227425.0,-183.1955051546,,,,,7932009.0,83.6213506108,-161030640.0,-34.1328305736,-188199618.0,-211.5101203752,627999117.0,11.0760747947,,,0.0,,12095336262,7.9874047646,29481764.0,-18.3987764313,,,74231237.0,48.9461408453,,,,,0.0,,12050586789,7.7197191157,1347936867.0,-0.2605023201,,,,,,,10702649922.0,8.8162471544,,,10702649922.0,8.8162471544,,,10637075305,8.162970861,65574617.0,5267.3575176185,10436944470.0,7.7536281821,,,,,8.7808,8.1166272656,8.7776,8.1184947958,-69484064.0,-134.8952544451,-73077881.0,-136.7000878332,3593817.0,,,,,,-37293868.0,-183.594831672,,,-37293868.0,-183.594831672,,,,,,,,,-35784013.0,-123.1597993147,,,,,,,,,,,,,,,-35784013.0,-123.1597993147,,,,,,,,,10633165858.0,5.9645181746,10563997424.0,5.2880410137,69168434.0,5561.5155558102,,,,,,,,,,,
300760.SZ,300760,迈瑞医疗,10091420,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-30 00:00:00,2025-08-28 00:00:00,CNY,20530596799,11.1217173313,20530596799.0,11.1217173313,,,,,,,,,,,12390670510.0,8.2010085526,7285651604.0,14.6222520056,,,,,1775300575.0,-4.1119058624,,,,,,,,,,,,,222224136.0,19.9873861707,2577708329.0,-9.062136566,822534756.0,3.3801220793,,,-292748890.0,48.7804873867,9131150.0,64.670877358,316357754.0,8.2629497392,,,,,,,126284421.0,280.6475671148,63439016.0,3628.4671175581,-14114277.0,-815.0408920728,,,,,3540498.0,3216.1418085163,-91139728.0,-18.5885335658,-134331607.0,-136.2146195775,472471520.0,15.7503024781,,,0.0,,8580190409,17.0563139428,15563017.0,-14.380524267,,,54207797.0,41.3369053923,,,,,0.0,,8541545629,16.8507438757,965607097.0,11.4274975769,,,,,,,7575938532.0,17.5801425005,,,7575938532.0,17.5801425005,,,7560737744,17.3664775568,15200788.0,1144.2019104057,7379931633.0,16.3898812739,,,,,6.2446,17.4083892681,6.2413,17.4125703106,-135274601.0,-141.9888419511,-133056042.0,-141.3002077025,-2218559.0,,,,,,-31262975.0,-169.0457404157,,,-31262975.0,-169.0457404157,,,,,,,,,-101793067.0,-136.7630877534,,,,,,,,,,,,,,,-101793067.0,-136.7630877534,,,,,,,,,7440663931.0,9.9814544623,7427681702.0,9.8093923792,12982229.0,962.6103148814,,,,,,,,,,,
300760.SZ,300760,迈瑞医疗,10091420,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-27 00:00:00,2025-04-29 00:00:00,CNY,9372811209,12.0575727501,9372811209.0,12.0575727501,,,,,,,,,,,6073471557.0,8.9865517436,3356967999.0,19.4361913983,,,,,947431880.0,11.1616733305,,,,,,,,,,,,,100808593.0,19.0581571134,1318648132.0,-4.0159199123,473351126.0,3.5586930968,,,-123736173.0,-2005.677745783,4465076.0,71.6734745351,189758820.0,37.0738319819,,,,,,,126027777.0,,-3098705.0,-183.9355435194,-3098705.0,-183.9355435194,,,,,-316183.0,46.7995571439,-43448954.0,-2.0983226052,-66413250.0,-40.3492714769,260188187.0,30.3259505339,,,0.0,,3572278524,23.1954171424,7474965.0,-17.6261747003,,,22038680.0,4.1591726884,,,,,0.0,,3557714809,23.2066195794,395924083.0,25.5859798136,,,,,,,3161790726.0,22.915009348,,,3161790726.0,22.915009348,,,3159898674,22.8998267478,1892052.0,54.8666235584,3037009378.0,20.0812664483,,,,,2.6107,22.7986829727,2.6091,22.7985127312,-116262405.0,-2363.4835198018,-109942296.0,-2240.4389073593,-6320109.0,,,,,,-10479475.0,,,,-10479475.0,,,,,,,,,,-99462821.0,-2036.4166444561,,,,,,,,,,,,,,,-99462821.0,-2036.4166444561,,,,,,,,,3045528321.0,18.1593536736,3049956378.0,18.3872677664,-4428057.0,-462.4415378193,,,,,,,,,,,
300760.SZ,300760,迈瑞医疗,10091420,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-27 00:00:00,2025-04-29 00:00:00,CNY,34931900884,15.0375770111,34931900884.0,15.0375770111,,,,,,,,,,,21991204875.0,10.9167841227,12513136101.0,14.9545554051,,,,,3432658732.0,17.4516453586,,,,,,,,,,,,,366077263.0,5.1082283183,5010496358.0,4.3515282008,1523748134.0,15.430888212,,,-854911713.0,-89.5434610861,12996889.0,21.616511241,821643445.0,129.5697587832,,,,,,,79401838.0,471.4151745969,-9840894.0,-94.4296615809,-9816944.0,-108.9654501531,,,,,2464577.0,-60.0184903635,-529505736.0,-644.7955893725,-244194525.0,-563.3159991739,830836564.0,43.2933641375,,,0.0,,13069857833,18.919430037,56347903.0,59.7020509199,,,115275709.0,59.5566289396,,,,,0.0,,13010930027,18.7827622218,1432516623.0,6.6786211713,,,,,,,11578413404.0,20.4739836463,,,11578413404.0,20.4739836463,,,11582226085,20.5580951451,-3812681.0,-207.6201315317,11433734957.0,20.0377310137,,,,,9.5586,20.382358127,9.5577,20.4210711991,272830698.0,-9.2591635472,271645344.0,-9.6534007582,1185354.0,,,,,,25430974.0,,,,20125345.0,,,,5305629.0,,,,,,246214370.0,-18.1114953549,,,,,,,,,,,,,,,246214370.0,-18.1114953549,,,,,,,,,11851244102.0,19.5720036628,11853871429.0,19.6412763445,-2627327.0,-174.1612732134,,,,,,,,,,,标准无保留意见
